,date,open
0,2020-12-11,61.0
1,2020-12-14,56.9262
2,2020-12-15,50.81
3,2020-12-16,47.13
4,2020-12-17,48.54
5,2020-12-18,49.2
6,2020-12-21,48.5
7,2020-12-22,47.62
8,2020-12-23,45.68
9,2020-12-24,43.26
10,2020-12-28,42.65
11,2020-12-29,41.13
12,2020-12-30,38.59
13,2020-12-31,41.45
14,2021-01-04,40.0
15,2021-01-05,38.81
16,2021-01-06,38.75
17,2021-01-07,40.7
18,2021-01-08,39.32
19,2021-01-11,40.36
20,2021-01-12,37.0
21,2021-01-13,39.9
22,2021-01-14,44.39
23,2021-01-15,45.51
24,2021-01-19,44.94
25,2021-01-20,49.53
26,2021-01-21,49.0
27,2021-01-22,50.04
28,2021-01-25,51.2
29,2021-01-26,49.29
30,2021-01-27,45.89
31,2021-01-28,46.45
32,2021-01-29,52.1
33,2021-02-01,53.25
34,2021-02-02,53.19
35,2021-02-03,49.72
36,2021-02-04,49.0
37,2021-02-05,46.9
38,2021-02-08,49.0
39,2021-02-09,47.75
40,2021-02-10,53.0
41,2021-02-11,48.0
42,2021-02-12,46.2
43,2021-02-16,44.1978
44,2021-02-17,44.2
45,2021-02-18,45.65
46,2021-02-19,43.56
47,2021-02-22,44.25
48,2021-02-23,39.61
49,2021-02-24,40.91
50,2021-02-25,40.38
51,2021-02-26,38.95
52,2021-03-01,38.46
53,2021-03-02,39.7
54,2021-03-03,39.0
55,2021-03-04,35.5
56,2021-03-05,30.5099
57,2021-03-08,31.19
58,2021-03-09,28.71
59,2021-03-10,31.03
60,2021-03-11,34.22
61,2021-03-12,36.21
62,2021-03-15,37.41
63,2021-03-16,37.87
64,2021-03-17,36.55
65,2021-03-18,36.0
66,2021-03-19,31.5
67,2021-03-22,31.99
68,2021-03-23,30.65
69,2021-03-24,29.47
70,2021-03-25,27.05
71,2021-03-26,26.8984
72,2021-03-29,25.2658
73,2021-03-30,27.52
74,2021-03-31,28.2
75,2021-04-01,36.25
76,2021-04-05,31.71
77,2021-04-06,28.0
78,2021-04-07,28.41
79,2021-04-08,30.79
80,2021-04-09,29.96
81,2021-04-12,28.115
82,2021-04-13,27.98
83,2021-04-14,28.22
84,2021-04-15,29.62
85,2021-04-16,29.31
86,2021-04-19,29.21
87,2021-04-20,29.64
88,2021-04-21,27.8
89,2021-04-22,29.5
90,2021-04-23,28.76
91,2021-04-26,29.55
92,2021-04-27,31.31
93,2021-04-28,29.0
94,2021-04-29,30.06
95,2021-04-30,28.63
96,2021-05-03,27.0
97,2021-05-04,25.83
98,2021-05-05,28.72
99,2021-05-06,28.5017
100,2021-05-07,28.4
101,2021-05-10,28.89
102,2021-05-11,26.5
103,2021-05-12,28.0
104,2021-05-13,29.67
105,2021-05-14,31.75
106,2021-05-17,31.5
107,2021-05-18,33.87
108,2021-05-19,32.56
109,2021-05-20,32.35
110,2021-05-21,31.21
111,2021-05-24,31.84
112,2021-05-25,32.26
113,2021-05-26,32.31
114,2021-05-27,28.2
115,2021-05-28,27.3
116,2021-06-01,27.25
117,2021-06-02,26.5
118,2021-06-03,26.7
119,2021-06-04,25.69
120,2021-06-07,25.8
121,2021-06-08,26.31
122,2021-06-09,23.5
123,2021-06-10,24.475
124,2021-06-11,25.47
125,2021-06-14,26.6021
126,2021-06-15,24.88
127,2021-06-16,23.6
128,2021-06-17,23.01
129,2021-06-18,22.8
130,2021-06-21,23.2
131,2021-06-22,22.5
132,2021-06-23,21.0
133,2021-06-24,22.2741
134,2021-06-25,21.12
135,2021-06-28,20.54
136,2021-06-29,20.36
137,2021-06-30,21.29
138,2021-07-01,22.51
139,2021-07-02,20.22
140,2021-07-06,20.46
141,2021-07-07,19.8
142,2021-07-08,18.49
143,2021-07-09,18.75
144,2021-07-12,19.39
145,2021-07-13,18.58
146,2021-07-14,17.83
147,2021-07-15,17.14
148,2021-07-16,16.51
149,2021-07-19,16.58
150,2021-07-20,16.3
151,2021-07-21,16.37
152,2021-07-22,16.75
153,2021-07-23,16.05
154,2021-07-26,15.88
155,2021-07-27,15.35
156,2021-07-28,14.95
157,2021-07-29,16.2
158,2021-07-30,15.6
159,2021-08-02,15.35
160,2021-08-03,16.0
161,2021-08-04,15.77
162,2021-08-05,15.4721
163,2021-08-06,15.85
164,2021-08-09,15.03
165,2021-08-10,16.5
166,2021-08-11,15.63
167,2021-08-12,15.28
168,2021-08-13,15.0
169,2021-08-16,17.83
170,2021-08-17,16.66
171,2021-08-18,16.98
172,2021-08-19,16.5
173,2021-08-20,15.8
174,2021-08-23,16.49
175,2021-08-24,17.09
176,2021-08-25,17.07
177,2021-08-26,17.82
178,2021-08-27,17.35
179,2021-08-30,17.86
180,2021-08-31,17.5
181,2021-09-01,16.78
182,2021-09-02,17.14
183,2021-09-03,17.6612
184,2021-09-07,19.46
185,2021-09-08,19.035
186,2021-09-09,18.24
187,2021-09-10,19.72
188,2021-09-13,18.93
189,2021-09-14,17.8
190,2021-09-15,19.18
191,2021-09-16,18.79
192,2021-09-17,22.63
193,2021-09-20,19.37
194,2021-09-21,20.53
195,2021-09-22,21.21
196,2021-09-23,21.41
197,2021-09-24,21.0
198,2021-09-27,21.17
199,2021-09-28,20.57
200,2021-09-29,19.69
201,2021-09-30,19.4
202,2021-10-01,19.06
203,2021-10-04,16.98
204,2021-10-05,16.43
205,2021-10-06,16.18
206,2021-10-07,15.67
207,2021-10-08,15.79
208,2021-10-11,15.39
209,2021-10-12,14.9
210,2021-10-13,15.15
211,2021-10-14,15.58
212,2021-10-15,15.96
213,2021-10-18,15.42
214,2021-10-19,15.3
215,2021-10-20,15.99
216,2021-10-21,15.99
217,2021-10-22,16.16
218,2021-10-25,15.92
219,2021-10-26,16.16
220,2021-10-27,15.54
221,2021-10-28,15.39
222,2021-10-29,15.75
223,2021-11-01,15.77
224,2021-11-02,16.96
225,2021-11-03,17.93
226,2021-11-04,17.57
227,2021-11-05,15.91
228,2021-11-08,15.19
229,2021-11-09,15.4
230,2021-11-10,13.54
231,2021-11-11,14.22
232,2021-11-12,15.13
233,2021-11-15,15.57
234,2021-11-16,16.3
235,2021-11-17,16.25
236,2021-11-18,15.0
237,2021-11-19,15.57
238,2021-11-22,15.78
239,2021-11-23,14.33
240,2021-11-24,13.91
241,2021-11-26,14.45
242,2021-11-29,14.22
243,2021-11-30,14.0
244,2021-12-01,14.79
245,2021-12-02,14.38
246,2021-12-03,14.87
247,2021-12-06,13.92
248,2021-12-07,13.68
249,2021-12-08,14.66
250,2021-12-09,15.07
251,2021-12-10,14.45
252,2021-12-13,14.11
253,2021-12-14,13.53
254,2021-12-15,13.12
255,2021-12-16,12.47
256,2021-12-17,13.93
257,2021-12-20,14.58
258,2021-12-21,14.92
259,2021-12-22,15.53
260,2021-12-23,15.43
261,2021-12-27,14.93
262,2021-12-28,14.6
263,2021-12-29,13.64
264,2021-12-30,13.68
265,2021-12-31,14.34
266,2022-01-03,14.47
267,2022-01-04,14.28
268,2022-01-05,13.32
269,2022-01-06,12.3163
270,2022-01-07,12.17
271,2022-01-10,11.71
272,2022-01-11,11.94
273,2022-01-12,12.3
274,2022-01-13,11.61
275,2022-01-14,10.77
276,2022-01-18,9.96
277,2022-01-19,9.82
278,2022-01-20,9.51
279,2022-01-21,9.1195
280,2022-01-24,8.46
281,2022-01-25,8.4
282,2022-01-26,8.63
283,2022-01-27,8.05
284,2022-01-28,8.22
285,2022-01-31,8.64
286,2022-02-01,9.1
287,2022-02-02,9.385
288,2022-02-03,9.1
289,2022-02-04,9.23
290,2022-02-07,9.3
291,2022-02-08,9.38
292,2022-02-09,9.45
293,2022-02-10,9.58
294,2022-02-11,9.9684
295,2022-02-14,9.64
296,2022-02-15,9.62
297,2022-02-16,9.98
298,2022-02-17,9.62
299,2022-02-18,9.27
300,2022-02-22,9.04
301,2022-02-23,8.89
302,2022-02-24,7.91
303,2022-02-25,9.36
304,2022-02-28,8.99
305,2022-03-01,8.6
306,2022-03-02,9.4
307,2022-03-03,9.46
308,2022-03-04,8.92
309,2022-03-07,8.45
310,2022-03-08,8.22
311,2022-03-09,8.38
312,2022-03-10,8.39
313,2022-03-11,8.45
314,2022-03-14,7.99
315,2022-03-15,7.53
316,2022-03-16,8.0
317,2022-03-17,8.41
318,2022-03-18,8.71
319,2022-03-21,8.82
320,2022-03-22,8.85
321,2022-03-23,9.27
322,2022-03-24,9.505
323,2022-03-25,9.83
324,2022-03-28,9.47
325,2022-03-29,9.6
326,2022-03-30,9.78
327,2022-03-31,9.7
328,2022-04-01,9.83
329,2022-04-04,10.18
330,2022-04-05,10.38
331,2022-04-06,9.88
332,2022-04-07,9.94
333,2022-04-08,9.71
334,2022-04-11,8.95
335,2022-04-12,8.95
336,2022-04-13,8.7
337,2022-04-14,8.98
338,2022-04-18,8.92
339,2022-04-19,8.33
340,2022-04-20,8.82
341,2022-04-21,8.54
342,2022-04-22,8.11
343,2022-04-25,7.9
344,2022-04-26,7.99
345,2022-04-27,7.7
346,2022-04-28,7.85
347,2022-04-29,7.94
348,2022-05-02,7.63
349,2022-05-03,8.01
350,2022-05-04,8.1
351,2022-05-05,8.13
352,2022-05-06,7.75
353,2022-05-09,7.17
354,2022-05-10,6.48
355,2022-05-11,6.96
356,2022-05-12,5.61
357,2022-05-13,6.86
358,2022-05-16,7.22
359,2022-05-17,8.0
360,2022-05-18,7.92
361,2022-05-19,7.95
362,2022-05-20,8.45
363,2022-05-23,7.95
364,2022-05-24,7.54
365,2022-05-25,7.22
366,2022-05-26,7.52
367,2022-05-27,7.58
368,2022-05-31,7.86
369,2022-06-01,7.69
370,2022-06-02,7.8
371,2022-06-03,7.6
372,2022-06-06,7.71
373,2022-06-07,7.62
374,2022-06-08,7.82
375,2022-06-09,8.48
376,2022-06-10,8.21
377,2022-06-13,7.92
378,2022-06-14,8.24
379,2022-06-15,8.84
380,2022-06-16,9.07
381,2022-06-17,9.32
382,2022-06-21,10.16
383,2022-06-22,9.67
384,2022-06-23,10.36
385,2022-06-24,10.64
386,2022-06-27,10.68
387,2022-06-28,10.22
388,2022-06-29,10.17
389,2022-06-30,9.98
390,2022-07-01,10.61
391,2022-07-05,10.33
