,date,open
0,2020-10-22,18.0
1,2020-10-23,19.0
2,2020-10-26,18.9
3,2020-10-27,19.24
4,2020-10-28,19.4
5,2020-10-29,19.08
6,2020-10-30,19.21
7,2020-11-02,19.4
8,2020-11-03,19.65
9,2020-11-04,19.96
10,2020-11-05,19.96
11,2020-11-06,19.61
12,2020-11-09,18.12
13,2020-11-10,18.3
14,2020-11-11,18.84
15,2020-11-12,18.2
16,2020-11-13,18.57
17,2020-11-16,18.42
18,2020-11-17,18.65
19,2020-11-18,18.46
20,2020-11-19,18.33
21,2020-11-20,18.73
22,2020-11-23,18.7008
23,2020-11-24,18.72
24,2020-11-25,18.52
25,2020-11-27,18.58
26,2020-11-30,19.1
27,2020-12-01,19.1
28,2020-12-02,19.26
29,2020-12-03,18.91
30,2020-12-04,18.9
31,2020-12-07,18.8
32,2020-12-08,18.8
33,2020-12-09,18.92
34,2020-12-10,18.61
35,2020-12-11,18.69
36,2020-12-14,19.12
37,2020-12-15,19.55
38,2020-12-16,19.65
39,2020-12-17,19.68
40,2020-12-18,19.57
41,2020-12-21,19.17
42,2020-12-22,19.62
43,2020-12-23,19.93
44,2020-12-24,20.26
45,2020-12-28,20.42
46,2020-12-29,20.3
47,2020-12-30,20.52
48,2020-12-31,22.03
49,2021-01-04,21.17
50,2021-01-05,20.33
51,2021-01-06,20.14
52,2021-01-07,19.87
53,2021-01-08,19.57
54,2021-01-11,20.76
55,2021-01-12,21.93
56,2021-01-13,22.89
57,2021-01-14,23.42
58,2021-01-15,23.18
59,2021-01-19,23.15
60,2021-01-20,23.33
61,2021-01-21,23.54
62,2021-01-22,23.17
63,2021-01-25,23.56
64,2021-01-26,23.48
65,2021-01-27,22.96
66,2021-01-28,22.72
67,2021-01-29,22.92
68,2021-02-01,22.88
69,2021-02-02,22.54
70,2021-02-03,22.52
71,2021-02-04,22.19
72,2021-02-05,22.2568
73,2021-02-08,22.9
74,2021-02-09,23.21
75,2021-02-10,23.14
