,date,open
0,2021-07-01,25.07
1,2021-07-02,19.5
2,2021-07-06,19.31
3,2021-07-07,20.04
4,2021-07-08,18.55
5,2021-07-09,17.78
6,2021-07-12,19.06
7,2021-07-13,18.36
8,2021-07-14,18.6
9,2021-07-15,18.35
10,2021-07-16,17.17
11,2021-07-19,17.76
12,2021-07-20,19.11
13,2021-07-21,18.31
14,2021-07-22,17.51
15,2021-07-23,16.87
16,2021-07-26,17.17
17,2021-07-27,16.93
18,2021-07-28,14.61
19,2021-07-29,14.77
20,2021-07-30,14.87
21,2021-08-02,15.41
22,2021-08-03,15.35
23,2021-08-04,15.08
24,2021-08-05,14.85
25,2021-08-06,14.89
26,2021-08-09,15.11
27,2021-08-10,15.01
28,2021-08-11,15.13
29,2021-08-12,14.79
30,2021-08-13,15.1
31,2021-08-16,15.3001
32,2021-08-17,15.03
33,2021-08-18,15.34
34,2021-08-19,15.65
35,2021-08-20,16.83
36,2021-08-23,17.59
37,2021-08-24,17.72
38,2021-08-25,17.16
39,2021-08-26,17.07
40,2021-08-27,17.48
41,2021-08-30,18.91
42,2021-08-31,18.96
43,2021-09-01,18.0
44,2021-09-02,17.36
45,2021-09-03,15.3
46,2021-09-07,15.83
47,2021-09-08,18.52
48,2021-09-09,18.35
49,2021-09-10,17.75
50,2021-09-13,16.89
51,2021-09-14,15.81
52,2021-09-15,15.77
53,2021-09-16,15.31
54,2021-09-17,16.18
55,2021-09-20,16.1
56,2021-09-21,14.73
57,2021-09-22,15.01
58,2021-09-23,15.68
59,2021-09-24,15.96
60,2021-09-27,15.94
61,2021-09-28,15.66
62,2021-09-29,14.72
63,2021-09-30,14.89
64,2021-10-01,14.8
65,2021-10-04,15.37
66,2021-10-05,15.17
67,2021-10-06,15.22
68,2021-10-07,14.97
69,2021-10-08,14.7
70,2021-10-11,13.5
71,2021-10-12,13.12
72,2021-10-13,13.42
73,2021-10-14,14.5
74,2021-10-15,14.17
75,2021-10-18,13.58
76,2021-10-19,13.46
77,2021-10-20,14.01
78,2021-10-21,14.22
79,2021-10-22,14.65
80,2021-10-25,14.4
81,2021-10-26,14.15
82,2021-10-27,15.13
83,2021-10-28,14.71
