,date,open
0,2004-05-27,7.44
1,2004-05-28,6.88
2,2004-06-01,6.59
3,2004-06-02,6.401
4,2004-06-03,6.25
5,2004-06-04,6.6
6,2004-06-07,6.102
7,2004-06-08,6.49
8,2004-06-09,6.3
9,2004-06-10,6.2
10,2004-06-14,6.15
11,2004-06-15,6.11
12,2004-06-16,6.4
13,2004-06-17,6.5
14,2004-06-18,6.95
15,2004-06-21,6.81
16,2004-06-22,6.6
17,2004-06-23,6.84
18,2004-06-24,6.25
19,2004-06-25,6.479
20,2004-06-28,6.44
21,2004-06-29,6.398
22,2004-06-30,6.27
23,2004-07-01,6.32
24,2004-07-02,6.35
25,2004-07-06,6.151
26,2004-07-07,6.17
27,2004-07-08,6.3
28,2004-07-09,6.01
29,2004-07-12,6.25
30,2004-07-13,6.3
31,2004-07-14,6.15
32,2004-07-15,6.15
33,2004-07-16,6.35
34,2004-07-19,6.05
35,2004-07-20,6.03
36,2004-07-21,6.02
37,2004-07-22,6.2
38,2004-07-23,6.3
39,2004-07-26,5.97
40,2004-07-27,6.29
41,2004-07-28,6.15
42,2004-07-29,6.08
43,2004-07-30,6.151
44,2004-08-02,6.0
45,2004-08-03,6.33
46,2004-08-04,5.96
47,2004-08-05,5.8
48,2004-08-06,5.23
49,2004-08-09,5.07
50,2004-08-10,5.2
51,2004-08-11,5.13
52,2004-08-12,5.4
53,2004-08-13,5.35
54,2004-08-16,5.16
55,2004-08-17,5.3
56,2004-08-18,5.7
57,2004-08-19,5.7
58,2004-08-20,5.5
59,2004-08-23,5.699
60,2004-08-24,5.7
61,2004-08-25,5.649
62,2004-08-26,5.7
63,2004-08-27,5.81
64,2004-08-30,6.0
65,2004-08-31,6.25
66,2004-09-01,6.45
67,2004-09-02,6.94
68,2004-09-03,7.11
69,2004-09-07,7.46
70,2004-09-08,7.5
71,2004-09-09,7.5
72,2004-09-10,7.35
73,2004-09-13,7.36
74,2004-09-14,7.75
75,2004-09-15,7.89
76,2004-09-16,7.9
77,2004-09-17,7.81
78,2004-09-20,7.8
79,2004-09-21,7.41
80,2004-09-22,7.02
81,2004-09-23,7.02
82,2004-09-24,7.02
83,2004-09-27,7.25
84,2004-09-28,7.39
85,2004-09-29,7.98
86,2004-09-30,7.8
87,2004-10-01,7.8
88,2004-10-04,7.8
89,2004-10-05,7.8
90,2004-10-06,7.75
91,2004-10-07,7.8
92,2004-10-08,7.87
93,2004-10-11,7.7
94,2004-10-12,7.56
95,2004-10-13,7.46
96,2004-10-14,7.34
97,2004-10-15,7.58
98,2004-10-18,7.46
99,2004-10-19,7.47
100,2004-10-20,7.22
101,2004-10-21,7.33
102,2004-10-22,7.32
103,2004-10-25,7.11
104,2004-10-26,7.35
105,2004-10-27,6.851
106,2004-10-28,7.64
107,2004-10-29,7.47
108,2004-11-01,7.599
109,2004-11-02,7.371
110,2004-11-03,7.31
111,2004-11-04,7.23
112,2004-11-05,7.25
113,2004-11-08,7.15
114,2004-11-09,7.38
115,2004-11-10,7.48
116,2004-11-11,7.31
117,2004-11-12,7.15
118,2004-11-15,7.07
119,2004-11-16,7.031
120,2004-11-17,7.25
121,2004-11-18,7.08
122,2004-11-19,7.0
123,2004-11-22,6.9
124,2004-11-23,6.65
125,2004-11-24,6.709
126,2004-11-26,6.91
127,2004-11-29,6.9
128,2004-11-30,6.92
129,2004-12-01,6.7
130,2004-12-02,6.72
131,2004-12-03,6.91
132,2004-12-06,6.9
133,2004-12-07,6.8
134,2004-12-08,6.91
135,2004-12-09,6.74
136,2004-12-10,6.79
137,2004-12-13,6.81
138,2004-12-14,7.0
139,2004-12-15,6.99
140,2004-12-16,6.91
141,2004-12-17,6.81
142,2004-12-20,6.78
143,2004-12-21,6.98
144,2004-12-22,6.95
145,2004-12-23,6.75
146,2004-12-27,6.14
147,2004-12-28,6.05
148,2004-12-29,5.89
149,2004-12-30,6.25
150,2004-12-31,6.04
151,2005-01-03,6.82
152,2005-01-04,6.65
153,2005-01-05,6.25
154,2005-01-06,6.35
155,2005-01-07,6.43
156,2005-01-10,6.5
157,2005-01-11,6.59
158,2005-01-12,7.25
159,2005-01-13,7.36
160,2005-01-14,7.114
161,2005-01-18,7.24
162,2005-01-19,6.75
163,2005-01-20,6.61
164,2005-01-21,6.785
165,2005-01-24,6.74
166,2005-01-25,6.32
167,2005-01-26,6.53
168,2005-01-27,6.6
169,2005-01-28,7.0
170,2005-01-31,7.15
171,2005-02-01,7.15
172,2005-02-02,7.25
173,2005-02-03,7.4
174,2005-02-04,7.25
175,2005-02-07,7.4
176,2005-02-08,7.67
177,2005-02-09,8.15
178,2005-02-10,8.311
179,2005-02-11,8.37
180,2005-02-14,8.13
181,2005-02-15,8.061
182,2005-02-16,8.05
183,2005-02-17,8.03
184,2005-02-18,8.01
185,2005-02-22,8.19
186,2005-02-23,7.77
187,2005-02-24,7.64
188,2005-02-25,7.6
189,2005-02-28,7.65
190,2005-03-01,7.6
191,2005-03-02,8.2
192,2005-03-03,8.0
193,2005-03-04,7.9
194,2005-03-07,7.08
195,2005-03-08,7.01
196,2005-03-09,7.0
197,2005-03-10,7.12
198,2005-03-11,7.01
199,2005-03-14,7.3
200,2005-03-15,7.08
201,2005-03-16,7.15
202,2005-03-17,7.171
203,2005-03-18,7.18
204,2005-03-21,7.26
205,2005-03-22,6.951
206,2005-03-23,7.01
207,2005-03-24,7.158
208,2005-03-28,7.0
209,2005-03-29,6.95
210,2005-03-30,7.13
211,2005-03-31,7.07
212,2005-04-01,6.9
213,2005-04-04,6.93
214,2005-04-05,6.771
215,2005-04-06,6.81
216,2005-04-07,7.05
217,2005-04-08,6.89
218,2005-04-11,6.657
219,2005-04-12,6.78
220,2005-04-13,6.69
221,2005-04-14,6.25
222,2005-04-15,7.33
223,2005-04-18,7.0
224,2005-04-19,6.46
225,2005-04-20,6.54
226,2005-04-21,6.6
227,2005-04-22,7.19
228,2005-04-25,7.25
229,2005-04-26,7.64
230,2005-04-27,7.95
231,2005-04-28,7.95
232,2005-04-29,7.51
233,2005-05-02,7.75
234,2005-05-03,7.96
235,2005-05-04,7.54
236,2005-05-05,7.9
237,2005-05-06,7.5
238,2005-05-09,7.39
239,2005-05-10,7.26
240,2005-05-11,7.5
241,2005-05-12,7.63
242,2005-05-13,7.2
243,2005-05-16,7.05
244,2005-05-17,7.2
245,2005-05-18,7.2
246,2005-05-19,7.38
247,2005-05-20,8.0
248,2005-05-23,7.91
249,2005-05-24,8.11
250,2005-05-25,9.0
251,2005-05-26,9.1
252,2005-05-27,9.02
253,2005-05-31,8.58
254,2005-06-01,8.82
255,2005-06-02,8.82
256,2005-06-03,8.61
257,2005-06-06,8.588
258,2005-06-07,8.85
259,2005-06-08,9.0
260,2005-06-09,8.53
261,2005-06-10,8.76
262,2005-06-13,8.72
263,2005-06-14,8.88
264,2005-06-15,9.0
265,2005-06-16,9.0
266,2005-06-17,9.32
267,2005-06-20,9.38
268,2005-06-21,9.0
269,2005-06-22,9.0
270,2005-06-23,9.12
271,2005-06-24,9.1
272,2005-06-27,9.21
273,2005-06-28,8.72
274,2005-06-29,8.88
275,2005-06-30,8.85
276,2005-07-01,8.33
277,2005-07-05,8.34
278,2005-07-06,8.4
279,2005-07-07,8.1
280,2005-07-08,8.0
281,2005-07-11,9.0
282,2005-07-12,9.0
283,2005-07-13,8.87
284,2005-07-14,9.07
285,2005-07-15,8.97
286,2005-07-18,8.89
287,2005-07-19,8.83
288,2005-07-20,9.06
289,2005-07-21,9.55
290,2005-07-22,9.19
291,2005-07-25,9.17
292,2005-07-26,9.35
293,2005-07-27,9.61
294,2005-07-28,9.44
295,2005-07-29,9.58
296,2005-08-01,9.65
297,2005-08-02,9.8
298,2005-08-03,9.69
299,2005-08-04,9.18
300,2005-08-05,9.33
301,2005-08-08,9.23
302,2005-08-09,8.8
303,2005-08-10,9.0
304,2005-08-11,8.83
305,2005-08-12,8.9
306,2005-08-15,8.91
307,2005-08-16,8.93
308,2005-08-17,8.9
309,2005-08-18,8.65
310,2005-08-19,8.54
311,2005-08-22,8.97
312,2005-08-23,9.23
313,2005-08-24,9.26
314,2005-08-25,9.45
315,2005-08-26,9.54
316,2005-08-29,9.06
317,2005-08-30,9.51
318,2005-08-31,9.4
319,2005-09-01,9.5
320,2005-09-02,9.91
321,2005-09-06,10.2
322,2005-09-07,10.18
323,2005-09-08,10.5
324,2005-09-09,11.21
325,2005-09-12,11.08
326,2005-09-13,11.1
327,2005-09-14,10.92
328,2005-09-15,10.84
329,2005-09-16,11.15
330,2005-09-19,10.94
331,2005-09-20,11.14
332,2005-09-21,11.3
333,2005-09-22,10.61
334,2005-09-23,10.97
335,2005-09-26,11.0
336,2005-09-27,11.07
337,2005-09-28,10.77
338,2005-09-29,10.78
339,2005-09-30,11.28
340,2005-10-03,11.5
341,2005-10-04,11.44
342,2005-10-05,11.15
343,2005-10-06,11.02
344,2005-10-07,10.51
345,2005-10-10,10.79
346,2005-10-11,10.75
347,2005-10-12,10.04
348,2005-10-13,10.83
349,2005-10-14,11.05
350,2005-10-17,11.49
351,2005-10-18,11.49
352,2005-10-19,11.04
353,2005-10-20,11.41
354,2005-10-21,11.22
355,2005-10-24,11.19
356,2005-10-25,11.16
357,2005-10-26,11.27
358,2005-10-27,11.01
359,2005-10-28,10.75
360,2005-10-31,10.3
361,2005-11-01,10.38
362,2005-11-02,10.35
363,2005-11-03,10.34
364,2005-11-04,10.3
365,2005-11-07,9.8
366,2005-11-08,9.94
367,2005-11-09,10.44
368,2005-11-10,10.5
369,2005-11-11,10.42
370,2005-11-14,10.43
371,2005-11-15,10.37
372,2005-11-16,9.7
373,2005-11-17,9.65
374,2005-11-18,9.89
375,2005-11-21,9.42
376,2005-11-22,9.43
377,2005-11-23,9.55
378,2005-11-25,9.25
379,2005-11-28,9.28
380,2005-11-29,9.36
381,2005-11-30,9.33
382,2005-12-01,9.04
383,2005-12-02,10.16
384,2005-12-05,9.93
385,2005-12-06,9.85
386,2005-12-07,9.82
387,2005-12-08,9.9
