,date,open
0,2022-02-04,19.0
1,2022-02-07,18.05
2,2022-02-08,16.98
3,2022-02-09,18.07
4,2022-02-10,16.99
5,2022-02-11,16.51
6,2022-02-14,17.16
7,2022-02-15,16.88
8,2022-02-16,17.0
9,2022-02-17,17.49
10,2022-02-18,17.06
11,2022-02-22,18.04
12,2022-02-23,18.49
13,2022-02-24,18.68
14,2022-02-25,19.18
15,2022-02-28,17.12
16,2022-03-01,19.28
17,2022-03-02,16.9
18,2022-03-03,16.55
19,2022-03-04,18.15
20,2022-03-07,18.16
21,2022-03-08,17.03
22,2022-03-09,17.62
23,2022-03-10,16.28
24,2022-03-11,16.67
25,2022-03-14,16.98
26,2022-03-15,16.38
27,2022-03-16,17.63
28,2022-03-17,17.54
29,2022-03-18,17.18
30,2022-03-21,15.36
31,2022-03-22,14.52
32,2022-03-23,15.31
33,2022-03-24,15.19
34,2022-03-25,15.94
35,2022-03-28,16.12
36,2022-03-29,15.08
37,2022-03-30,13.9
38,2022-03-31,12.64
39,2022-04-01,13.99
40,2022-04-04,14.89
41,2022-04-05,12.87
42,2022-04-06,13.105
43,2022-04-07,12.62
44,2022-04-08,13.0
45,2022-04-11,12.96
46,2022-04-12,12.965
47,2022-04-13,12.78
48,2022-04-14,13.2
49,2022-04-18,12.9399
50,2022-04-19,13.0
51,2022-04-20,12.3186
52,2022-04-21,12.0
53,2022-04-22,11.47
54,2022-04-25,11.23
55,2022-04-26,11.82
56,2022-04-27,10.9
57,2022-04-28,10.69
58,2022-04-29,11.72
59,2022-05-02,10.72
60,2022-05-03,9.69
61,2022-05-04,8.36
62,2022-05-05,9.3516
63,2022-05-06,9.32
64,2022-05-09,8.89
65,2022-05-10,9.34
66,2022-05-11,9.75
67,2022-05-12,8.89
68,2022-05-13,9.21
69,2022-05-16,8.57
70,2022-05-17,7.79
71,2022-05-18,7.43
72,2022-05-19,7.37
73,2022-05-20,7.8
74,2022-05-23,7.95
75,2022-05-24,8.67
76,2022-05-25,9.47
77,2022-05-26,9.57
78,2022-05-27,9.9
79,2022-05-31,11.74
80,2022-06-01,11.94
81,2022-06-02,12.04
82,2022-06-03,12.66
83,2022-06-06,13.3
84,2022-06-07,15.35
85,2022-06-08,19.49
86,2022-06-09,21.99
87,2022-06-10,20.52
88,2022-06-13,22.0
89,2022-06-14,20.26
90,2022-06-15,17.14
91,2022-06-16,15.26
92,2022-06-17,14.76
93,2022-06-21,16.16
94,2022-06-22,15.25
95,2022-06-23,15.65
96,2022-06-24,17.54
97,2022-06-27,17.93
98,2022-06-28,18.81
99,2022-06-29,18.11
100,2022-06-30,17.58
101,2022-07-01,17.95
102,2022-07-05,18.5
103,2022-07-06,19.05
104,2022-07-07,18.57
105,2022-07-08,19.89
106,2022-07-11,20.32
107,2022-07-12,19.6
108,2022-07-13,16.78
109,2022-07-14,18.39
110,2022-07-15,17.64
111,2022-07-18,16.58
112,2022-07-19,17.34
113,2022-07-20,18.81
114,2022-07-21,20.4
115,2022-07-22,19.93
116,2022-07-25,19.64
117,2022-07-26,21.26
118,2022-07-27,20.8
119,2022-07-28,21.0
120,2022-07-29,20.08
121,2022-08-01,20.11
122,2022-08-02,21.61
123,2022-08-03,22.16
124,2022-08-04,20.1
125,2022-08-05,19.32
126,2022-08-08,20.04
127,2022-08-09,19.38
128,2022-08-10,19.35
129,2022-08-11,19.42
130,2022-08-12,18.99
131,2022-08-15,18.55
132,2022-08-16,18.75
133,2022-08-17,19.95
134,2022-08-18,19.53
135,2022-08-19,18.96
136,2022-08-22,17.79
137,2022-08-23,18.27
138,2022-08-24,18.03
139,2022-08-25,18.58
140,2022-08-26,17.61
141,2022-08-29,16.12
142,2022-08-30,16.81
143,2022-08-31,17.23
144,2022-09-01,17.56
145,2022-09-02,18.46
146,.4200,18.98
147,2022-08-11,19.42
148,2022-08-12,18.99
149,2022-08-15,18.55
150,2022-08-16,18.75
151,2022-08-17,19.95
152,2022-08-18,19.53
153,2022-08-19,18.96
154,2022-08-22,17.79
155,2022-08-23,18.27
156,2022-08-24,18.03
157,2022-08-25,18.58
158,2022-08-26,17.61
159,2022-08-29,16.12
160,2022-08-30,16.81
161,2022-08-31,17.23
162,2022-09-01,17.56
163,2022-09-02,18.46
