,date,open
0,2020-05-15,30.0
1,2020-05-18,30.0
2,2020-05-19,30.03
3,2020-05-20,31.61
4,2020-05-21,32.79
5,2020-05-22,34.78
6,2020-05-26,35.83
7,2020-05-27,36.76
8,2020-05-28,36.0
9,2020-05-29,37.89
10,2020-06-01,36.79
11,2020-06-02,35.73
12,2020-06-03,37.26
13,2020-06-04,35.07
14,2020-06-05,35.0
15,2020-06-08,35.49
16,2020-06-09,35.75
17,2020-06-10,36.66
18,2020-06-11,37.89
19,2020-06-12,39.36
20,2020-06-15,39.86
21,2020-06-16,39.29
22,2020-06-17,38.96
23,2020-06-18,38.54
24,2020-06-19,40.9
25,2020-06-22,41.68
26,2020-06-23,42.5
27,2020-06-24,42.53
28,2020-06-25,42.31
29,2020-06-26,43.0
30,2020-06-29,43.78
31,2020-06-30,46.5
32,2020-07-01,47.47
33,2020-07-02,49.95
34,2020-07-06,52.22
35,2020-07-07,47.88
36,2020-07-08,47.51
37,2020-07-09,45.0
38,2020-07-10,44.0
39,2020-07-13,43.26
40,2020-07-14,42.99
41,2020-07-15,43.52
42,2020-07-16,45.61
43,2020-07-17,48.01
44,2020-07-20,47.9
45,2020-07-21,48.36
46,2020-07-22,48.01
47,2020-07-23,45.57
48,2020-07-24,46.93
49,2020-07-27,48.61
50,2020-07-28,48.79
51,2020-07-29,48.6
52,2020-07-30,47.23
53,2020-07-31,48.5
54,2020-08-03,46.2
55,2020-08-04,47.14
56,2020-08-05,48.58
57,2020-08-06,51.03
58,2020-08-07,46.26
59,2020-08-10,47.48
60,2020-08-11,49.16
61,2020-08-12,42.59
62,2020-08-13,42.9
63,2020-08-14,41.32
64,2020-08-17,39.87
65,2020-08-18,37.95
66,2020-08-19,38.57
67,2020-08-20,39.71
68,2020-08-21,39.65
69,2020-08-24,42.93
70,2020-08-25,44.1
71,2020-08-26,46.08
72,2020-08-27,43.62
73,2020-08-28,43.5
74,2020-08-31,45.85
75,2020-09-01,44.02
76,2020-09-02,41.49
77,2020-09-03,39.95
78,2020-09-04,39.13
79,2020-09-08,36.09
80,2020-09-09,36.09
81,2020-09-10,38.27
82,2020-09-11,38.3
83,2020-09-14,42.53
84,2020-09-15,40.84
85,2020-09-16,40.37
86,2020-09-17,42.7
87,2020-09-18,44.85
88,2020-09-21,44.27
89,2020-09-22,44.5
90,2020-09-23,36.93
91,2020-09-24,34.26
92,2020-09-25,34.0
93,2020-09-28,33.87
94,2020-09-29,33.0
95,2020-09-30,33.11
96,2020-10-01,33.06
97,2020-10-02,31.82
98,2020-10-05,32.2
99,2020-10-06,33.73
100,2020-10-07,33.49
101,2020-10-08,33.01
102,2020-10-09,35.97
103,2020-10-12,33.86
104,2020-10-13,34.16
105,2020-10-14,33.09
106,2020-10-15,30.71
107,2020-10-16,27.47
108,2020-10-19,27.95
109,2020-10-20,28.93
110,2020-10-21,28.1
111,2020-10-22,26.32
112,2020-10-23,27.91
113,2020-10-26,27.21
114,2020-10-27,26.54
115,2020-10-28,26.81
116,2020-10-29,29.17
117,2020-10-30,28.97
118,2020-11-02,28.59
119,2020-11-03,28.69
120,2020-11-04,28.99
121,2020-11-05,31.19
122,2020-11-06,31.77
123,2020-11-09,33.14
124,2020-11-10,33.76
125,2020-11-11,33.14
126,2020-11-12,34.67
127,2020-11-13,34.37
128,2020-11-16,34.39
129,2020-11-17,33.86
130,2020-11-18,34.23
131,2020-11-19,33.13
132,2020-11-20,33.92
133,2020-11-23,36.25
134,2020-11-24,36.06
135,2020-11-25,35.29
136,2020-11-27,35.93
137,2020-11-30,34.89
138,2020-12-01,37.33
139,2020-12-02,38.05
140,2020-12-03,37.97
141,2020-12-04,35.43
142,2020-12-07,33.33
143,2020-12-08,34.6
144,2020-12-09,35.28
145,2020-12-10,34.54
146,2020-12-11,33.99
147,2020-12-14,34.25
148,2020-12-15,34.32
149,2020-12-16,32.32
150,2020-12-17,31.75
151,2020-12-18,33.11
152,2020-12-21,33.02
153,2020-12-22,33.51
154,2020-12-23,36.5
155,2020-12-24,36.5
156,2020-12-28,37.0
157,2020-12-29,35.42
158,2020-12-30,32.54
159,2020-12-31,32.35
160,2021-01-04,32.45
161,2021-01-05,32.09
162,2021-01-06,29.84
163,2021-01-07,31.1
164,2021-01-08,32.24
165,2021-01-11,32.54
166,2021-01-12,32.49
167,2021-01-13,31.46
168,2021-01-14,31.96
169,2021-01-15,33.26
170,2021-01-19,32.54
171,2021-01-20,32.54
172,2021-01-21,31.24
173,2021-01-22,31.56
174,2021-01-25,33.31
175,2021-01-26,34.46
176,2021-01-27,33.86
177,2021-01-28,32.61
178,2021-01-29,29.78
179,2021-02-01,29.01
180,2021-02-02,28.06
181,2021-02-03,28.64
182,2021-02-04,28.21
183,2021-02-05,29.68
184,2021-02-08,30.36
185,2021-02-09,30.77
186,2021-02-10,30.73
187,2021-02-11,30.2
188,2021-02-12,30.25
189,2021-02-16,31.14
190,2021-02-17,31.0
191,2021-02-18,31.5
192,2021-02-19,30.78
193,2021-02-22,30.9
194,2021-02-23,30.51
195,2021-02-24,29.49
196,2021-02-25,28.81
197,2021-02-26,28.73
198,2021-03-01,27.16
199,2021-03-02,27.64
200,2021-03-03,27.08
201,2021-03-04,25.46
202,2021-03-05,24.5
203,2021-03-08,23.18
204,2021-03-09,23.96
205,2021-03-10,25.8
206,2021-03-11,25.48
207,2021-03-12,25.0
208,2021-03-15,25.3
209,2021-03-16,25.1
210,2021-03-17,31.29
211,2021-03-18,30.0
212,2021-03-19,30.63
213,2021-03-22,28.74
214,2021-03-23,29.13
215,2021-03-24,27.88
216,2021-03-25,24.9
217,2021-03-26,26.32
218,2021-03-29,25.55
219,2021-03-30,24.92
220,2021-03-31,23.81
221,2021-04-01,26.51
222,2021-04-05,25.62
223,2021-04-06,26.82
224,2021-04-07,26.67
225,2021-04-08,25.16
226,2021-04-09,25.77
227,2021-04-12,23.75
228,2021-04-13,22.75
229,2021-04-14,23.0
230,2021-04-15,24.38
231,2021-04-16,23.63
