,date,open
0,2019-06-27,39.01
1,2019-06-28,42.1
2,2019-07-01,51.0
3,2019-07-02,40.0
4,2019-07-03,39.55
5,2019-07-05,39.3
6,2019-07-08,40.15
7,2019-07-09,37.5
8,2019-07-10,37.25
9,2019-07-11,37.8
10,2019-07-12,37.47
11,2019-07-15,39.04
12,2019-07-16,38.04
13,2019-07-17,38.65
14,2019-07-18,38.0
15,2019-07-19,38.0
16,2019-07-22,38.69
17,2019-07-23,39.9
18,2019-07-24,40.3
19,2019-07-25,40.45
20,2019-07-26,40.26
21,2019-07-29,39.67
22,2019-07-30,37.52
23,2019-07-31,37.34
24,2019-08-01,38.55
25,2019-08-02,38.61
26,2019-08-05,36.63
27,2019-08-06,35.17
28,2019-08-07,36.05
29,2019-08-08,39.19
30,2019-08-09,39.7
31,2019-08-12,41.5
32,2019-08-13,42.0
33,2019-08-14,39.17
34,2019-08-15,43.99
35,2019-08-16,47.58
36,2019-08-19,46.25
37,2019-08-20,45.91
38,2019-08-21,45.19
39,2019-08-22,46.84
40,2019-08-23,45.31
41,2019-08-26,43.75
42,2019-08-27,44.5
43,2019-08-28,44.27
44,2019-08-29,47.55
45,2019-08-30,50.65
46,2019-09-03,50.98
47,2019-09-04,51.05
48,2019-09-05,53.7
49,2019-09-06,45.27
50,2019-09-09,44.02
51,2019-09-10,39.95
52,2019-09-11,40.87
53,2019-09-12,42.1
54,2019-09-13,39.84
55,2019-09-16,43.1
56,2019-09-17,41.99
57,2019-09-18,39.86
58,2019-09-19,39.74
59,2019-09-20,39.47
60,2019-09-23,39.95
61,2019-09-24,40.33
62,2019-09-25,37.75
63,2019-09-26,35.24
64,2019-09-27,32.17
65,2019-09-30,30.92
66,2019-10-01,31.09
67,2019-10-02,29.57
68,2019-10-03,29.89
69,2019-10-04,31.08
70,2019-10-07,31.48
71,2019-10-08,32.38
72,2019-10-09,30.07
73,2019-10-10,28.99
74,2019-10-11,29.03
75,2019-10-14,27.35
76,2019-10-15,27.45
77,2019-10-16,29.78
78,2019-10-17,30.28
79,2019-10-18,30.99
80,2019-10-21,28.39
81,2019-10-22,26.82
82,2019-10-23,25.65
83,2019-10-24,24.72
84,2019-10-25,26.1
85,2019-10-28,25.87
86,2019-10-29,26.06
87,2019-10-30,26.14
88,2019-10-31,26.1
89,2019-11-01,26.17
90,2019-11-04,28.59
91,2019-11-05,30.59
92,2019-11-06,27.87
93,2019-11-07,26.93
94,2019-11-08,26.7
95,2019-11-11,27.64
96,2019-11-12,28.32
97,2019-11-13,29.74
