,date,open
0,2013-07-24,29.0
1,2013-07-25,31.04
2,2013-07-26,27.75
3,2013-07-29,28.49
4,2013-07-30,28.55
5,2013-07-31,29.36
6,2013-08-01,29.99
7,2013-08-02,29.0
8,2013-08-05,29.04
9,2013-08-06,28.75
10,2013-08-07,29.14
11,2013-08-08,29.81
12,2013-08-09,30.38
13,2013-08-12,30.3
14,2013-08-13,30.0
15,2013-08-14,31.0
16,2013-08-15,33.14
17,2013-08-16,32.48
18,2013-08-19,31.91
19,2013-08-20,28.98
20,2013-08-21,26.81
21,2013-08-22,24.56
22,2013-08-23,25.46
23,2013-08-26,25.75
24,2013-08-27,25.5
25,2013-08-28,22.86
26,2013-08-29,23.72
27,2013-08-30,25.16
28,2013-09-03,24.09
29,2013-09-04,23.74
30,2013-09-05,26.2999
31,2013-09-06,27.71
32,2013-09-09,27.1101
33,2013-09-10,27.09
34,2013-09-11,27.48
35,2013-09-12,27.08
36,2013-09-13,26.94
37,2013-09-16,27.0
38,2013-09-17,27.02
39,2013-09-18,25.81
40,2013-09-19,27.04
41,2013-09-20,27.75
42,2013-09-23,27.17
43,2013-09-24,26.08
44,2013-09-25,25.76
45,2013-09-26,27.38
46,2013-09-27,27.1
47,2013-09-30,27.49
48,2013-10-01,28.08
49,2013-10-02,28.71
50,2013-10-03,30.05
51,2013-10-04,32.16
52,2013-10-07,32.92
53,2013-10-08,30.79
54,2013-10-09,29.16
55,2013-10-10,25.63
56,2013-10-11,25.19
57,2013-10-14,24.73
58,2013-10-15,26.56
59,2013-10-16,26.66
60,2013-10-17,27.17
61,2013-10-18,28.61
62,2013-10-21,28.69
63,2013-10-22,28.77
64,2013-10-23,26.48
65,2013-10-24,27.37
66,2013-10-25,27.82
67,2013-10-28,26.45
68,2013-10-29,25.11
69,2013-10-30,25.77
70,2013-10-31,23.94
71,2013-11-01,23.15
72,2013-11-04,23.07
73,2013-11-05,23.7
74,2013-11-06,24.53
75,2013-11-07,22.0
76,2013-11-08,19.49
77,2013-11-11,19.87
78,2013-11-12,20.96
79,2013-11-13,20.01
80,2013-11-14,21.48
81,2013-11-15,19.01
82,2013-11-18,17.72
83,2013-11-19,16.89
84,2013-11-20,17.06
85,2013-11-21,16.98
86,2013-11-22,18.0
87,2013-11-25,17.79
88,2013-11-26,16.1
89,2013-11-27,17.25
90,2013-11-29,17.86
91,2013-12-02,17.6
92,2013-12-03,18.0
93,2013-12-04,17.8
94,2013-12-05,18.0
95,2013-12-06,18.23
96,2013-12-09,18.97
97,2013-12-10,19.16
98,2013-12-11,18.88
99,2013-12-12,18.24
100,2013-12-13,19.57
101,2013-12-16,20.02
102,2013-12-17,23.79
103,2013-12-18,22.37
104,2013-12-19,21.74
105,2013-12-20,21.9
106,2013-12-23,22.12
107,2013-12-24,22.96
108,2013-12-26,23.25
109,2013-12-27,24.56
110,2013-12-30,24.37
111,2013-12-31,24.33
112,2014-01-02,23.78
113,2014-01-03,24.19
114,2014-01-06,23.01
115,2014-01-07,22.68
116,2014-01-08,23.88
117,2014-01-09,25.18
118,2014-01-10,26.55
119,2014-01-13,27.43
120,2014-01-14,30.3
121,2014-01-15,36.57
122,2014-01-16,40.95
123,2014-01-17,39.85
124,2014-01-21,35.17
125,2014-01-22,32.0
126,2014-01-23,29.37
127,2014-01-24,29.53
128,2014-01-27,27.8
129,2014-01-28,27.26
130,2014-01-29,27.52
131,2014-01-30,27.38
132,2014-01-31,27.52
133,2014-02-03,26.31
134,2014-02-04,26.19
135,2014-02-05,27.56
136,2014-02-06,27.11
137,2014-02-07,28.75
138,2014-02-10,28.32
139,2014-02-11,31.48
140,2014-02-12,31.33
141,2014-02-13,30.82
142,2014-02-14,32.45
143,2014-02-18,32.28
144,2014-02-19,34.17
145,2014-02-20,32.44
146,2014-02-21,32.82
147,2014-02-24,32.02
148,2014-02-25,30.25
149,2014-02-26,30.18
150,2014-02-27,31.15
151,2014-02-28,33.38
152,2014-03-03,30.02
153,2014-03-04,29.94
154,2014-03-05,31.35
155,2014-03-06,32.08
156,2014-03-07,40.63
157,2014-03-10,41.4
158,2014-03-11,45.05
159,2014-03-12,42.51
160,2014-03-13,43.81
161,2014-03-14,42.85
162,2014-03-17,43.85
163,2014-03-18,41.61
164,2014-03-19,43.44
165,2014-03-20,43.88
166,2014-03-21,45.8
167,2014-03-24,44.76
168,2014-03-25,37.73
169,2014-03-26,37.91
170,2014-03-27,36.1
171,2014-03-28,36.6
172,2014-03-31,37.5
173,2014-04-01,39.13
174,2014-04-02,37.35
175,2014-04-03,36.32
176,2014-04-04,35.79
177,2014-04-07,43.25
178,2014-04-08,45.12
179,2014-04-09,46.85
180,2014-04-10,46.0
181,2014-04-11,44.45
182,2014-04-14,44.06
183,2014-04-15,43.9
184,2014-04-16,40.8
185,2014-04-17,39.45
186,2014-04-21,40.5
187,2014-04-22,41.49
188,2014-04-23,47.06
189,2014-04-24,45.21
190,2014-04-25,43.34
191,2014-04-28,41.1
192,2014-04-29,39.57
193,2014-04-30,40.7
194,2014-05-01,42.8
195,2014-05-02,44.36
196,2014-05-05,42.76
197,2014-05-06,43.41
198,2014-05-07,42.17
199,2014-05-08,39.51
200,2014-05-09,36.8
201,2014-05-12,36.56
202,2014-05-13,35.54
203,2014-05-14,32.79
204,2014-05-15,35.41
205,2014-05-16,33.09
206,2014-05-19,32.99
207,2014-05-20,34.18
208,2014-05-21,32.22
209,2014-05-22,32.85
210,2014-05-23,33.39
211,2014-05-27,34.14
212,2014-05-28,36.25
213,2014-05-29,34.56
214,2014-05-30,35.79
215,2014-06-02,35.01
216,2014-06-03,33.52
217,2014-06-04,36.64
218,2014-06-05,38.72
219,2014-06-06,40.99
220,2014-06-09,42.91
221,2014-06-10,42.7
222,2014-06-11,43.26
223,2014-06-12,43.8
224,2014-06-13,45.54
225,2014-06-16,47.17
226,2014-06-17,47.43
227,2014-06-18,47.99
228,2014-06-19,48.0
229,2014-06-20,47.59
230,2014-06-23,48.64
231,2014-06-24,45.18
232,2014-06-25,43.81
233,2014-06-26,43.98
234,2014-06-27,43.56
235,2014-06-30,45.94
236,2014-07-01,47.13
237,2014-07-02,45.72
238,2014-07-03,44.93
239,2014-07-07,43.79
240,2014-07-08,41.72
241,2014-07-09,39.59
242,2014-07-10,38.29
243,2014-07-11,38.18
244,2014-07-14,38.01
245,2014-07-15,37.0
246,2014-07-16,37.5
247,2014-07-17,34.5
248,2014-07-18,33.14
249,2014-07-21,36.9
250,2014-07-22,37.94
251,2014-07-23,37.83
252,2014-07-24,39.68
253,2014-07-25,38.28
254,2014-07-28,38.32
255,2014-07-29,38.37
256,2014-07-30,40.41
257,2014-07-31,39.43
258,2014-08-01,40.25
259,2014-08-04,39.25
260,2014-08-05,38.3
261,2014-08-06,37.87
262,2014-08-07,37.65
263,2014-08-08,37.09
264,2014-08-11,38.38
265,2014-08-12,40.12
266,2014-08-13,39.15
267,2014-08-14,41.77
268,2014-08-15,41.72
269,2014-08-18,41.86
270,2014-08-19,43.1
271,2014-08-20,41.24
272,2014-08-21,40.2
273,2014-08-22,40.12
274,2014-08-25,43.94
275,2014-08-26,44.04
276,2014-08-27,44.75
277,2014-08-28,44.99
278,2014-08-29,45.09
279,2014-09-02,46.6
280,2014-09-03,46.44
281,2014-09-04,45.76
282,2014-09-05,44.79
283,2014-09-08,43.78
284,2014-09-09,45.23
285,2014-09-10,45.07
286,2014-09-11,46.8
287,2014-09-12,45.1
288,2014-09-15,43.97
289,2014-09-16,43.7
290,2014-09-17,49.25
291,2014-09-18,47.73
292,2014-09-19,49.0
293,2014-09-22,49.0
294,2014-09-23,46.11
295,2014-09-24,48.26
296,2014-09-25,50.21
297,2014-09-26,55.0
298,2014-09-29,62.48
299,2014-09-30,66.49
300,2014-10-01,61.5
301,2014-10-02,62.0
302,2014-10-03,64.19
303,2014-10-06,63.03
304,2014-10-07,61.14
305,2014-10-08,61.47
306,2014-10-09,64.09
307,2014-10-10,62.18
308,2014-10-13,61.19
309,2014-10-14,63.15
310,2014-10-15,62.22
311,2014-10-16,64.28
312,2014-10-17,66.37
313,2014-10-20,64.11
314,2014-10-21,71.92
315,2014-10-22,72.91
316,2014-10-23,74.68
317,2014-10-24,76.32
318,2014-10-27,80.42
319,2014-10-28,81.47
320,2014-10-29,79.99
321,2014-10-30,79.13
322,2014-10-31,86.0
323,2014-11-03,83.9
324,2014-11-04,82.45
325,2014-11-05,83.79
326,2014-11-06,81.37
327,2014-11-07,84.89
328,2014-11-10,73.16
329,2014-11-11,81.48
330,2014-11-12,83.22
331,2014-11-13,87.39
332,2014-11-14,86.01
333,2014-11-17,83.14
334,2014-11-18,84.83
335,2014-11-19,87.0
336,2014-11-20,94.15
337,2014-11-21,94.3
338,2014-11-24,94.93
339,2014-11-25,96.77
340,2014-11-26,98.5
341,2014-11-28,103.67
342,2014-12-01,100.72
343,2014-12-02,92.0
344,2014-12-03,97.5
345,2014-12-04,103.61
346,2014-12-05,104.73
347,2014-12-08,108.5
348,2014-12-09,106.56
349,2014-12-10,109.65
350,2014-12-11,114.0
351,2014-12-12,119.5
352,2014-12-15,121.1
353,2014-12-16,106.51
354,2014-12-17,107.79
355,2014-12-18,119.33
356,2014-12-19,120.9
357,2014-12-22,118.75
358,2014-12-23,119.1
359,2014-12-24,105.13
360,2014-12-26,111.28
361,2014-12-29,114.48
362,2014-12-30,115.75
363,2014-12-31,112.03
364,2015-01-02,113.65
365,2015-01-05,107.06
366,2015-01-06,110.0
367,2015-01-07,112.99
368,2015-01-08,121.05
369,2015-01-09,122.69
370,2015-01-12,130.49
371,2015-01-13,135.0
372,2015-01-14,127.42
373,2015-01-15,138.03
374,2015-01-16,127.31
375,2015-01-20,133.6
376,2015-01-21,129.88
377,2015-01-22,121.8
378,2015-01-23,121.9
379,2015-01-26,124.05
380,2015-01-27,125.66
381,2015-01-28,122.6
382,2015-01-29,118.95
383,2015-01-30,120.73
384,2015-02-02,116.09
385,2015-02-03,112.64
386,2015-02-04,105.67
387,2015-02-05,108.6
388,2015-02-06,112.53
389,2015-02-09,105.84
390,2015-02-10,107.34
391,2015-02-11,117.05
392,2015-02-12,117.41
393,2015-02-13,117.98
394,2015-02-17,111.97
395,2015-02-18,108.44
396,2015-02-19,106.58
397,2015-02-20,105.81
398,2015-02-23,106.8
399,2015-02-24,105.56
400,2015-02-25,106.31
401,2015-02-26,107.1
402,2015-02-27,107.25
403,2015-03-02,107.55
404,2015-03-03,108.1
405,2015-03-04,104.72
406,2015-03-05,108.41
407,2015-03-06,108.01
408,2015-03-09,104.52
409,2015-03-10,102.4
410,2015-03-11,105.84
411,2015-03-12,107.6
412,2015-03-13,107.08
413,2015-03-16,107.73
414,2015-03-17,105.9
415,2015-03-18,107.58
416,2015-03-19,107.04
417,2015-03-20,111.72
418,2015-03-23,105.66
419,2015-03-24,102.65
420,2015-03-25,101.25
421,2015-03-26,91.16
422,2015-03-27,91.79
423,2015-03-30,97.79
424,2015-03-31,98.61
425,2015-04-01,94.5
426,2015-04-02,96.33
427,2015-04-06,93.24
428,2015-04-07,94.56
429,2015-04-08,95.0
430,2015-04-09,98.84
431,2015-04-10,96.77
432,2015-04-13,98.27
433,2015-04-14,99.61
434,2015-04-15,99.25
435,2015-04-16,102.85
436,2015-04-17,105.9
437,2015-04-20,108.18
438,2015-04-21,107.1
439,2015-04-22,107.63
440,2015-04-23,102.99
441,2015-04-24,103.39
442,2015-04-27,107.78
443,2015-04-28,101.54
444,2015-04-29,99.12
445,2015-04-30,94.89
446,2015-05-01,93.7
447,2015-05-04,96.53
448,2015-05-05,95.83
449,2015-05-06,95.31
450,2015-05-07,94.13
451,2015-05-08,101.0
452,2015-05-11,109.73
453,2015-05-12,106.87
454,2015-05-13,111.67
455,2015-05-14,113.41
456,2015-05-15,113.48
457,2015-05-18,112.92
458,2015-05-19,115.98
459,2015-05-20,117.17
460,2015-05-21,116.15
461,2015-05-22,116.13
462,2015-05-26,118.07
463,2015-05-27,119.03
464,2015-05-28,122.89
465,2015-05-29,123.82
466,2015-06-01,123.02
467,2015-06-02,122.04
468,2015-06-03,123.99
469,2015-06-04,122.39
470,2015-06-05,120.88
471,2015-06-08,122.46
472,2015-06-09,121.54
473,2015-06-10,118.96
