,date,open
0,2019-06-20,16.16
1,2019-06-21,17.58
2,2019-06-24,19.74
3,2019-06-25,19.11
4,2019-06-26,18.34
5,2019-06-27,19.76
6,2019-06-28,18.62
7,2019-07-01,19.36
8,2019-07-02,18.71
9,2019-07-03,18.49
10,2019-07-05,19.2
11,2019-07-08,18.82
12,2019-07-09,17.85
13,2019-07-10,17.49
14,2019-07-11,16.68
15,2019-07-12,18.59
16,2019-07-15,20.4
17,2019-07-16,20.8
18,2019-07-17,20.45
19,2019-07-18,21.26
20,2019-07-19,20.55
21,2019-07-22,20.53
22,2019-07-23,22.58
23,2019-07-24,23.35
24,2019-07-25,22.77
25,2019-07-26,25.63
26,2019-07-29,26.0
27,2019-07-30,24.33
28,2019-07-31,23.55
29,2019-08-01,24.4
30,2019-08-02,24.31
31,2019-08-05,25.19
32,2019-08-06,24.52
33,2019-08-07,25.89
34,2019-08-08,27.98
35,2019-08-09,26.99
36,2019-08-12,25.01
37,2019-08-13,26.27
38,2019-08-14,26.05
39,2019-08-15,26.41
40,2019-08-16,26.53
41,2019-08-19,26.58
42,2019-08-20,27.42
43,2019-08-21,27.78
44,2019-08-22,28.75
45,2019-08-23,28.11
46,2019-08-26,28.43
47,2019-08-27,28.65
48,2019-08-28,28.47
49,2019-08-29,29.97
50,2019-08-30,28.8
51,2019-09-03,27.78
52,2019-09-04,27.78
53,2019-09-05,26.63
54,2019-09-06,27.02
55,2019-09-09,26.02
56,2019-09-10,22.26
57,2019-09-11,21.44
58,2019-09-12,20.93
59,2019-09-13,21.07
60,2019-09-16,20.16
61,2019-09-17,18.9
62,2019-09-18,19.68
63,2019-09-19,19.06
64,2019-09-20,18.2
65,2019-09-23,19.07
66,2019-09-24,20.07
67,2019-09-25,19.7
68,2019-09-26,19.16
69,2019-09-27,21.21
70,2019-09-30,19.89
71,2019-10-01,22.74
72,2019-10-02,23.82
73,2019-10-03,22.5
74,2019-10-04,20.86
75,2019-10-07,19.34
76,2019-10-08,18.46
77,2019-10-09,18.18
78,2019-10-10,17.46
79,2019-10-11,17.83
80,2019-10-14,18.31
81,2019-10-15,18.81
82,2019-10-16,19.0
83,2019-10-17,19.7
84,2019-10-18,20.44
85,2019-10-21,20.56
86,2019-10-22,21.18
87,2019-10-23,20.92
88,2019-10-24,20.31
89,2019-10-25,21.03
90,2019-10-28,21.37
91,2019-10-29,20.24
92,2019-10-30,22.05
93,2019-10-31,23.37
94,2019-11-01,23.34
95,2019-11-04,23.35
96,2019-11-05,21.96
97,2019-11-06,18.9
98,2019-11-07,20.64
99,2019-11-08,20.37
100,2019-11-11,19.87
101,2019-11-12,19.26
102,2019-11-13,18.92
103,2019-11-14,19.0
104,2019-11-15,20.1
105,2019-11-18,19.4
106,2019-11-19,20.3
107,2019-11-20,21.88
108,2019-11-21,21.3294
109,2019-11-22,20.755
110,2019-11-25,19.7
111,2019-11-26,19.0
112,2019-11-27,19.49
113,2019-11-29,18.5
114,2019-12-02,19.65
115,2019-12-03,20.27
116,2019-12-04,19.6
117,2019-12-05,19.86
118,2019-12-06,22.25
119,2019-12-09,22.98
120,2019-12-10,23.11
121,2019-12-11,24.36
122,2019-12-12,23.02
123,2019-12-13,20.5
124,2019-12-16,20.96
125,2019-12-17,19.5
126,2019-12-18,19.13
127,2019-12-19,19.38
128,2019-12-20,18.91
129,2019-12-23,20.68
130,2019-12-24,21.83
131,2019-12-26,21.58
132,2019-12-27,22.77
133,2019-12-30,23.12
134,2019-12-31,26.22
135,2020-01-02,22.31
136,2020-01-03,20.1
137,2020-01-06,19.02
138,2020-01-07,20.75
139,2020-01-08,20.05
140,2020-01-09,19.85
141,2020-01-10,20.1
142,2020-01-13,20.4
143,2020-01-14,20.12
144,2020-01-15,19.85
145,2020-01-16,19.79
146,2020-01-17,19.79
147,2020-01-21,21.44
148,2020-01-22,23.04
149,2020-01-23,23.4
150,2020-01-24,24.7
151,2020-01-27,24.42
152,2020-01-28,23.76
153,2020-01-29,23.5
154,2020-01-30,24.05
155,2020-01-31,25.0
156,2020-02-03,24.6
157,2020-02-04,24.74
158,2020-02-05,25.43
159,2020-02-06,26.23
160,2020-02-07,26.53
161,2020-02-10,27.17
162,2020-02-11,27.08
163,2020-02-12,27.1
164,2020-02-13,25.12
165,2020-02-14,25.62
166,2020-02-18,25.0
167,2020-02-19,24.19
168,2020-02-20,23.35
169,2020-02-21,23.19
170,2020-02-24,22.6
171,2020-02-25,24.1
172,2020-02-26,22.3
173,2020-02-27,22.01
174,2020-02-28,21.55
175,2020-03-02,23.24
176,2020-03-03,23.0
177,2020-03-04,23.17
178,2020-03-05,23.35
179,2020-03-06,23.42
180,2020-03-09,23.38
181,2020-03-10,22.41
182,2020-03-11,21.59
183,2020-03-12,19.99
184,2020-03-13,15.66
185,2020-03-16,17.0
186,2020-03-17,13.54
187,2020-03-18,14.33
188,2020-03-19,12.88
189,2020-03-20,16.12
190,2020-03-23,17.04
191,2020-03-24,17.4
192,2020-03-25,16.6
193,2020-03-26,16.84
194,2020-03-27,16.44
195,2020-03-30,16.38
196,2020-03-31,18.08
197,2020-04-01,20.92
198,2020-04-02,19.09
199,2020-04-03,19.24
200,2020-04-06,20.87
201,2020-04-07,20.37
202,2020-04-08,19.97
203,2020-04-09,21.34
204,2020-04-13,23.08
205,2020-04-14,21.51
206,2020-04-15,21.48
207,2020-04-16,21.66
208,2020-04-17,21.22
209,2020-04-20,20.44
210,2020-04-21,21.5
211,2020-04-22,21.1
212,2020-04-23,19.44
213,2020-04-24,19.45
214,2020-04-27,20.09
215,2020-04-28,22.0
216,2020-04-29,21.38
217,2020-04-30,21.09
218,2020-05-01,19.51
219,2020-05-04,21.05
220,2020-05-05,21.21
221,2020-05-06,20.87
222,2020-05-07,20.84
223,2020-05-08,22.12
224,2020-05-11,22.0
225,2020-05-12,22.44
226,2020-05-13,21.88
227,2020-05-14,20.45
228,2020-05-15,22.48
229,2020-05-18,23.5
230,2020-05-19,22.59
231,2020-05-20,23.41
232,2020-05-21,24.39
233,2020-05-22,23.35
234,2020-05-26,25.14
235,2020-05-27,24.85
236,2020-05-28,24.99
237,2020-05-29,24.97
238,2020-06-01,25.41
239,2020-06-02,25.24
240,2020-06-03,26.2
241,2020-06-04,22.79
242,2020-06-05,24.82
243,2020-06-08,24.33
244,2020-06-09,25.23
245,2020-06-10,24.98
246,2020-06-11,24.73
247,2020-06-12,23.97
248,2020-06-15,23.74
249,2020-06-16,25.0
250,2020-06-17,25.23
251,2020-06-18,26.3
252,2020-06-19,26.5
253,2020-06-22,26.8
254,2020-06-23,27.06
255,2020-06-24,26.1
256,2020-06-25,24.63
257,2020-06-26,25.16
258,2020-06-29,23.57
259,2020-06-30,23.6
260,2020-07-01,35.1
261,2020-07-02,32.5
262,2020-07-06,32.25
