,date,open
0,2019-02-07,18.7
1,2019-02-08,17.72
2,2019-02-11,16.23
3,2019-02-12,17.2
4,2019-02-13,17.5
5,2019-02-14,18.26
6,2019-02-15,18.9
7,2019-02-19,19.75
8,2019-02-20,21.12
9,2019-02-21,21.29
10,2019-02-22,21.47
11,2019-02-25,22.85
12,2019-02-26,21.52
13,2019-02-27,20.57
14,2019-02-28,19.86
15,2019-03-01,19.86
16,2019-03-04,21.69
17,2019-03-05,21.23
18,2019-03-06,21.34
19,2019-03-07,19.5
20,2019-03-08,17.69
21,2019-03-11,16.79
22,2019-03-12,16.0
23,2019-03-13,16.63
24,2019-03-14,16.61
25,2019-03-15,17.61
26,2019-03-18,17.97
27,2019-03-19,18.75
28,2019-03-20,19.14
29,2019-03-21,18.75
30,2019-03-22,18.4
31,2019-03-25,18.16
32,2019-03-26,19.42
33,2019-03-27,18.98
34,2019-03-28,17.67
35,2019-03-29,18.13
36,2019-04-01,18.9
37,2019-04-02,19.66
38,2019-04-03,21.37
39,2019-04-04,22.24
40,2019-04-05,23.47
41,2019-04-08,24.0
42,2019-04-09,25.77
43,2019-04-10,23.39
44,2019-04-11,24.37
45,2019-04-12,24.56
46,2019-04-15,26.25
47,2019-04-16,25.01
48,2019-04-17,24.92
49,2019-04-18,21.5
50,2019-04-22,22.34
51,2019-04-23,21.44
52,2019-04-24,21.37
53,2019-04-25,21.72
54,2019-04-26,21.52
55,2019-04-29,21.44
56,2019-04-30,20.66
57,2019-05-01,19.94
58,2019-05-02,19.79
59,2019-05-03,20.53
60,2019-05-06,19.58
61,2019-05-07,20.09
62,2019-05-08,18.73
63,2019-05-09,20.0
64,2019-05-10,19.85
65,2019-05-13,19.68
66,2019-05-14,19.43
67,2019-05-15,21.42
68,2019-05-16,21.94
69,2019-05-17,20.66
70,2019-05-20,19.92
71,2019-05-21,19.81
72,2019-05-22,19.71
73,2019-05-23,19.24
74,2019-05-24,19.1
75,2019-05-28,19.59
76,2019-05-29,18.83
77,2019-05-30,18.06
78,2019-05-31,17.06
79,2019-06-03,16.89
80,2019-06-04,16.54
81,2019-06-05,17.11
82,2019-06-06,17.35
83,2019-06-07,17.1
84,2019-06-10,17.65
85,2019-06-11,19.81
86,2019-06-12,20.26
87,2019-06-13,20.19
88,2019-06-14,20.7
89,2019-06-17,20.15
90,2019-06-18,20.52
91,2019-06-19,19.58
92,2019-06-20,19.1
93,2019-06-21,18.22
94,2019-06-24,18.26
95,2019-06-25,18.17
96,2019-06-26,17.74
97,2019-06-27,17.56
