,date,open
0,2018-10-11,22.0
1,2018-10-12,26.9
2,2018-10-15,27.46
3,2018-10-16,27.04
4,2018-10-17,26.0
5,2018-10-18,24.66
6,2018-10-19,23.88
7,2018-10-22,23.4
8,2018-10-23,22.88
9,2018-10-24,23.0
10,2018-10-25,22.4
11,2018-10-26,22.77
12,2018-10-29,23.4
13,2018-10-30,23.87
14,2018-10-31,24.47
15,2018-11-01,24.33
16,2018-11-02,27.32
17,2018-11-05,28.25
18,2018-11-06,28.5
19,2018-11-07,33.32
20,2018-11-08,32.67
21,2018-11-09,33.07
22,2018-11-12,30.62
23,2018-11-13,27.23
24,2018-11-14,27.96
25,2018-11-15,25.0
26,2018-11-16,26.66
27,2018-11-19,27.95
28,2018-11-20,26.47
29,2018-11-21,26.02
30,2018-11-23,25.51
31,2018-11-26,27.25
32,2018-11-27,27.51
33,2018-11-28,28.69
34,2018-11-29,30.11
35,2018-11-30,31.15
36,2018-12-03,31.91
37,2018-12-04,31.78
38,2018-12-06,29.94
39,2018-12-07,27.05
40,2018-12-10,26.3
41,2018-12-11,27.06
42,2018-12-12,26.56
43,2018-12-13,26.17
44,2018-12-14,25.67
45,2018-12-17,26.25
46,2018-12-18,25.56
47,2018-12-19,25.76
48,2018-12-20,25.32
49,2018-12-21,24.97
50,2018-12-24,23.5
51,2018-12-26,24.68
52,2018-12-27,25.0
53,2018-12-28,24.75
54,2018-12-31,26.29
55,2019-01-02,26.62
56,2019-01-03,27.52
57,2019-01-04,26.78
58,2019-01-07,26.75
59,2019-01-08,27.93
60,2019-01-09,27.22
61,2019-01-10,27.28
62,2019-01-11,28.09
63,2019-01-14,29.37
64,2019-01-15,28.59
65,2019-01-16,28.0
66,2019-01-17,28.75
67,2019-01-18,28.47
68,2019-01-22,28.5
69,2019-01-23,27.9
70,2019-01-24,27.92
71,2019-01-25,28.78
72,2019-01-28,29.45
73,2019-01-29,29.54
74,2019-01-30,30.1
75,2019-01-31,30.25
76,2019-02-01,30.37
77,2019-02-04,30.77
78,2019-02-05,31.8
79,2019-02-06,31.16
80,2019-02-07,30.62
81,2019-02-08,29.91
82,2019-02-11,30.31
83,2019-02-12,30.52
84,2019-02-13,31.63
85,2019-02-14,31.86
86,2019-02-15,31.13
87,2019-02-19,31.24
88,2019-02-20,32.02
89,2019-02-21,30.68
90,2019-02-22,30.65
91,2019-02-25,31.66
92,2019-02-26,31.71
93,2019-02-27,31.53
94,2019-02-28,32.6
95,2019-03-01,32.1
96,2019-03-04,31.37
97,2019-03-05,31.96
98,2019-03-06,31.45
99,2019-03-07,29.65
100,2019-03-08,29.54
101,2019-03-11,28.47
102,2019-03-12,28.27
103,2019-03-13,26.8
104,2019-03-14,27.47
105,2019-03-15,26.85
106,2019-03-18,26.74
107,2019-03-19,26.74
108,2019-03-20,26.21
109,2019-03-21,25.83
110,2019-03-22,27.14
111,2019-03-25,25.69
112,2019-03-26,24.92
113,2019-03-27,25.68
114,2019-03-28,26.41
115,2019-03-29,27.81
116,2019-04-01,29.16
117,2019-04-02,28.76
118,2019-04-03,28.31
119,2019-04-04,27.76
120,2019-04-05,28.02
121,2019-04-08,27.93
122,2019-04-09,27.5
123,2019-04-10,27.0
124,2019-04-11,27.0
125,2019-04-12,26.6
126,2019-04-15,26.09
127,2019-04-16,26.1
128,2019-04-17,26.41
129,2019-04-18,25.67
130,2019-04-22,25.65
131,2019-04-23,25.85
132,2019-04-24,26.89
133,2019-04-25,27.48
134,2019-04-26,27.91
135,2019-04-29,29.95
136,2019-04-30,29.82
137,2019-05-01,29.79
138,2019-05-02,29.47
139,2019-05-03,30.13
140,2019-05-06,29.63
141,2019-05-07,29.77
142,2019-05-08,29.61
143,2019-05-09,30.14
144,2019-05-10,29.81
145,2019-05-13,29.77
146,2019-05-14,29.88
147,2019-05-15,30.77
148,2019-05-16,28.65
149,2019-05-17,29.4
150,2019-05-20,29.0
151,2019-05-21,28.56
152,2019-05-22,29.1
153,2019-05-23,28.31
154,2019-05-24,27.76
155,2019-05-28,28.35
156,2019-05-29,28.16
157,2019-05-30,28.49
158,2019-05-31,26.54
159,2019-06-03,26.9
160,2019-06-04,27.47
161,2019-06-05,26.78
162,2019-06-06,26.05
163,2019-06-07,26.04
164,2019-06-10,26.59
165,2019-06-11,27.76
166,2019-06-12,26.71
167,2019-06-13,26.74
168,2019-06-14,26.69
169,2019-06-17,26.6
170,2019-06-18,27.63
171,2019-06-19,28.04
172,2019-06-20,28.23
173,2019-06-21,27.19
174,2019-06-24,26.91
175,2019-06-25,26.54
176,2019-06-26,26.18
