,date,open
0,2004-06-01,6.1
1,2004-06-02,6.4
2,2004-06-03,7.39
3,2004-06-04,7.3
4,2004-06-07,8.17
5,2004-06-08,8.0
6,2004-06-09,8.64
7,2004-06-10,8.5
8,2004-06-14,8.3
9,2004-06-15,7.69
10,2004-06-16,7.01
11,2004-06-17,6.7
12,2004-06-18,6.25
13,2004-06-21,6.4
14,2004-06-22,5.32
15,2004-06-23,6.05
16,2004-06-24,6.0
17,2004-06-25,6.48
18,2004-06-28,7.5
19,2004-06-29,6.9
20,2004-06-30,7.4
21,2004-07-01,7.5
22,2004-07-02,7.089
23,2004-07-06,7.7
24,2004-07-07,7.59
25,2004-07-08,7.25
26,2004-07-09,7.16
27,2004-07-12,7.15
28,2004-07-13,7.35
29,2004-07-14,7.0
30,2004-07-15,6.79
31,2004-07-16,7.3
32,2004-07-19,6.901
33,2004-07-20,6.51
34,2004-07-21,6.2
35,2004-07-22,6.14
36,2004-07-23,5.9
37,2004-07-26,5.75
38,2004-07-27,5.7
39,2004-07-28,5.48
40,2004-07-29,5.65
41,2004-07-30,5.29
42,2004-08-02,5.9
43,2004-08-03,5.1
44,2004-08-04,5.33
45,2004-08-05,5.26
46,2004-08-06,5.252
47,2004-08-09,5.23
48,2004-08-10,4.8
49,2004-08-11,4.8
50,2004-08-12,4.4
51,2004-08-13,4.459
52,2004-08-16,3.91
53,2004-08-17,4.03
54,2004-08-18,4.44
55,2004-08-19,4.09
56,2004-08-20,4.3
57,2004-08-23,4.29
58,2004-08-24,4.25
59,2004-08-25,4.829
60,2004-08-26,5.1
61,2004-08-27,5.5
62,2004-08-30,5.7
63,2004-08-31,5.3
64,2004-09-01,5.75
65,2004-09-02,5.4
66,2004-09-03,5.501
67,2004-09-07,5.65
68,2004-09-08,5.931
69,2004-09-09,5.73
70,2004-09-10,5.3
71,2004-09-13,5.3
72,2004-09-14,5.95
73,2004-09-15,5.75
74,2004-09-16,5.9
75,2004-09-17,5.65
76,2004-09-20,5.43
77,2004-09-21,5.81
78,2004-09-22,6.01
79,2004-09-23,5.95
80,2004-09-24,5.431
81,2004-09-27,5.6
82,2004-09-28,5.6
83,2004-09-29,5.76
84,2004-09-30,5.55
85,2004-10-01,5.55
86,2004-10-04,5.79
87,2004-10-05,5.89
88,2004-10-06,5.95
89,2004-10-07,5.72
90,2004-10-08,6.1
91,2004-10-11,5.9
92,2004-10-12,5.77
93,2004-10-13,5.77
94,2004-10-14,5.51
95,2004-10-15,5.3
96,2004-10-18,5.5
97,2004-10-19,5.54
98,2004-10-20,5.7
99,2004-10-21,5.85
100,2004-10-22,5.75
101,2004-10-25,5.72
102,2004-10-26,5.6
103,2004-10-27,5.455
104,2004-10-28,5.85
105,2004-10-29,5.1
106,2004-11-01,5.0
107,2004-11-02,5.31
108,2004-11-03,5.369
109,2004-11-04,5.42
110,2004-11-05,5.85
111,2004-11-08,5.27
112,2004-11-09,5.29
113,2004-11-10,5.77
114,2004-11-11,6.84
115,2004-11-12,7.0
116,2004-11-15,6.9
117,2004-11-16,6.5
118,2004-11-17,6.58
119,2004-11-18,6.6
120,2004-11-19,6.35
121,2004-11-22,6.88
122,2004-11-23,6.75
123,2004-11-24,7.0
124,2004-11-26,8.1
125,2004-11-29,8.2
126,2004-11-30,8.18
127,2004-12-01,8.24
128,2004-12-02,8.0
129,2004-12-03,7.05
130,2004-12-06,6.8
131,2004-12-07,7.0
132,2004-12-08,6.7
133,2004-12-09,7.09
134,2004-12-10,6.7
135,2004-12-13,7.0
136,2004-12-14,6.7
137,2004-12-15,6.45
138,2004-12-16,6.7
139,2004-12-17,6.75
140,2004-12-20,6.9
141,2004-12-21,6.99
142,2004-12-22,8.05
143,2004-12-23,7.6
144,2004-12-27,8.0
145,2004-12-28,7.68
146,2004-12-29,7.8
147,2004-12-30,7.36
148,2004-12-31,7.78
149,2005-01-03,7.67
150,2005-01-04,7.6
151,2005-01-05,7.9
152,2005-01-06,8.49
153,2005-01-07,9.15
154,2005-01-10,9.38
155,2005-01-11,10.04
156,2005-01-12,9.5
157,2005-01-13,9.12
158,2005-01-14,8.92
159,2005-01-18,9.09
160,2005-01-19,8.25
161,2005-01-20,7.84
162,2005-01-21,7.38
163,2005-01-24,7.49
164,2005-01-25,7.0
165,2005-01-26,7.24
166,2005-01-27,6.9
167,2005-01-28,7.2
168,2005-01-31,7.2
169,2005-02-01,7.3
170,2005-02-02,7.85
171,2005-02-03,7.4
172,2005-02-04,7.8
173,2005-02-07,7.8
174,2005-02-08,8.12
175,2005-02-09,7.99
176,2005-02-10,8.29
177,2005-02-11,8.15
178,2005-02-14,7.94
179,2005-02-15,8.06
180,2005-02-16,7.8
181,2005-02-17,7.25
182,2005-02-18,7.0
183,2005-02-22,6.91
184,2005-02-23,7.1
185,2005-02-24,7.19
186,2005-02-25,7.06
187,2005-02-28,7.01
188,2005-03-01,7.09
189,2005-03-02,6.98
190,2005-03-03,7.05
191,2005-03-04,6.81
192,2005-03-07,6.8
193,2005-03-08,6.92
194,2005-03-09,6.92
195,2005-03-10,7.0
196,2005-03-11,7.05
197,2005-03-14,7.28
198,2005-03-15,6.99
199,2005-03-16,7.25
200,2005-03-17,7.12
201,2005-03-18,7.1
202,2005-03-21,8.0
203,2005-03-22,7.99
204,2005-03-23,7.73
205,2005-03-24,7.63
206,2005-03-28,7.93
207,2005-03-29,7.51
208,2005-03-30,7.18
209,2005-03-31,7.3
210,2005-04-01,7.23
211,2005-04-04,7.25
212,2005-04-05,7.34
213,2005-04-06,7.63
214,2005-04-07,7.73
215,2005-04-08,8.33
216,2005-04-11,8.11
217,2005-04-12,8.73
218,2005-04-13,8.65
219,2005-04-14,8.8
220,2005-04-15,8.6
221,2005-04-18,8.11
222,2005-04-19,8.49
223,2005-04-20,8.39
224,2005-04-21,8.1
225,2005-04-22,8.15
226,2005-04-25,8.06
227,2005-04-26,7.91
228,2005-04-27,7.8
229,2005-04-28,7.79
230,2005-04-29,8.1
231,2005-05-02,7.75
232,2005-05-03,7.8
233,2005-05-04,8.0
234,2005-05-05,7.92
235,2005-05-06,8.05
236,2005-05-09,7.99
237,2005-05-10,7.76
238,2005-05-11,7.905
239,2005-05-12,7.76
240,2005-05-13,7.99
241,2005-05-16,7.8
242,2005-05-17,7.84
243,2005-05-18,7.75
244,2005-05-19,7.92
245,2005-05-20,8.0
246,2005-05-23,8.06
247,2005-05-24,8.0
248,2005-05-25,7.6
249,2005-05-26,7.35
250,2005-05-27,7.5
251,2005-05-31,7.55
252,2005-06-01,7.45
253,2005-06-02,7.42
254,2005-06-03,7.24
255,2005-06-06,7.42
256,2005-06-07,7.17
257,2005-06-08,7.33
258,2005-06-09,7.1
259,2005-06-10,7.63
260,2005-06-13,7.32
261,2005-06-14,6.95
262,2005-06-15,7.15
263,2005-06-16,7.25
264,2005-06-17,7.5
265,2005-06-20,7.5
266,2005-06-21,7.57
267,2005-06-22,7.68
268,2005-06-23,7.69
269,2005-06-24,7.25
270,2005-06-27,7.16
271,2005-06-28,7.25
272,2005-06-29,7.44
273,2005-06-30,7.365
274,2005-07-01,7.15
275,2005-07-05,7.35
276,2005-07-06,6.9
277,2005-07-07,7.0
278,2005-07-08,7.28
279,2005-07-11,7.07
280,2005-07-12,7.0
281,2005-07-13,7.15
282,2005-07-14,7.4
283,2005-07-15,7.75
284,2005-07-18,7.85
285,2005-07-19,8.24
286,2005-07-20,8.5
287,2005-07-21,9.5
288,2005-07-22,9.95
289,2005-07-25,9.73
290,2005-07-26,9.51
291,2005-07-27,9.81
292,2005-07-28,9.8
293,2005-07-29,9.79
294,2005-08-01,9.94
295,2005-08-02,9.76
296,2005-08-03,10.0
297,2005-08-04,9.85
298,2005-08-05,9.34
299,2005-08-08,9.34
300,2005-08-09,8.9
301,2005-08-10,9.15
302,2005-08-11,8.88
303,2005-08-12,9.05
304,2005-08-15,9.3
305,2005-08-16,9.05
306,2005-08-17,9.1
307,2005-08-18,9.37
308,2005-08-19,9.28
309,2005-08-22,9.14
310,2005-08-23,9.27
311,2005-08-24,9.14
312,2005-08-25,9.49
313,2005-08-26,9.55
314,2005-08-29,9.5
315,2005-08-30,9.5
316,2005-08-31,9.42
317,2005-09-01,9.57
