,date,open
0,2020-07-30,20.0
1,2020-07-31,22.82
2,2020-08-03,24.05
3,2020-08-04,26.11
4,2020-08-05,29.39
5,2020-08-06,31.01
6,2020-08-07,32.69
7,2020-08-10,35.45
8,2020-08-11,41.29
9,2020-08-12,43.3
10,2020-08-13,37.64
11,2020-08-14,37.65
12,2020-08-17,39.31
13,2020-08-18,38.63
14,2020-08-19,35.26
15,2020-08-20,35.64
16,2020-08-21,30.68
17,2020-08-24,33.21
18,2020-08-25,32.76
19,2020-08-26,33.37
20,2020-08-27,32.6
21,2020-08-28,27.0
22,2020-08-31,28.29
23,2020-09-01,31.97
24,2020-09-02,31.9965
25,2020-09-03,30.91
26,2020-09-04,28.54
27,2020-09-08,24.51
28,2020-09-09,23.98
29,2020-09-10,23.33
30,2020-09-11,22.64
31,2020-09-14,22.47
32,2020-09-15,21.68
33,2020-09-16,21.53
34,2020-09-17,25.0
35,2020-09-18,26.16
36,2020-09-21,28.52
37,2020-09-22,31.41
38,2020-09-23,28.31
39,2020-09-24,24.95
40,2020-09-25,25.66
41,2020-09-28,26.85
42,2020-09-29,25.51
43,2020-09-30,26.75
44,2020-10-01,27.72
45,2020-10-02,27.51
46,2020-10-05,28.45
47,2020-10-06,32.28
48,2020-10-07,30.61
49,2020-10-08,31.17
50,2020-10-09,28.42
51,2020-10-12,28.0
52,2020-10-13,25.21
53,2020-10-14,25.58
54,2020-10-15,24.77
55,2020-10-16,27.03
56,2020-10-19,28.28
57,2020-10-20,27.35
58,2020-10-21,25.37
59,2020-10-22,25.41
60,2020-10-23,25.78
61,2020-10-26,25.73
62,2020-10-27,26.17
63,2020-10-28,27.66
64,2020-10-29,24.71
65,2020-10-30,26.25
66,2020-11-02,26.56
67,2020-11-03,26.88
68,2020-11-04,27.3
69,2020-11-05,31.18
70,2020-11-06,33.4
71,2020-11-09,34.79
72,2020-11-10,31.99
73,2020-11-11,29.1
74,2020-11-12,31.32
75,2020-11-13,31.5
76,2020-11-16,30.58
77,2020-11-17,30.55
78,2020-11-18,29.78
79,2020-11-19,31.07
80,2020-11-20,32.97
81,2020-11-23,33.91
82,2020-11-24,34.4
83,2020-11-25,33.81
84,2020-11-27,34.9
85,2020-11-30,35.31
86,2020-12-01,40.0
87,2020-12-02,36.65
88,2020-12-03,40.64
89,2020-12-04,44.03
90,2020-12-07,47.07
91,2020-12-08,43.8
92,2020-12-09,43.63
93,2020-12-10,38.12
94,2020-12-11,39.01
95,2020-12-14,40.52
96,2020-12-15,40.83
97,2020-12-16,42.35
98,2020-12-17,43.42
99,2020-12-18,44.06
100,2020-12-21,34.66
101,2020-12-22,39.05
102,2020-12-23,45.27
103,2020-12-24,46.23
104,2020-12-28,42.41
105,2020-12-29,38.81
106,2020-12-30,37.24
107,2020-12-31,40.29
108,2021-01-04,38.84
109,2021-01-05,40.0
110,2021-01-06,38.49
111,2021-01-07,41.0
112,2021-01-08,41.0
113,2021-01-11,42.85
114,2021-01-12,45.52
115,2021-01-13,41.8
116,2021-01-14,42.46
117,2021-01-15,45.75
118,2021-01-19,45.34
119,2021-01-20,42.7
120,2021-01-21,44.89
121,2021-01-22,44.46
122,2021-01-25,42.95
123,2021-01-26,42.04
124,2021-01-27,38.47
125,2021-01-28,38.87
126,2021-01-29,37.5
127,2021-02-01,37.26
128,2021-02-02,37.56
129,2021-02-03,44.75
130,2021-02-04,42.1
131,2021-02-05,42.92
132,2021-02-08,44.83
133,2021-02-09,43.05
134,2021-02-10,44.1
135,2021-02-11,44.06
136,2021-02-12,41.96
137,2021-02-16,43.13
138,2021-02-17,41.02
139,2021-02-18,40.22
140,2021-02-19,41.41
141,2021-02-22,41.61
142,2021-02-23,40.59
143,2021-02-24,38.53
144,2021-02-25,41.27
145,2021-02-26,40.54
146,2021-03-01,38.19
147,2021-03-02,37.93
148,2021-03-03,37.74
149,2021-03-04,36.95
150,2021-03-05,34.97
151,2021-03-08,30.49
152,2021-03-09,30.65
153,2021-03-10,31.8
154,2021-03-11,31.69
155,2021-03-12,30.75
156,2021-03-15,30.1
157,2021-03-16,29.18
158,2021-03-17,28.13
159,2021-03-18,27.75
160,2021-03-19,26.93
161,2021-03-22,25.68
162,2021-03-23,25.43
163,2021-03-24,23.49
164,2021-03-25,21.79
165,2021-03-26,22.02
166,2021-03-29,21.63
167,2021-03-30,20.9
168,2021-03-31,22.23
169,2021-04-01,23.63
170,2021-04-05,23.89
171,2021-04-06,25.0
172,2021-04-07,23.05
173,2021-04-08,24.11
174,2021-04-09,24.25
175,2021-04-12,23.25
176,2021-04-13,22.89
177,2021-04-14,23.53
178,2021-04-15,23.64
179,2021-04-16,22.32
180,2021-04-19,21.87
181,2021-04-20,22.34
182,2021-04-21,22.4
183,2021-04-22,22.65
184,2021-04-23,23.26
185,2021-04-26,22.55
186,2021-04-27,23.73
187,2021-04-28,22.64
188,2021-04-29,23.31
189,2021-04-30,23.83
190,2021-05-03,23.81
191,2021-05-04,23.43
192,2021-05-05,23.65
193,2021-05-06,21.59
194,2021-05-07,22.39
195,2021-05-10,23.75
196,2021-05-11,20.82
197,2021-05-12,22.4
198,2021-05-13,22.85
199,2021-05-14,22.59
200,2021-05-17,23.81
201,2021-05-18,23.74
202,2021-05-19,22.0
203,2021-05-20,21.19
204,2021-05-21,22.51
205,2021-05-24,21.79
206,2021-05-25,21.55
207,2021-05-26,21.7
208,2021-05-27,22.98
209,2021-05-28,23.38
210,2021-06-01,23.67
211,2021-06-02,23.01
212,2021-06-03,22.87
213,2021-06-04,23.11
214,2021-06-07,23.05
215,2021-06-08,24.52
216,2021-06-09,23.6
217,2021-06-10,22.12
218,2021-06-11,21.92
219,2021-06-14,22.54
220,2021-06-15,22.79
221,2021-06-16,20.82
222,2021-06-17,19.38
223,2021-06-18,19.75
224,2021-06-21,20.0
225,2021-06-22,21.27
226,2021-06-23,20.49
227,2021-06-24,21.32
228,2021-06-25,21.07
229,2021-06-28,21.43
230,2021-06-29,20.31
231,2021-06-30,19.51
232,2021-07-01,19.75
233,2021-07-02,20.58
234,2021-07-06,19.99
235,2021-07-07,18.96
236,2021-07-08,18.13
237,2021-07-09,19.39
238,2021-07-12,19.39
239,2021-07-13,18.9
240,2021-07-14,18.12
241,2021-07-15,17.5
242,2021-07-16,17.52
243,2021-07-19,17.34
244,2021-07-20,17.0
245,2021-07-21,18.33
246,2021-07-22,18.04
247,2021-07-23,18.16
248,2021-07-26,18.61
249,2021-07-27,18.61
250,2021-07-28,18.89
251,2021-07-29,19.38
252,2021-07-30,18.97
253,2021-08-02,19.25
254,2021-08-03,19.61
255,2021-08-04,19.57
256,2021-08-05,19.6
257,2021-08-06,20.24
258,2021-08-09,20.55
259,2021-08-10,21.54
260,2021-08-11,18.57
261,2021-08-12,20.23
262,2021-08-13,19.6
263,2021-08-16,18.75
264,2021-08-17,17.99
265,2021-08-18,18.1
266,2021-08-19,17.86
267,2021-08-20,17.88
268,2021-08-23,18.85
269,2021-08-24,18.75
270,2021-08-25,18.62
271,2021-08-26,18.59
272,2021-08-27,19.15
273,2021-08-30,19.5
274,2021-08-31,20.365
275,2021-09-01,19.37
276,2021-09-02,19.86
277,2021-09-03,19.9
278,2021-09-07,22.5727
279,2021-09-08,20.93
280,2021-09-09,20.78
281,2021-09-10,22.67
282,2021-09-13,21.95
283,2021-09-14,22.24
284,2021-09-15,23.42
285,2021-09-16,22.67
286,2021-09-17,23.2
287,2021-09-20,23.16
288,2021-09-21,22.93
289,2021-09-22,23.69
290,2021-09-23,22.64
291,2021-09-24,23.31
292,2021-09-27,23.13
293,2021-09-28,23.7
294,2021-09-29,25.07
295,2021-09-30,24.73
296,2021-10-01,25.21
297,2021-10-04,26.38
298,2021-10-05,22.92
299,2021-10-06,21.91
300,2021-10-07,23.66
301,2021-10-08,22.76
302,2021-10-11,22.07
303,2021-10-12,22.91
304,2021-10-13,22.48
305,2021-10-14,23.42
306,2021-10-15,22.61
307,2021-10-18,22.12
308,2021-10-19,21.55
309,2021-10-20,23.66
310,2021-10-21,24.37
311,2021-10-22,24.49
312,2021-10-25,24.72
313,2021-10-26,24.5
314,2021-10-27,24.51
315,2021-10-28,23.505
316,2021-10-29,23.88
317,2021-11-01,24.04
318,2021-11-02,23.3
319,2021-11-03,23.07
320,2021-11-04,23.83
321,2021-11-05,24.75
322,2021-11-08,24.37
323,2021-11-09,24.08
324,2021-11-10,24.2
325,2021-11-11,23.94
326,2021-11-12,23.27
327,2021-11-15,22.35
328,2021-11-16,21.76
329,2021-11-17,20.99
330,2021-11-18,21.2
331,2021-11-19,21.49
332,2021-11-22,20.07
333,2021-11-23,18.95
334,2021-11-24,19.23
335,2021-11-26,18.28
336,2021-11-29,18.63
337,2021-11-30,17.38
338,2021-12-01,17.82
339,2021-12-02,17.44
340,2021-12-03,18.16
341,2021-12-06,17.64
342,2021-12-07,19.11
343,2021-12-08,19.35
344,2021-12-09,20.21
345,2021-12-10,18.62
346,2021-12-13,17.52
347,2021-12-14,15.8
348,2021-12-15,14.72
349,2021-12-16,15.8
350,2021-12-17,14.32
351,2021-12-20,14.13
352,2021-12-21,14.9
353,2021-12-22,14.54
354,2021-12-23,13.66
355,2021-12-27,13.89
356,2021-12-28,13.58
357,2021-12-29,13.17
358,2021-12-30,12.945
359,2021-12-31,13.41
360,2022-01-03,12.95
361,2022-01-04,13.54
362,2022-01-05,12.69
363,2022-01-06,12.68
364,2022-01-07,11.53
365,2022-01-10,11.42
366,2022-01-11,10.94
367,2022-01-12,11.03
368,2022-01-13,10.72
369,2022-01-14,10.1
370,2022-01-18,10.21
371,2022-01-19,9.17
372,2022-01-20,8.91
373,2022-01-21,8.29
374,2022-01-24,7.75
375,2022-01-25,8.05
376,2022-01-26,8.33
377,2022-01-27,7.8
378,2022-01-28,6.89
379,2022-01-31,7.66
380,2022-02-01,8.37
381,2022-02-02,8.48
382,2022-02-03,7.49
383,2022-02-04,7.72
384,2022-02-07,7.97
385,2022-02-08,8.1
386,2022-02-09,8.19
387,2022-02-10,8.09
388,2022-02-11,8.82
389,2022-02-14,8.72
390,2022-02-15,8.66
391,2022-02-16,8.74
392,2022-02-17,8.56
393,2022-02-18,8.06
394,2022-02-22,8.23
395,2022-02-23,8.86
396,2022-02-24,8.4
397,2022-02-25,9.14
398,2022-02-28,9.2
399,2022-03-01,9.02
400,2022-03-02,9.15
401,2022-03-03,9.12
402,2022-03-04,8.38
403,2022-03-07,7.28
404,2022-03-08,7.37
405,2022-03-09,7.66
406,2022-03-10,7.75
407,2022-03-11,7.7
408,2022-03-14,7.38
409,2022-03-15,7.03
410,2022-03-16,7.55
411,2022-03-17,7.9
412,2022-03-18,8.27
413,2022-03-21,8.5
414,2022-03-22,7.59
415,2022-03-23,8.01
416,2022-03-24,8.32
417,2022-03-25,8.14
418,2022-03-28,7.6
419,2022-03-29,8.12
420,2022-03-30,7.81
421,2022-03-31,7.25
422,2022-04-01,6.89
423,2022-04-04,6.87
424,2022-04-05,7.06
425,2022-04-06,6.47
426,2022-04-07,6.51
427,2022-04-08,6.7
428,2022-04-11,6.14
429,2022-04-12,5.92
430,2022-04-13,5.84
431,2022-04-14,5.69
432,2022-04-18,5.73
433,2022-04-19,5.26
434,2022-04-20,6.9
435,2022-04-21,5.87
436,2022-04-22,5.32
437,2022-04-25,4.42
438,2022-04-26,4.91
439,2022-04-27,4.68
440,2022-04-28,4.65
441,2022-04-29,4.67
442,2022-05-02,4.53
443,2022-05-03,4.57
444,2022-05-04,4.63
445,2022-05-05,4.89
446,2022-05-06,4.92
447,2022-05-09,4.78
448,2022-05-10,4.19
