,date,open
0,2020-07-17,36.5
1,2020-07-20,30.44
2,2020-07-21,32.25
3,2020-07-22,30.91
4,2020-07-23,29.34
5,2020-07-24,29.24
6,2020-07-27,30.24
7,2020-07-28,29.3
8,2020-07-29,32.29
9,2020-07-30,31.75
10,2020-07-31,32.63
11,2020-08-03,32.46
12,2020-08-04,36.74
13,2020-08-05,37.62
14,2020-08-06,42.77
15,2020-08-07,43.9
16,2020-08-10,44.76
17,2020-08-11,43.5
18,2020-08-12,41.84
19,2020-08-13,43.33
20,2020-08-14,44.24
21,2020-08-17,44.64
22,2020-08-18,46.35
23,2020-08-19,42.99
24,2020-08-20,45.06
25,2020-08-21,43.91
26,2020-08-24,45.06
27,2020-08-25,43.75
28,2020-08-26,44.74
29,2020-08-27,43.05
30,2020-08-28,45.5
31,2020-08-31,44.59
32,2020-09-01,40.34
33,2020-09-02,41.69
34,2020-09-03,44.16
35,2020-09-04,41.49
36,2020-09-08,42.5
37,2020-09-09,44.41
38,2020-09-10,43.46
39,2020-09-11,40.54
40,2020-09-14,39.89
41,2020-09-15,39.62
42,2020-09-16,39.56
43,2020-09-17,39.52
44,2020-09-18,38.56
45,2020-09-21,37.0
46,2020-09-22,37.68
47,2020-09-23,37.05
48,2020-09-24,39.2
49,2020-09-25,39.29
50,2020-09-28,39.3699
51,2020-09-29,39.68
52,2020-09-30,38.37
53,2020-10-01,37.78
54,2020-10-02,33.54
55,2020-10-05,34.99
56,2020-10-06,35.15
57,2020-10-07,36.62
58,2020-10-08,36.55
59,2020-10-09,36.55
60,2020-10-12,36.23
61,2020-10-13,35.85
62,2020-10-14,36.5
63,2020-10-15,37.09
64,2020-10-16,39.05
65,2020-10-19,44.09
66,2020-10-20,41.73
67,2020-10-21,43.46
68,2020-10-22,42.72
69,2020-10-23,42.0
70,2020-10-26,41.65
71,2020-10-27,41.53
72,2020-10-28,40.06
73,2020-10-29,39.94
74,2020-10-30,39.89
75,2020-11-02,39.67
76,2020-11-03,40.46
77,2020-11-04,41.82
