,date,open
0,2022-01-07,21.0
1,2022-01-10,18.45
2,2022-01-11,16.5
3,2022-01-12,19.01
4,2022-01-13,20.78
5,2022-01-14,21.37
6,2022-01-18,20.58
7,2022-01-19,19.4
8,2022-01-20,20.5
9,2022-01-21,20.12
10,2022-01-24,18.0
11,2022-01-25,19.56
12,2022-01-26,18.84
13,2022-01-27,19.88
14,2022-01-28,19.19
15,2022-01-31,20.96
16,2022-02-01,23.2
17,2022-02-02,23.98
18,2022-02-03,22.04
19,2022-02-04,22.97
20,2022-02-07,22.88
21,2022-02-08,19.64
22,2022-02-09,19.6
23,2022-02-10,20.79
24,2022-02-11,20.0
25,2022-02-14,19.89
26,2022-02-15,20.58
27,2022-02-16,20.32
28,2022-02-17,21.8
29,2022-02-18,23.41
30,2022-02-22,26.49
31,2022-02-23,28.92
32,2022-02-24,27.52
33,2022-02-25,30.28
34,2022-02-28,31.18
35,2022-03-01,32.97
36,2022-03-02,28.25
37,2022-03-03,29.47
38,2022-03-04,25.99
39,2022-03-07,27.66
40,2022-03-08,26.57
41,2022-03-09,27.68
42,2022-03-10,27.46
43,2022-03-11,27.51
44,2022-03-14,25.84
45,2022-03-15,24.48
46,2022-03-16,23.47
47,2022-03-17,23.75
48,2022-03-18,22.69
49,2022-03-21,22.81
50,2022-03-22,22.1
51,2022-03-23,20.44
52,2022-03-24,20.54
53,2022-03-25,22.79
54,2022-03-28,24.11
55,2022-03-29,16.36
56,2022-03-30,14.93
57,2022-03-31,11.68
58,2022-04-01,12.02
59,2022-04-04,12.8
60,2022-04-05,13.82
61,2022-04-06,13.29
62,2022-04-07,13.82
63,2022-04-08,14.35
64,2022-04-11,13.71
65,2022-04-12,12.52
66,2022-04-13,11.79
67,2022-04-14,11.92
68,2022-04-18,11.68
69,2022-04-19,10.53
70,2022-04-20,10.66
71,2022-04-21,10.97
72,2022-04-22,9.66
73,2022-04-25,10.0
74,2022-04-26,10.47
75,2022-04-27,10.23
76,2022-04-28,9.91
77,2022-04-29,9.32
78,2022-05-02,8.94
79,2022-05-03,9.09
80,2022-05-04,9.71
81,2022-05-05,10.04
82,2022-05-06,9.17
83,2022-05-09,7.59
84,2022-05-10,7.15
85,2022-05-11,7.66
86,2022-05-12,6.8
87,2022-05-13,7.53
88,2022-05-16,8.38
89,2022-05-17,8.38
90,2022-05-18,8.58
91,2022-05-19,8.73
92,2022-05-20,9.14
93,2022-05-23,8.84
94,2022-05-24,8.36
95,2022-05-25,8.54
96,2022-05-26,8.52
97,2022-05-27,7.92
98,2022-05-31,8.9
99,2022-06-01,8.99
100,2022-06-02,8.56
101,2022-06-03,13.3
102,2022-06-06,12.02
103,2022-06-07,11.96
104,2022-06-08,11.91
105,2022-06-09,14.36
106,2022-06-10,12.66
107,2022-06-13,13.09
108,2022-06-14,13.5
109,2022-06-15,16.055
110,2022-06-16,15.53
111,2022-06-17,16.75
112,2022-06-21,17.99
113,2022-06-22,17.09
114,2022-06-23,17.68
115,2022-06-24,20.03
116,2022-06-27,18.83
117,2022-06-28,19.55
118,2022-06-29,19.39
119,2022-06-30,17.83
120,2022-07-01,18.85
121,2022-07-05,22.63
122,2022-07-06,20.14
123,2022-07-07,20.64
124,2022-07-08,21.44
125,2022-07-11,22.05
126,2022-07-12,21.68
127,2022-07-13,20.41
128,2022-07-14,20.0
129,2022-07-15,20.38
130,2022-07-18,20.51
131,2022-07-19,20.05
132,2022-07-20,20.78
133,2022-07-21,22.65
134,2022-07-22,22.63
135,2022-07-25,21.86
136,2022-07-26,21.22
137,2022-07-27,22.71
138,2022-07-28,25.23
139,2022-07-29,26.53
140,2022-08-01,26.99
141,2022-08-02,25.6
142,2022-08-03,27.11
143,2022-08-04,25.49
144,2022-08-05,25.42
145,2022-08-08,23.99
146,2022-08-09,24.49
147,2022-08-10,25.86
148,2022-08-11,26.0
149,2022-08-12,25.81
150,2022-08-15,25.45
151,2022-08-16,25.18
152,2022-08-17,24.88
153,2022-08-18,24.79
154,2022-08-19,25.76
155,2022-08-22,24.43
156,2022-08-23,24.72
157,2022-08-24,25.3
158,2022-08-25,25.44
159,2022-08-26,26.54
160,2022-08-29,26.14
161,2022-08-30,25.5
162,2022-08-31,24.2
163,2022-09-01,24.98
164,2022-09-02,23.97
165,00,25.485
166,2022-08-11,26.0
167,2022-08-12,25.81
168,2022-08-15,25.45
169,2022-08-16,25.18
170,2022-08-17,24.88
171,2022-08-18,24.79
172,2022-08-19,25.76
173,2022-08-22,24.43
174,2022-08-23,24.72
175,2022-08-24,25.3
176,2022-08-25,25.44
177,2022-08-26,26.54
178,2022-08-29,26.14
179,2022-08-30,25.5
180,2022-08-31,24.2
181,2022-09-01,24.98
182,2022-09-02,23.97
