,date,open
0,2017-01-26,16.0
1,2017-01-27,16.81
2,2017-01-30,17.16
3,2017-01-31,17.05
4,2017-02-01,17.26
5,2017-02-02,16.82
6,2017-02-03,16.99
7,2017-02-06,17.89
8,2017-02-07,19.33
9,2017-02-08,18.48
10,2017-02-09,20.0
11,2017-02-10,20.76
12,2017-02-13,22.5
13,2017-02-14,23.41
14,2017-02-15,23.23
15,2017-02-16,24.0
16,2017-02-17,23.14
17,2017-02-21,24.25
18,2017-02-22,24.4
19,2017-02-23,23.42
20,2017-02-24,22.3
21,2017-02-27,24.74
22,2017-02-28,23.79
23,2017-03-01,23.85
24,2017-03-02,23.05
25,2017-03-03,23.0
26,2017-03-06,22.83
27,2017-03-07,23.1
28,2017-03-08,24.22
29,2017-03-09,22.97
30,2017-03-10,23.48
31,2017-03-13,23.6
32,2017-03-14,25.55
33,2017-03-15,26.24
34,2017-03-16,26.14
35,2017-03-17,26.7
36,2017-03-20,26.6
37,2017-03-21,27.35
38,2017-03-22,27.54
39,2017-03-23,27.0
40,2017-03-24,27.3
41,2017-03-27,27.53
42,2017-03-28,27.6
43,2017-03-29,27.91
44,2017-03-30,28.0
45,2017-03-31,29.17
46,2017-04-03,27.7
47,2017-04-04,27.89
48,2017-04-05,27.29
49,2017-04-06,25.46
50,2017-04-07,25.09
51,2017-04-10,24.89
52,2017-04-11,25.17
53,2017-04-12,25.15
54,2017-04-13,25.135
55,2017-04-17,25.0
56,2017-04-18,25.0
57,2017-04-19,24.5
58,2017-04-20,24.86
59,2017-04-21,24.58
60,2017-04-24,24.81
61,2017-04-25,24.68
62,2017-04-26,25.29
63,2017-04-27,26.95
64,2017-04-28,27.01
65,2017-05-01,26.53
66,2017-05-02,26.4
67,2017-05-03,25.81
68,2017-05-04,25.35
69,2017-05-05,25.64
70,2017-05-08,25.9
71,2017-05-09,26.07
72,2017-05-10,25.89
73,2017-05-11,26.08
74,2017-05-12,26.12
75,2017-05-15,26.2792
76,2017-05-16,26.8
77,2017-05-17,27.33
78,2017-05-18,26.1171
79,2017-05-19,26.48
80,2017-05-22,26.75
81,2017-05-23,26.3492
82,2017-05-24,27.2694
83,2017-05-25,26.15
84,2017-05-26,26.15
85,2017-05-30,25.47
86,2017-05-31,27.38
87,2017-06-01,26.03
88,2017-06-02,24.63
89,2017-06-05,24.95
90,2017-06-06,22.45
91,2017-06-07,23.02
92,2017-06-08,19.14
93,2017-06-09,22.65
94,2017-06-12,22.62
95,2017-06-13,22.09
96,2017-06-14,22.16
97,2017-06-15,22.88
98,2017-06-16,22.97
99,2017-06-19,23.83
100,2017-06-20,24.3
101,2017-06-21,24.0
102,2017-06-22,23.55
103,2017-06-23,24.0
104,2017-06-26,24.73
105,2017-06-27,24.76
106,2017-06-28,24.5
107,2017-06-29,24.45
108,2017-06-30,23.88
109,2017-07-03,24.63
110,2017-07-05,24.66
111,2017-07-06,23.95
112,2017-07-07,24.2
113,2017-07-10,23.98
114,2017-07-11,24.46
115,2017-07-12,24.95
116,2017-07-13,25.3
117,2017-07-14,25.92
118,2017-07-17,26.2
119,2017-07-18,27.23
120,2017-07-19,26.91
121,2017-07-20,27.01
122,2017-07-21,27.38
123,2017-07-24,27.2
124,2017-07-25,30.25
125,2017-07-26,27.9
126,2017-07-27,25.78
127,2017-07-28,25.26
128,2017-07-31,24.5
129,2017-08-01,24.41
130,2017-08-02,23.69
131,2017-08-03,22.86
132,2017-08-04,21.59
133,2017-08-07,22.0
134,2017-08-08,22.96
135,2017-08-09,21.32
136,2017-08-10,21.86
137,2017-08-11,22.8
138,2017-08-14,22.28
139,2017-08-15,21.72
140,2017-08-16,20.64
141,2017-08-17,21.23
142,2017-08-18,21.07
143,2017-08-21,22.1
144,2017-08-22,21.2
145,2017-08-23,21.21
146,2017-08-24,21.33
147,2017-08-25,22.59
148,2017-08-28,23.79
149,2017-08-29,24.49
150,2017-08-30,25.05
151,2017-08-31,26.0
152,2017-09-01,27.95
153,2017-09-05,29.4
154,2017-09-06,29.36
155,2017-09-07,30.6
156,2017-09-08,31.66
157,2017-09-11,32.02
158,2017-09-12,32.4
159,2017-09-13,32.17
160,2017-09-14,32.4
161,2017-09-15,32.04
162,2017-09-18,32.96
163,2017-09-19,35.81
164,2017-09-20,35.37
165,2017-09-21,34.7
166,2017-09-22,34.7
167,2017-09-25,33.8
168,2017-09-26,34.01
169,2017-09-27,34.0
170,2017-09-28,34.5
171,2017-09-29,34.44
172,2017-10-02,35.13
173,2017-10-03,35.5
174,2017-10-04,35.15
175,2017-10-05,35.37
176,2017-10-06,35.96
177,2017-10-09,35.42
178,2017-10-10,53.21
179,2017-10-11,70.1
180,2017-10-12,70.1
181,2017-10-13,70.85
182,2017-10-16,69.95
183,2017-10-17,66.7
184,2017-10-18,65.33
185,2017-10-19,62.64
186,2017-10-20,67.38
187,2017-10-23,65.18
188,2017-10-24,65.08
189,2017-10-25,64.51
190,2017-10-26,66.0
191,2017-10-27,67.62
192,2017-10-30,64.51
193,2017-10-31,65.67
194,2017-11-01,66.14
195,2017-11-02,65.18
196,2017-11-03,66.0
197,2017-11-06,65.28
198,2017-11-07,65.69
199,2017-11-08,65.16
200,2017-11-09,66.01
201,2017-11-10,67.3
202,2017-11-13,66.33
203,2017-11-14,71.71
204,2017-11-15,71.81
205,2017-11-16,72.05
206,2017-11-17,74.54
207,2017-11-20,76.64
208,2017-11-21,75.53
209,2017-11-22,79.51
210,2017-11-24,78.57
211,2017-11-27,81.33
212,2017-11-28,80.45
213,2017-11-29,82.01
214,2017-11-30,80.71
215,2017-12-01,84.73
216,2017-12-04,85.87
217,2017-12-05,85.65
218,2017-12-06,84.31
219,2017-12-07,82.24
220,2017-12-08,89.76
221,2017-12-11,87.79
222,2017-12-12,88.12
223,2017-12-13,86.84
224,2017-12-14,88.31
225,2017-12-15,88.91
226,2017-12-18,94.42
227,2017-12-19,92.45
228,2017-12-20,92.78
229,2017-12-21,91.87
230,2017-12-22,93.36
231,2017-12-26,98.29
232,2017-12-27,100.02
233,2017-12-28,101.03
234,2017-12-29,100.5
235,2018-01-02,101.71
236,2018-01-03,98.29
237,2018-01-04,100.97
238,2018-01-05,103.37
239,2018-01-08,100.65
240,2018-01-09,102.75
241,2018-01-10,103.36
242,2018-01-11,112.13
243,2018-01-12,110.19
