,date,open
0,2020-07-24,17.4
1,2020-07-27,16.8635
2,2020-07-28,17.3
3,2020-07-29,18.04
4,2020-07-30,19.14
5,2020-07-31,18.7
6,2020-08-03,18.05
7,2020-08-04,20.02
8,2020-08-05,19.61
9,2020-08-06,21.9
10,2020-08-07,21.17
11,2020-08-10,21.24
12,2020-08-11,22.29
13,2020-08-12,24.29
14,2020-08-13,28.86
15,2020-08-14,27.27
16,2020-08-17,25.59
17,2020-08-18,26.64
18,2020-08-19,26.83
19,2020-08-20,25.64
20,2020-08-21,24.47
21,2020-08-24,24.33
22,2020-08-25,23.67
23,2020-08-26,23.5
24,2020-08-27,23.11
25,2020-08-28,23.82
26,2020-08-31,25.42
27,2020-09-01,24.5
28,2020-09-02,24.57
29,2020-09-03,26.0
30,2020-09-04,26.22
31,2020-09-08,25.12
32,2020-09-09,26.59
33,2020-09-10,25.2735
34,2020-09-11,25.75
35,2020-09-14,25.0
36,2020-09-15,23.02
37,2020-09-16,23.43
38,2020-09-17,22.26
39,2020-09-18,21.25
40,2020-09-21,22.07
41,2020-09-22,21.91
42,2020-09-23,22.01
43,2020-09-24,22.89
44,2020-09-25,22.8
45,2020-09-28,23.1
46,2020-09-29,24.53
47,2020-09-30,27.8
48,2020-10-01,30.24
49,2020-10-02,28.64
50,2020-10-05,27.21
51,2020-10-06,27.95
52,2020-10-07,27.41
53,2020-10-08,27.27
54,2020-10-09,27.55
55,2020-10-12,28.16
56,2020-10-13,28.81
57,2020-10-14,29.48
58,2020-10-15,28.52
59,2020-10-16,28.81
60,2020-10-19,30.76
61,2020-10-20,30.4
62,2020-10-21,27.58
63,2020-10-22,26.2
64,2020-10-23,24.44
65,2020-10-26,24.25
66,2020-10-27,24.99
67,2020-10-28,24.25
68,2020-10-29,23.79
69,2020-10-30,21.51
70,2020-11-02,21.27
71,2020-11-03,23.0
72,2020-11-04,23.62
73,2020-11-05,23.9
74,2020-11-06,24.28
75,2020-11-09,24.17
76,2020-11-10,23.33
77,2020-11-11,22.99
78,2020-11-12,22.96
79,2020-11-13,23.41
80,2020-11-16,23.31
81,2020-11-17,22.96
82,2020-11-18,23.4
83,2020-11-19,23.58
84,2020-11-20,24.47
85,2020-11-23,25.5
86,2020-11-24,25.26
87,2020-11-25,25.4
88,2020-11-27,24.92
89,2020-11-30,25.24
90,2020-12-01,24.25
91,2020-12-02,24.97
92,2020-12-03,25.04
93,2020-12-04,24.88
94,2020-12-07,25.34
95,2020-12-08,24.89
96,2020-12-09,25.08
97,2020-12-10,24.1
98,2020-12-11,24.46
99,2020-12-14,25.24
100,2020-12-15,24.75
101,2020-12-16,25.48
102,2020-12-17,25.99
103,2020-12-18,29.79
104,2020-12-21,28.32
105,2020-12-22,26.35
106,2020-12-23,28.65
107,2020-12-24,30.55
108,2020-12-28,30.14
109,2020-12-29,28.97
110,2020-12-30,28.51
111,2020-12-31,27.84
112,2021-01-04,25.03
113,2021-01-05,23.76
114,2021-01-06,22.91
115,2021-01-07,23.34
116,2021-01-08,22.45
117,2021-01-11,22.36
118,2021-01-12,21.83
119,2021-01-13,22.34
120,2021-01-14,22.56
