,date,open
0,2020-01-29,6.63
1,2020-01-30,9.0
2,2020-01-31,6.98
3,2020-02-03,7.15
4,2020-02-04,7.18
5,2020-02-05,6.42
6,2020-02-06,6.06
7,2020-02-07,6.15
8,2020-02-10,5.58
9,2020-02-11,5.25
10,2020-02-12,5.17
11,2020-02-13,5.88
12,2020-02-14,6.16
13,2020-02-18,6.66
14,2020-02-19,6.0
15,2020-02-20,5.98
16,2020-02-21,5.94
17,2020-02-24,5.51
18,2020-02-25,5.37
19,2020-02-26,5.4985
20,2020-02-27,4.51
21,2020-02-28,4.98
22,2020-03-02,4.75
23,2020-03-03,5.25
24,2020-03-04,5.435
25,2020-03-05,5.09
26,2020-03-06,4.95
27,2020-03-09,4.55
28,2020-03-10,4.2827
29,2020-03-11,4.4
30,2020-03-12,4.04
31,2020-03-13,3.5
32,2020-03-16,3.5
33,2020-03-17,3.59
34,2020-03-18,3.0191
35,2020-03-19,2.7661
36,2020-03-20,2.66
37,2020-03-23,2.85
38,2020-03-24,2.89
39,2020-03-25,3.64
40,2020-03-26,3.66
41,2020-03-27,3.63
42,2020-03-30,3.2102
43,2020-03-31,3.27
44,2020-04-01,2.75
45,2020-04-02,3.22
46,2020-04-03,3.07
47,2020-04-06,3.25
48,2020-04-07,3.05
49,2020-04-08,3.375
50,2020-04-09,3.49
51,2020-04-13,3.1
52,2020-04-14,3.27
53,2020-04-15,3.21
54,2020-04-16,3.87
55,2020-04-17,4.11
56,2020-04-20,3.56
57,2020-04-21,3.8
58,2020-04-22,3.83
59,2020-04-23,4.26
60,2020-04-24,3.79
61,2020-04-27,4.28
62,2020-04-28,3.95
63,2020-04-29,3.86
64,2020-04-30,3.7499
65,2020-05-01,3.39
66,2020-05-04,3.34
67,2020-05-05,3.49
68,2020-05-06,3.6801
69,2020-05-07,3.665
70,2020-05-08,3.635
71,2020-05-11,3.67
72,2020-05-12,3.64
73,2020-05-13,3.79
74,2020-05-14,3.37
75,2020-05-15,3.45
76,2020-05-18,4.0
77,2020-05-19,4.96
78,2020-05-20,4.75
79,2020-05-21,4.4756
80,2020-05-22,4.7
81,2020-05-26,4.75
82,2020-05-27,4.8
83,2020-05-28,4.75
84,2020-05-29,4.3233
85,2020-06-01,4.74
86,2020-06-02,4.74
87,2020-06-03,4.59
88,2020-06-04,4.31
89,2020-06-05,4.5014
90,2020-06-08,5.45
91,2020-06-09,4.94
92,2020-06-10,5.0
93,2020-06-11,4.4
94,2020-06-12,4.6322
95,2020-06-15,4.3449
96,2020-06-16,5.01
97,2020-06-17,5.15
98,2020-06-18,5.49
99,2020-06-19,5.14
100,2020-06-22,5.0
101,2020-06-23,4.91
102,2020-06-24,5.065
103,2020-06-25,4.98
104,2020-06-26,4.83
105,2020-06-29,4.64
106,2020-06-30,4.9
