,date,open
0,2017-11-09,14.5
1,2017-11-10,13.9
2,2017-11-13,14.02
3,2017-11-14,14.2
4,2017-11-15,13.91
5,2017-11-16,13.91
6,2017-11-17,13.79
7,2017-11-20,13.81
8,2017-11-21,13.59
9,2017-11-22,13.92
10,2017-11-24,13.3
11,2017-11-27,13.66
12,2017-11-28,13.69
13,2017-11-29,13.35
14,2017-11-30,13.87
15,2017-12-01,13.87
16,2017-12-04,14.9
17,2017-12-05,14.04
18,2017-12-06,13.67
19,2017-12-07,13.54
20,2017-12-08,14.08
21,2017-12-11,14.47
22,2017-12-12,14.49
23,2017-12-13,12.8
24,2017-12-14,12.52
25,2017-12-15,13.2
26,2017-12-18,13.0
27,2017-12-19,14.48
28,2017-12-20,14.35
29,2017-12-21,13.97
30,2017-12-22,16.54
31,2017-12-26,18.45
32,2017-12-27,18.87
33,2017-12-28,19.46
34,2017-12-29,20.71
35,2018-01-02,21.72
36,2018-01-03,20.86
37,2018-01-04,22.7
38,2018-01-05,25.06
39,2018-01-08,23.56
40,2018-01-09,22.98
41,2018-01-10,21.63
42,2018-01-11,20.18
43,2018-01-12,19.85
44,2018-01-16,19.0
45,2018-01-17,18.06
46,2018-01-18,19.94
47,2018-01-19,19.83
48,2018-01-22,18.86
49,2018-01-23,18.95
50,2018-01-24,17.95
51,2018-01-25,17.3
52,2018-01-26,17.3
53,2018-01-29,17.19
54,2018-01-30,16.45
55,2018-01-31,18.35
56,2018-02-01,16.72
57,2018-02-02,16.29
58,2018-02-05,16.37
59,2018-02-06,15.22
60,2018-02-07,14.95
61,2018-02-08,16.58
62,2018-02-09,15.25
63,2018-02-12,14.14
64,2018-02-13,14.79
65,2018-02-14,14.55
66,2018-02-15,15.31
67,2018-02-16,15.97
68,2018-02-20,14.98
69,2018-02-21,14.74
70,2018-02-22,14.9
71,2018-02-23,15.39
72,2018-02-26,16.5
73,2018-02-27,19.53
74,2018-02-28,17.99
75,2018-03-01,18.0022
76,2018-03-02,18.49
77,2018-03-05,20.24
78,2018-03-06,21.48
79,2018-03-07,21.94
80,2018-03-08,22.42
81,2018-03-09,22.33
82,2018-03-12,22.27
83,2018-03-13,23.79
84,2018-03-14,22.79
85,2018-03-15,25.73
86,2018-03-16,24.44
87,2018-03-19,25.92
88,2018-03-20,25.36
89,2018-03-21,24.46
90,2018-03-22,23.24
91,2018-03-23,24.01
92,2018-03-26,24.98
93,2018-03-27,24.4
94,2018-03-28,24.17
95,2018-03-29,24.06
96,2018-04-02,22.05
97,2018-04-03,20.56
98,2018-04-04,21.05
99,2018-04-05,23.98
100,2018-04-06,23.02
101,2018-04-09,23.45
102,2018-04-10,23.27
103,2018-04-11,25.22
104,2018-04-12,25.01
105,2018-04-13,26.78
106,2018-04-16,26.9
107,2018-04-17,27.29
108,2018-04-18,25.6
109,2018-04-19,25.82
110,2018-04-20,24.35
111,2018-04-23,24.64
112,2018-04-24,23.63
113,2018-04-25,22.45
114,2018-04-26,22.51
115,2018-04-27,24.04
116,2018-04-30,25.22
117,2018-05-01,23.89
118,2018-05-02,23.07
119,2018-05-03,23.8
120,2018-05-04,23.67
121,2018-05-07,24.8
122,2018-05-08,25.25
123,2018-05-09,24.15
124,2018-05-10,24.62
125,2018-05-11,24.17
126,2018-05-14,24.64
127,2018-05-15,24.23
128,2018-05-16,23.92
129,2018-05-17,23.7
130,2018-05-18,24.56
131,2018-05-21,24.25
132,2018-05-22,20.27
133,2018-05-23,19.78
134,2018-05-24,21.37
135,2018-05-25,20.06
136,2018-05-29,20.02
137,2018-05-30,20.46
138,2018-05-31,20.68
139,2018-06-01,20.42
140,2018-06-04,19.81
141,2018-06-05,20.15
142,2018-06-06,21.24
143,2018-06-07,20.98
144,2018-06-08,20.35
145,2018-06-11,19.89
146,2018-06-12,20.54
147,2018-06-13,20.71
148,2018-06-14,22.01
149,2018-06-15,22.07
150,2018-06-18,22.4
151,2018-06-19,22.77
