,date,open
0,2017-05-18,17.9
1,2017-05-19,22.1
2,2017-05-22,21.96
3,2017-05-23,21.16
4,2017-05-24,20.57
5,2017-05-25,20.66
6,2017-05-26,21.11
7,2017-05-30,20.26
8,2017-05-31,20.55
9,2017-06-01,20.62
10,2017-06-02,20.06
11,2017-06-05,20.9
12,2017-06-06,21.04
13,2017-06-07,20.8
14,2017-06-08,20.46
15,2017-06-09,20.25
16,2017-06-12,20.48
17,2017-06-13,20.5
18,2017-06-14,21.19
19,2017-06-15,20.73
20,2017-06-16,20.9
21,2017-06-19,20.83
22,2017-06-20,20.22
23,2017-06-21,20.36
24,2017-06-22,20.19
25,2017-06-23,20.15
26,2017-06-26,19.7654
27,2017-06-27,20.25
28,2017-06-28,20.09
29,2017-06-29,20.11
30,2017-06-30,20.56
31,2017-07-03,20.76
32,2017-07-05,20.16
33,2017-07-06,20.5
34,2017-07-07,20.29
35,2017-07-10,20.25
36,2017-07-11,20.01
37,2017-07-12,20.02
38,2017-07-13,19.9
39,2017-07-14,20.15
40,2017-07-17,20.11
41,2017-07-18,20.15
42,2017-07-19,20.4
43,2017-07-20,20.9811
44,2017-07-21,20.76
45,2017-07-24,20.54
46,2017-07-25,21.11
47,2017-07-26,20.84
48,2017-07-27,21.21
49,2017-07-28,20.79
50,2017-07-31,21.1785
51,2017-08-01,21.9
52,2017-08-02,20.9
53,2017-08-03,21.04
54,2017-08-04,20.865
55,2017-08-07,20.76
56,2017-08-08,20.76
57,2017-08-09,20.74
58,2017-08-10,20.33
59,2017-08-11,20.4
60,2017-08-14,20.29
61,2017-08-15,20.44
62,2017-08-16,20.39
63,2017-08-17,20.41
64,2017-08-18,20.35
65,2017-08-21,20.56
66,2017-08-22,20.57
67,2017-08-23,20.65
68,2017-08-24,20.5
69,2017-08-25,20.51
70,2017-08-28,20.72
71,2017-08-29,20.55
72,2017-08-30,20.57
73,2017-08-31,20.6208
74,2017-09-01,20.66
75,2017-09-05,20.59
76,2017-09-06,20.73
77,2017-09-07,20.7
78,2017-09-08,21.1
79,2017-09-11,20.85
80,2017-09-12,20.9701
81,2017-09-13,21.06
82,2017-09-14,21.06
83,2017-09-15,21.87
84,2017-09-18,21.3001
85,2017-09-19,21.3
86,2017-09-20,21.5
87,2017-09-21,21.47
88,2017-09-22,21.5
89,2017-09-25,21.39
90,2017-09-26,21.7
91,2017-09-27,21.73
92,2017-09-28,21.9115
93,2017-09-29,22.25
94,2017-10-02,22.49
95,2017-10-03,22.85
96,2017-10-04,24.05
97,2017-10-05,25.0
98,2017-10-06,25.88
99,2017-10-09,26.21
100,2017-10-10,26.04
101,2017-10-11,26.42
102,2017-10-12,26.14
103,2017-10-13,25.7399
104,2017-10-16,25.5167
105,2017-10-17,24.39
106,2017-10-18,24.445
107,2017-10-19,24.25
108,2017-10-20,24.0
109,2017-10-23,23.72
110,2017-10-24,23.5
111,2017-10-25,22.63
112,2017-10-26,23.64
113,2017-10-27,22.83
114,2017-10-30,23.15
115,2017-10-31,23.3
