,date,open
0,2020-01-31,23.05
1,2020-02-03,21.16
2,2020-02-04,25.13
3,2020-02-05,26.09
4,2020-02-06,25.27
5,2020-02-07,24.71
6,2020-02-10,26.83
7,2020-02-11,26.64
8,2020-02-12,26.2
9,2020-02-13,25.61
10,2020-02-14,26.41
11,2020-02-18,25.24
12,2020-02-19,25.54
13,2020-02-20,27.34
14,2020-02-21,26.88
15,2020-02-24,26.24
16,2020-02-25,27.31
17,2020-02-26,26.14
18,2020-02-27,28.21
19,2020-02-28,27.13
20,2020-03-02,26.65
21,2020-03-03,27.5
22,2020-03-04,27.67
23,2020-03-05,27.3
24,2020-03-06,27.49
25,2020-03-09,27.55
26,2020-03-10,28.99
27,2020-03-11,30.01
28,2020-03-12,23.23
29,2020-03-13,22.7
30,2020-03-16,21.44
31,2020-03-17,19.38
32,2020-03-18,18.36
33,2020-03-19,18.45
34,2020-03-20,25.95
35,2020-03-23,34.16
36,2020-03-24,37.91
37,2020-03-25,36.53
38,2020-03-26,32.6
39,2020-03-27,30.3
40,2020-03-30,28.0
41,2020-03-31,29.4
42,2020-04-01,29.16
43,2020-04-02,25.61
44,2020-04-03,25.61
45,2020-04-06,26.07
46,2020-04-07,28.55
47,2020-04-08,28.8
48,2020-04-09,27.69
49,2020-04-13,31.5
50,2020-04-14,31.3
51,2020-04-15,30.0
52,2020-04-16,25.7
53,2020-04-17,27.27
54,2020-04-20,26.1
55,2020-04-21,26.47
56,2020-04-22,29.2
57,2020-04-23,28.7
58,2020-04-24,27.49
59,2020-04-27,30.0
60,2020-04-28,30.0
61,2020-04-29,29.95
62,2020-04-30,29.1
63,2020-05-01,28.79
64,2020-05-04,25.53
65,2020-05-05,26.42
66,2020-05-06,25.44
67,2020-05-07,25.09
68,2020-05-08,25.08
69,2020-05-11,24.52
70,2020-05-12,26.83
71,2020-05-13,24.7
72,2020-05-14,26.06
73,2020-05-15,25.46
74,2020-05-18,26.09
75,2020-05-19,28.51
76,2020-05-20,27.28
77,2020-05-21,29.58
