,date,open
0,2018-09-27,21.0
1,2018-09-28,15.98
2,2018-10-01,16.88
3,2018-10-02,16.0
4,2018-10-03,15.25
5,2018-10-04,15.54
6,2018-10-05,15.5
7,2018-10-08,15.21
8,2018-10-09,14.75
9,2018-10-10,14.86
10,2018-10-11,14.46
11,2018-10-12,13.87
12,2018-10-15,14.45
13,2018-10-16,14.96
14,2018-10-17,15.26
15,2018-10-18,15.58
16,2018-10-19,15.42
17,2018-10-22,15.4
18,2018-10-23,14.5
19,2018-10-24,14.14
20,2018-10-25,15.01
21,2018-10-26,15.82
22,2018-10-29,16.02
23,2018-10-30,17.0
24,2018-10-31,16.82
25,2018-11-01,16.18
26,2018-11-02,17.1
27,2018-11-05,17.79
28,2018-11-06,18.03
29,2018-11-07,18.28
30,2018-11-08,18.52
31,2018-11-09,18.45
32,2018-11-12,18.41
33,2018-11-13,16.42
34,2018-11-14,17.12
35,2018-11-15,16.25
36,2018-11-16,15.43
37,2018-11-19,16.43
38,2018-11-20,17.0
39,2018-11-21,17.64
40,2018-11-23,16.79
41,2018-11-26,17.57
42,2018-11-27,18.12
43,2018-11-28,17.35
44,2018-11-29,18.04
45,2018-11-30,16.94
46,2018-12-03,17.12
47,2018-12-04,15.39
48,2018-12-06,16.8
49,2018-12-07,15.78
50,2018-12-10,16.7
51,2018-12-11,17.17
52,2018-12-12,16.98
53,2018-12-13,15.86
54,2018-12-14,15.75
55,2018-12-17,14.15
56,2018-12-18,15.54
57,2018-12-19,15.31
58,2018-12-20,16.08
59,2018-12-21,14.1
60,2018-12-24,12.0
61,2018-12-26,11.31
62,2018-12-27,13.34
63,2018-12-28,12.88
64,2018-12-31,13.06
65,2019-01-02,12.65
66,2019-01-03,13.8
67,2019-01-04,13.72
68,2019-01-07,14.41
69,2019-01-08,15.57
70,2019-01-09,15.26
71,2019-01-10,16.12
72,2019-01-11,16.5
73,2019-01-14,16.34
74,2019-01-15,16.46
75,2019-01-16,16.16
76,2019-01-17,16.2
77,2019-01-18,16.32
78,2019-01-22,16.42
79,2019-01-23,16.46
80,2019-01-24,16.82
81,2019-01-25,16.29
82,2019-01-28,16.65
83,2019-01-29,17.07
84,2019-01-30,17.13
85,2019-01-31,17.35
86,2019-02-01,17.47
87,2019-02-04,19.7
88,2019-02-05,20.74
89,2019-02-06,19.25
90,2019-02-07,19.46
91,2019-02-08,20.25
92,2019-02-11,20.6
93,2019-02-12,21.76
94,2019-02-13,22.09
95,2019-02-14,22.3
96,2019-02-15,22.71
97,2019-02-19,24.16
98,2019-02-20,21.81
99,2019-02-21,22.37
100,2019-02-22,21.44
101,2019-02-25,19.01
102,2019-02-26,18.54
103,2019-02-27,19.99
104,2019-02-28,19.72
105,2019-03-01,19.54
106,2019-03-04,19.33
107,2019-03-05,18.31
108,2019-03-06,18.38
109,2019-03-07,16.87
110,2019-03-08,17.26
111,2019-03-11,16.65
112,2019-03-12,16.98
113,2019-03-13,16.61
114,2019-03-14,17.04
115,2019-03-15,16.68
116,2019-03-18,17.5
117,2019-03-19,16.63
118,2019-03-20,17.05
119,2019-03-21,16.95
120,2019-03-22,16.81
121,2019-03-25,15.9
122,2019-03-26,16.41
123,2019-03-27,15.72
124,2019-03-28,15.51
125,2019-03-29,14.9
126,2019-04-01,14.9
127,2019-04-02,16.21
128,2019-04-03,17.44
129,2019-04-04,17.41
130,2019-04-05,17.0
131,2019-04-08,17.28
132,2019-04-09,18.27
133,2019-04-10,18.84
134,2019-04-11,20.0
135,2019-04-12,20.47
136,2019-04-15,21.01
137,2019-04-16,23.25
138,2019-04-17,22.14
139,2019-04-18,20.74
140,2019-04-22,22.69
141,2019-04-23,22.89
142,2019-04-24,22.73
143,2019-04-25,22.76
144,2019-04-26,22.64
145,2019-04-29,22.04
146,2019-04-30,21.63
147,2019-05-01,20.77
148,2019-05-02,20.11
149,2019-05-03,20.16
150,2019-05-06,19.78
151,2019-05-07,19.73
152,2019-05-08,19.32
153,2019-05-09,21.31
154,2019-05-10,22.0
155,2019-05-13,21.78
156,2019-05-14,22.02
157,2019-05-15,21.02
158,2019-05-16,20.61
159,2019-05-17,21.79
160,2019-05-20,22.07
161,2019-05-21,22.45
162,2019-05-22,22.49
163,2019-05-23,21.88
164,2019-05-24,22.26
165,2019-05-28,22.03
166,2019-05-29,21.03
167,2019-05-30,22.36
168,2019-05-31,21.44
169,2019-06-03,20.91
170,2019-06-04,21.9
171,2019-06-05,20.87
172,2019-06-06,21.49
173,2019-06-07,20.65
174,2019-06-10,20.01
175,2019-06-11,19.75
176,2019-06-12,18.75
177,2019-06-13,19.9
178,2019-06-14,19.43
179,2019-06-17,20.68
180,2019-06-18,21.98
181,2019-06-19,21.95
182,2019-06-20,22.5
183,2019-06-21,22.03
184,2019-06-24,21.91
185,2019-06-25,21.98
186,2019-06-26,22.62
187,2019-06-27,23.81
188,2019-06-28,23.25
189,2019-07-01,22.49
190,2019-07-02,22.72
191,2019-07-03,22.87
192,2019-07-05,24.84
193,2019-07-08,27.17
194,2019-07-09,25.84
195,2019-07-10,26.23
196,2019-07-11,25.33
197,2019-07-12,25.09
198,2019-07-15,24.85
199,2019-07-16,24.92
200,2019-07-17,25.2
201,2019-07-18,23.89
202,2019-07-19,24.42
203,2019-07-22,24.76
204,2019-07-23,24.91
205,2019-07-24,25.17
206,2019-07-25,24.33
207,2019-07-26,26.25
208,2019-07-29,27.75
209,2019-07-30,26.4
210,2019-07-31,26.44
211,2019-08-01,26.7
212,2019-08-02,25.2
213,2019-08-05,23.04
214,2019-08-06,24.86
215,2019-08-07,23.27
216,2019-08-08,23.86
217,2019-08-09,24.59
218,2019-08-12,24.35
219,2019-08-13,24.23
220,2019-08-14,24.02
221,2019-08-15,24.17
222,2019-08-16,23.36
223,2019-08-19,24.16
224,2019-08-20,24.02
225,2019-08-21,24.27
226,2019-08-22,23.96
227,2019-08-23,23.82
228,2019-08-26,23.11
229,2019-08-27,23.9
230,2019-08-28,23.87
231,2019-08-29,24.57
232,2019-08-30,26.16
233,2019-09-03,25.55
234,2019-09-04,25.24
235,2019-09-05,24.64
236,2019-09-06,24.35
237,2019-09-09,23.99
238,2019-09-10,23.15
239,2019-09-11,24.01
240,2019-09-12,25.39
241,2019-09-13,26.16
242,2019-09-16,24.98
243,2019-09-17,24.38
244,2019-09-18,24.77
245,2019-09-19,24.31
246,2019-09-20,24.56
247,2019-09-23,24.67
248,2019-09-24,24.35
249,2019-09-25,26.32
250,2019-09-26,24.42
251,2019-09-27,23.5
252,2019-09-30,22.78
253,2019-10-01,21.8
254,2019-10-02,19.92
255,2019-10-03,18.62
256,2019-10-04,19.46
257,2019-10-07,19.08
258,2019-10-08,18.23
259,2019-10-09,17.58
260,2019-10-10,17.65
261,2019-10-11,17.79
262,2019-10-14,17.59
263,2019-10-15,16.78
264,2019-10-16,16.87
265,2019-10-17,16.24
266,2019-10-18,15.45
267,2019-10-21,15.46
268,2019-10-22,16.03
269,2019-10-23,17.04
270,2019-10-24,20.01
271,2019-10-25,20.46
272,2019-10-28,21.5
273,2019-10-29,20.23
274,2019-10-30,20.66
275,2019-10-31,20.79
276,2019-11-01,20.78
277,2019-11-04,22.0
278,2019-11-05,21.33
279,2019-11-06,22.7
280,2019-11-07,23.99
281,2019-11-08,24.8
282,2019-11-11,25.3
283,2019-11-12,25.8
284,2019-11-13,26.69
285,2019-11-14,28.75
286,2019-11-15,30.6
287,2019-11-18,30.55
288,2019-11-19,31.08
289,2019-11-20,32.73
290,2019-11-21,34.08
291,2019-11-22,34.74
292,2019-11-25,35.34
293,2019-11-26,34.6
294,2019-11-27,34.0
295,2019-11-29,37.07
296,2019-12-02,38.55
297,2019-12-03,36.76
298,2019-12-04,37.71
299,2019-12-05,38.92
300,2019-12-06,38.0
301,2019-12-09,38.37
302,2019-12-10,38.88
303,2019-12-11,42.91
304,2019-12-12,42.51
305,2019-12-13,43.16
306,2019-12-16,42.3
307,2019-12-17,42.96
308,2019-12-18,41.7
309,2019-12-19,41.43
310,2019-12-20,40.71
311,2019-12-23,39.87
312,2019-12-24,41.97
313,2019-12-26,42.64
314,2019-12-27,44.53
315,2019-12-30,41.66
316,2019-12-31,42.28
317,2020-01-02,41.2
318,2020-01-03,40.76
319,2020-01-06,41.64
320,2020-01-07,42.57
321,2020-01-08,43.65
322,2020-01-09,44.99
323,2020-01-10,44.51
324,2020-01-13,46.71
325,2020-01-14,46.67
326,2020-01-15,48.8
327,2020-01-16,51.95
328,2020-01-17,51.77
329,2020-01-21,50.62
330,2020-01-22,51.2
331,2020-01-23,49.74
332,2020-01-24,51.12
333,2020-01-27,48.89
334,2020-01-28,51.19
335,2020-01-29,51.71
336,2020-01-30,51.07
337,2020-01-31,49.84
338,2020-02-03,48.46
339,2020-02-04,50.87
340,2020-02-05,50.38
341,2020-02-06,53.16
342,2020-02-07,54.1
343,2020-02-10,51.0
344,2020-02-11,52.74
345,2020-02-12,50.58
346,2020-02-13,52.26
