,date,open
0,2015-01-28,21.5
1,2015-01-29,18.71
2,2015-01-30,19.76
3,2015-02-02,19.85
4,2015-02-03,19.04
5,2015-02-04,18.5
6,2015-02-05,18.8
7,2015-02-06,17.76
8,2015-02-09,17.81
9,2015-02-10,18.158
10,2015-02-11,18.08
11,2015-02-12,18.1526
12,2015-02-13,17.99
13,2015-02-17,17.9353
14,2015-02-18,17.95
15,2015-02-19,17.9001
16,2015-02-20,19.61
17,2015-02-23,19.92
18,2015-02-24,18.21
19,2015-02-25,18.97
20,2015-02-26,18.55
21,2015-02-27,18.49
22,2015-03-02,18.0028
23,2015-03-03,17.9
24,2015-03-04,17.97
25,2015-03-05,18.15
26,2015-03-06,18.0
27,2015-03-09,17.7
28,2015-03-10,17.52
29,2015-03-11,17.42
30,2015-03-12,18.05
31,2015-03-13,18.115
32,2015-03-16,17.2258
33,2015-03-17,18.17
34,2015-03-18,17.87
35,2015-03-19,18.87
36,2015-03-20,18.1801
37,2015-03-23,18.092
38,2015-03-24,17.855
39,2015-03-25,17.98
40,2015-03-26,17.8
41,2015-03-27,17.75
42,2015-03-30,17.8
43,2015-03-31,17.49
44,2015-04-01,17.64
45,2015-04-02,17.4
46,2015-04-06,17.614
47,2015-04-07,17.52
48,2015-04-08,17.74
49,2015-04-09,18.34
50,2015-04-10,18.13
51,2015-04-13,18.1
52,2015-04-14,17.56
53,2015-04-15,17.84
54,2015-04-16,17.621
55,2015-04-17,18.56
56,2015-04-20,19.73
57,2015-04-21,19.78
58,2015-04-22,20.44
59,2015-04-23,20.4
60,2015-04-24,20.62
61,2015-04-27,20.35
62,2015-04-28,19.43
63,2015-04-29,16.9
64,2015-04-30,17.25
65,2015-05-01,17.03
66,2015-05-04,17.49
67,2015-05-05,17.05
68,2015-05-06,16.18
69,2015-05-07,16.27
70,2015-05-08,16.18
71,2015-05-11,16.21
72,2015-05-12,16.47
73,2015-05-13,16.88
74,2015-05-14,16.56
75,2015-05-15,17.13
76,2015-05-18,17.47
77,2015-05-19,17.66
78,2015-05-20,17.905
79,2015-05-21,18.15
80,2015-05-22,17.81
81,2015-05-26,17.46
82,2015-05-27,17.55
83,2015-05-28,16.0
84,2015-05-29,16.18
85,2015-06-01,16.91
86,2015-06-02,16.11
87,2015-06-03,16.285
88,2015-06-04,16.19
89,2015-06-05,16.65
90,2015-06-08,16.5
91,2015-06-09,16.24
92,2015-06-10,16.3
93,2015-06-11,15.84
94,2015-06-12,16.13
95,2015-06-15,16.38
96,2015-06-16,17.44
97,2015-06-17,18.11
98,2015-06-18,17.5
99,2015-06-19,17.73
100,2015-06-22,17.75
101,2015-06-23,17.52
102,2015-06-24,17.43
103,2015-06-25,16.85
104,2015-06-26,16.88
105,2015-06-29,17.0
106,2015-06-30,17.2875
107,2015-07-01,17.7
108,2015-07-02,18.25
109,2015-07-06,18.51
110,2015-07-07,18.7
111,2015-07-08,18.88
112,2015-07-09,19.07
113,2015-07-10,19.91
114,2015-07-13,19.46
115,2015-07-14,19.73
116,2015-07-15,20.93
117,2015-07-16,21.25
118,2015-07-17,21.7
119,2015-07-20,21.31
120,2015-07-21,21.41
121,2015-07-22,20.93
122,2015-07-23,21.28
123,2015-07-24,21.37
124,2015-07-27,21.19
125,2015-07-28,19.88
126,2015-07-29,20.29
127,2015-07-30,23.81
128,2015-07-31,21.38
129,2015-08-03,19.9
130,2015-08-04,19.48
131,2015-08-05,19.57
132,2015-08-06,19.05
133,2015-08-07,19.08
134,2015-08-10,19.41
135,2015-08-11,20.1
136,2015-08-12,20.41
137,2015-08-13,19.86
138,2015-08-14,17.16
139,2015-08-17,16.99
140,2015-08-18,17.34
141,2015-08-19,17.8
142,2015-08-20,17.6
143,2015-08-21,17.58
144,2015-08-24,17.9
145,2015-08-25,18.34
146,2015-08-26,20.07
147,2015-08-27,20.93
148,2015-08-28,19.9
149,2015-08-31,19.43
150,2015-09-01,18.21
151,2015-09-02,20.0
152,2015-09-03,19.58
153,2015-09-04,19.8
154,2015-09-08,20.03
155,2015-09-09,19.75
156,2015-09-10,19.49
157,2015-09-11,20.56
158,2015-09-14,20.5
159,2015-09-15,19.93
160,2015-09-16,19.36
161,2015-09-17,20.0
162,2015-09-18,18.99
163,2015-09-21,20.0
164,2015-09-22,19.23
165,2015-09-23,19.63
166,2015-09-24,19.31
167,2015-09-25,18.99
168,2015-09-28,16.76
169,2015-09-29,16.4
170,2015-09-30,17.0
171,2015-10-01,17.77
172,2015-10-02,16.55
173,2015-10-05,16.05
174,2015-10-06,16.57
175,2015-10-07,16.54
176,2015-10-08,17.37
177,2015-10-09,16.89
178,2015-10-12,17.62
179,2015-10-13,16.88
180,2015-10-14,16.32
181,2015-10-15,16.51
182,2015-10-16,18.035
183,2015-10-19,17.97
184,2015-10-20,17.92
185,2015-10-21,17.93
186,2015-10-22,17.78
187,2015-10-23,18.0
188,2015-10-26,18.06
189,2015-10-27,17.5
190,2015-10-28,17.96
191,2015-10-29,17.65
192,2015-10-30,17.9
193,2015-11-02,18.12
194,2015-11-03,18.79
195,2015-11-04,17.66
196,2015-11-05,17.83
197,2015-11-06,17.85
198,2015-11-09,17.78
199,2015-11-10,17.96
200,2015-11-11,18.2
201,2015-11-12,18.22
202,2015-11-13,17.099
203,2015-11-16,17.95
204,2015-11-17,17.68
205,2015-11-18,17.68
206,2015-11-19,17.82
207,2015-11-20,16.76
208,2015-11-23,16.75
209,2015-11-24,17.31
210,2015-11-25,17.59
211,2015-11-27,17.89
212,2015-11-30,18.1
213,2015-12-01,18.0
214,2015-12-02,17.81
215,2015-12-03,17.3601
216,2015-12-04,17.26
217,2015-12-07,17.17
218,2015-12-08,16.65
219,2015-12-09,16.7
220,2015-12-10,16.956
221,2015-12-11,16.62
222,2015-12-14,17.5
223,2015-12-15,17.82
224,2015-12-16,18.07
225,2015-12-17,17.91
226,2015-12-18,17.42
227,2015-12-21,17.25
228,2015-12-22,16.9
229,2015-12-23,17.1
230,2015-12-24,17.8
231,2015-12-28,17.9
232,2015-12-29,17.6
233,2015-12-30,17.65
234,2015-12-31,17.79
235,2016-01-04,18.06
236,2016-01-05,17.93
237,2016-01-06,17.79
238,2016-01-07,17.44
239,2016-01-08,16.76
240,2016-01-11,14.7
241,2016-01-12,14.3
242,2016-01-13,14.7
243,2016-01-14,14.91
244,2016-01-15,15.83
245,2016-01-19,17.25
246,2016-01-20,16.36
247,2016-01-21,16.3
248,2016-01-22,16.72
249,2016-01-25,18.0
250,2016-01-26,18.31
251,2016-01-27,18.52
252,2016-01-28,18.64
253,2016-01-29,17.6579
254,2016-02-01,18.74
255,2016-02-02,18.73
256,2016-02-03,18.46
257,2016-02-04,18.52
258,2016-02-05,18.9
259,2016-02-08,18.84
260,2016-02-09,17.98
261,2016-02-10,18.0
262,2016-02-11,18.1
263,2016-02-12,18.05
264,2016-02-16,18.18
265,2016-02-17,18.45
266,2016-02-18,18.0
267,2016-02-19,18.01
268,2016-02-22,18.37
269,2016-02-23,18.57
270,2016-02-24,18.59
271,2016-02-25,18.04
272,2016-02-26,18.0
273,2016-02-29,17.89
274,2016-03-01,17.49
275,2016-03-02,16.85
276,2016-03-03,16.62
277,2016-03-04,17.27
278,2016-03-07,17.75
279,2016-03-08,17.72
280,2016-03-09,17.93
281,2016-03-10,17.96
282,2016-03-11,18.05
283,2016-03-14,18.31
284,2016-03-15,18.22
285,2016-03-16,18.03
286,2016-03-17,18.56
287,2016-03-18,17.39
288,2016-03-21,17.86
289,2016-03-22,17.75
290,2016-03-23,17.92
291,2016-03-24,17.69
292,2016-03-28,17.63
293,2016-03-29,17.92
294,2016-03-30,18.17
295,2016-03-31,18.7
296,2016-04-01,18.31
297,2016-04-04,18.7
298,2016-04-05,18.74
299,2016-04-06,18.48
300,2016-04-07,18.79
301,2016-04-08,18.6
302,2016-04-11,18.45
303,2016-04-12,18.62
304,2016-04-13,18.49
305,2016-04-14,18.19
306,2016-04-15,18.19
307,2016-04-18,17.52
308,2016-04-19,17.81
309,2016-04-20,17.8
310,2016-04-21,17.33
311,2016-04-22,18.05
312,2016-04-25,17.58
313,2016-04-26,17.74
314,2016-04-27,17.41
315,2016-04-28,17.13
316,2016-04-29,16.96
317,2016-05-02,16.78
318,2016-05-03,16.84
319,2016-05-04,16.89
320,2016-05-05,17.32
321,2016-05-06,16.27
322,2016-05-09,16.08
323,2016-05-10,15.8
324,2016-05-11,15.86
325,2016-05-12,15.72
326,2016-05-13,15.2
327,2016-05-16,14.83
328,2016-05-17,14.57
329,2016-05-18,14.67
330,2016-05-19,14.87
331,2016-05-20,13.96
332,2016-05-23,14.0
333,2016-05-24,14.06
334,2016-05-25,13.96
335,2016-05-26,13.96
336,2016-05-27,13.7601
337,2016-05-31,14.0
338,2016-06-01,13.86
339,2016-06-02,13.7
340,2016-06-03,13.8
341,2016-06-06,12.92
342,2016-06-07,12.5
343,2016-06-08,12.54
344,2016-06-09,13.98
345,2016-06-10,13.6
346,2016-06-13,13.42
347,2016-06-14,12.87
348,2016-06-15,12.8
349,2016-06-16,12.97
350,2016-06-17,13.69
351,2016-06-20,13.89
352,2016-06-21,14.25
353,2016-06-22,13.96
354,2016-06-23,13.6
355,2016-06-24,13.72
356,2016-06-27,13.76
357,2016-06-28,13.07
358,2016-06-29,13.34
359,2016-06-30,13.43
360,2016-07-01,13.42
361,2016-07-05,12.97
362,2016-07-06,13.27
363,2016-07-07,13.42
364,2016-07-08,12.87
365,2016-07-11,12.94
366,2016-07-12,13.0
367,2016-07-13,13.0
368,2016-07-14,12.6111
369,2016-07-15,12.86
370,2016-07-18,12.94
371,2016-07-19,12.84
372,2016-07-20,12.9
373,2016-07-21,13.21
374,2016-07-22,13.24
375,2016-07-25,12.85
376,2016-07-26,12.89
377,2016-07-27,13.0
378,2016-07-28,13.05
379,2016-07-29,13.41
380,2016-08-01,14.35
381,2016-08-02,14.0
382,2016-08-03,13.98
383,2016-08-04,14.39
384,2016-08-05,14.4
385,2016-08-08,14.07
386,2016-08-09,14.25
387,2016-08-10,14.47
388,2016-08-11,14.55
389,2016-08-12,14.64
390,2016-08-15,14.93
391,2016-08-16,15.31
392,2016-08-17,17.01
393,2016-08-18,17.01
394,2016-08-19,18.25
395,2016-08-22,18.33
396,2016-08-23,18.05
397,2016-08-24,18.32
398,2016-08-25,17.86
399,2016-08-26,17.56
400,2016-08-29,18.32
401,2016-08-30,18.25
402,2016-08-31,18.01
403,2016-09-01,18.7
404,2016-09-02,19.89
405,2016-09-06,19.26
406,2016-09-07,19.55
407,2016-09-08,19.67
408,2016-09-09,19.81
409,2016-09-12,19.22
410,2016-09-13,19.8
411,2016-09-14,19.96
412,2016-09-15,20.44
413,2016-09-16,21.31
414,2016-09-19,20.11
415,2016-09-20,19.97
416,2016-09-21,19.89
417,2016-09-22,20.04
418,2016-09-23,19.85
419,2016-09-26,19.24
420,2016-09-27,20.3
421,2016-09-28,21.3
422,2016-09-29,20.8
423,2016-09-30,20.58
424,2016-10-03,19.85
425,2016-10-04,19.96
426,2016-10-05,19.89
427,2016-10-06,20.27
428,2016-10-07,20.04
429,2016-10-10,19.62
430,2016-10-11,19.77
431,2016-10-12,19.85
432,2016-10-13,19.84
433,2016-10-14,20.57
434,2016-10-17,20.15
435,2016-10-18,20.25
436,2016-10-19,19.01
437,2016-10-20,18.75
438,2016-10-21,18.81
439,2016-10-24,18.85
440,2016-10-25,19.06
441,2016-10-26,19.1
442,2016-10-27,19.25
443,2016-10-28,18.89
444,2016-10-31,18.66
445,2016-11-01,19.2
446,2016-11-02,18.89
447,2016-11-03,19.5
448,2016-11-04,19.1
449,2016-11-07,19.12
450,2016-11-08,19.2
451,2016-11-09,19.15
452,2016-11-10,19.5
453,2016-11-11,19.5
454,2016-11-14,19.13
455,2016-11-15,20.0
456,2016-11-16,20.06
457,2016-11-17,20.0
458,2016-11-18,20.0
459,2016-11-21,20.44
460,2016-11-22,20.28
461,2016-11-23,20.26
462,2016-11-25,20.49
463,2016-11-28,20.48
464,2016-11-29,20.42
465,2016-11-30,20.49
466,2016-12-01,20.7
467,2016-12-02,20.32
468,2016-12-05,20.11
469,2016-12-06,20.4
