,date,open
0,2020-10-30,27.02
1,2020-11-02,29.94
2,2020-11-03,30.59
3,2020-11-04,28.0
4,2020-11-05,31.06
5,2020-11-06,33.71
6,2020-11-09,28.0
7,2020-11-10,26.37
8,2020-11-11,26.9
9,2020-11-12,28.5
10,2020-11-13,29.57
11,2020-11-16,31.96
12,2020-11-17,32.28
13,2020-11-18,33.45
14,2020-11-19,32.24
15,2020-11-20,32.27
16,2020-11-23,33.62
17,2020-11-24,35.76
18,2020-11-25,34.5
19,2020-11-27,34.25
20,2020-11-30,34.5
21,2020-12-01,34.1
22,2020-12-02,31.74
23,2020-12-03,30.74
24,2020-12-04,28.59
25,2020-12-07,29.4
26,2020-12-08,28.48
27,2020-12-09,28.47
28,2020-12-10,27.7
29,2020-12-11,28.2
30,2020-12-14,29.38
31,2020-12-15,31.42
32,2020-12-16,30.5
33,2020-12-17,30.88
34,2020-12-18,31.18
35,2020-12-21,33.88
36,2020-12-22,34.94
37,2020-12-23,36.69
38,2020-12-24,34.31
39,2020-12-28,34.5
40,2020-12-29,39.28
41,2020-12-30,39.54
42,2020-12-31,41.87
43,2021-01-04,42.15
44,2021-01-05,41.57
45,2021-01-06,42.17
46,2021-01-07,43.52
47,2021-01-08,45.08
48,2021-01-11,48.99
49,2021-01-12,46.75
50,2021-01-13,45.45
51,2021-01-14,50.27
52,2021-01-15,51.43
53,2021-01-19,54.07
54,2021-01-20,55.4
55,2021-01-21,58.11
56,2021-01-22,53.97
57,2021-01-25,53.93
58,2021-01-26,55.84
59,2021-01-27,55.62
60,2021-01-28,59.39
61,2021-01-29,61.23
62,2021-02-01,76.66
63,2021-02-02,77.43
64,2021-02-03,84.99
65,2021-02-04,88.73
66,2021-02-05,82.41
67,2021-02-08,86.01
68,2021-02-09,89.44
69,2021-02-10,87.77
70,2021-02-11,89.67
71,2021-02-12,88.04
72,2021-02-16,84.0
73,2021-02-17,82.76
74,2021-02-18,86.56
75,2021-02-19,83.79
76,2021-02-22,82.49
77,2021-02-23,82.14
78,2021-02-24,78.22
79,2021-02-25,80.38
80,2021-02-26,79.48
81,2021-03-01,76.0
82,2021-03-02,74.24
83,2021-03-03,73.94
84,2021-03-04,69.98
85,2021-03-05,62.17
86,2021-03-08,59.83
87,2021-03-09,60.48
88,2021-03-10,62.68
89,2021-03-11,64.88
90,2021-03-12,66.79
91,2021-03-15,66.52
92,2021-03-16,69.78
93,2021-03-17,76.2
94,2021-03-18,76.65
95,2021-03-19,75.27
96,2021-03-22,78.69
97,2021-03-23,77.41
98,2021-03-24,68.97
99,2021-03-25,66.2
100,2021-03-26,60.0
101,2021-03-29,59.31
102,2021-03-30,58.82
103,2021-03-31,56.42
104,2021-04-01,62.32
105,2021-04-05,57.86
106,2021-04-06,59.26
107,2021-04-07,59.69
108,2021-04-08,57.72
109,2021-04-09,56.05
110,2021-04-12,57.0
111,2021-04-13,55.46
112,2021-04-14,57.07
113,2021-04-15,54.58
114,2021-04-16,46.02
115,2021-04-19,44.97
116,2021-04-20,44.26
117,2021-04-21,42.37
118,2021-04-22,40.7
119,2021-04-23,39.43
120,2021-04-26,37.0
121,2021-04-27,36.41
122,2021-04-28,32.41
123,2021-04-29,27.07
124,2021-04-30,26.35
125,2021-05-03,25.0
126,2021-05-04,22.4
127,2021-05-05,21.1
128,2021-05-06,21.15
129,2021-05-07,21.99
130,2021-05-10,21.5
131,2021-05-11,19.0
132,2021-05-12,20.89
133,2021-05-13,20.05
134,2021-05-14,20.74
135,2021-05-17,22.81
136,2021-05-18,23.61
137,2021-05-19,23.13
138,2021-05-20,22.07
139,2021-05-21,23.58
140,2021-05-24,22.73
141,2021-05-25,20.92
142,2021-05-26,20.04
143,2021-05-27,20.39
144,2021-05-28,20.54
145,2021-06-01,20.63
146,2021-06-02,20.58
147,2021-06-03,20.74
148,2021-06-04,20.68
149,2021-06-07,21.9
150,2021-06-08,24.13
151,2021-06-09,23.85
152,2021-06-10,25.1
153,2021-06-11,25.37
154,2021-06-14,23.88
155,2021-06-15,23.66
156,2021-06-16,23.56
157,2021-06-17,23.28
158,2021-06-18,22.91
159,2021-06-21,23.35
160,2021-06-22,24.3
161,2021-06-23,23.57
162,2021-06-24,23.21
163,2021-06-25,23.56
164,2021-06-28,24.13
165,2021-06-29,26.2
166,2021-06-30,26.79
167,2021-07-01,21.7815
168,2021-07-02,21.5
169,2021-07-06,23.3
170,2021-07-07,23.94
171,2021-07-08,21.56
172,2021-07-09,22.9
173,2021-07-12,22.98
174,2021-07-13,23.17
175,2021-07-14,22.44
176,2021-07-15,22.93
177,2021-07-16,21.94
178,2021-07-19,22.72
179,2021-07-20,24.7
180,2021-07-21,25.02
181,2021-07-22,25.07
182,2021-07-23,25.53
183,2021-07-26,25.0
184,2021-07-27,24.45
185,2021-07-28,26.19
186,2021-07-29,25.03
187,2021-07-30,24.36
188,2021-08-02,26.0
189,2021-08-03,26.06
190,2021-08-04,27.69
191,2021-08-05,27.15
192,2021-08-06,28.0
193,2021-08-09,31.5
194,2021-08-10,32.63
195,2021-08-11,33.48
196,2021-08-12,33.4
197,2021-08-13,31.0
198,2021-08-16,27.69
199,2021-08-17,27.04
200,2021-08-18,28.93
201,2021-08-19,29.2
202,2021-08-20,29.55
203,2021-08-23,30.14
204,2021-08-24,30.0
205,2021-08-25,30.0
206,2021-08-26,30.45
207,2021-08-27,29.55
208,2021-08-30,31.35
209,2021-08-31,30.31
210,2021-09-01,30.25
211,2021-09-02,28.63
212,2021-09-03,28.89
213,2021-09-07,29.16
214,2021-09-08,29.7
215,2021-09-09,28.75
216,2021-09-10,28.99
217,2021-09-13,28.8
218,2021-09-14,28.06
219,2021-09-15,27.62
220,2021-09-16,25.68
221,2021-09-17,26.95
222,2021-09-20,27.0
223,2021-09-21,29.48
224,2021-09-22,29.0
225,2021-09-23,31.8
226,2021-09-24,32.3
227,2021-09-27,32.49
228,2021-09-28,33.75
229,2021-09-29,32.2
230,2021-09-30,32.59
231,2021-10-01,46.0
232,2021-10-04,43.17
233,2021-10-05,44.2433
234,2021-10-06,42.86
235,2021-10-07,39.99
236,2021-10-08,40.5
237,2021-10-11,40.2
238,2021-10-12,39.08
239,2021-10-13,38.46
240,2021-10-14,42.6
241,2021-10-15,40.41
242,2021-10-18,39.72
243,2021-10-19,11.2
244,2021-10-20,13.83
245,2021-10-21,12.95
246,2021-10-22,12.12
247,2021-10-25,12.6231
248,2021-10-26,12.55
249,2021-10-27,12.37
250,2021-10-28,12.23
251,2021-10-29,11.96
252,2021-11-01,11.6
253,2021-11-02,12.09
254,2021-11-03,11.7
255,2021-11-04,12.16
256,2021-11-05,11.36
257,2021-11-08,10.69
258,2021-11-09,10.8
259,2021-11-10,10.87
260,2021-11-11,10.6952
261,2021-11-12,11.07
262,2021-11-15,11.32
263,2021-11-16,11.4
264,2021-11-17,9.66
265,2021-11-18,8.41
266,2021-11-19,8.68
267,2021-11-22,8.05
268,2021-11-23,7.91
269,2021-11-24,7.53
270,2021-11-26,7.79
271,2021-11-29,8.2
272,2021-11-30,7.82
273,2021-12-01,7.98
274,2021-12-02,7.685
275,2021-12-03,8.17
276,2021-12-06,7.97
277,2021-12-07,7.85
278,2021-12-08,8.31
279,2021-12-09,8.58
280,2021-12-10,7.94
281,2021-12-13,8.02
282,2021-12-14,8.02
283,2021-12-15,8.12
284,2021-12-16,8.12
285,2021-12-17,8.27
286,2021-12-20,8.55
287,2021-12-21,8.52
288,2021-12-22,8.83
289,2021-12-23,9.0
290,2021-12-27,9.06
291,2021-12-28,9.25
292,2021-12-29,9.04
293,2021-12-30,8.76
294,2021-12-31,9.01
295,2022-01-03,9.3
296,2022-01-04,9.03
297,2022-01-05,8.5
298,2022-01-06,7.8
299,2022-01-07,7.78
300,2022-01-10,7.9318
301,2022-01-11,7.69
302,2022-01-12,7.88
303,2022-01-13,7.59
304,2022-01-14,7.17
305,2022-01-18,7.14
306,2022-01-19,6.9
307,2022-01-20,6.94
308,2022-01-21,6.81
309,2022-01-24,6.21
310,2022-01-25,6.52
311,2022-01-26,6.59
312,2022-01-27,6.69
313,2022-01-28,6.36
314,2022-01-31,6.83
315,2022-02-01,7.15
316,2022-02-02,7.28
317,2022-02-03,6.89
318,2022-02-04,6.82
319,2022-02-07,6.84
320,2022-02-08,6.82
321,2022-02-09,6.97
322,2022-02-10,7.11
323,2022-02-11,7.01
324,2022-02-14,6.71
325,2022-02-15,6.24
326,2022-02-16,6.39
327,2022-02-17,6.34
328,2022-02-18,6.0
329,2022-02-22,5.86
330,2022-02-23,5.93
331,2022-02-24,5.56
332,2022-02-25,6.23
333,2022-02-28,6.35
334,2022-03-01,7.0
335,2022-03-02,6.438
336,2022-03-03,6.49
337,2022-03-04,6.17
338,2022-03-07,5.75
339,2022-03-08,5.76
340,2022-03-09,6.07
341,2022-03-10,6.23
342,2022-03-11,6.14
343,2022-03-14,5.73
344,2022-03-15,5.6675
345,2022-03-16,5.76
346,2022-03-17,6.15
347,2022-03-18,6.59
348,2022-03-21,7.03
349,2022-03-22,6.93
350,2022-03-23,7.25
351,2022-03-24,7.33
352,2022-03-25,7.31
353,2022-03-28,6.93
354,2022-03-29,7.06
355,2022-03-30,7.27
356,2022-03-31,7.07
357,2022-04-01,7.22
358,2022-04-04,7.2
359,2022-04-05,7.18
360,2022-04-06,6.73
361,2022-04-07,6.71
362,2022-04-08,6.69
363,2022-04-11,6.55
364,2022-04-12,6.67
365,2022-04-13,6.55
366,2022-04-14,6.7
367,2022-04-18,6.55
368,2022-04-19,6.16
369,2022-04-20,6.41
370,2022-04-21,6.48
371,2022-04-22,6.03
372,2022-04-25,5.85
373,2022-04-26,6.04
374,2022-04-27,5.84
375,2022-04-28,5.99
376,2022-04-29,6.16
377,2022-05-02,5.86
378,2022-05-03,6.13
379,2022-05-04,6.17
380,2022-05-05,6.05
381,2022-05-06,5.62
382,2022-05-09,5.43
383,2022-05-10,5.55
384,2022-05-11,5.84
385,2022-05-12,5.89
386,2022-05-13,6.58
387,2022-05-16,7.21
388,2022-05-17,7.73
389,2022-05-18,7.11
390,2022-05-19,7.14
391,2022-05-20,7.3
392,2022-05-23,7.49
393,2022-05-24,7.23
394,2022-05-25,7.45
395,2022-05-26,7.42
396,2022-05-27,7.6
