,date,open
0,2015-10-28,9.23
1,2015-10-29,9.6
2,2015-10-30,9.99
3,2015-11-02,11.18
4,2015-11-03,13.66
5,2015-11-04,14.18
6,2015-11-05,12.4
7,2015-11-06,10.57
8,2015-11-09,9.09
9,2015-11-10,4.58
10,2015-11-11,5.45
11,2015-11-12,5.68
12,2015-11-13,5.21
13,2015-11-16,4.6
14,2015-11-17,3.9
15,2015-11-18,4.1
16,2015-11-19,6.33
17,2015-11-20,5.67
18,2015-11-23,6.07
19,2015-11-24,5.95
20,2015-11-25,5.65
21,2015-11-27,5.63
22,2015-11-30,7.25
23,2015-12-01,7.06
24,2015-12-02,5.78
25,2015-12-03,5.86
26,2015-12-04,6.52
27,2015-12-07,6.35
28,2015-12-08,6.28
29,2015-12-09,6.67
30,2015-12-10,7.04
31,2015-12-11,6.61
32,2015-12-14,7.44
33,2015-12-15,7.74
34,2015-12-16,7.0
35,2015-12-17,7.26
36,2015-12-18,7.46
37,2015-12-21,7.67
38,2015-12-22,7.53
39,2015-12-23,7.52
40,2015-12-24,7.45
41,2015-12-28,7.1
42,2015-12-29,5.96
43,2015-12-30,5.89
44,2015-12-31,5.09
45,2016-01-04,5.49
46,2016-01-05,6.12
47,2016-01-06,6.05
48,2016-01-07,4.98
49,2016-01-08,4.7
50,2016-01-11,5.68
51,2016-01-12,5.03
52,2016-01-13,4.05
53,2016-01-14,3.77
54,2016-01-15,3.76
55,2016-01-19,4.02
56,2016-01-20,3.55
57,2016-01-21,3.55
58,2016-01-22,3.65
59,2016-01-25,3.7
60,2016-01-26,4.06
61,2016-01-27,3.76
62,2016-01-28,3.65
63,2016-01-29,3.42
64,2016-02-01,3.6
65,2016-02-02,4.0
66,2016-02-03,4.25
67,2016-02-04,4.37
68,2016-02-05,4.7
69,2016-02-08,4.25
70,2016-02-09,4.12
71,2016-02-10,3.83
72,2016-02-11,3.4
73,2016-02-12,3.72
74,2016-02-16,3.78
75,2016-02-17,3.72
76,2016-02-18,3.82
77,2016-02-19,4.25
78,2016-02-22,3.95
79,2016-02-23,3.93
80,2016-02-24,3.89
81,2016-02-25,4.16
82,2016-02-26,4.5
83,2016-02-29,4.5
84,2016-03-01,4.45
85,2016-03-02,4.46
86,2016-03-03,4.6
87,2016-03-04,4.89
88,2016-03-07,4.45
89,2016-03-08,4.62
90,2016-03-09,4.84
91,2016-03-10,5.5
92,2016-03-11,5.64
93,2016-03-14,4.76
94,2016-03-15,4.87
95,2016-03-16,4.5
96,2016-03-17,4.59
97,2016-03-18,4.69
98,2016-03-21,4.92
99,2016-03-22,4.8
100,2016-03-23,4.81
101,2016-03-24,4.54
102,2016-03-28,4.63
103,2016-03-29,4.82
104,2016-03-30,4.78
105,2016-03-31,5.01
106,2016-04-01,5.01
107,2016-04-04,5.07
108,2016-04-05,5.38
109,2016-04-06,5.79
110,2016-04-07,5.48
111,2016-04-08,6.03
112,2016-04-11,5.75
113,2016-04-12,5.29
114,2016-04-13,5.46
115,2016-04-14,5.66
116,2016-04-15,5.65
117,2016-04-18,5.65
118,2016-04-19,5.72
119,2016-04-20,5.47
120,2016-04-21,5.27
121,2016-04-22,5.21
122,2016-04-25,5.96
123,2016-04-26,6.01
124,2016-04-27,5.9
125,2016-04-28,5.59
126,2016-04-29,5.58
127,2016-05-02,5.26
128,2016-05-03,5.15
129,2016-05-04,5.45
130,2016-05-05,5.2
131,2016-05-06,5.1
132,2016-05-09,4.75
133,2016-05-10,4.26
134,2016-05-11,4.47
135,2016-05-12,4.33
136,2016-05-13,4.0
137,2016-05-16,3.99
138,2016-05-17,4.02
139,2016-05-18,4.13
140,2016-05-19,4.05
141,2016-05-20,4.3
142,2016-05-23,4.51
143,2016-05-24,4.48
144,2016-05-25,4.45
145,2016-05-26,4.44
146,2016-05-27,4.41
147,2016-05-31,4.41
148,2016-06-01,4.46
149,2016-06-02,4.38
150,2016-06-03,4.7
151,2016-06-06,4.62
152,2016-06-07,4.74
153,2016-06-08,4.69
154,2016-06-09,4.42
155,2016-06-10,4.44
156,2016-06-13,4.2
157,2016-06-14,4.05
158,2016-06-15,4.09
159,2016-06-16,4.16
160,2016-06-17,4.28
161,2016-06-20,4.06
162,2016-06-21,4.32
163,2016-06-22,4.3
164,2016-06-23,4.15
165,2016-06-24,4.08
166,2016-06-27,4.6
167,2016-06-28,4.76
168,2016-06-29,5.22
169,2016-06-30,5.61
170,2016-07-01,6.17
171,2016-07-05,5.8
172,2016-07-06,6.26
173,2016-07-07,6.37
174,2016-07-08,6.91
175,2016-07-11,7.65
176,2016-07-12,7.48
177,2016-07-13,7.44
178,2016-07-14,7.0
179,2016-07-15,6.8
180,2016-07-18,7.05
181,2016-07-19,7.41
182,2016-07-20,7.05
183,2016-07-21,7.12
184,2016-07-22,7.1
185,2016-07-25,7.45
186,2016-07-26,7.54
187,2016-07-27,7.55
188,2016-07-28,4.02
189,2016-07-29,3.7
190,2016-08-01,3.9
191,2016-08-02,3.51
192,2016-08-03,3.21
193,2016-08-04,3.14
194,2016-08-05,3.25
195,2016-08-08,3.45
196,2016-08-09,3.13
197,2016-08-10,3.04
198,2016-08-11,3.1
199,2016-08-12,3.23
200,2016-08-15,3.79
201,2016-08-16,3.51
202,2016-08-17,3.3
203,2016-08-18,3.24
204,2016-08-19,3.3
205,2016-08-22,3.25
206,2016-08-23,3.21
207,2016-08-24,3.28
208,2016-08-25,3.15
209,2016-08-26,3.15
210,2016-08-29,3.06
211,2016-08-30,3.04
212,2016-08-31,3.05
213,2016-09-01,3.1
214,2016-09-02,3.05
215,2016-09-06,3.04
216,2016-09-07,3.04
217,2016-09-08,3.05
218,2016-09-09,3.05
219,2016-09-12,3.01
220,2016-09-13,3.01
221,2016-09-14,2.61
222,2016-09-15,2.56
223,2016-09-16,2.5
224,2016-09-19,2.5
225,2016-09-20,2.97
226,2016-09-21,2.64
227,2016-09-22,3.0
228,2016-09-23,3.22
229,2016-09-26,3.13
230,2016-09-27,3.2
231,2016-09-28,4.05
232,2016-09-29,4.0
233,2016-09-30,3.83
234,2016-10-03,3.65
235,2016-10-04,3.71
236,2016-10-05,4.15
237,2016-10-06,3.75
238,2016-10-07,3.6
239,2016-10-10,3.22
240,2016-10-11,3.37
241,2016-10-12,3.21
242,2016-10-13,3.12
243,2016-10-14,3.43
244,2016-10-17,3.3
245,2016-10-18,3.37
246,2016-10-19,3.47
247,2016-10-20,3.3
248,2016-10-21,3.3
249,2016-10-24,3.34
250,2016-10-25,3.29
251,2016-10-26,3.1
252,2016-10-27,3.08
253,2016-10-28,2.91
254,2016-10-31,2.94
255,2016-11-01,2.93
256,2016-11-02,3.07
257,2016-11-03,2.77
258,2016-11-04,2.78
259,2016-11-07,2.94
260,2016-11-08,2.88
261,2016-11-09,2.9
262,2016-11-10,3.33
263,2016-11-11,3.2
264,2016-11-14,3.32
265,2016-11-15,3.21
266,2016-11-16,3.28
267,2016-11-17,3.15
268,2016-11-18,3.2
269,2016-11-21,3.28
270,2016-11-22,3.94
271,2016-11-23,3.63
272,2016-11-25,3.74
273,2016-11-28,4.0
274,2016-11-29,4.13
275,2016-11-30,4.0
276,2016-12-01,3.97
277,2016-12-02,3.78
278,2016-12-05,3.9
279,2016-12-06,3.79
280,2016-12-07,3.78
281,2016-12-08,4.1
282,2016-12-09,4.27
283,2016-12-12,4.65
284,2016-12-13,4.8
285,2016-12-14,4.2
286,2016-12-15,4.22
287,2016-12-16,4.07
288,2016-12-19,4.05
289,2016-12-20,4.2
290,2016-12-21,4.1
291,2016-12-22,3.9
292,2016-12-23,3.92
293,2016-12-27,4.03
294,2016-12-28,4.12
295,2016-12-29,4.05
296,2016-12-30,4.0
297,2017-01-03,4.0
298,2017-01-04,4.13
299,2017-01-05,4.15
300,2017-01-06,4.05
301,2017-01-09,4.05
302,2017-01-10,4.1
303,2017-01-11,4.17
304,2017-01-12,4.08
305,2017-01-13,4.11
306,2017-01-17,4.14
307,2017-01-18,4.06
308,2017-01-19,4.17
309,2017-01-20,4.24
310,2017-01-23,4.21
311,2017-01-24,4.2
312,2017-01-25,4.2
313,2017-01-26,4.15
314,2017-01-27,4.16
315,2017-01-30,4.21
