,date,open
0,2019-06-27,30.61
1,2019-06-28,27.9
2,2019-07-01,27.42
3,2019-07-02,27.26
4,2019-07-03,27.06
5,2019-07-05,28.61
6,2019-07-08,28.71
7,2019-07-09,28.3
8,2019-07-10,27.58
9,2019-07-11,27.49
10,2019-07-12,29.61
11,2019-07-15,28.5
12,2019-07-16,27.93
13,2019-07-17,26.0
14,2019-07-18,26.21
15,2019-07-19,26.0
16,2019-07-22,27.6
17,2019-07-23,30.64
18,2019-07-24,28.83
19,2019-07-25,28.12
20,2019-07-26,27.03
21,2019-07-29,28.51
22,2019-07-30,28.88
23,2019-07-31,27.86
24,2019-08-01,29.35
25,2019-08-02,29.64
26,2019-08-05,28.11
27,2019-08-06,27.0
28,2019-08-07,27.64
29,2019-08-08,29.65
30,2019-08-09,29.67
31,2019-08-12,26.5
32,2019-08-13,26.0
33,2019-08-14,26.44
34,2019-08-15,25.64
35,2019-08-16,26.74
36,2019-08-19,27.52
37,2019-08-20,28.02
38,2019-08-21,28.96
39,2019-08-22,30.01
40,2019-08-23,29.99
41,2019-08-26,29.6
42,2019-08-27,30.64
43,2019-08-28,31.25
44,2019-08-29,29.8
45,2019-08-30,30.51
46,2019-09-03,30.6
47,2019-09-04,32.29
48,2019-09-05,31.55
49,2019-09-06,31.18
50,2019-09-09,30.94
51,2019-09-10,28.02
52,2019-09-11,26.56
53,2019-09-12,27.0
54,2019-09-13,26.09
55,2019-09-16,25.91
56,2019-09-17,25.26
57,2019-09-18,24.86
58,2019-09-19,24.83
59,2019-09-20,24.59
60,2019-09-23,26.0
61,2019-09-24,28.08
62,2019-09-25,25.53
63,2019-09-26,23.57
64,2019-09-27,21.25
65,2019-09-30,20.22
66,2019-10-01,21.48
67,2019-10-02,20.71
68,2019-10-03,19.49
69,2019-10-04,20.44
70,2019-10-07,19.29
71,2019-10-08,19.4
72,2019-10-09,19.29
73,2019-10-10,18.22
74,2019-10-11,18.98
75,2019-10-14,18.69
76,2019-10-15,18.12
77,2019-10-16,18.52
78,2019-10-17,18.0
79,2019-10-18,18.37
80,2019-10-21,18.38
81,2019-10-22,18.65
82,2019-10-23,18.4
83,2019-10-24,18.58
84,2019-10-25,18.42
85,2019-10-28,18.78
86,2019-10-29,19.56
87,2019-10-30,20.0
88,2019-10-31,20.28
89,2019-11-01,22.83
90,2019-11-04,24.4
91,2019-11-05,23.31
92,2019-11-06,23.23
93,2019-11-07,22.32
94,2019-11-08,24.49
95,2019-11-11,27.72
96,2019-11-12,27.15
97,2019-11-13,28.04
98,2019-11-14,26.38
99,2019-11-15,27.84
100,2019-11-18,30.31
101,2019-11-19,29.38
102,2019-11-20,30.05
103,2019-11-21,33.87
104,2019-11-22,33.47
105,2019-11-25,34.55
106,2019-11-26,31.01
107,2019-11-27,28.29
108,2019-11-29,29.73
109,2019-12-02,28.96
110,2019-12-03,31.03
111,2019-12-04,31.44
112,2019-12-05,34.01
113,2019-12-06,32.35
