,date,open
0,1994-03-04,6.25
1,1994-03-07,6.625
2,1994-03-08,6.5
3,1994-03-09,6.563
4,1994-03-10,6.75
5,1994-03-11,6.5
6,1994-03-14,6.625
7,1994-03-15,6.375
8,1994-03-16,6.5
9,1994-03-17,6.375
10,1994-03-18,6.188
11,1994-03-21,6.25
12,1994-03-22,6.0
13,1994-03-23,6.25
14,1994-03-24,6.25
15,1994-03-25,6.25
16,1994-03-28,6.375
17,1994-03-29,6.125
18,1994-03-30,6.0
19,1994-03-31,5.75
20,1994-04-04,5.5
21,1994-04-05,5.25
22,1994-04-06,5.25
23,1994-04-07,5.0
24,1994-04-08,4.875
25,1994-04-11,5.25
26,1994-04-12,5.375
27,1994-04-13,5.375
28,1994-04-14,5.125
29,1994-04-15,5.0
30,1994-04-18,4.875
31,1994-04-19,4.625
32,1994-04-20,4.5
33,1994-04-21,3.625
34,1994-04-22,4.0
35,1994-04-25,4.125
36,1994-04-26,4.125
37,1994-04-28,4.625
38,1994-04-29,5.375
39,1994-05-02,5.625
40,1994-05-03,5.75
41,1994-05-04,5.625
42,1994-05-05,5.625
43,1994-05-06,5.5
44,1994-05-09,5.75
45,1994-05-10,5.5
46,1994-05-11,5.875
47,1994-05-12,5.75
48,1994-05-13,5.875
49,1994-05-16,5.625
50,1994-05-17,5.75
51,1994-05-18,5.375
52,1994-05-19,5.625
53,1994-05-20,5.375
54,1994-05-23,5.125
55,1994-05-24,5.188
56,1994-05-25,5.125
57,1994-05-26,5.0
58,1994-05-27,4.625
59,1994-05-31,4.875
60,1994-06-01,5.125
61,1994-06-02,5.25
62,1994-06-03,5.0
63,1994-06-06,5.0
64,1994-06-07,4.875
65,1994-06-08,5.125
66,1994-06-09,4.875
67,1994-06-10,4.75
68,1994-06-13,4.75
69,1994-06-14,4.5
70,1994-06-15,4.75
71,1994-06-16,5.375
72,1994-06-17,5.125
73,1994-06-20,5.125
74,1994-06-21,5.125
75,1994-06-22,4.875
76,1994-06-23,4.75
77,1994-06-24,4.625
78,1994-06-27,4.563
79,1994-06-28,4.5
80,1994-06-29,4.375
81,1994-06-30,4.5
82,1994-07-01,5.0
83,1994-07-05,4.625
84,1994-07-06,5.25
85,1994-07-07,5.125
86,1994-07-08,5.0
87,1994-07-11,5.0
88,1994-07-12,5.125
89,1994-07-13,5.125
90,1994-07-14,5.25
91,1994-07-15,5.0
92,1994-07-18,5.0
93,1994-07-19,5.125
94,1994-07-20,5.25
95,1994-07-21,5.0
96,1994-07-22,5.125
97,1994-07-25,5.0
98,1994-07-26,5.0
99,1994-07-27,5.0
100,1994-07-28,4.875
101,1994-07-29,4.875
102,1994-08-01,5.0
103,1994-08-02,4.75
104,1994-08-03,4.75
105,1994-08-04,4.75
106,1994-08-05,4.75
107,1994-08-08,4.5
108,1994-08-09,4.75
109,1994-08-10,4.5
110,1994-08-11,4.5
111,1994-08-12,4.375
112,1994-08-15,4.563
113,1994-08-16,4.5
114,1994-08-17,4.25
115,1994-08-18,4.625
116,1994-08-19,4.62
117,1994-08-22,4.625
118,1994-08-23,4.625
119,1994-08-24,4.5
120,1994-08-25,4.5
121,1994-08-26,4.5
122,1994-08-29,4.125
123,1994-08-30,3.875
124,1994-08-31,4.125
125,1994-09-01,4.125
126,1994-09-02,4.063
127,1994-09-06,3.75
128,1994-09-07,3.75
129,1994-09-08,4.0
130,1994-09-09,4.125
131,1994-09-12,4.5
132,1994-09-13,4.375
133,1994-09-14,4.625
134,1994-09-15,4.5
135,1994-09-16,4.875
136,1994-09-19,4.875
137,1994-09-20,4.75
138,1994-09-21,5.25
139,1994-09-22,5.25
140,1994-09-23,5.75
141,1994-09-26,5.5
142,1994-09-27,5.75
143,1994-09-28,5.625
144,1994-09-29,5.875
145,1994-09-30,5.5
146,1994-10-03,5.375
147,1994-10-04,5.25
148,1994-10-05,5.25
149,1994-10-06,5.375
150,1994-10-07,5.375
151,1994-10-10,5.5
152,1994-10-11,5.5
153,1994-10-12,5.5
154,1994-10-13,5.5
155,1994-10-14,5.375
156,1994-10-17,5.25
157,1994-10-18,5.375
158,1994-10-19,5.125
159,1994-10-20,5.5
160,1994-10-21,5.5
161,1994-10-24,5.875
162,1994-10-25,6.0
163,1994-10-26,6.125
164,1994-10-27,5.75
165,1994-10-28,5.875
166,1994-10-31,5.5
167,1994-11-01,5.625
168,1994-11-02,5.375
169,1994-11-03,5.625
170,1994-11-04,5.75
171,1994-11-07,5.375
172,1994-11-08,5.438
173,1994-11-09,5.5
174,1994-11-10,5.625
175,1994-11-11,5.375
176,1994-11-14,5.75
177,1994-11-15,5.75
