,date,open
0,2019-05-23,13.37
1,2019-05-24,12.03
2,2019-05-28,13.15
3,2019-05-29,12.27
4,2019-05-30,12.44
5,2019-05-31,11.9
6,2019-06-03,11.5
7,2019-06-04,11.21
8,2019-06-05,11.7
9,2019-06-06,11.17
10,2019-06-07,11.6
11,2019-06-10,12.201
12,2019-06-11,12.0
13,2019-06-12,11.46
14,2019-06-13,11.95
15,2019-06-14,12.4
16,2019-06-17,13.2
17,2019-06-18,13.38
18,2019-06-19,14.8
19,2019-06-20,14.89
20,2019-06-21,14.15
21,2019-06-24,11.71
22,2019-06-25,11.3
23,2019-06-26,10.7
24,2019-06-27,10.41
25,2019-06-28,10.45
26,2019-07-01,11.0
27,2019-07-02,9.9
28,2019-07-03,9.66
29,2019-07-05,9.21
30,2019-07-08,9.0
31,2019-07-09,9.2
32,2019-07-10,9.05
33,2019-07-11,9.15
34,2019-07-12,8.6887
35,2019-07-15,7.91
36,2019-07-16,8.27
37,2019-07-17,8.99
38,2019-07-18,9.25
39,2019-07-19,9.1
40,2019-07-22,9.2221
41,2019-07-23,8.93
42,2019-07-24,8.13
43,2019-07-25,8.432
44,2019-07-26,8.99
45,2019-07-29,8.73
46,2019-07-30,8.4282
47,2019-07-31,8.1
48,2019-08-01,8.72
49,2019-08-02,8.2
50,2019-08-05,8.0
51,2019-08-06,8.0
52,2019-08-07,7.45
53,2019-08-08,7.32
54,2019-08-09,7.47
55,2019-08-12,7.29
56,2019-08-13,7.62
57,2019-08-14,7.5
58,2019-08-15,7.5
59,2019-08-16,8.09
60,2019-08-19,7.56
61,2019-08-20,7.6311
62,2019-08-21,7.78
63,2019-08-22,7.2
64,2019-08-23,7.12
65,2019-08-26,7.01
66,2019-08-27,7.99
67,2019-08-28,7.25
68,2019-08-29,7.0
69,2019-08-30,7.44
70,2019-09-03,7.47
71,2019-09-04,7.22
72,2019-09-05,7.02
73,2019-09-06,6.7838
74,2019-09-09,6.9606
75,2019-09-10,7.06
76,2019-09-11,8.0
77,2019-09-12,9.77
78,2019-09-13,9.26
79,2019-09-16,10.51
80,2019-09-17,10.49
81,2019-09-18,12.04
82,2019-09-19,12.95
83,2019-09-20,9.95
84,2019-09-23,9.56
85,2019-09-24,10.92
86,2019-09-25,11.26
87,2019-09-26,11.49
88,2019-09-27,11.36
89,2019-09-30,11.21
90,2019-10-01,11.33
91,2019-10-02,11.13
92,2019-10-03,9.95
93,2019-10-04,9.96
94,2019-10-07,10.41
95,2019-10-08,10.25
96,2019-10-09,10.0
97,2019-10-10,9.718
98,2019-10-11,9.6705
99,2019-10-14,9.6017
100,2019-10-15,10.021
101,2019-10-16,9.83
102,2019-10-17,9.9679
103,2019-10-18,10.2703
104,2019-10-21,10.1416
105,2019-10-22,9.42
106,2019-10-23,9.56
107,2019-10-24,9.74
108,2019-10-25,9.5
109,2019-10-28,9.69
110,2019-10-29,9.2301
111,2019-10-30,9.4
112,2019-10-31,9.44
113,2019-11-01,9.31
114,2019-11-04,9.39
115,2019-11-05,9.22
116,2019-11-06,8.45
117,2019-11-07,8.67
118,2019-11-08,8.787
119,2019-11-11,8.5983
120,2019-11-12,8.1726
121,2019-11-13,8.15
122,2019-11-14,9.04
123,2019-11-15,9.26
124,2019-11-18,9.98
125,2019-11-19,9.59
126,2019-11-20,9.6
127,2019-11-21,9.0
128,2019-11-22,9.3
129,2019-11-25,8.69
130,2019-11-26,8.15
131,2019-11-27,8.63
132,2019-11-29,8.54
133,2019-12-02,8.94
134,2019-12-03,8.62
135,2019-12-04,8.8547
136,2019-12-05,7.78
137,2019-12-06,9.0
138,2019-12-09,8.31
139,2019-12-10,7.9
140,2019-12-11,8.2161
141,2019-12-12,7.623
142,2019-12-13,7.98
143,2019-12-16,8.0969
144,2019-12-17,8.1135
145,2019-12-18,8.3
146,2019-12-19,8.6
147,2019-12-20,8.16
148,2019-12-23,8.0
149,2019-12-24,8.33
150,2019-12-26,9.9
151,2019-12-27,9.0525
152,2019-12-30,9.13
153,2019-12-31,10.17
154,2020-01-02,9.8105
155,2020-01-03,10.03
156,2020-01-06,9.68
157,2020-01-07,10.63
158,2020-01-08,11.5
159,2020-01-09,12.5
160,2020-01-10,11.01
161,2020-01-13,11.2671
162,2020-01-14,11.46
163,2020-01-15,11.3
164,2020-01-16,11.0
165,2020-01-17,11.2
166,2020-01-21,11.3
167,2020-01-22,11.7095
168,2020-01-23,11.37
169,2020-01-24,11.4585
170,2020-01-27,11.0154
171,2020-01-28,11.2745
172,2020-01-29,11.067
173,2020-01-30,11.0
174,2020-01-31,10.725
175,2020-02-03,10.675
176,2020-02-04,10.645
177,2020-02-05,10.98
178,2020-02-06,11.01
179,2020-02-07,11.58
180,2020-02-10,11.92
181,2020-02-11,13.97
182,2020-02-12,12.8
183,2020-02-13,13.79
184,2020-02-14,14.0
185,2020-02-18,15.3
186,2020-02-19,16.0
187,2020-02-20,16.25
188,2020-02-21,15.8
189,2020-02-24,15.36
190,2020-02-25,16.98
191,2020-02-26,15.89
192,2020-02-27,16.87
193,2020-02-28,14.32
194,2020-03-02,12.45
195,2020-03-03,13.2
196,2020-03-04,14.74
197,2020-03-05,16.0
198,2020-03-06,15.05
199,2020-03-09,12.5
200,2020-03-10,16.0
201,2020-03-11,17.9
202,2020-03-12,16.89
203,2020-03-13,16.24
204,2020-03-16,11.1
205,2020-03-17,13.88
206,2020-03-18,10.51
207,2020-03-19,10.6
208,2020-03-20,11.6974
209,2020-03-23,11.19
210,2020-03-24,11.56
211,2020-03-25,11.42
212,2020-03-26,12.5
213,2020-03-27,15.0
214,2020-03-30,13.59
215,2020-03-31,15.09
216,2020-04-01,13.87
217,2020-04-02,13.3
218,2020-04-03,13.15
219,2020-04-06,15.27
220,2020-04-07,15.0
221,2020-04-08,14.63
222,2020-04-09,13.04
223,2020-04-13,13.84
224,2020-04-14,13.42
225,2020-04-15,14.012
226,2020-04-16,14.5
227,2020-04-17,15.0
228,2020-04-20,14.87
229,2020-04-21,15.5
230,2020-04-22,15.7
231,2020-04-23,15.5
232,2020-04-24,15.1
233,2020-04-27,15.35
234,2020-04-28,14.78
235,2020-04-29,15.9
236,2020-04-30,13.76
237,2020-05-01,13.02
238,2020-05-04,12.65
239,2020-05-05,14.25
240,2020-05-06,13.59
241,2020-05-07,13.62
242,2020-05-08,13.42
243,2020-05-11,14.68
244,2020-05-12,15.0
245,2020-05-13,14.49
246,2020-05-14,14.75
247,2020-05-15,14.76
248,2020-05-18,14.75
249,2020-05-19,14.87
250,2020-05-20,14.96
251,2020-05-21,14.74
252,2020-05-22,14.6
253,2020-05-26,15.8
254,2020-05-27,17.68
255,2020-05-28,16.68
256,2020-05-29,18.42
257,2020-06-01,17.49
258,2020-06-02,17.0101
259,2020-06-03,18.0
260,2020-06-04,17.01
261,2020-06-05,17.3
262,2020-06-08,17.21
263,2020-06-09,18.035
264,2020-06-10,17.41
265,2020-06-11,17.0
266,2020-06-12,16.4
267,2020-06-15,16.64
268,2020-06-16,16.65
269,2020-06-17,15.92
270,2020-06-18,16.04
271,2020-06-19,15.65
272,2020-06-22,16.3
273,2020-06-23,15.6
274,2020-06-24,17.1
275,2020-06-25,16.35
276,2020-06-26,16.58
277,2020-06-29,17.16
278,2020-06-30,16.01
279,2020-07-01,15.861
280,2020-07-02,15.42
281,2020-07-06,15.72
282,2020-07-07,15.68
283,2020-07-08,15.71
284,2020-07-09,16.3
285,2020-07-10,17.0
286,2020-07-13,17.59
287,2020-07-14,17.89
288,2020-07-15,19.37
289,2020-07-16,19.66
290,2020-07-17,18.35
291,2020-07-20,18.11
292,2020-07-21,18.97
293,2020-07-22,18.25
294,2020-07-23,17.95
295,2020-07-24,18.22
296,2020-07-27,16.89
297,2020-07-28,16.8
298,2020-07-29,16.95
299,2020-07-30,16.11
300,2020-07-31,16.41
301,2020-08-03,16.88
302,2020-08-04,15.5
303,2020-08-05,16.25
304,2020-08-06,16.28
305,2020-08-07,15.81
306,2020-08-10,15.3401
307,2020-08-11,15.71
308,2020-08-12,16.31
309,2020-08-13,15.955
310,2020-08-14,15.9223
311,2020-08-17,17.9
312,2020-08-18,18.0
313,2020-08-19,18.0
314,2020-08-20,19.12
315,2020-08-21,18.07
316,2020-08-24,18.7
317,2020-08-25,18.8399
318,2020-08-26,18.66
319,2020-08-27,18.05
320,2020-08-28,17.49
321,2020-08-31,17.4001
322,2020-09-01,17.83
323,2020-09-02,18.0
324,2020-09-03,18.51
325,2020-09-04,17.6
326,2020-09-08,17.2
327,2020-09-09,16.82
328,2020-09-10,17.47
329,2020-09-11,17.0
330,2020-09-14,16.25
331,2020-09-15,20.03
332,2020-09-16,19.25
333,2020-09-17,20.83
334,2020-09-18,20.98
335,2020-09-21,20.01
336,2020-09-22,20.95
337,2020-09-23,19.63
338,2020-09-24,20.2
339,2020-09-25,18.39
340,2020-09-28,19.39
341,2020-09-29,19.84
342,2020-09-30,19.62
343,2020-10-01,18.78
344,2020-10-02,19.74
345,2020-10-05,19.17
346,2020-10-06,19.13
347,2020-10-07,18.91
348,2020-10-08,19.11
349,2020-10-09,18.72
350,2020-10-12,19.57
351,2020-10-13,19.15
352,2020-10-14,19.01
353,2020-10-15,18.98
354,2020-10-16,19.09
355,2020-10-19,19.73
356,2020-10-20,19.74
357,2020-10-21,19.22
358,2020-10-22,18.95
359,2020-10-23,18.755
360,2020-10-26,18.81
361,2020-10-27,18.55
362,2020-10-28,18.79
363,2020-10-29,18.57
364,2020-10-30,18.3674
365,2020-11-02,18.43
366,2020-11-03,18.3998
367,2020-11-04,18.78
368,2020-11-05,19.01
369,2020-11-06,19.0
370,2020-11-09,19.0
371,2020-11-10,18.4
372,2020-11-11,19.19
373,2020-11-12,18.98
374,2020-11-13,21.0
375,2020-11-16,20.5
376,2020-11-17,20.45
377,2020-11-18,20.62
378,2020-11-19,19.59
379,2020-11-20,19.86
