,date,open
0,2020-02-06,24.0
1,2020-02-07,19.19
2,2020-02-10,21.37
3,2020-02-11,22.15
4,2020-02-12,24.4
5,2020-02-13,27.77
6,2020-02-14,29.65
7,2020-02-18,27.88
8,2020-02-19,27.85
9,2020-02-20,28.28
10,2020-02-21,26.76
11,2020-02-24,24.98
12,2020-02-25,24.44
13,2020-02-26,22.73
14,2020-02-27,23.46
15,2020-02-28,22.9
16,2020-03-02,23.1
17,2020-03-03,23.11
18,2020-03-04,23.69
19,2020-03-05,24.31
20,2020-03-06,23.41
21,2020-03-09,21.97
22,2020-03-10,22.56
23,2020-03-11,22.32
24,2020-03-12,20.97
25,2020-03-13,19.7
26,2020-03-16,16.0
27,2020-03-17,13.68
28,2020-03-18,14.44
29,2020-03-19,15.29
30,2020-03-20,17.07
31,2020-03-23,19.43
32,2020-03-24,18.5
33,2020-03-25,19.0
34,2020-03-26,19.45
35,2020-03-27,18.67
36,2020-03-30,18.0
37,2020-03-31,17.99
38,2020-04-01,17.31
39,2020-04-02,16.12
40,2020-04-03,15.24
41,2020-04-06,16.54
42,2020-04-07,17.3
43,2020-04-08,16.04
44,2020-04-09,16.83
45,2020-04-13,16.73
46,2020-04-14,16.5
47,2020-04-15,16.8
48,2020-04-16,16.23
49,2020-04-17,16.63
50,2020-04-20,15.99
51,2020-04-21,16.5
52,2020-04-22,16.38
53,2020-04-23,16.81
54,2020-04-24,17.88
55,2020-04-27,18.39
56,2020-04-28,16.8
57,2020-04-29,16.74
58,2020-04-30,16.64
59,2020-05-01,15.81
60,2020-05-04,15.08
61,2020-05-05,16.34
62,2020-05-06,16.35
63,2020-05-07,16.16
64,2020-05-08,17.05
65,2020-05-11,16.93
66,2020-05-12,20.6
67,2020-05-13,20.03
68,2020-05-14,20.88
69,2020-05-15,19.53
70,2020-05-18,22.5
71,2020-05-19,21.86
72,2020-05-20,23.95
73,2020-05-21,26.02
74,2020-05-22,26.42
75,2020-05-26,26.4
76,2020-05-27,24.54
77,2020-05-28,24.69
78,2020-05-29,24.99
79,2020-06-01,25.6
80,2020-06-02,26.19
81,2020-06-03,27.99
82,2020-06-04,27.9
83,2020-06-05,27.95
84,2020-06-08,26.42
85,2020-06-09,27.49
86,2020-06-10,27.77
87,2020-06-11,26.06
88,2020-06-12,26.24
89,2020-06-15,24.5
90,2020-06-16,27.53
91,2020-06-17,27.21
92,2020-06-18,25.47
93,2020-06-19,26.82
94,2020-06-22,26.61
95,2020-06-23,29.09
96,2020-06-24,26.52
97,2020-06-25,26.2
98,2020-06-26,26.5
99,2020-06-29,26.56
100,2020-06-30,27.32
101,2020-07-01,28.19
102,2020-07-02,29.0
103,2020-07-06,29.35
104,2020-07-07,29.32
105,2020-07-08,28.74
106,2020-07-09,29.2
107,2020-07-10,30.7
108,2020-07-13,27.49
109,2020-07-14,25.03
110,2020-07-15,25.63
111,2020-07-16,24.48
112,2020-07-17,23.72
113,2020-07-20,23.95
114,2020-07-21,23.35
115,2020-07-22,22.34
116,2020-07-23,22.53
117,2020-07-24,21.72
118,2020-07-27,21.39
119,2020-07-28,21.67
120,2020-07-29,21.01
121,2020-07-30,20.0
122,2020-07-31,20.5
123,2020-08-03,20.7
124,2020-08-04,19.5
125,2020-08-05,20.05
126,2020-08-06,27.15
127,2020-08-07,24.98
128,2020-08-10,24.49
129,2020-08-11,24.25
130,2020-08-12,24.03
131,2020-08-13,22.13
132,2020-08-14,22.35
133,2020-08-17,22.54
134,2020-08-18,23.79
135,2020-08-19,25.26
136,2020-08-20,24.9
137,2020-08-21,25.08
138,2020-08-24,26.04
139,2020-08-25,25.5
140,2020-08-26,25.78
141,2020-08-27,25.16
142,2020-08-28,24.2
143,2020-08-31,25.23
144,2020-09-01,25.0
145,2020-09-02,25.98
146,2020-09-03,26.17
147,2020-09-04,23.75
148,2020-09-08,21.87
149,2020-09-09,22.96
150,2020-09-10,25.45
151,2020-09-11,25.85
152,2020-09-14,25.96
153,2020-09-15,27.5
154,2020-09-16,28.13
155,2020-09-17,28.4
156,2020-09-18,28.39
157,2020-09-21,28.96
158,2020-09-22,29.59
159,2020-09-23,27.71
160,2020-09-24,25.8
161,2020-09-25,26.12
162,2020-09-28,27.06
163,2020-09-29,24.87
164,2020-09-30,24.72
165,2020-10-01,24.35
166,2020-10-02,23.98
167,2020-10-05,22.8758
168,2020-10-06,24.3
169,2020-10-07,28.28
170,2020-10-08,29.4
171,2020-10-09,28.44
172,2020-10-12,29.34
173,2020-10-13,28.33
174,2020-10-14,29.06
175,2020-10-15,27.67
176,2020-10-16,33.0
177,2020-10-19,33.34
178,2020-10-20,32.11
179,2020-10-21,32.62
180,2020-10-22,33.69
181,2020-10-23,36.1875
182,2020-10-26,38.32
183,2020-10-27,36.21
184,2020-10-28,36.82
185,2020-10-29,37.19
186,2020-10-30,36.19
187,2020-11-02,34.45
188,2020-11-03,35.0
189,2020-11-04,34.94
190,2020-11-05,35.6
191,2020-11-06,36.5
192,2020-11-09,37.11
193,2020-11-10,36.19
194,2020-11-11,37.95
195,2020-11-12,37.08
196,2020-11-13,35.26
197,2020-11-16,36.5
198,2020-11-17,37.61
199,2020-11-18,38.19
200,2020-11-19,38.49
201,2020-11-20,39.41
202,2020-11-23,42.15
203,2020-11-24,42.49
204,2020-11-25,41.37
205,2020-11-27,44.8
206,2020-11-30,48.15
207,2020-12-01,51.27
208,2020-12-02,54.0
209,2020-12-03,57.33
210,2020-12-04,58.99
211,2020-12-07,61.0
212,2020-12-08,67.7983
213,2020-12-09,70.63
214,2020-12-10,71.79
215,2020-12-11,76.92
216,2020-12-14,79.21
217,2020-12-15,85.51
218,2020-12-16,79.07
219,2020-12-17,71.8586
220,2020-12-18,73.2
221,2020-12-21,71.0
222,2020-12-22,100.65
223,2020-12-23,88.79
224,2020-12-24,91.0
225,2020-12-28,90.6011
226,2020-12-29,96.06
227,2020-12-30,89.66
228,2020-12-31,83.42
229,2021-01-04,81.64
230,2021-01-05,80.21
231,2021-01-06,81.85
232,2021-01-07,86.36
233,2021-01-08,98.5
234,2021-01-11,101.77
235,2021-01-12,96.44
236,2021-01-13,97.1
237,2021-01-14,97.55
238,2021-01-15,114.44
239,2021-01-19,117.45
240,2021-01-20,109.99
241,2021-01-21,101.31
242,2021-01-22,96.0
243,2021-01-25,101.27
244,2021-01-26,102.36
245,2021-01-27,90.0
246,2021-01-28,92.78
247,2021-01-29,95.24
248,2021-02-01,99.71
249,2021-02-02,100.0
250,2021-02-03,102.73
251,2021-02-04,100.19
252,2021-02-05,105.77
253,2021-02-08,118.5
254,2021-02-09,120.29
255,2021-02-10,115.83
256,2021-02-11,113.25
257,2021-02-12,103.83
258,2021-02-16,107.6
259,2021-02-17,104.5
260,2021-02-18,102.18
261,2021-02-19,102.86
