,date,open
0,2016-02-03,28.97
1,2016-02-04,28.15
2,2016-02-05,31.3
3,2016-02-08,34.0
4,2016-02-09,30.86
5,2016-02-10,27.98
6,2016-02-11,26.48
7,2016-02-12,24.09
8,2016-02-16,24.52
9,2016-02-17,25.44
10,2016-02-18,26.94
11,2016-02-19,26.0
12,2016-02-22,27.0
13,2016-02-23,26.7
14,2016-02-24,26.5
15,2016-02-25,28.44
16,2016-02-26,30.27
17,2016-02-29,29.5
18,2016-03-01,29.94
19,2016-03-02,29.8
20,2016-03-03,31.0
21,2016-03-04,32.97
22,2016-03-07,31.3543
23,2016-03-08,29.79
24,2016-03-09,28.43
25,2016-03-10,29.0
26,2016-03-11,27.98
27,2016-03-14,28.87
28,2016-03-15,27.0
29,2016-03-16,26.53
30,2016-03-17,25.82
31,2016-03-18,26.85
32,2016-03-21,27.0
33,2016-03-22,29.42
34,2016-03-23,30.99
35,2016-03-24,26.974
36,2016-03-28,27.9
37,2016-03-29,27.0
38,2016-03-30,28.0
39,2016-03-31,28.27
40,2016-04-01,29.13
41,2016-04-04,28.7001
42,2016-04-05,29.29
43,2016-04-06,29.99
44,2016-04-07,31.255
45,2016-04-08,31.79
46,2016-04-11,33.17
47,2016-04-12,31.82
48,2016-04-13,31.58
49,2016-04-14,31.7
50,2016-04-15,31.11
51,2016-04-18,31.74
52,2016-04-19,31.5
53,2016-04-20,31.19
54,2016-04-21,30.2001
55,2016-04-22,29.71
56,2016-04-25,30.13
57,2016-04-26,29.12
58,2016-04-27,28.87
59,2016-04-28,27.5
60,2016-04-29,26.51
61,2016-05-02,27.54
62,2016-05-03,27.2
63,2016-05-04,26.67
64,2016-05-05,26.5
65,2016-05-06,26.12
66,2016-05-09,26.26
67,2016-05-10,27.68
68,2016-05-11,27.77
69,2016-05-12,28.14
70,2016-05-13,26.74
71,2016-05-16,27.79
72,2016-05-17,27.575
73,2016-05-18,27.6816
74,2016-05-19,27.31
75,2016-05-20,27.13
76,2016-05-23,27.15
77,2016-05-24,27.82
78,2016-05-25,28.0323
79,2016-05-26,27.6
80,2016-05-27,28.4999
81,2016-05-31,27.47
82,2016-06-01,28.35
83,2016-06-02,29.45
84,2016-06-03,31.0
85,2016-06-06,31.7
86,2016-06-07,33.21
87,2016-06-08,32.76
88,2016-06-09,31.49
89,2016-06-10,30.1
90,2016-06-13,30.8
91,2016-06-14,29.49
92,2016-06-15,29.997
93,2016-06-16,29.91
94,2016-06-17,30.25
95,2016-06-20,31.55
96,2016-06-21,29.86
97,2016-06-22,31.8
98,2016-06-23,32.08
99,2016-06-24,29.15
100,2016-06-27,28.25
101,2016-06-28,28.4
102,2016-06-29,29.29
103,2016-06-30,30.08
104,2016-07-01,30.0
105,2016-07-05,29.66
106,2016-07-06,29.07
107,2016-07-07,28.83
108,2016-07-08,29.0
109,2016-07-11,29.4
110,2016-07-12,30.0
111,2016-07-13,29.54
112,2016-07-14,29.79
113,2016-07-15,29.86
114,2016-07-18,29.38
115,2016-07-19,28.79
116,2016-07-20,28.16
117,2016-07-21,29.25
118,2016-07-22,27.72
119,2016-07-25,27.28
120,2016-07-26,27.0014
121,2016-07-27,27.0
122,2016-07-28,27.44
123,2016-07-29,27.48
