,date,open
0,2017-05-04,20.0
1,2017-05-05,17.5
2,2017-05-08,17.99
3,2017-05-09,19.75
4,2017-05-10,19.93
5,2017-05-11,21.87
6,2017-05-12,21.91
7,2017-05-15,21.51
8,2017-05-16,21.9
9,2017-05-17,22.49
10,2017-05-18,21.76
11,2017-05-19,22.47
12,2017-05-22,22.01
13,2017-05-23,20.97
14,2017-05-24,22.03
15,2017-05-25,21.85
16,2017-05-26,23.19
17,2017-05-30,24.57
18,2017-05-31,24.29
19,2017-06-01,25.46
20,2017-06-02,25.09
21,2017-06-05,24.56
22,2017-06-06,24.73
23,2017-06-07,22.08
24,2017-06-08,21.84
25,2017-06-09,21.85
26,2017-06-12,21.74
27,2017-06-13,21.66
28,2017-06-14,22.64
29,2017-06-15,23.34
30,2017-06-16,22.93
31,2017-06-19,25.7
32,2017-06-20,25.5
33,2017-06-21,25.47
34,2017-06-22,26.93
35,2017-06-23,25.55
36,2017-06-26,25.3
37,2017-06-27,24.9
38,2017-06-28,25.15
39,2017-06-29,24.65
40,2017-06-30,25.06
41,2017-07-03,25.18
42,2017-07-05,25.77
43,2017-07-06,25.6
44,2017-07-07,24.81
45,2017-07-10,23.91
46,2017-07-11,23.96
47,2017-07-12,23.92
48,2017-07-13,24.56
49,2017-07-14,24.52
50,2017-07-17,24.66
51,2017-07-18,24.93
52,2017-07-19,24.87
53,2017-07-20,24.8
54,2017-07-21,24.8
55,2017-07-24,24.77
56,2017-07-25,25.91
57,2017-07-26,26.45
58,2017-07-27,26.07
59,2017-07-28,25.19
60,2017-07-31,25.61
61,2017-08-01,25.61
62,2017-08-02,25.15
63,2017-08-03,23.81
64,2017-08-04,23.54
65,2017-08-07,23.77
66,2017-08-08,24.0
67,2017-08-09,24.17
68,2017-08-10,24.07
69,2017-08-11,23.57
70,2017-08-14,24.22
71,2017-08-15,24.41
72,2017-08-16,24.6
73,2017-08-17,25.58
74,2017-08-18,25.31
75,2017-08-21,28.73
76,2017-08-22,30.61
77,2017-08-23,33.37
78,2017-08-24,33.34
79,2017-08-25,34.1
80,2017-08-28,34.33
81,2017-08-29,37.04
82,2017-08-30,36.43
83,2017-08-31,35.28
84,2017-09-01,35.99
85,2017-09-05,38.08
86,2017-09-06,37.64
87,2017-09-07,38.15
88,2017-09-08,38.03
89,2017-09-11,38.22
90,2017-09-12,38.51
91,2017-09-13,38.33
92,2017-09-14,38.18
93,2017-09-15,38.05
94,2017-09-18,37.93
95,2017-09-19,37.34
96,2017-09-20,37.95
97,2017-09-21,37.17
98,2017-09-22,37.13
99,2017-09-25,37.17
100,2017-09-26,37.95
101,2017-09-27,37.95
102,2017-09-28,37.84
103,2017-09-29,38.02
104,2017-10-02,26.85
105,2017-10-03,35.37
106,2017-10-04,33.0
107,2017-10-05,33.03
