,date,open
0,2019-09-06,7.12
1,2019-09-09,7.31
2,2019-09-10,7.71
3,2019-09-11,7.19
4,2019-09-12,7.37
5,2019-09-13,7.3
6,2019-09-16,7.24
7,2019-09-17,7.01
8,2019-09-18,7.09
9,2019-09-19,7.21
10,2019-09-20,7.36
11,2019-09-23,7.33
12,2019-09-24,6.89
13,2019-09-25,6.88
14,2019-09-26,6.14
15,2019-09-27,6.22
16,2019-09-30,6.67
17,2019-10-01,6.3834
18,2019-10-02,6.45
19,2019-10-03,6.7
20,2019-10-04,7.07
21,2019-10-07,7.0
22,2019-10-08,6.9
23,2019-10-09,6.525
24,2019-10-10,6.28
25,2019-10-11,6.58
26,2019-10-14,6.7
27,2019-10-15,6.6
28,2019-10-16,7.08
29,2019-10-17,6.87
30,2019-10-18,7.0
31,2019-10-21,6.88
32,2019-10-22,6.94
33,2019-10-23,6.99
34,2019-10-24,7.03
35,2019-10-25,6.89
36,2019-10-28,7.02
37,2019-10-29,6.8
38,2019-10-30,6.79
39,2019-10-31,6.515
40,2019-11-01,6.78
41,2019-11-04,7.35
42,2019-11-05,6.87
43,2019-11-06,6.9463
44,2019-11-07,6.35
45,2019-11-08,6.45
46,2019-11-11,6.46
47,2019-11-12,6.34
48,2019-11-13,6.19
49,2019-11-14,5.55
50,2019-11-15,6.09
51,2019-11-18,6.59
52,2019-11-19,6.61
53,2019-11-20,6.8
54,2019-11-21,6.63
55,2019-11-22,6.83
56,2019-11-25,7.05
57,2019-11-26,6.83
58,2019-11-27,6.8
59,2019-11-29,6.6233
60,2019-12-02,6.87
61,2019-12-03,6.79
62,2019-12-04,6.81
63,2019-12-05,6.98
64,2019-12-06,6.91
65,2019-12-09,7.38
66,2019-12-10,6.85
67,2019-12-11,7.01
68,2019-12-12,6.87
69,2019-12-13,6.96
70,2019-12-16,7.15
71,2019-12-17,7.06
72,2019-12-18,7.0
73,2019-12-19,7.015
74,2019-12-20,6.7
75,2019-12-23,6.9
76,2019-12-24,6.7913
77,2019-12-26,6.85
78,2019-12-27,6.95
79,2019-12-30,7.33
80,2019-12-31,7.46
81,2020-01-02,7.93
82,2020-01-03,7.75
83,2020-01-06,8.29
84,2020-01-07,8.29
85,2020-01-08,8.19
86,2020-01-09,8.01
87,2020-01-10,8.61
88,2020-01-13,8.53
89,2020-01-14,8.61
90,2020-01-15,8.63
91,2020-01-16,8.89
92,2020-01-17,8.59
93,2020-01-21,8.9
94,2020-01-22,8.46
95,2020-01-23,8.46
96,2020-01-24,8.68
97,2020-01-27,8.91
98,2020-01-28,8.78
99,2020-01-29,9.14
100,2020-01-30,9.18
101,2020-01-31,8.65
102,2020-02-03,8.03
103,2020-02-04,8.52
104,2020-02-05,8.86
105,2020-02-06,9.01
106,2020-02-07,9.56
107,2020-02-10,9.59
108,2020-02-11,9.46
109,2020-02-12,9.39
110,2020-02-13,9.16
111,2020-02-14,8.97
112,2020-02-18,8.71
113,2020-02-19,9.21
114,2020-02-20,9.96
115,2020-02-21,10.86
116,2020-02-24,10.07
117,2020-02-25,10.12
118,2020-02-26,9.35
119,2020-02-27,8.89
120,2020-02-28,8.39
121,2020-03-02,8.63
122,2020-03-03,9.3
123,2020-03-04,9.83
124,2020-03-05,10.23
125,2020-03-06,9.76
126,2020-03-09,9.95
127,2020-03-10,10.0
128,2020-03-11,10.2
129,2020-03-12,8.46
130,2020-03-13,7.21
131,2020-03-16,6.5
132,2020-03-17,6.29
133,2020-03-18,6.6
134,2020-03-19,6.4
135,2020-03-20,8.1
136,2020-03-23,8.34
137,2020-03-24,10.0
138,2020-03-25,10.37
139,2020-03-26,9.35
140,2020-03-27,9.1
