,date,open
0,2021-04-16,20.0
1,2021-04-19,17.26
2,2021-04-20,17.0
3,2021-04-21,16.33
4,2021-04-22,17.2
5,2021-04-23,18.0
6,2021-04-26,16.52
7,2021-04-27,16.25
8,2021-04-28,16.99
9,2021-04-29,17.52
10,2021-04-30,16.7
11,2021-05-03,17.04
12,2021-05-04,16.66
13,2021-05-05,16.79
14,2021-05-06,16.83
15,2021-05-07,16.87
16,2021-05-10,16.94
17,2021-05-11,16.13
18,2021-05-12,16.38
19,2021-05-13,15.85
20,2021-05-14,16.01
21,2021-05-17,15.69
22,2021-05-18,15.94
23,2021-05-19,16.75
24,2021-05-20,17.26
25,2021-05-21,17.5
26,2021-05-24,17.49
27,2021-05-25,17.16
28,2021-05-26,17.27
29,2021-05-27,17.29
30,2021-05-28,16.4
31,2021-06-01,17.5
32,2021-06-02,18.74
33,2021-06-03,18.74
34,2021-06-04,17.95
35,2021-06-07,19.08
36,2021-06-08,20.09
37,2021-06-09,20.09
38,2021-06-10,20.62
39,2021-06-11,21.26
40,2021-06-14,20.95
41,2021-06-15,20.54
42,2021-06-16,20.44
43,2021-06-17,20.28
44,2021-06-18,20.5
45,2021-06-21,19.795
46,2021-06-22,18.71
47,2021-06-23,18.225
48,2021-06-24,16.78
49,2021-06-25,15.41
50,2021-06-28,13.94
51,2021-06-29,15.0
52,2021-06-30,15.2
53,2021-07-01,15.63
54,2021-07-02,15.57
55,2021-07-06,15.45
56,2021-07-07,15.32
57,2021-07-08,14.94
58,2021-07-09,15.5328
59,2021-07-12,15.76
60,2021-07-13,16.02
61,2021-07-14,15.71
62,2021-07-15,13.73
63,2021-07-16,14.25
64,2021-07-19,13.6
65,2021-07-20,13.67
66,2021-07-21,14.355
67,2021-07-22,13.52
68,2021-07-23,13.2
69,2021-07-26,13.36
70,2021-07-27,12.66
71,2021-07-28,13.09
72,2021-07-29,13.47
73,2021-07-30,13.46
74,2021-08-02,13.43
75,2021-08-03,13.67
76,2021-08-04,13.61
77,2021-08-05,13.18
78,2021-08-06,12.77
79,2021-08-09,12.74
80,2021-08-10,12.8
81,2021-08-11,11.97
82,2021-08-12,12.27
83,2021-08-13,11.91
84,2021-08-16,10.62
85,2021-08-17,10.59
86,2021-08-18,10.87
87,2021-08-19,10.59
88,2021-08-20,10.84
89,2021-08-23,11.33
90,2021-08-24,12.9
91,2021-08-25,12.3
92,2021-08-26,12.59
93,2021-08-27,13.07
94,2021-08-30,13.6
95,2021-08-31,13.72
96,2021-09-01,13.95
97,2021-09-02,14.6089
98,2021-09-03,13.98
99,2021-09-07,13.6
100,2021-09-08,13.7
101,2021-09-09,12.87
102,2021-09-10,12.27
103,2021-09-13,11.14
104,2021-09-14,11.55
105,2021-09-15,11.99
106,2021-09-16,10.64
107,2021-09-17,11.77
108,2021-09-20,10.61
109,2021-09-21,10.3
110,2021-09-22,10.55
111,2021-09-23,10.37
112,2021-09-24,10.37
113,2021-09-27,10.4
114,2021-09-28,10.81
115,2021-09-29,10.88
116,2021-09-30,10.82
117,2021-10-01,11.91
118,2021-10-04,11.82
119,2021-10-05,12.67
120,2021-10-06,12.65
121,2021-10-07,12.59
122,2021-10-08,12.34
123,2021-10-11,12.21
124,2021-10-12,12.08
125,2021-10-13,12.1
126,2021-10-14,11.21
127,2021-10-15,11.65
128,2021-10-18,11.64
129,2021-10-19,11.34
130,2021-10-20,11.6148
131,2021-10-21,11.17
132,2021-10-22,11.01
133,2021-10-25,10.76
134,2021-10-26,11.69
135,2021-10-27,10.68
136,2021-10-28,11.23
137,2021-10-29,10.63
138,2021-11-01,11.0
139,2021-11-02,11.25
140,2021-11-03,10.75
141,2021-11-04,11.31
142,2021-11-05,11.49
143,2021-11-08,11.17
144,2021-11-09,10.92
145,2021-11-10,11.22
146,2021-11-11,11.67
147,2021-11-12,11.91
148,2021-11-15,12.03
149,2021-11-16,11.67
150,2021-11-17,11.6499
151,2021-11-18,12.3
152,2021-11-19,11.16
153,2021-11-22,10.98
154,2021-11-23,11.35
155,2021-11-24,10.81
156,2021-11-26,11.91
157,2021-11-29,12.22
158,2021-11-30,11.81
159,2021-12-01,12.24
160,2021-12-02,11.6
161,2021-12-03,10.72
162,2021-12-06,9.8
163,2021-12-07,10.38
164,2021-12-08,10.59
165,2021-12-09,10.16
166,2021-12-10,9.33
167,2021-12-13,9.25
168,2021-12-14,8.81
169,2021-12-15,8.01
170,2021-12-16,8.31
171,2021-12-17,8.0
172,2021-12-20,7.03
173,2021-12-21,8.28
174,2021-12-22,7.74
175,2021-12-23,7.58
176,2021-12-27,7.8
177,2021-12-28,7.67
178,2021-12-29,7.61
179,2021-12-30,7.71
180,2021-12-31,7.63
181,2022-01-03,7.39
182,2022-01-04,8.89
183,2022-01-05,9.03
184,2022-01-06,7.92
185,2022-01-07,7.95
186,2022-01-10,7.7
187,2022-01-11,7.54
188,2022-01-12,7.97
189,2022-01-13,8.14
190,2022-01-14,8.25
191,2022-01-18,9.985
192,2022-01-19,7.66
193,2022-01-20,7.32
194,2022-01-21,7.1
195,2022-01-24,6.88
196,2022-01-25,7.01
197,2022-01-26,7.34
198,2022-01-27,6.68
199,2022-01-28,6.63
200,2022-01-31,6.78
201,2022-02-01,7.15
202,2022-02-02,6.58
203,2022-02-03,6.33
204,2022-02-04,6.28
205,2022-02-07,6.44
206,2022-02-08,6.69
207,2022-02-09,6.31
208,2022-02-10,6.66
209,2022-02-11,6.64
210,2022-02-14,6.25
211,2022-02-15,6.13
212,2022-02-16,6.26
213,2022-02-17,6.07
214,2022-02-18,6.48
215,2022-02-22,6.08
216,2022-02-23,6.13
217,2022-02-24,5.65
218,2022-02-25,6.46
219,2022-02-28,6.77
220,2022-03-01,6.06
221,2022-03-02,5.98
222,2022-03-03,6.1
223,2022-03-04,5.93
224,2022-03-07,6.44
225,2022-03-08,6.4
226,2022-03-09,6.68
227,2022-03-10,6.63
228,2022-03-11,6.84
229,2022-03-14,6.47
230,2022-03-15,6.48
231,2022-03-16,5.87
232,2022-03-17,5.48
233,2022-03-18,5.41
234,2022-03-21,5.6
235,2022-03-22,5.5
236,2022-03-23,5.09
237,2022-03-24,4.86
238,2022-03-25,4.78
239,2022-03-28,4.53
240,2022-03-29,4.49
241,2022-03-30,4.47
242,2022-03-31,4.4
243,2022-04-01,4.44
244,2022-04-04,4.51
245,2022-04-05,4.78
246,2022-04-06,4.6
247,2022-04-07,4.59
248,2022-04-08,4.57
249,2022-04-11,4.55
250,2022-04-12,4.6
251,2022-04-13,4.59
252,2022-04-14,4.64
253,2022-04-18,4.53
254,2022-04-19,4.1399
255,2022-04-20,4.16
256,2022-04-21,4.11
257,2022-04-22,3.63
258,2022-04-25,3.24
259,2022-04-26,3.2
260,2022-04-27,3.06
261,2022-04-28,3.14
262,2022-04-29,3.22
263,2022-05-02,2.96
264,2022-05-03,2.99
265,2022-05-04,3.54
266,2022-05-05,3.87
267,2022-05-06,3.74
268,2022-05-09,4.09
269,2022-05-10,3.98
270,2022-05-11,4.5
271,2022-05-12,4.01
272,2022-05-13,4.17
273,2022-05-16,3.81
274,2022-05-17,3.99
275,2022-05-18,5.2
276,2022-05-19,5.18
277,2022-05-20,6.0
278,2022-05-23,6.46
279,2022-05-24,5.64
280,2022-05-25,5.54
281,2022-05-26,5.22
