,date,open
0,1999-07-26,13.31
1,1999-07-27,13.38
2,1999-07-28,14.38
3,1999-07-29,13.94
4,1999-07-30,13.06
5,1999-08-02,12.06
6,1999-08-03,12.5
7,1999-08-04,12.44
8,1999-08-05,13.38
9,1999-08-06,13.75
10,1999-08-09,14.25
11,1999-08-10,15.13
12,1999-08-11,14.31
13,1999-08-12,14.63
14,1999-08-13,14.16
15,1999-08-16,14.31
16,1999-08-17,14.0
17,1999-08-18,14.31
18,1999-08-19,14.31
19,1999-08-20,16.0
20,1999-08-23,16.06
21,1999-08-24,15.5
22,1999-08-25,15.97
23,1999-08-26,16.0
24,1999-08-27,15.81
25,1999-08-30,16.0
26,1999-08-31,15.81
27,1999-09-01,15.38
28,1999-09-02,15.75
29,1999-09-03,15.63
30,1999-09-07,15.19
31,1999-09-08,15.69
32,1999-09-09,15.13
33,1999-09-10,15.38
34,1999-09-13,15.31
35,1999-09-14,15.5
36,1999-09-15,15.25
37,1999-09-16,15.63
38,1999-09-17,15.56
39,1999-09-20,16.13
40,1999-09-21,15.75
41,1999-09-22,16.5
42,1999-09-23,17.31
43,1999-09-24,17.63
44,1999-09-27,18.0
45,1999-09-28,18.5
46,1999-09-29,18.63
47,1999-09-30,17.75
48,1999-10-01,17.38
49,1999-10-04,16.38
50,1999-10-05,15.88
51,1999-10-06,15.69
52,1999-10-07,16.5
53,1999-10-08,16.69
54,1999-10-11,16.5
55,1999-10-12,16.5
56,1999-10-13,16.25
57,1999-10-14,16.38
58,1999-10-15,16.5
59,1999-10-18,16.0
60,1999-10-19,16.0
61,1999-10-20,15.63
62,1999-10-21,16.0
63,1999-10-22,15.75
64,1999-10-25,15.5
65,1999-10-26,15.38
66,1999-10-27,15.0
67,1999-10-28,15.0
68,1999-10-29,14.75
69,1999-11-01,15.75
70,1999-11-02,15.5
71,1999-11-03,15.38
72,1999-11-04,15.63
73,1999-11-05,15.44
74,1999-11-08,14.5
75,1999-11-09,14.5
76,1999-11-10,14.5
77,1999-11-11,14.63
78,1999-11-12,14.0
79,1999-11-15,13.0
80,1999-11-16,13.0
81,1999-11-17,13.13
82,1999-11-18,10.56
83,1999-11-19,11.88
84,1999-11-22,11.94
