,date,open
0,2015-04-30,23.4
1,2015-05-01,18.79
2,2015-05-04,18.6
3,2015-05-05,20.5
4,2015-05-06,20.95
5,2015-05-07,21.4
6,2015-05-08,22.78
7,2015-05-11,23.73
8,2015-05-12,25.02
9,2015-05-13,24.99
10,2015-05-14,27.39
11,2015-05-15,29.0
12,2015-05-18,28.78
13,2015-05-19,29.23
14,2015-05-20,28.67
15,2015-05-21,28.87
16,2015-05-22,29.68
17,2015-05-26,31.03
18,2015-05-27,28.28
19,2015-05-28,26.96
20,2015-05-29,28.55
21,2015-06-01,29.18
22,2015-06-02,31.26
23,2015-06-03,30.56
24,2015-06-04,30.42
25,2015-06-05,30.35
26,2015-06-08,30.55
27,2015-06-09,32.0
28,2015-06-10,31.8
29,2015-06-11,31.24
30,2015-06-12,33.55
31,2015-06-15,33.78
32,2015-06-16,33.19
33,2015-06-17,33.83
34,2015-06-18,35.24
35,2015-06-19,36.49
36,2015-06-22,33.49
37,2015-06-23,32.95
38,2015-06-24,31.25
39,2015-06-25,28.1
40,2015-06-26,27.96
41,2015-06-29,27.63
42,2015-06-30,26.3
43,2015-07-01,26.79
44,2015-07-02,27.3
45,2015-07-06,26.78
46,2015-07-07,25.85
47,2015-07-08,25.72
48,2015-07-09,26.07
49,2015-07-10,26.12
50,2015-07-13,28.26
51,2015-07-14,29.16
52,2015-07-15,31.03
53,2015-07-16,31.29
54,2015-07-17,32.28
55,2015-07-20,32.62
56,2015-07-21,31.79
57,2015-07-22,30.57
58,2015-07-23,30.33
59,2015-07-24,29.1
60,2015-07-27,27.3
61,2015-07-28,27.02
62,2015-07-29,28.61
63,2015-07-30,27.28
64,2015-07-31,26.74
65,2015-08-03,27.0
66,2015-08-04,27.68
67,2015-08-05,28.57
68,2015-08-06,28.42
69,2015-08-07,27.35
70,2015-08-10,26.75
71,2015-08-11,26.39
72,2015-08-12,26.75
73,2015-08-13,28.06
74,2015-08-14,27.7
75,2015-08-17,26.7
76,2015-08-18,30.61
77,2015-08-19,28.62
78,2015-08-20,26.68
79,2015-08-21,25.43
80,2015-08-24,24.22
81,2015-08-25,27.18
82,2015-08-26,27.26
83,2015-08-27,26.18
84,2015-08-28,26.87
85,2015-08-31,26.78
86,2015-09-01,26.96
87,2015-09-02,27.95
88,2015-09-03,28.5
89,2015-09-04,27.57
90,2015-09-08,28.78
91,2015-09-09,30.0
92,2015-09-10,29.23
93,2015-09-11,30.05
94,2015-09-14,29.65
95,2015-09-15,31.13
96,2015-09-16,30.75
97,2015-09-17,29.21
98,2015-09-18,29.12
99,2015-09-21,31.52
100,2015-09-22,28.8
101,2015-09-23,25.29
102,2015-09-24,24.17
103,2015-09-25,23.77
104,2015-09-28,21.25
105,2015-09-29,21.15
106,2015-09-30,21.27
107,2015-10-01,21.25
108,2015-10-02,20.46
109,2015-10-05,22.63
110,2015-10-06,22.13
111,2015-10-07,21.22
112,2015-10-08,21.13
113,2015-10-09,21.21
114,2015-10-12,21.27
115,2015-10-13,21.24
116,2015-10-14,21.32
117,2015-10-15,21.47
118,2015-10-16,23.67
119,2015-10-19,22.24
120,2015-10-20,22.88
121,2015-10-21,22.79
122,2015-10-22,22.04
123,2015-10-23,23.04
124,2015-10-26,22.14
125,2015-10-27,22.45
126,2015-10-28,20.54
127,2015-10-29,21.49
128,2015-10-30,20.59
129,2015-11-02,20.16
130,2015-11-03,20.8
131,2015-11-04,21.57
132,2015-11-05,21.95
133,2015-11-06,21.77
134,2015-11-09,22.19
135,2015-11-10,23.0
136,2015-11-11,22.56
137,2015-11-12,21.0
138,2015-11-13,21.36
139,2015-11-16,21.5
140,2015-11-17,21.0
141,2015-11-18,19.5
142,2015-11-19,19.87
143,2015-11-20,20.03
144,2015-11-23,19.89
145,2015-11-24,20.02
146,2015-11-25,20.52
147,2015-11-27,21.53
148,2015-11-30,22.17
149,2015-12-01,23.0
150,2015-12-02,23.49
151,2015-12-03,23.94
152,2015-12-04,23.7
153,2015-12-07,23.8
154,2015-12-08,23.53
155,2015-12-09,24.48
156,2015-12-10,22.95
157,2015-12-11,23.21
158,2015-12-14,23.22
159,2015-12-15,23.76
160,2015-12-16,24.56
161,2015-12-17,24.98
162,2015-12-18,25.17
163,2015-12-21,25.22
164,2015-12-22,24.96
165,2015-12-23,25.18
166,2015-12-24,25.47
167,2015-12-28,24.77
168,2015-12-29,24.19
169,2015-12-30,24.85
170,2015-12-31,24.85
171,2016-01-04,25.99
172,2016-01-05,24.47
173,2016-01-06,22.67
174,2016-01-07,21.28
175,2016-01-08,20.9
176,2016-01-11,20.15
177,2016-01-12,18.89
178,2016-01-13,19.23
179,2016-01-14,17.92
180,2016-01-15,17.68
181,2016-01-19,17.94
182,2016-01-20,16.83
183,2016-01-21,17.0
184,2016-01-22,17.42
185,2016-01-25,17.5
186,2016-01-26,18.12
187,2016-01-27,18.16
188,2016-01-28,16.81
189,2016-01-29,15.48
190,2016-02-01,15.68
191,2016-02-02,16.12
192,2016-02-03,16.57
193,2016-02-04,14.99
194,2016-02-05,15.23
195,2016-02-08,14.74
196,2016-02-09,13.22
197,2016-02-10,13.73
198,2016-02-11,13.68
199,2016-02-12,14.99
200,2016-02-16,16.42
201,2016-02-17,16.9
202,2016-02-18,17.87
203,2016-02-19,17.0
204,2016-02-22,17.35
205,2016-02-23,17.84
206,2016-02-24,17.07
207,2016-02-25,17.13
208,2016-02-26,16.89
209,2016-02-29,18.01
210,2016-03-01,17.4
211,2016-03-02,19.09
212,2016-03-03,19.21
213,2016-03-04,18.09
214,2016-03-07,17.47
215,2016-03-08,18.77
216,2016-03-09,16.55
217,2016-03-10,17.77
218,2016-03-11,17.09
219,2016-03-14,17.01
220,2016-03-15,20.0
221,2016-03-16,17.05
222,2016-03-17,16.99
223,2016-03-18,16.08
224,2016-03-21,16.97
225,2016-03-22,16.68
226,2016-03-23,16.86
227,2016-03-24,16.39
228,2016-03-28,16.54
229,2016-03-29,16.18
230,2016-03-30,17.09
231,2016-03-31,17.53
232,2016-04-01,17.95
233,2016-04-04,18.3
234,2016-04-05,18.46
235,2016-04-06,19.43
236,2016-04-07,21.06
237,2016-04-08,21.39
238,2016-04-11,20.9
239,2016-04-12,19.97
240,2016-04-13,20.0
241,2016-04-14,19.4
242,2016-04-15,19.21
243,2016-04-18,19.01
244,2016-04-19,19.55
245,2016-04-20,18.47
246,2016-04-21,18.16
247,2016-04-22,18.53
248,2016-04-25,18.89
249,2016-04-26,18.08
250,2016-04-27,17.26
251,2016-04-28,15.75
252,2016-04-29,14.96
253,2016-05-02,15.3
254,2016-05-03,15.62
255,2016-05-04,15.01
256,2016-05-05,14.63
257,2016-05-06,13.78
258,2016-05-09,13.74
259,2016-05-10,15.5
260,2016-05-11,15.5
261,2016-05-12,15.4
262,2016-05-13,14.64
263,2016-05-16,15.43
264,2016-05-17,15.87
265,2016-05-18,16.31
266,2016-05-19,16.4
267,2016-05-20,17.47
268,2016-05-23,17.99
269,2016-05-24,17.91
270,2016-05-25,18.46
271,2016-05-26,18.23
272,2016-05-27,18.41
273,2016-05-31,18.3
274,2016-06-01,18.76
275,2016-06-02,18.79
276,2016-06-03,19.42
277,2016-06-06,20.54
278,2016-06-07,21.35
279,2016-06-08,22.14
280,2016-06-09,20.5
281,2016-06-10,20.24
282,2016-06-13,19.48
283,2016-06-14,19.23
284,2016-06-15,19.08
285,2016-06-16,18.6
286,2016-06-17,19.1
287,2016-06-20,18.23
288,2016-06-21,19.11
289,2016-06-22,18.86
290,2016-06-23,18.97
291,2016-06-24,18.57
292,2016-06-27,18.69
293,2016-06-28,17.82
294,2016-06-29,18.55
295,2016-06-30,19.09
296,2016-07-01,20.15
297,2016-07-05,20.01
298,2016-07-06,19.57
299,2016-07-07,20.21
300,2016-07-08,20.3
301,2016-07-11,21.33
302,2016-07-12,21.27
303,2016-07-13,21.52
304,2016-07-14,20.48
305,2016-07-15,20.31
306,2016-07-18,20.35
307,2016-07-19,20.6
308,2016-07-20,20.19
309,2016-07-21,21.12
310,2016-07-22,21.47
311,2016-07-25,21.49
312,2016-07-26,21.66
313,2016-07-27,21.58
314,2016-07-28,21.46
315,2016-07-29,21.49
316,2016-08-01,22.01
317,2016-08-02,22.05
318,2016-08-03,20.86
319,2016-08-04,21.87
320,2016-08-05,22.38
321,2016-08-08,23.06
322,2016-08-09,22.5
323,2016-08-10,23.99
324,2016-08-11,23.8
325,2016-08-12,23.89
326,2016-08-15,24.85
327,2016-08-16,24.99
328,2016-08-17,26.28
329,2016-08-18,26.57
330,2016-08-19,26.56
331,2016-08-22,27.04
332,2016-08-23,28.46
333,2016-08-24,27.95
334,2016-08-25,27.23
335,2016-08-26,27.35
336,2016-08-29,28.13
337,2016-08-30,28.09
338,2016-08-31,28.34
339,2016-09-01,27.81
340,2016-09-02,27.98
341,2016-09-06,27.39
342,2016-09-07,28.3
343,2016-09-08,28.07
344,2016-09-09,27.67
345,2016-09-12,26.92
346,2016-09-13,26.37
347,2016-09-14,25.67
348,2016-09-15,27.29
349,2016-09-16,28.09
350,2016-09-19,28.13
351,2016-09-20,29.33
352,2016-09-21,29.36
353,2016-09-22,29.55
354,2016-09-23,29.27
355,2016-09-26,28.47
356,2016-09-27,27.25
357,2016-09-28,27.7
358,2016-09-29,28.55
359,2016-09-30,28.25
360,2016-10-03,29.45
361,2016-10-04,28.36
362,2016-10-05,28.04
363,2016-10-06,28.0
364,2016-10-07,26.78
365,2016-10-10,27.58
366,2016-10-11,28.3
367,2016-10-12,27.91
368,2016-10-13,28.0
369,2016-10-14,30.59
370,2016-10-17,29.77
371,2016-10-18,28.85
372,2016-10-19,29.99
373,2016-10-20,29.5
374,2016-10-21,31.2
375,2016-10-24,31.2
376,2016-10-25,31.8
377,2016-10-26,32.68
378,2016-10-27,32.65
379,2016-10-28,31.48
380,2016-10-31,30.62
381,2016-11-01,30.0
382,2016-11-02,29.87
383,2016-11-03,28.72
384,2016-11-04,28.16
385,2016-11-07,30.46
386,2016-11-08,29.71
387,2016-11-09,30.66
388,2016-11-10,31.65
389,2016-11-11,34.57
390,2016-11-14,35.0
391,2016-11-15,34.9
392,2016-11-16,34.75
393,2016-11-17,35.28
394,2016-11-18,36.18
395,2016-11-21,36.31
396,2016-11-22,37.26
397,2016-11-23,35.97
398,2016-11-25,38.33
399,2016-11-28,37.25
400,2016-11-29,35.49
401,2016-11-30,30.07
402,2016-12-01,30.21
403,2016-12-02,28.03
404,2016-12-05,27.5
405,2016-12-06,28.71
406,2016-12-07,27.25
407,2016-12-08,25.93
408,2016-12-09,27.76
409,2016-12-12,26.86
410,2016-12-13,26.01
411,2016-12-14,25.82
412,2016-12-15,26.12
413,2016-12-16,26.99
414,2016-12-19,28.62
415,2016-12-20,28.2
416,2016-12-21,28.94
417,2016-12-22,28.4
418,2016-12-23,26.89
419,2016-12-27,28.17
420,2016-12-28,28.07
421,2016-12-29,28.14
422,2016-12-30,27.89
423,2017-01-03,28.33
424,2017-01-04,29.04
425,2017-01-05,29.88
426,2017-01-06,30.65
427,2017-01-09,31.37
428,2017-01-10,32.22
429,2017-01-11,32.31
430,2017-01-12,32.01
431,2017-01-13,32.5
432,2017-01-17,32.5
433,2017-01-18,31.52
434,2017-01-19,32.03
435,2017-01-20,32.54
436,2017-01-23,31.99
437,2017-01-24,32.17
438,2017-01-25,33.01
439,2017-01-26,33.95
440,2017-01-27,34.04
441,2017-01-30,34.44
442,2017-01-31,33.0
443,2017-02-01,34.295
444,2017-02-02,34.88
445,2017-02-03,35.45
446,2017-02-06,35.74
447,2017-02-07,35.87
448,2017-02-08,35.86
449,2017-02-09,35.88
450,2017-02-10,35.47
451,2017-02-13,35.39
452,2017-02-14,34.13
453,2017-02-15,34.92
454,2017-02-16,35.94
455,2017-02-17,36.05
456,2017-02-21,35.48
457,2017-02-22,33.84
458,2017-02-23,33.27
459,2017-02-24,33.79
460,2017-02-27,34.61
461,2017-02-28,35.97
462,2017-03-01,35.79
463,2017-03-02,34.89
464,2017-03-03,35.14
465,2017-03-06,34.91
466,2017-03-07,34.87
467,2017-03-08,34.42
468,2017-03-09,35.13
469,2017-03-10,37.16
470,2017-03-13,40.53
471,2017-03-14,41.23
472,2017-03-15,40.22
473,2017-03-16,42.0
474,2017-03-17,40.31
475,2017-03-20,41.35
476,2017-03-21,41.45
477,2017-03-22,41.07
478,2017-03-23,41.22
479,2017-03-24,41.16
480,2017-03-27,43.17
481,2017-03-28,44.25
482,2017-03-29,41.3
483,2017-03-30,41.75
484,2017-03-31,39.99
485,2017-04-03,40.07
486,2017-04-04,40.19
487,2017-04-05,42.1
488,2017-04-06,42.65
489,2017-04-07,44.61
490,2017-04-10,44.62
491,2017-04-11,44.25
492,2017-04-12,42.61
493,2017-04-13,42.67
494,2017-04-17,45.46
495,2017-04-18,45.71
496,2017-04-19,45.78
497,2017-04-20,46.93
498,2017-04-21,46.0
499,2017-04-24,45.52
500,2017-04-25,46.81
501,2017-04-26,46.32
502,2017-04-27,46.76
503,2017-04-28,46.29
504,2017-05-01,46.81
505,2017-05-02,48.49
506,2017-05-03,47.0
507,2017-05-04,44.16
508,2017-05-05,41.45
509,2017-05-08,40.5
510,2017-05-09,41.06
511,2017-05-10,40.64
512,2017-05-11,40.4
513,2017-05-12,40.67
514,2017-05-15,40.9
515,2017-05-16,40.87
516,2017-05-17,40.84
517,2017-05-18,38.54
518,2017-05-19,40.3
519,2017-05-22,39.5
520,2017-05-23,40.0
521,2017-05-24,38.4
522,2017-05-25,38.95
523,2017-05-26,38.28
524,2017-05-30,36.4
525,2017-05-31,35.4
526,2017-06-01,35.76
527,2017-06-02,38.45
528,2017-06-05,39.75
529,2017-06-06,37.36
530,2017-06-07,37.6
531,2017-06-08,37.57
532,2017-06-09,36.75
533,2017-06-12,35.56
534,2017-06-13,36.01
535,2017-06-14,36.95
536,2017-06-15,38.43
537,2017-06-16,38.66
538,2017-06-19,40.05
539,2017-06-20,40.91
540,2017-06-21,42.7
541,2017-06-22,46.01
542,2017-06-23,47.9
543,2017-06-26,50.0
544,2017-06-27,52.21
545,2017-06-28,50.03
546,2017-06-29,51.44
547,2017-06-30,51.01
548,2017-07-03,51.0
549,2017-07-05,50.68
550,2017-07-06,55.98
551,2017-07-07,55.05
552,2017-07-10,53.59
553,2017-07-11,53.5
554,2017-07-12,54.35
555,2017-07-13,53.84
556,2017-07-14,52.99
557,2017-07-17,52.63
558,2017-07-18,52.78
559,2017-07-19,53.48
560,2017-07-20,53.41
561,2017-07-21,55.22
562,2017-07-24,54.58
563,2017-07-25,56.42
564,2017-07-26,55.48
565,2017-07-27,56.0
566,2017-07-28,52.0
567,2017-07-31,53.08
568,2017-08-01,52.63
569,2017-08-02,53.37
570,2017-08-03,48.97
571,2017-08-04,48.14
572,2017-08-07,48.98
573,2017-08-08,49.39
574,2017-08-09,48.97
575,2017-08-10,47.6
576,2017-08-11,47.01
577,2017-08-14,46.65
578,2017-08-15,45.79
579,2017-08-16,45.98
580,2017-08-17,45.14
581,2017-08-18,42.41
582,2017-08-21,42.34
583,2017-08-22,43.0
584,2017-08-23,47.12
585,2017-08-24,50.83
586,2017-08-25,52.17
587,2017-08-28,50.7
588,2017-08-29,51.49
589,2017-08-30,52.97
590,2017-08-31,52.22
591,2017-09-01,54.22
592,2017-09-05,55.16
593,2017-09-06,56.33
594,2017-09-07,54.14
595,2017-09-08,53.0
596,2017-09-11,52.77
597,2017-09-12,48.21
598,2017-09-13,48.33
599,2017-09-14,52.85
600,2017-09-15,56.76
601,2017-09-18,58.05
602,2017-09-19,62.88
603,2017-09-20,64.45
604,2017-09-21,61.59
605,2017-09-22,61.72
606,2017-09-25,62.49
607,2017-09-26,62.69
608,2017-09-27,63.5
609,2017-09-28,66.3
610,2017-09-29,69.5
611,2017-10-02,69.05
612,2017-10-03,69.16
613,2017-10-04,70.51
614,2017-10-05,68.0
615,2017-10-06,66.82
616,2017-10-09,66.26
617,2017-10-10,66.35
618,2017-10-11,67.83
619,2017-10-12,65.95
620,2017-10-13,64.65
621,2017-10-16,63.03
622,2017-10-17,64.35
