,date,open
0,2020-06-05,19.9
1,2020-06-08,20.12
2,2020-06-09,20.02
3,2020-06-10,20.25
4,2020-06-11,19.8
5,2020-06-12,19.7
6,2020-06-15,19.4
7,2020-06-16,19.66
8,2020-06-17,19.59
9,2020-06-18,19.34
10,2020-06-19,19.28
11,2020-06-22,19.17
12,2020-06-23,19.57
13,2020-06-24,20.04
14,2020-06-25,19.65
15,2020-06-26,19.64
16,2020-06-29,20.01
17,2020-06-30,24.86
18,2020-07-01,24.12
19,2020-07-02,23.5
20,2020-07-06,22.97
21,2020-07-07,23.49
22,2020-07-08,23.55
23,2020-07-09,23.4
24,2020-07-10,23.92
25,2020-07-13,23.34
26,2020-07-14,23.61
27,2020-07-15,23.97
28,2020-07-16,24.16
29,2020-07-17,24.16
30,2020-07-20,25.1
31,2020-07-21,25.03
32,2020-07-22,25.63
33,2020-07-23,25.35
34,2020-07-24,24.16
35,2020-07-27,24.16
36,2020-07-28,24.38
37,2020-07-29,24.12
38,2020-07-30,22.4
39,2020-07-31,23.0
40,2020-08-03,23.37
41,2020-08-04,22.63
42,2020-08-05,22.77
43,2020-08-06,22.91
44,2020-08-07,22.46
45,2020-08-10,23.55
46,2020-08-11,23.53
47,2020-08-12,23.0
48,2020-08-13,23.31
49,2020-08-14,24.16
50,2020-08-17,24.7
51,2020-08-18,24.16
52,2020-08-19,24.62
53,2020-08-20,23.68
54,2020-08-21,24.33
55,2020-08-24,23.04
56,2020-08-25,23.46
57,2020-08-26,23.44
58,2020-08-27,23.88
59,2020-08-28,23.71
60,2020-08-31,24.07
61,2020-09-01,23.56
62,2020-09-02,23.25
63,2020-09-03,23.28
64,2020-09-04,22.42
65,2020-09-08,22.74
66,2020-09-09,22.92
67,2020-09-10,22.77
68,2020-09-11,22.58
69,2020-09-14,22.9987
70,2020-09-15,23.26
71,2020-09-16,23.68
72,2020-09-17,23.78
73,2020-09-18,24.73
74,2020-09-21,23.61
75,2020-09-22,23.61
76,2020-09-23,24.15
77,2020-09-24,22.88
78,2020-09-25,22.34
79,2020-09-28,23.22
80,2020-09-29,23.7
81,2020-09-30,23.77
82,2020-10-01,23.85
83,2020-10-02,23.18
84,2020-10-05,24.22
85,2020-10-06,24.81
86,2020-10-07,24.61
87,2020-10-08,26.57
88,2020-10-09,27.02
89,2020-10-12,28.45
90,2020-10-13,28.33
91,2020-10-14,28.5
92,2020-10-15,27.57
93,2020-10-16,28.35
94,2020-10-19,27.84
95,2020-10-20,28.31
96,2020-10-21,27.47
97,2020-10-22,26.88
98,2020-10-23,26.74
99,2020-10-26,25.5425
100,2020-10-27,24.97
101,2020-10-28,23.7
102,2020-10-29,23.34
103,2020-10-30,23.9
104,2020-11-02,23.53
105,2020-11-03,24.23
106,2020-11-04,24.98
107,2020-11-05,25.98
108,2020-11-06,25.76
109,2020-11-09,37.9
110,2020-11-10,34.22
111,2020-11-11,35.25
112,2020-11-12,34.5
113,2020-11-13,32.77
114,2020-11-16,32.69
115,2020-11-17,32.55
116,2020-11-18,32.88
117,2020-11-19,32.74
118,2020-11-20,32.7
119,2020-11-23,32.6646
120,2020-11-24,31.99
121,2020-11-25,32.52
122,2020-11-27,32.66
123,2020-11-30,35.86
124,2020-12-01,36.42
125,2020-12-02,34.78
126,2020-12-03,34.1038
127,2020-12-04,34.04
128,2020-12-07,34.08
129,2020-12-08,33.66
130,2020-12-09,34.57
131,2020-12-10,33.57
132,2020-12-11,33.35
133,2020-12-14,34.0
134,2020-12-15,33.92
135,2020-12-16,33.9858
136,2020-12-17,34.7404
137,2020-12-18,33.7262
138,2020-12-21,33.06
139,2020-12-22,33.54
140,2020-12-23,32.93
141,2020-12-24,32.9373
142,2020-12-28,33.19
143,2020-12-29,33.99
144,2020-12-30,33.93
145,2020-12-31,33.57
146,2021-01-04,32.41
147,2021-01-05,32.93
148,2021-01-06,32.5
149,2021-01-07,31.99
150,2021-01-08,31.96
151,2021-01-11,31.4
152,2021-01-12,31.3
153,2021-01-13,30.27
154,2021-01-14,31.02
155,2021-01-15,30.55
156,2021-01-19,31.76
