,date,open
0,2020-10-02,26.6
1,2020-10-05,27.0
2,2020-10-06,27.85
3,2020-10-07,27.35
4,2020-10-08,25.39
5,2020-10-09,24.75
6,2020-10-12,23.0
7,2020-10-13,23.0
8,2020-10-14,23.49
9,2020-10-15,23.83
10,2020-10-16,25.0
11,2020-10-19,25.1
12,2020-10-20,26.05
13,2020-10-21,27.22
14,2020-10-22,27.35
15,2020-10-23,27.01
16,2020-10-26,26.14
17,2020-10-27,27.06
18,2020-10-28,25.72
19,2020-10-29,25.01
20,2020-10-30,25.51
21,2020-11-02,24.77
22,2020-11-03,24.8
23,2020-11-04,26.23
24,2020-11-05,25.9
25,2020-11-06,26.06
26,2020-11-09,27.74
27,2020-11-10,26.76
28,2020-11-11,25.75
29,2020-11-12,26.51
30,2020-11-13,26.52
31,2020-11-16,25.98
32,2020-11-17,28.01
33,2020-11-18,28.85
34,2020-11-19,28.42
35,2020-11-20,28.95
36,2020-11-23,28.47
37,2020-11-24,29.2
38,2020-11-25,32.65
39,2020-11-27,34.73
40,2020-11-30,35.86
41,2020-12-01,34.55
42,2020-12-02,29.64
43,2020-12-03,29.51
44,2020-12-04,33.0
45,2020-12-07,33.78
46,2020-12-08,33.52
47,2020-12-09,33.58
48,2020-12-10,30.5
49,2020-12-11,29.19
50,2020-12-14,29.5
51,2020-12-15,32.93
52,2020-12-16,33.64
53,2020-12-17,33.46
54,2020-12-18,33.66
55,2020-12-21,31.16
56,2020-12-22,32.52
57,2020-12-23,35.91
58,2020-12-24,36.7
59,2020-12-28,36.09
60,2020-12-29,36.07
61,2020-12-30,35.0
62,2020-12-31,35.81
63,2021-01-04,33.51
64,2021-01-05,31.82
65,2021-01-06,32.51
66,2021-01-07,33.7
67,2021-01-08,34.37
68,2021-01-11,33.52
69,2021-01-12,37.86
70,2021-01-13,37.125
71,2021-01-14,39.7
72,2021-01-15,37.54
73,2021-01-19,39.51
74,2021-01-20,40.1
75,2021-01-21,37.54
76,2021-01-22,36.52
77,2021-01-25,39.74
78,2021-01-26,40.47
79,2021-01-27,37.02
80,2021-01-28,35.18
81,2021-01-29,36.03
82,2021-02-01,36.5
83,2021-02-02,38.9
84,2021-02-03,43.49
85,2021-02-04,41.01
86,2021-02-05,41.95
87,2021-02-08,45.95
88,2021-02-09,43.65
89,2021-02-10,44.38
90,2021-02-11,45.71
91,2021-02-12,45.08
92,2021-02-16,42.0
93,2021-02-17,41.01
94,2021-02-18,41.51
95,2021-02-19,42.72
96,2021-02-22,44.01
97,2021-02-23,41.0
98,2021-02-24,41.13
99,2021-02-25,42.02
100,2021-02-26,42.04
101,2021-03-01,43.36
102,2021-03-02,42.77
103,2021-03-03,42.89
104,2021-03-04,39.72
105,2021-03-05,39.69
106,2021-03-08,41.62
107,2021-03-09,42.83
108,2021-03-10,42.45
109,2021-03-11,41.12
110,2021-03-12,42.15
111,2021-03-15,44.89
112,2021-03-16,44.24
113,2021-03-17,43.47
114,2021-03-18,43.47
115,2021-03-19,39.56
116,2021-03-22,39.03
117,2021-03-23,40.27
118,2021-03-24,38.29
119,2021-03-25,36.55
120,2021-03-26,39.95
121,2021-03-29,36.98
122,2021-03-30,33.03
123,2021-03-31,33.0
124,2021-04-01,36.8
125,2021-04-05,38.32
126,2021-04-06,37.45
127,2021-04-07,36.755
128,2021-04-08,36.61
129,2021-04-09,33.54
130,2021-04-12,32.6
131,2021-04-13,30.56
132,2021-04-14,32.37
133,2021-04-15,33.42
134,2021-04-16,33.1
135,2021-04-19,32.58
136,2021-04-20,31.51
137,2021-04-21,30.35
138,2021-04-22,31.48
139,2021-04-23,31.14
140,2021-04-26,30.54
141,2021-04-27,32.47
142,2021-04-28,33.37
143,2021-04-29,35.23
144,2021-04-30,34.06
145,2021-05-03,33.29
146,2021-05-04,33.29
147,2021-05-05,32.13
148,2021-05-06,32.66
149,2021-05-07,32.48
150,2021-05-10,34.61
151,2021-05-11,32.7
152,2021-05-12,34.77
153,2021-05-13,35.04
154,2021-05-14,34.59
155,2021-05-17,34.91
156,2021-05-18,34.66
157,2021-05-19,36.89
158,2021-05-20,34.39
159,2021-05-21,37.12
160,2021-05-24,36.65
161,2021-05-25,37.39
162,2021-05-26,35.06
163,2021-05-27,37.77
164,2021-05-28,37.6
165,2021-06-01,37.32
166,2021-06-02,37.66
167,2021-06-03,37.83
168,2021-06-04,40.0
169,2021-06-07,39.36
170,2021-06-08,41.66
171,2021-06-09,40.65
172,2021-06-10,41.91
173,2021-06-11,41.98
174,2021-06-14,42.37
175,2021-06-15,40.0
176,2021-06-16,37.77
177,2021-06-17,37.37
178,2021-06-18,37.19
179,2021-06-21,38.33
180,2021-06-22,38.74
181,2021-06-23,38.44
182,2021-06-24,38.47
183,2021-06-25,37.47
184,2021-06-28,37.84
185,2021-06-29,37.48
186,2021-06-30,37.04
187,2021-07-01,37.77
188,2021-07-02,38.95
189,2021-07-06,39.72
190,2021-07-07,38.95
191,2021-07-08,38.86
192,2021-07-09,39.85
193,2021-07-12,38.36
194,2021-07-13,37.84
195,2021-07-14,37.97
196,2021-07-15,37.0
197,2021-07-16,37.37
198,2021-07-19,39.45
199,2021-07-20,39.49
200,2021-07-21,40.22
201,2021-07-22,40.57
202,2021-07-23,40.35
203,2021-07-26,40.99
204,2021-07-27,42.19
205,2021-07-28,41.11
206,2021-07-29,44.59
207,2021-07-30,43.34
208,2021-08-02,43.49
209,2021-08-03,44.79
210,2021-08-04,45.6
211,2021-08-05,43.38
212,2021-08-06,41.35
213,2021-08-09,37.7
214,2021-08-10,37.34
215,2021-08-11,36.67
216,2021-08-12,35.88
217,2021-08-13,40.0
218,2021-08-16,38.58
219,2021-08-17,38.53
220,2021-08-18,39.87
221,2021-08-19,39.45
222,2021-08-20,40.73
223,2021-08-23,41.6
224,2021-08-24,41.98
225,2021-08-25,40.33
226,2021-08-26,41.34
227,2021-08-27,41.31
228,2021-08-30,41.89
229,2021-08-31,41.66
230,2021-09-01,40.52
231,2021-09-02,42.18
232,2021-09-03,43.21
233,2021-09-07,44.75
234,2021-09-08,47.0
235,2021-09-09,46.48
236,2021-09-10,49.08
237,2021-09-13,49.0
238,2021-09-14,50.09
239,2021-09-15,49.21
240,2021-09-16,48.5
241,2021-09-17,49.89
242,2021-09-20,48.76
243,2021-09-21,48.89
244,2021-09-22,50.16
245,2021-09-23,50.9
246,2021-09-24,49.99
247,2021-09-27,48.79
248,2021-09-28,49.84
249,2021-09-29,49.78
250,2021-09-30,46.61
251,2021-10-01,44.89
252,2021-10-04,45.83
253,2021-10-05,45.3
254,2021-10-06,44.12
255,2021-10-07,45.22
256,2021-10-08,44.23
257,2021-10-11,42.32
258,2021-10-12,42.0
259,2021-10-13,41.7
260,2021-10-14,41.94
261,2021-10-15,44.94
262,2021-10-18,43.54
263,2021-10-19,43.06
264,2021-10-20,44.41
265,2021-10-21,42.89
266,2021-10-22,43.87
267,2021-10-25,45.1
268,2021-10-26,44.51
269,2021-10-27,44.69
270,2021-10-28,44.97
271,2021-10-29,45.87
272,2021-11-01,44.75
273,2021-11-02,46.16
274,2021-11-03,46.74
275,2021-11-04,46.63
276,2021-11-05,45.41
277,2021-11-08,45.8
278,2021-11-09,46.25
279,2021-11-10,44.5
280,2021-11-11,45.0
281,2021-11-12,43.05
282,2021-11-15,42.25
283,2021-11-16,41.74
284,2021-11-17,41.24
285,2021-11-18,40.91
286,2021-11-19,40.11
287,2021-11-22,38.98
