,date,open
0,2012-02-08,10.49
1,2012-02-09,10.88
2,2012-02-10,10.75
3,2012-02-13,11.5
4,2012-02-14,11.24
5,2012-02-15,11.09
6,2012-02-16,10.82
7,2012-02-17,11.08
8,2012-02-21,10.46
9,2012-02-22,11.38
10,2012-02-23,11.51
11,2012-02-24,10.71
12,2012-02-27,10.27
13,2012-02-28,10.3
14,2012-02-29,10.33
15,2012-03-01,10.18
16,2012-03-02,10.1561
17,2012-03-05,10.43
18,2012-03-06,10.36
19,2012-03-07,10.28
20,2012-03-08,10.67
21,2012-03-09,10.83
22,2012-03-12,10.8
23,2012-03-13,10.82
24,2012-03-14,10.83
25,2012-03-15,10.34
26,2012-03-16,10.32
27,2012-03-19,10.17
28,2012-03-20,10.05
29,2012-03-21,10.3
30,2012-03-22,10.11
31,2012-03-23,10.48
32,2012-03-26,10.6
33,2012-03-27,11.05
34,2012-03-28,11.39
35,2012-03-29,10.53
36,2012-03-30,10.48
37,2012-04-02,10.7
38,2012-04-03,11.64
39,2012-04-04,11.31
40,2012-04-05,11.21
41,2012-04-09,11.08
42,2012-04-10,11.12
43,2012-04-11,12.49
44,2012-04-12,13.35
45,2012-04-13,14.03
46,2012-04-16,14.27
47,2012-04-17,14.8
48,2012-04-18,16.32
49,2012-04-19,16.5
50,2012-04-20,17.31
51,2012-04-23,17.07
52,2012-04-24,17.0
53,2012-04-25,17.38
54,2012-04-26,15.76
55,2012-04-27,16.43
56,2012-04-30,16.72
57,2012-05-01,17.05
58,2012-05-02,15.87
59,2012-05-03,14.62
60,2012-05-04,12.49
61,2012-05-07,11.64
62,2012-05-08,12.4
63,2012-05-09,10.77
64,2012-05-10,10.92
65,2012-05-11,11.47
66,2012-05-14,11.08
67,2012-05-15,11.525
68,2012-05-16,11.93
69,2012-05-17,12.5
70,2012-05-18,12.34
71,2012-05-21,12.2
72,2012-05-22,12.5
73,2012-05-23,12.0
74,2012-05-24,12.03
75,2012-05-25,12.06
76,2012-05-29,11.94
77,2012-05-30,12.06
78,2012-05-31,12.3
79,2012-06-01,13.33
