,date,open
0,2010-04-22,13.0
1,2010-04-23,13.38
2,2010-04-26,14.5
3,2010-04-27,14.23
4,2010-04-28,14.16
5,2010-04-29,13.56
6,2010-04-30,13.63
7,2010-05-03,14.09
8,2010-05-04,14.0
9,2010-05-05,13.44
10,2010-05-06,13.41
11,2010-05-07,13.15
12,2010-05-10,13.86
13,2010-05-11,13.76
14,2010-05-12,13.42
15,2010-05-13,13.01
16,2010-05-14,13.0
17,2010-05-17,13.21
18,2010-05-18,13.18
19,2010-05-19,13.05
20,2010-05-20,12.5
21,2010-05-21,12.84
22,2010-05-24,13.0
23,2010-05-25,12.7
24,2010-05-26,12.8
25,2010-05-27,11.67
26,2010-05-28,10.89
27,2010-06-01,10.32
28,2010-06-02,10.82
29,2010-06-03,10.52
30,2010-06-04,10.6
31,2010-06-07,10.75
32,2010-06-08,9.94
33,2010-06-09,10.15
34,2010-06-10,10.04
35,2010-06-11,10.0
36,2010-06-14,10.02
37,2010-06-15,10.03
38,2010-06-16,10.15
39,2010-06-17,10.54
40,2010-06-18,10.24
41,2010-06-21,9.55
42,2010-06-22,10.37
43,2010-06-23,10.3
44,2010-06-24,9.99
45,2010-06-25,10.26
46,2010-06-28,9.01
47,2010-06-29,8.84
48,2010-06-30,8.72
49,2010-07-01,8.82
50,2010-07-02,8.55
51,2010-07-06,7.92
52,2010-07-07,7.24
53,2010-07-08,7.23
54,2010-07-09,7.22
55,2010-07-12,7.43
56,2010-07-13,7.4
57,2010-07-14,8.94
58,2010-07-15,9.7
59,2010-07-16,9.67
60,2010-07-19,9.83
61,2010-07-20,9.69
62,2010-07-21,9.66
63,2010-07-22,9.91
64,2010-07-23,9.43
65,2010-07-26,9.42
66,2010-07-27,9.63
67,2010-07-28,9.31
68,2010-07-29,9.12
69,2010-07-30,8.91
70,2010-08-02,9.1
71,2010-08-03,8.5
72,2010-08-04,8.35
73,2010-08-05,8.28
74,2010-08-06,8.26
75,2010-08-09,8.0
76,2010-08-10,7.82
77,2010-08-11,7.99
78,2010-08-12,7.5
79,2010-08-13,7.97
80,2010-08-16,7.82
81,2010-08-17,8.06
82,2010-08-18,8.42
83,2010-08-19,8.02
84,2010-08-20,7.71
85,2010-08-23,8.09
86,2010-08-24,7.7
87,2010-08-25,7.51
88,2010-08-26,7.53
89,2010-08-27,7.59
90,2010-08-30,7.8
91,2010-08-31,7.98
92,2010-09-01,8.2
93,2010-09-02,8.43
94,2010-09-03,8.3524
95,2010-09-07,8.37
96,2010-09-08,8.6
97,2010-09-09,8.47
98,2010-09-10,8.34
99,2010-09-13,8.58
100,2010-09-14,8.01
101,2010-09-15,8.11
102,2010-09-16,8.3
103,2010-09-17,8.54
104,2010-09-20,9.03
105,2010-09-21,8.98
106,2010-09-22,9.29
107,2010-09-23,9.05
108,2010-09-24,9.26
109,2010-09-27,9.42
110,2010-09-28,9.5
111,2010-09-29,9.45
112,2010-09-30,9.48
113,2010-10-01,9.7
114,2010-10-04,9.99
115,2010-10-05,10.78
116,2010-10-06,11.08
117,2010-10-07,11.13
118,2010-10-08,11.66
119,2010-10-11,11.73
120,2010-10-12,11.23
121,2010-10-13,11.74
122,2010-10-14,11.17
123,2010-10-15,11.52
124,2010-10-18,11.25
125,2010-10-19,10.73
126,2010-10-20,10.05
127,2010-10-21,10.1
128,2010-10-22,9.84
129,2010-10-25,9.99
130,2010-10-26,9.9
131,2010-10-27,9.88
132,2010-10-28,9.2
133,2010-10-29,9.95
134,2010-11-01,10.89
135,2010-11-02,11.19
136,2010-11-03,11.2
137,2010-11-04,10.96
138,2010-11-05,10.26
139,2010-11-08,10.07
140,2010-11-09,10.48
141,2010-11-10,10.17
142,2010-11-11,10.2
143,2010-11-12,11.01
144,2010-11-15,9.05
145,2010-11-16,9.25
146,2010-11-17,9.62
147,2010-11-18,9.6
148,2010-11-19,10.1
149,2010-11-22,10.02
150,2010-11-23,9.69
151,2010-11-24,9.5
152,2010-11-26,9.6601
153,2010-11-29,9.74
154,2010-11-30,9.84
155,2010-12-01,9.55
156,2010-12-02,9.89
157,2010-12-03,10.14
158,2010-12-06,9.95
159,2010-12-07,9.99
160,2010-12-08,10.0
161,2010-12-09,9.95
162,2010-12-10,9.69
163,2010-12-13,9.9
164,2010-12-14,9.99
165,2010-12-15,9.69
166,2010-12-16,9.64
167,2010-12-17,9.75
168,2010-12-20,10.23
169,2010-12-21,10.5
170,2010-12-22,10.6
