,date,open
0,2021-01-08,42.0
1,2021-01-11,29.96
2,2021-01-12,28.0
3,2021-01-13,29.99
4,2021-01-14,35.38
5,2021-01-15,37.5
6,2021-01-19,34.72
7,2021-01-20,34.0
8,2021-01-21,37.98
9,2021-01-22,37.54
10,2021-01-25,38.95
11,2021-01-26,38.94
12,2021-01-27,38.0
13,2021-01-28,37.06
14,2021-01-29,37.54
15,2021-02-01,39.85
16,2021-02-02,33.89
17,2021-02-03,34.85
18,2021-02-04,34.0
19,2021-02-05,36.19
20,2021-02-08,36.73
21,2021-02-09,36.61
22,2021-02-10,37.29
23,2021-02-11,38.57
24,2021-02-12,39.28
25,2021-02-16,40.91
26,2021-02-17,42.55
27,2021-02-18,43.64
28,2021-02-19,43.35
29,2021-02-22,41.0
30,2021-02-23,43.38
31,2021-02-24,41.73
32,2021-02-25,41.77
33,2021-02-26,42.4
34,2021-03-01,41.57
35,2021-03-02,47.52
36,2021-03-03,51.55
37,2021-03-04,52.69
38,2021-03-05,43.7
39,2021-03-08,44.78
40,2021-03-09,46.8
41,2021-03-10,51.26
42,2021-03-11,53.43
43,2021-03-12,52.22
44,2021-03-15,48.39
45,2021-03-16,44.04
46,2021-03-17,45.85
47,2021-03-18,42.97
48,2021-03-19,42.65
49,2021-03-22,41.04
50,2021-03-23,42.36
51,2021-03-24,40.0
52,2021-03-25,38.81
53,2021-03-26,39.3
54,2021-03-29,39.19
55,2021-03-30,38.02
56,2021-03-31,40.08
57,2021-04-01,41.82
58,2021-04-05,41.47
59,2021-04-06,40.81
60,2021-04-07,35.01
61,2021-04-08,36.1
62,2021-04-09,33.89
63,2021-04-12,32.34
64,2021-04-13,30.0
65,2021-04-14,32.33
66,2021-04-15,35.63
67,2021-04-16,36.31
68,2021-04-19,35.03
69,2021-04-20,31.62
70,2021-04-21,31.26
71,2021-04-22,33.7
72,2021-04-23,32.65
73,2021-04-26,31.62
74,2021-04-27,33.7
75,2021-04-28,34.93
76,2021-04-29,33.38
77,2021-04-30,32.72
78,2021-05-03,32.8
79,2021-05-04,33.63
80,2021-05-05,32.22
81,2021-05-06,28.51
82,2021-05-07,29.17
83,2021-05-10,30.06
84,2021-05-11,27.96
85,2021-05-12,28.14
86,2021-05-13,30.69
87,2021-05-14,28.35
88,2021-05-17,27.59
89,2021-05-18,28.3
90,2021-05-19,30.5
91,2021-05-20,31.4
92,2021-05-21,29.77
93,2021-05-24,27.24
94,2021-05-25,28.26
95,2021-05-26,29.0
96,2021-05-27,31.19
97,2021-05-28,30.25
98,2021-06-01,29.91
99,2021-06-02,29.19
100,2021-06-03,28.53
101,2021-06-04,37.59
102,2021-06-07,33.2
103,2021-06-08,34.18
104,2021-06-09,33.57
105,2021-06-10,32.39
106,2021-06-11,32.08
107,2021-06-14,31.49
108,2021-06-15,30.69
109,2021-06-16,29.24
110,2021-06-17,27.24
111,2021-06-18,26.6
112,2021-06-21,25.74
113,2021-06-22,26.29
114,2021-06-23,24.89
115,2021-06-24,25.47
116,2021-06-25,26.21
117,2021-06-28,27.66
118,2021-06-29,26.05
119,2021-06-30,26.01
120,2021-07-01,26.25
121,2021-07-02,26.88
122,2021-07-06,25.76
123,2021-07-07,25.2
124,2021-07-08,25.9
125,2021-07-09,27.59
126,2021-07-12,27.26
127,2021-07-13,29.23
128,2021-07-14,29.91
129,2021-07-15,26.7
130,2021-07-16,26.6
131,2021-07-19,26.47
132,2021-07-20,26.56
133,2021-07-21,27.68
134,2021-07-22,26.87
135,2021-07-23,26.03
136,2021-07-26,25.9
137,2021-07-27,24.99
138,2021-07-28,25.01
139,2021-07-29,25.82
140,2021-07-30,24.74
141,2021-08-02,23.09
142,2021-08-03,24.2
143,2021-08-04,24.33
144,2021-08-05,23.85
145,2021-08-06,26.94
146,2021-08-09,27.34
147,2021-08-10,26.73
148,2021-08-11,28.99
149,2021-08-12,28.42
150,2021-08-13,28.08
151,2021-08-16,27.74
152,2021-08-17,27.0
153,2021-08-18,28.21
154,2021-08-19,26.69
155,2021-08-20,26.35
156,2021-08-23,28.64
157,2021-08-24,29.33
158,2021-08-25,29.47
159,2021-08-26,26.45
160,2021-08-27,27.21
161,2021-08-30,28.9
162,2021-08-31,29.68
163,2021-09-01,28.26
164,2021-09-02,29.28
165,2021-09-03,29.27
166,2021-09-07,29.16
167,2021-09-08,28.8
168,2021-09-09,28.96
169,2021-09-10,29.0
170,2021-09-13,29.0
171,2021-09-14,28.85
172,2021-09-15,28.74
173,2021-09-16,28.96
174,2021-09-17,28.84
175,2021-09-20,26.04
176,2021-09-21,24.67
177,2021-09-22,23.7
178,2021-09-23,22.66
179,2021-09-24,23.42
180,2021-09-27,23.05
181,2021-09-28,23.64
182,2021-09-29,22.97
183,2021-09-30,22.84
184,2021-10-01,22.6
185,2021-10-04,24.54
186,2021-10-05,23.15
187,2021-10-06,23.09
188,2021-10-07,24.23
189,2021-10-08,24.33
190,2021-10-11,23.84
191,2021-10-12,23.44
192,2021-10-13,23.355
193,2021-10-14,23.22
194,2021-10-15,23.75
195,2021-10-18,23.42
196,2021-10-19,21.21
197,2021-10-20,21.39
198,2021-10-21,21.91
199,2021-10-22,23.38
200,2021-10-25,22.22
201,2021-10-26,22.04
202,2021-10-27,21.8
203,2021-10-28,22.24
204,2021-10-29,22.29
205,2021-11-01,22.27
206,2021-11-02,22.3
207,2021-11-03,22.33
208,2021-11-04,22.89
209,2021-11-05,22.81
210,2021-11-08,23.19
211,2021-11-09,23.92
212,2021-11-10,22.62
213,2021-11-11,22.55
214,2021-11-12,22.21
215,2021-11-15,21.42
216,2021-11-16,20.86
217,2021-11-17,20.43
218,2021-11-18,19.74
219,2021-11-19,19.22
220,2021-11-22,19.5
221,2021-11-23,18.38
222,2021-11-24,18.68
223,2021-11-26,18.71
224,2021-11-29,18.4
225,2021-11-30,17.29
226,2021-12-01,18.48
227,2021-12-02,16.59
228,2021-12-03,17.27
229,2021-12-06,16.46
230,2021-12-07,17.955
231,2021-12-08,17.67
232,2021-12-09,17.27
233,2021-12-10,16.96
234,2021-12-13,16.84
235,2021-12-14,15.96
236,2021-12-15,15.54
237,2021-12-16,16.07
238,2021-12-17,15.43
239,2021-12-20,15.25
240,2021-12-21,16.19
241,2021-12-22,16.47
242,2021-12-23,16.95
243,2021-12-27,16.66
244,2021-12-28,16.31
245,2021-12-29,15.88
246,2021-12-30,15.57
247,2021-12-31,15.52
248,2022-01-03,15.7
249,2022-01-04,17.03
250,2022-01-05,16.56
251,2022-01-06,15.63
252,2022-01-07,15.65
253,2022-01-10,15.165
254,2022-01-11,14.67
255,2022-01-12,14.76
256,2022-01-13,13.75
257,2022-01-14,13.11
258,2022-01-18,13.34
259,2022-01-19,12.91
260,2022-01-20,13.05
261,2022-01-21,12.29
262,2022-01-24,12.02
263,2022-01-25,13.17
264,2022-01-26,13.73
265,2022-01-27,13.14
266,2022-01-28,12.3
267,2022-01-31,12.72
268,2022-02-01,13.48
269,2022-02-02,13.86
270,2022-02-03,12.99
271,2022-02-04,13.01
272,2022-02-07,13.16
273,2022-02-08,13.97
274,2022-02-09,13.78
275,2022-02-10,13.76
276,2022-02-11,14.2
277,2022-02-14,13.61
278,2022-02-15,14.0
279,2022-02-16,14.6
280,2022-02-17,14.51
281,2022-02-18,14.35
282,2022-02-22,14.1
283,2022-02-23,14.42
284,2022-02-24,12.92
285,2022-02-25,14.53
286,2022-02-28,14.34
287,2022-03-01,14.5
288,2022-03-02,14.14
289,2022-03-03,14.59
290,2022-03-04,13.49
291,2022-03-07,12.92
292,2022-03-08,13.3
293,2022-03-09,13.79
294,2022-03-10,14.44
295,2022-03-11,14.64
296,2022-03-14,14.06
297,2022-03-15,12.83
298,2022-03-16,12.86
299,2022-03-17,11.94
300,2022-03-18,12.55
301,2022-03-21,13.3
302,2022-03-22,12.94
303,2022-03-23,12.41
304,2022-03-24,12.14
305,2022-03-25,12.32
306,2022-03-28,11.51
307,2022-03-29,11.25
308,2022-03-30,11.35
309,2022-03-31,11.2
310,2022-04-01,10.62
311,2022-04-04,11.05
312,2022-04-05,11.88
313,2022-04-06,12.71
314,2022-04-07,12.94
315,2022-04-08,11.93
316,2022-04-11,11.51
317,2022-04-12,11.27
318,2022-04-13,11.25
319,2022-04-14,11.59
320,2022-04-18,11.21
321,2022-04-19,10.74
322,2022-04-20,11.23
323,2022-04-21,11.21
