,date,open
0,2018-03-29,47.0
1,2018-04-02,44.0
2,2018-04-03,43.16
3,2018-04-04,43.6
4,2018-04-05,43.88
5,2018-04-06,43.6
6,2018-04-09,43.6
7,2018-04-10,43.0
8,2018-04-11,42.84
9,2018-04-12,44.44
10,2018-04-13,45.64
11,2018-04-16,47.48
12,2018-04-17,47.56
13,2018-04-18,47.64
14,2018-04-19,47.56
15,2018-04-20,47.6
16,2018-04-23,48.84
17,2018-04-24,49.76
18,2018-04-25,47.84
19,2018-04-26,45.96
20,2018-04-27,47.2
21,2018-04-30,47.16
22,2018-05-01,45.44
23,2018-05-02,44.36
24,2018-05-03,45.84
25,2018-05-04,43.76
26,2018-05-07,44.0
27,2018-05-08,43.09
28,2018-05-09,43.52
29,2018-05-10,42.6
30,2018-05-11,43.48
31,2018-05-14,41.6
32,2018-05-15,41.64
33,2018-05-16,43.12
34,2018-05-17,46.68
35,2018-05-18,46.56
36,2018-05-21,46.8
37,2018-05-22,47.04
38,2018-05-23,45.96
39,2018-05-24,46.52
40,2018-05-25,45.52
41,2018-05-29,45.0
42,2018-05-30,45.56
43,2018-05-31,46.8
44,2018-06-01,50.04
45,2018-06-04,50.0
46,2018-06-05,50.4
47,2018-06-06,53.6
48,2018-06-07,51.08
49,2018-06-08,49.6
50,2018-06-11,52.0
51,2018-06-12,51.92
52,2018-06-13,50.88
53,2018-06-14,47.76
54,2018-06-15,48.36
55,2018-06-18,51.32
56,2018-06-19,52.8
57,2018-06-20,58.96
58,2018-06-21,61.56
59,2018-06-22,56.24
60,2018-06-25,56.16
61,2018-06-26,59.08
62,2018-06-27,55.64
63,2018-06-28,56.32
64,2018-06-29,56.8
65,2018-07-02,56.92
66,2018-07-03,58.56
67,2018-07-05,59.2
68,2018-07-06,60.0
69,2018-07-09,58.92
70,2018-07-10,57.68
71,2018-07-11,58.8
72,2018-07-12,59.88
73,2018-07-13,61.16
74,2018-07-16,65.36
75,2018-07-17,60.24
76,2018-07-18,55.56
77,2018-07-19,56.2
78,2018-07-20,56.44
79,2018-07-23,56.6
80,2018-07-24,58.76
81,2018-07-25,56.84
82,2018-07-26,57.44
83,2018-07-27,58.28
84,2018-07-30,61.36
85,2018-07-31,63.52
86,2018-08-01,67.04
87,2018-08-02,61.68
88,2018-08-03,58.32
89,2018-08-06,61.64
90,2018-08-07,65.92
91,2018-08-08,66.36
92,2018-08-09,60.0
93,2018-08-10,59.8
94,2018-08-13,62.72
95,2018-08-14,63.32
96,2018-08-15,58.84
97,2018-08-16,56.64
98,2018-08-17,54.88
99,2018-08-20,54.6
100,2018-08-21,57.8
101,2018-08-22,56.52
102,2018-08-23,60.0
103,2018-08-24,59.92
104,2018-08-27,59.8
105,2018-08-28,57.8
106,2018-08-29,58.52
107,2018-08-30,64.0
108,2018-08-31,64.84
109,2018-09-04,65.08
110,2018-09-05,58.0
111,2018-09-06,56.68
112,2018-09-07,52.4
113,2018-09-10,51.64
114,2018-09-11,48.24
115,2018-09-12,47.8
116,2018-09-13,45.96
117,2018-09-14,45.28
