,date,open
0,2021-07-23,17.65
1,2021-07-26,18.0
2,2021-07-27,17.3212
3,2021-07-28,16.1
4,2021-07-29,15.85
5,2021-07-30,15.6
6,2021-08-02,16.34
7,2021-08-03,18.43
8,2021-08-04,17.17
9,2021-08-05,18.22
10,2021-08-06,22.75
11,2021-08-09,23.38
12,2021-08-10,26.33
13,2021-08-11,28.2
14,2021-08-12,25.45
15,2021-08-13,23.05
16,2021-08-16,24.35
17,2021-08-17,26.19
18,2021-08-18,25.14
19,2021-08-19,26.34
20,2021-08-20,26.02
21,2021-08-23,27.0
22,2021-08-24,29.35
23,2021-08-25,28.06
24,2021-08-26,28.5
25,2021-08-27,26.77
26,2021-08-30,26.97
27,2021-08-31,24.76
28,2021-09-01,26.75
29,2021-09-02,26.68
30,2021-09-03,28.79
31,2021-09-07,31.83
32,2021-09-08,30.89
33,2021-09-09,28.32
34,2021-09-10,29.0
35,2021-09-13,29.0
36,2021-09-14,27.66
37,2021-09-15,28.75
38,2021-09-16,27.5
39,2021-09-17,27.5
40,2021-09-20,23.8921
41,2021-09-21,23.9
42,2021-09-22,24.37
43,2021-09-23,24.5
44,2021-09-24,26.04
45,2021-09-27,24.0
46,2021-09-28,23.57
47,2021-09-29,23.96
48,2021-09-30,23.62
49,2021-10-01,23.26
50,2021-10-04,22.0
51,2021-10-05,22.25
52,2021-10-06,22.23
53,2021-10-07,23.11
54,2021-10-08,22.18
55,2021-10-11,19.21
56,2021-10-12,19.61
57,2021-10-13,20.58
58,2021-10-14,21.75
59,2021-10-15,22.94
60,2021-10-18,21.0
61,2021-10-19,20.46
62,2021-10-20,20.02
63,2021-10-21,19.91
64,2021-10-22,20.38
65,2021-10-25,20.7
66,2021-10-26,21.92
67,2021-10-27,23.2
68,2021-10-28,22.58
69,2021-10-29,21.93
70,2021-11-01,22.01
71,2021-11-02,22.27
72,2021-11-03,22.46
73,2021-11-04,22.6
74,2021-11-05,23.2
75,2021-11-08,22.4
76,2021-11-09,21.81
77,2021-11-10,21.25
78,2021-11-11,20.88
79,2021-11-12,20.66
80,2021-11-15,22.45
81,2021-11-16,21.61
82,2021-11-17,21.38
83,2021-11-18,22.18
84,2021-11-19,20.56
85,2021-11-22,21.9
86,2021-11-23,18.62
87,2021-11-24,17.5
88,2021-11-26,17.5
89,2021-11-29,18.1
90,2021-11-30,18.05
91,2021-12-01,19.61
92,2021-12-02,16.94
93,2021-12-03,17.91
94,2021-12-06,16.74
95,2021-12-07,17.05
96,2021-12-08,19.04
97,2021-12-09,18.9
98,2021-12-10,17.97
99,2021-12-13,17.5
100,2021-12-14,16.64
101,2021-12-15,16.47
102,2021-12-16,17.3
103,2021-12-17,15.64
104,2021-12-20,15.68
105,2021-12-21,15.34
106,2021-12-22,16.0
107,2021-12-23,15.46
108,2021-12-27,16.25
109,2021-12-28,15.51
110,2021-12-29,15.13
111,2021-12-30,14.53
112,2021-12-31,14.99
113,2022-01-03,15.14
114,2022-01-04,15.43
115,2022-01-05,14.52
116,2022-01-06,13.1654
117,2022-01-07,12.93
118,2022-01-10,12.87
119,2022-01-11,12.66
120,2022-01-12,13.26
121,2022-01-13,13.13
122,2022-01-14,11.49
123,2022-01-18,11.21
124,2022-01-19,10.52
125,2022-01-20,11.48
126,2022-01-21,10.64
127,2022-01-24,9.3371
128,2022-01-25,10.44
129,2022-01-26,10.83
130,2022-01-27,10.38
131,2022-01-28,10.04
132,2022-01-31,10.63
133,2022-02-01,10.91
134,2022-02-02,11.19
135,2022-02-03,10.18
136,2022-02-04,10.42
137,2022-02-07,10.69
138,2022-02-08,11.01
139,2022-02-09,11.85
140,2022-02-10,12.46
141,2022-02-11,11.76
142,2022-02-14,10.8
143,2022-02-15,11.25
144,2022-02-16,11.45
145,2022-02-17,11.15
146,2022-02-18,10.4
147,2022-02-22,9.84
148,2022-02-23,9.9
149,2022-02-24,8.87
150,2022-02-25,9.94
151,2022-02-28,9.76
152,2022-03-01,9.6
153,2022-03-02,9.4
154,2022-03-03,9.43
155,2022-03-04,8.68
156,2022-03-07,8.99
157,2022-03-08,9.07
158,2022-03-09,9.5
159,2022-03-10,9.63
160,2022-03-11,9.795
161,2022-03-14,9.22
162,2022-03-15,8.43
163,2022-03-16,8.79
164,2022-03-17,8.79
165,2022-03-18,9.44
166,2022-03-21,9.77
167,2022-03-22,9.34
168,2022-03-23,9.95
169,2022-03-24,9.75
170,2022-03-25,9.55
171,2022-03-28,9.21
172,2022-03-29,9.47
173,2022-03-30,9.48
174,2022-03-31,9.28
175,2022-04-01,9.2
176,2022-04-04,9.49
177,2022-04-05,9.57
178,2022-04-06,9.01
179,2022-04-07,8.72
180,2022-04-08,8.32
181,2022-04-11,8.33
182,2022-04-12,8.09
183,2022-04-13,7.84
184,2022-04-14,8.21
185,2022-04-18,8.08
186,2022-04-19,7.8
187,2022-04-20,8.24
188,2022-04-21,8.32
189,2022-04-22,7.93
190,2022-04-25,7.73
191,2022-04-26,7.93
192,2022-04-27,7.6
193,2022-04-28,7.715
194,2022-04-29,7.42
195,2022-05-02,7.4
196,2022-05-03,7.96
197,2022-05-04,7.85
198,2022-05-05,8.13
199,2022-05-06,7.68
200,2022-05-09,7.26
201,2022-05-10,7.0
202,2022-05-11,7.31
203,2022-05-12,6.52
204,2022-05-13,8.42
205,2022-05-16,9.16
206,2022-05-17,10.05
207,2022-05-18,9.4
208,2022-05-19,9.02
209,2022-05-20,8.76
210,2022-05-23,8.3
211,2022-05-24,8.1
212,2022-05-25,7.86
213,2022-05-26,8.09
214,2022-05-27,8.22
215,2022-05-31,8.62
216,2022-06-01,8.35
217,2022-06-02,8.31
218,2022-06-03,8.59
219,2022-06-06,8.9
220,2022-06-07,8.36
221,2022-06-08,8.9
222,2022-06-09,8.94
223,2022-06-10,6.9
224,2022-06-13,6.52
225,2022-06-14,5.12
226,2022-06-15,5.18
227,2022-06-16,4.91
228,2022-06-17,5.23
229,2022-06-21,5.67
230,2022-06-22,5.4
231,2022-06-23,5.73
232,2022-06-24,6.0
233,2022-06-27,5.9
234,2022-06-28,5.84
235,2022-06-29,5.64
236,2022-06-30,5.49
237,2022-07-01,5.47
238,2022-07-05,5.26
239,2022-07-06,5.66
240,2022-07-07,5.86
241,2022-07-08,6.41
242,2022-07-11,6.78
243,2022-07-12,6.68
244,2022-07-13,6.6
245,2022-07-14,7.22
246,2022-07-15,7.53
247,2022-07-18,7.25
248,2022-07-19,6.83
249,2022-07-20,7.35
250,2022-07-21,7.87
251,2022-07-22,7.99
252,2022-07-25,7.47
253,2022-07-26,7.51
254,2022-07-27,7.87
255,2022-07-28,8.2
256,2022-07-29,8.14
257,2022-08-01,8.07
258,2022-08-02,7.97
259,2022-08-03,8.2
260,2022-08-04,8.74
261,2022-08-05,8.32
262,2022-08-08,8.6
263,2022-08-09,8.28
264,2022-08-10,8.11
265,2022-08-11,9.42
266,2022-08-12,9.5
267,2022-08-15,9.81
268,2022-08-16,10.0
269,2022-08-17,10.42
270,2022-08-18,10.36
271,2022-08-19,10.09
272,2022-08-22,9.58
273,2022-08-23,9.92
274,2022-08-24,10.48
275,2022-08-25,11.3
276,2022-08-26,11.34
277,2022-08-29,9.94
278,2022-08-30,10.1
279,2022-08-31,9.82
280,2022-09-01,9.8
281,2022-09-02,10.61
282,400,299272.0
283,2022-08-10,8.11
284,2022-08-11,9.42
285,2022-08-12,9.5
286,2022-08-15,9.81
287,2022-08-16,10.0
288,2022-08-17,10.42
289,2022-08-18,10.36
290,2022-08-19,10.09
291,2022-08-22,9.58
292,2022-08-23,9.92
293,2022-08-24,10.48
294,2022-08-25,11.3
295,2022-08-26,11.34
296,2022-08-29,9.94
297,2022-08-30,10.1
298,2022-08-31,9.82
299,2022-09-01,9.8
300,2022-09-02,10.61
