,date,open
0,2018-07-18,19.25
1,2018-07-19,23.52
2,2018-07-20,22.78
3,2018-07-23,23.06
4,2018-07-24,25.22
5,2018-07-25,25.02
6,2018-07-26,25.2
7,2018-07-27,25.69
8,2018-07-30,24.01
9,2018-07-31,25.44
10,2018-08-01,24.77
11,2018-08-02,25.4
12,2018-08-03,25.91
13,2018-08-06,26.28
14,2018-08-07,26.69
15,2018-08-08,26.66
16,2018-08-09,27.76
17,2018-08-10,30.0
18,2018-08-13,30.38
19,2018-08-14,31.09
20,2018-08-15,30.68
21,2018-08-16,30.38
22,2018-08-17,31.01
23,2018-08-20,32.39
24,2018-08-21,32.35
25,2018-08-22,31.75
26,2018-08-23,31.8
27,2018-08-24,33.94
28,2018-08-27,32.39
29,2018-08-28,31.79
30,2018-08-29,32.98
31,2018-08-30,30.46
32,2018-08-31,29.96
33,2018-09-04,29.95
34,2018-09-05,30.29
35,2018-09-06,30.0
36,2018-09-07,32.99
37,2018-09-10,37.5
38,2018-09-11,37.11
39,2018-09-12,36.15
40,2018-09-13,37.29
41,2018-09-14,36.72
42,2018-09-17,33.51
43,2018-09-18,31.71
44,2018-09-19,32.01
45,2018-09-20,32.0
46,2018-09-21,30.52
47,2018-09-24,31.28
48,2018-09-25,30.47
49,2018-09-26,28.44
50,2018-09-27,26.83
51,2018-09-28,26.92
52,2018-10-01,29.34
53,2018-10-02,27.57
54,2018-10-03,27.58
55,2018-10-04,26.71
56,2018-10-05,24.32
57,2018-10-08,23.2
58,2018-10-09,23.41
59,2018-10-10,23.24
60,2018-10-11,22.42
61,2018-10-12,23.73
62,2018-10-15,24.06
63,2018-10-16,23.05
64,2018-10-17,23.31
65,2018-10-18,23.2
66,2018-10-19,23.25
67,2018-10-22,22.91
68,2018-10-23,22.07
69,2018-10-24,22.55
70,2018-10-25,22.43
71,2018-10-26,24.69
72,2018-10-29,25.71
73,2018-10-30,23.8
74,2018-10-31,24.23
75,2018-11-01,25.03
76,2018-11-02,26.0
77,2018-11-05,26.25
78,2018-11-06,26.32
79,2018-11-07,27.07
80,2018-11-08,27.22
81,2018-11-09,28.02
82,2018-11-12,26.62
83,2018-11-13,26.57
84,2018-11-14,29.42
85,2018-11-15,28.47
86,2018-11-16,27.03
87,2018-11-19,28.84
88,2018-11-20,29.75
89,2018-11-21,30.22
90,2018-11-23,32.89
91,2018-11-26,31.99
92,2018-11-27,33.46
93,2018-11-28,32.32
94,2018-11-29,35.76
95,2018-11-30,33.61
96,2018-12-03,35.78
97,2018-12-04,36.28
98,2018-12-06,34.41
99,2018-12-07,34.72
100,2018-12-10,33.31
101,2018-12-11,33.9
102,2018-12-12,34.51
103,2018-12-13,32.85
104,2018-12-14,34.2
105,2018-12-17,33.31
106,2018-12-18,33.33
107,2018-12-19,32.82
108,2018-12-20,29.21
109,2018-12-21,25.82
110,2018-12-24,24.75
111,2018-12-26,26.54
112,2018-12-27,28.59
113,2018-12-28,31.85
114,2018-12-31,30.42
115,2019-01-02,29.8
116,2019-01-03,29.41
117,2019-01-04,28.95
118,2019-01-07,29.28
119,2019-01-08,27.13
120,2019-01-09,26.39
121,2019-01-10,25.85
122,2019-01-11,24.3
123,2019-01-14,23.53
124,2019-01-15,24.5
125,2019-01-16,23.53
126,2019-01-17,23.24
127,2019-01-18,23.81
128,2019-01-22,22.91
129,2019-01-23,21.16
130,2019-01-24,23.44
131,2019-01-25,25.4245
132,2019-01-28,24.31
133,2019-01-29,24.07
134,2019-01-30,25.38
135,2019-01-31,25.02
136,2019-02-01,26.49
137,2019-02-04,26.0
138,2019-02-05,26.6
139,2019-02-06,25.67
140,2019-02-07,25.71
141,2019-02-08,24.73
142,2019-02-11,24.48
143,2019-02-12,24.3
144,2019-02-13,24.72
145,2019-02-14,24.5
146,2019-02-15,24.38
147,2019-02-19,25.0
148,2019-02-20,24.4
149,2019-02-21,23.58
150,2019-02-22,22.96
151,2019-02-25,22.96
152,2019-02-26,23.18
153,2019-02-27,23.92
154,2019-02-28,23.34
155,2019-03-01,23.98
156,2019-03-04,24.11
157,2019-03-05,24.31
158,2019-03-06,24.3
159,2019-03-07,24.66
160,2019-03-08,24.8
161,2019-03-11,25.3
162,2019-03-12,22.31
163,2019-03-13,23.6
164,2019-03-14,24.94
165,2019-03-15,23.75
166,2019-03-18,25.0
167,2019-03-19,25.39
168,2019-03-20,25.14
169,2019-03-21,24.83
170,2019-03-22,24.49
171,2019-03-25,23.49
172,2019-03-26,22.17
173,2019-03-27,22.16
174,2019-03-28,22.5
175,2019-03-29,22.6
176,2019-04-01,22.87
177,2019-04-02,22.7
178,2019-04-03,23.21
179,2019-04-04,23.2
180,2019-04-05,22.68
181,2019-04-08,23.8
182,2019-04-09,23.21
183,2019-04-10,22.8
184,2019-04-11,22.7
185,2019-04-12,23.03
186,2019-04-15,23.2
187,2019-04-16,23.0
188,2019-04-17,23.68
189,2019-04-18,23.25
190,2019-04-22,23.56
191,2019-04-23,24.16
192,2019-04-24,24.7
193,2019-04-25,24.18
194,2019-04-26,25.0
195,2019-04-29,25.81
196,2019-04-30,25.88
197,2019-05-01,25.62
198,2019-05-02,25.71
199,2019-05-03,26.2
200,2019-05-06,25.88
201,2019-05-07,26.07
202,2019-05-08,24.97
203,2019-05-09,25.82
204,2019-05-10,25.65
205,2019-05-13,25.53
206,2019-05-14,26.56
207,2019-05-15,25.0
208,2019-05-16,25.38
209,2019-05-17,25.25
210,2019-05-20,25.79
211,2019-05-21,26.55
212,2019-05-22,26.08
213,2019-05-23,26.34
