,date,open
0,2004-04-30,97.14
1,2004-05-03,96.42
2,2004-05-04,106.08
3,2004-05-05,99.0
4,2004-05-06,104.4
5,2004-05-07,106.8
6,2004-05-10,101.4
7,2004-05-11,98.7
8,2004-05-12,93.96
9,2004-05-13,92.7
10,2004-05-14,92.7
11,2004-05-17,94.2
12,2004-05-18,94.56
13,2004-05-19,94.56
14,2004-05-20,95.82
15,2004-05-21,94.56
16,2004-05-24,94.5
17,2004-05-25,92.58
18,2004-05-26,88.44
19,2004-05-27,96.0
20,2004-05-28,91.5
21,2004-06-01,92.52
22,2004-06-02,94.26
23,2004-06-03,90.96
24,2004-06-04,92.22
25,2004-06-07,93.72
26,2004-06-08,90.24
27,2004-06-09,95.4
28,2004-06-10,96.0
29,2004-06-14,95.4
30,2004-06-15,93.9
31,2004-06-16,92.4
32,2004-06-17,96.6
33,2004-06-18,95.7
34,2004-06-21,96.84
35,2004-06-22,94.65
36,2004-06-23,92.94
37,2004-06-24,92.4
38,2004-06-25,90.12
39,2004-06-28,84.66
40,2004-06-29,88.5
41,2004-06-30,89.1
42,2004-07-01,90.06
43,2004-07-02,88.8
44,2004-07-06,89.46
45,2004-07-07,86.34
46,2004-07-08,84.96
47,2004-07-09,82.86
48,2004-07-12,81.06
49,2004-07-13,77.58
50,2004-07-14,76.8
51,2004-07-15,77.88
52,2004-07-16,78.3
53,2004-07-19,78.186
54,2004-07-20,72.36
55,2004-07-21,70.86
56,2004-07-22,57.06
57,2004-07-23,56.1
58,2004-07-26,54.6
59,2004-07-27,54.72
60,2004-07-28,54.0
61,2004-07-29,52.2
62,2004-07-30,50.7
63,2004-08-02,49.32
64,2004-08-03,50.1
65,2004-08-04,46.8
66,2004-08-05,45.6
67,2004-08-06,44.82
68,2004-08-09,44.76
69,2004-08-10,49.5
70,2004-08-11,46.5
71,2004-08-12,48.06
72,2004-08-13,46.68
73,2004-08-16,47.28
74,2004-08-17,46.98
75,2004-08-18,46.83
76,2004-08-19,47.52
77,2004-08-20,46.02
78,2004-08-23,47.37
79,2004-08-24,47.7
80,2004-08-25,49.2
81,2004-08-26,53.34
82,2004-08-27,54.0
83,2004-08-30,60.0
84,2004-08-31,58.2
85,2004-09-01,58.56
86,2004-09-02,62.76
87,2004-09-03,65.46
88,2004-09-07,64.5
89,2004-09-08,60.9
90,2004-09-09,59.46
91,2004-09-10,57.3
92,2004-09-13,58.5
93,2004-09-14,59.16
94,2004-09-15,59.4
95,2004-09-16,59.94
96,2004-09-17,60.0
97,2004-09-20,62.07
98,2004-09-21,64.05
99,2004-09-22,69.54
100,2004-09-23,73.32
101,2004-09-24,72.6
102,2004-09-27,76.8
103,2004-09-28,76.62
104,2004-09-29,75.42
105,2004-09-30,78.6
106,2004-10-01,80.1
107,2004-10-04,81.0
108,2004-10-05,80.82
109,2004-10-06,81.6
110,2004-10-07,82.74
111,2004-10-08,80.22
112,2004-10-11,78.0
113,2004-10-12,72.6
114,2004-10-13,65.94
115,2004-10-14,66.24
116,2004-10-15,67.86
117,2004-10-18,65.52
118,2004-10-19,59.64
119,2004-10-20,60.51
120,2004-10-21,59.58
121,2004-10-22,55.8
122,2004-10-25,53.7
123,2004-10-26,53.16
124,2004-10-27,49.5
125,2004-10-28,50.34
126,2004-10-29,55.14
127,2004-11-01,54.36
128,2004-11-02,56.04
129,2004-11-03,54.0
130,2004-11-04,53.88
131,2004-11-05,53.94
132,2004-11-08,54.0
133,2004-11-09,54.42
134,2004-11-10,53.88
135,2004-11-11,54.12
136,2004-11-12,52.8
137,2004-11-15,51.0
138,2004-11-16,53.88
139,2004-11-17,52.44
140,2004-11-18,51.96
141,2004-11-19,52.86
142,2004-11-22,54.0
143,2004-11-23,53.1
144,2004-11-24,49.5
145,2004-11-26,51.6
146,2004-11-29,52.8
147,2004-11-30,56.1
148,2004-12-01,51.18
149,2004-12-02,52.8
150,2004-12-03,54.894
151,2004-12-06,53.46
152,2004-12-07,55.32
153,2004-12-08,54.0
154,2004-12-09,54.0
155,2004-12-10,53.94
156,2004-12-13,54.0
157,2004-12-14,54.0
158,2004-12-15,54.786
159,2004-12-16,56.04
160,2004-12-17,56.16
161,2004-12-20,55.92
162,2004-12-21,55.44
163,2004-12-22,54.18
164,2004-12-23,56.34
165,2004-12-27,56.22
166,2004-12-28,60.66
167,2004-12-29,59.52
168,2004-12-30,60.6
169,2004-12-31,64.2
170,2005-01-03,63.0
171,2005-01-04,59.4
172,2005-01-05,58.2
173,2005-01-06,54.9
174,2005-01-07,56.7
175,2005-01-10,56.4
176,2005-01-11,56.88
177,2005-01-12,54.84
178,2005-01-13,54.0
179,2005-01-14,52.8
180,2005-01-18,53.88
181,2005-01-19,52.8
182,2005-01-20,51.6
183,2005-01-21,51.0
184,2005-01-24,51.06
185,2005-01-25,51.06
186,2005-01-26,56.52
187,2005-01-27,62.46
188,2005-01-28,59.4
189,2005-01-31,54.24
190,2005-02-01,60.0
191,2005-02-02,57.72
192,2005-02-03,55.44
193,2005-02-04,55.2
194,2005-02-07,56.82
195,2005-02-08,57.0
196,2005-02-09,57.0
197,2005-02-10,55.56
198,2005-02-11,57.0
199,2005-02-14,56.7
200,2005-02-15,56.46
201,2005-02-16,55.68
202,2005-02-17,57.6
203,2005-02-18,57.66
204,2005-02-22,56.4
205,2005-02-23,56.76
206,2005-02-24,55.14
207,2005-02-25,55.68
208,2005-02-28,57.0
209,2005-03-01,57.12
210,2005-03-02,59.52
211,2005-03-03,59.52
212,2005-03-04,58.08
213,2005-03-07,57.0
214,2005-03-08,52.8
215,2005-03-09,52.2
216,2005-03-10,54.9
217,2005-03-11,53.1
218,2005-03-14,55.08
219,2005-03-15,52.5
220,2005-03-16,49.2
221,2005-03-17,45.6
222,2005-03-18,41.34
223,2005-03-21,43.2
224,2005-03-22,42.66
225,2005-03-23,42.0
226,2005-03-24,42.72
227,2005-03-28,43.32
228,2005-03-29,42.6
229,2005-03-30,37.2
230,2005-03-31,41.46
231,2005-04-01,39.06
232,2005-04-04,39.12
233,2005-04-05,41.34
234,2005-04-06,41.28
235,2005-04-07,37.74
236,2005-04-08,40.38
237,2005-04-11,40.32
238,2005-04-12,39.42
239,2005-04-13,39.3
240,2005-04-14,37.86
241,2005-04-15,37.62
242,2005-04-18,36.36
243,2005-04-19,31.74
244,2005-04-20,29.94
245,2005-04-21,29.76
246,2005-04-22,29.94
247,2005-04-25,30.0
248,2005-04-26,30.06
249,2005-04-27,30.54
250,2005-04-28,30.06
251,2005-04-29,30.36
252,2005-05-02,30.06
253,2005-05-03,29.58
254,2005-05-04,29.16
255,2005-05-05,33.6
256,2005-05-06,36.0
257,2005-05-09,36.48
258,2005-05-10,39.12
259,2005-05-11,38.94
260,2005-05-12,38.1
261,2005-05-13,36.9
262,2005-05-16,36.12
263,2005-05-17,35.7
264,2005-05-18,36.42
265,2005-05-19,36.18
266,2005-05-20,33.42
267,2005-05-23,34.26
268,2005-05-24,33.9
269,2005-05-25,35.7
270,2005-05-26,35.28
271,2005-05-27,32.7
272,2005-05-31,33.0
273,2005-06-01,33.3
274,2005-06-02,32.94
275,2005-06-03,34.74
276,2005-06-06,32.88
277,2005-06-07,33.0
278,2005-06-08,32.58
279,2005-06-09,31.5
280,2005-06-10,31.5
281,2005-06-13,31.32
282,2005-06-14,30.6
283,2005-06-15,31.5
284,2005-06-16,32.28
285,2005-06-17,31.68
286,2005-06-20,39.66
287,2005-06-21,38.88
288,2005-06-22,38.4
289,2005-06-23,37.2
290,2005-06-24,36.54
291,2005-06-27,38.7
292,2005-06-28,41.7
293,2005-06-29,42.0
294,2005-06-30,42.12
295,2005-07-01,42.48
296,2005-07-05,42.84
297,2005-07-06,47.76
298,2005-07-07,49.92
299,2005-07-08,50.34
300,2005-07-11,51.24
301,2005-07-12,52.02
302,2005-07-13,49.86
303,2005-07-14,49.92
304,2005-07-15,49.5
305,2005-07-18,49.2
306,2005-07-19,52.62
307,2005-07-20,49.38
308,2005-07-21,50.34
309,2005-07-22,51.18
310,2005-07-25,49.32
311,2005-07-26,49.74
312,2005-07-27,49.92
313,2005-07-28,50.22
314,2005-07-29,52.56
315,2005-08-01,52.56
316,2005-08-02,53.7
317,2005-08-03,55.92
318,2005-08-04,55.02
