,date,open
0,2021-05-27,25.0
1,2021-05-28,24.12
2,2021-06-01,23.7
3,2021-06-02,21.67
4,2021-06-03,22.17
5,2021-06-04,18.43
6,2021-06-07,18.82
7,2021-06-08,19.91
8,2021-06-09,20.32
9,2021-06-10,20.65
10,2021-06-11,20.4
11,2021-06-14,20.05
12,2021-06-15,20.92
13,2021-06-16,19.76
14,2021-06-17,19.18
15,2021-06-18,19.51
16,2021-06-21,21.9
17,2021-06-22,21.6
18,2021-06-23,20.81
19,2021-06-24,20.52
20,2021-06-25,20.07
21,2021-06-28,20.17
22,2021-06-29,21.54
23,2021-06-30,22.36
24,2021-07-01,22.81
25,2021-07-02,23.17
26,2021-07-06,22.8
27,2021-07-07,22.4
28,2021-07-08,20.71
29,2021-07-09,20.14
30,2021-07-12,21.75
31,2021-07-13,21.2
32,2021-07-14,21.2
33,2021-07-15,20.76
34,2021-07-16,20.29
35,2021-07-19,20.0
36,2021-07-20,21.25
37,2021-07-21,21.625
38,2021-07-22,21.1706
39,2021-07-23,22.085
40,2021-07-26,22.34
41,2021-07-27,23.1
42,2021-07-28,23.075
43,2021-07-29,22.15
44,2021-07-30,23.04
45,2021-08-02,23.94
46,2021-08-03,24.32
47,2021-08-04,24.9
48,2021-08-05,24.5
49,2021-08-06,26.0
50,2021-08-09,26.95
51,2021-08-10,26.34
52,2021-08-11,25.61
53,2021-08-12,22.4
54,2021-08-13,23.0
55,2021-08-16,24.71
56,2021-08-17,24.5
57,2021-08-18,24.75
58,2021-08-19,23.51
59,2021-08-20,24.43
60,2021-08-23,25.25
61,2021-08-24,26.81
62,2021-08-25,27.015
63,2021-08-26,27.0
64,2021-08-27,27.51
65,2021-08-30,27.32
66,2021-08-31,27.7
67,2021-09-01,28.1
68,2021-09-02,28.06
69,2021-09-03,27.0
70,2021-09-07,27.83
71,2021-09-08,25.4
72,2021-09-09,25.815
73,2021-09-10,25.16
74,2021-09-13,25.88
75,2021-09-14,23.5
76,2021-09-15,24.6
77,2021-09-16,24.8
78,2021-09-17,25.11
79,2021-09-20,22.96
80,2021-09-21,20.75
81,2021-09-22,22.25
82,2021-09-23,22.32
83,2021-09-24,24.33
84,2021-09-27,23.37
85,2021-09-28,23.88
86,2021-09-29,23.81
87,2021-09-30,24.02
88,2021-10-01,23.87
89,2021-10-04,24.0
90,2021-10-05,22.85
91,2021-10-06,20.58
92,2021-10-07,20.69
93,2021-10-08,21.77
94,2021-10-11,22.12
95,2021-10-12,21.21
96,2021-10-13,21.61
97,2021-10-14,23.08
98,2021-10-15,22.81
99,2021-10-18,21.0248
100,2021-10-19,22.68
101,2021-10-20,23.33
102,2021-10-21,23.32
103,2021-10-22,24.01
104,2021-10-25,23.74
105,2021-10-26,24.58
106,2021-10-27,24.5
107,2021-10-28,22.23
108,2021-10-29,23.44
109,2021-11-01,24.94
110,2021-11-02,23.2
111,2021-11-03,24.85
112,2021-11-04,25.59
113,2021-11-05,26.07
114,2021-11-08,26.3
115,2021-11-09,24.33
116,2021-11-10,24.36
117,2021-11-11,23.22
118,2021-11-12,22.6719
119,2021-11-15,22.59
120,2021-11-16,21.24
121,2021-11-17,21.45
122,2021-11-18,20.51
123,2021-11-19,19.92
124,2021-11-22,20.31
125,2021-11-23,19.0
126,2021-11-24,18.705
127,2021-11-26,17.59
128,2021-11-29,18.81
129,2021-11-30,17.81
130,2021-12-01,19.635
131,2021-12-02,16.48
132,2021-12-03,19.42
133,2021-12-06,18.43
134,2021-12-07,18.36
135,2021-12-08,18.25
136,2021-12-09,17.45
137,2021-12-10,16.81
138,2021-12-13,17.24
139,2021-12-14,17.24
140,2021-12-15,17.67
141,2021-12-16,18.05
142,2021-12-17,17.23
143,2021-12-20,17.51
144,2021-12-21,18.0
145,2021-12-22,16.74
146,2021-12-23,15.65
147,2021-12-27,15.9
148,2021-12-28,16.0
149,2021-12-29,16.27
150,2021-12-30,16.38
151,2021-12-31,16.72
152,2022-01-03,16.75
153,2022-01-04,17.52
154,2022-01-05,17.11
155,2022-01-06,16.34
156,2022-01-07,16.5
157,2022-01-10,15.91
158,2022-01-11,14.27
159,2022-01-12,15.01
160,2022-01-13,15.4
161,2022-01-14,14.0
162,2022-01-18,14.04
163,2022-01-19,14.4
164,2022-01-20,14.76
165,2022-01-21,15.03
166,2022-01-24,14.52
167,2022-01-25,14.39
168,2022-01-26,14.87
169,2022-01-27,14.03
170,2022-01-28,13.26
171,2022-01-31,14.0
172,2022-02-01,14.76
173,2022-02-02,14.98
174,2022-02-03,14.0
175,2022-02-04,14.0
176,2022-02-07,13.82
177,2022-02-08,14.06
178,2022-02-09,14.83
179,2022-02-10,15.38
180,2022-02-11,14.25
181,2022-02-14,14.12
182,2022-02-15,12.96
183,2022-02-16,13.65
184,2022-02-17,13.43
185,2022-02-18,13.43
186,2022-02-22,13.65
187,2022-02-23,13.4
188,2022-02-24,13.17
189,2022-02-25,13.93
190,2022-02-28,13.78
191,2022-03-01,13.58
192,2022-03-02,13.38
193,2022-03-03,13.53
194,2022-03-04,12.52
195,2022-03-07,11.9
196,2022-03-08,12.34
197,2022-03-09,12.66
198,2022-03-10,12.58
199,2022-03-11,12.63
200,2022-03-14,11.63
201,2022-03-15,10.78
202,2022-03-16,10.59
203,2022-03-17,10.95
204,2022-03-18,11.1
205,2022-03-21,10.9
206,2022-03-22,9.89
207,2022-03-23,9.89
208,2022-03-24,9.28
209,2022-03-25,9.46
210,2022-03-28,9.43
211,2022-03-29,9.23
212,2022-03-30,9.62
213,2022-03-31,9.72
214,2022-04-01,9.81
215,2022-04-04,10.53
216,2022-04-05,10.78
217,2022-04-06,10.54
218,2022-04-07,10.97
219,2022-04-08,11.03
220,2022-04-11,11.1
221,2022-04-12,11.02
222,2022-04-13,11.04
223,2022-04-14,11.6
224,2022-04-18,11.21
225,2022-04-19,11.06
226,2022-04-20,11.07
227,2022-04-21,11.21
228,2022-04-22,10.89
229,2022-04-25,10.42
230,2022-04-26,10.5
231,2022-04-27,9.68
232,2022-04-28,9.15
233,2022-04-29,8.9
234,2022-05-02,8.8
235,2022-05-03,9.36
236,2022-05-04,9.46
237,2022-05-05,9.54
238,2022-05-06,8.94
239,2022-05-09,8.23
240,2022-05-10,7.93
241,2022-05-11,7.59
242,2022-05-12,6.98
243,2022-05-13,7.04
244,2022-05-16,7.7
245,2022-05-17,8.1
246,2022-05-18,8.36
247,2022-05-19,7.49
248,2022-05-20,6.98
249,2022-05-23,7.33
250,2022-05-24,7.16
251,2022-05-25,7.32
252,2022-05-26,6.09
253,2022-05-27,5.75
254,2022-05-31,5.5
255,2022-06-01,6.2
256,2022-06-02,6.49
257,2022-06-03,6.68
258,2022-06-06,7.11
259,2022-06-07,6.62
260,2022-06-08,6.75
261,2022-06-09,7.02
262,2022-06-10,6.97
263,2022-06-13,14.94
264,2022-06-14,13.17
265,2022-06-15,16.29
266,2022-06-16,14.81
267,2022-06-17,15.1
268,2022-06-21,16.23
269,2022-06-22,16.32
270,2022-06-23,16.28
271,2022-06-24,17.65
272,2022-06-27,17.78
273,2022-06-28,17.41
274,2022-06-29,17.04
275,2022-06-30,17.26
276,2022-07-01,17.8
277,2022-07-05,19.45
278,2022-07-06,19.24
279,2022-07-07,19.7
280,2022-07-08,19.42
281,2022-07-11,19.53
282,2022-07-12,18.62
283,2022-07-13,17.44
284,2022-07-14,19.03
285,2022-07-15,19.62
286,2022-07-18,19.45
287,2022-07-19,18.14
288,2022-07-20,19.5
289,2022-07-21,19.42
290,2022-07-22,19.46
291,2022-07-25,17.8
292,2022-07-26,17.85
293,2022-07-27,18.05
294,2022-07-28,17.98
295,2022-07-29,17.29
296,2022-08-01,17.12
297,2022-08-02,16.87
298,2022-08-03,17.15
299,2022-08-04,19.29
300,2022-08-05,20.0
301,2022-08-08,23.74
302,2022-08-09,24.05
303,2022-08-10,23.04
304,2022-08-11,23.11
305,2022-08-12,24.78
306,2022-08-15,26.53
307,2022-08-16,25.01
308,2022-08-17,23.93
309,2022-08-18,23.95
310,2022-08-19,23.42
311,2022-08-22,23.57
312,2022-08-23,24.0
313,2022-08-24,24.42
314,2022-08-25,25.25
315,2022-08-26,24.73
316,2022-08-29,23.83
317,2022-08-30,23.5
318,2022-08-31,22.95
319,2022-09-01,23.49
320,2022-09-02,23.96
321,8800,22.47
322,2022-08-11,23.11
323,2022-08-12,24.78
324,2022-08-15,26.53
325,2022-08-16,25.01
326,2022-08-17,23.93
327,2022-08-18,23.95
328,2022-08-19,23.42
329,2022-08-22,23.57
330,2022-08-23,24.0
331,2022-08-24,24.42
332,2022-08-25,25.25
333,2022-08-26,24.73
334,2022-08-29,23.83
335,2022-08-30,23.5
336,2022-08-31,22.95
337,2022-09-01,23.49
338,2022-09-02,23.96
