,date,open
0,2017-12-08,21.55
1,2017-12-11,21.52
2,2017-12-12,20.97
3,2017-12-13,20.22
4,2017-12-14,20.1
5,2017-12-15,19.25
6,2017-12-18,19.05
7,2017-12-19,18.72
8,2017-12-20,18.3
9,2017-12-21,18.01
10,2017-12-22,16.6
11,2017-12-26,15.9
12,2017-12-27,15.48
13,2017-12-28,15.94
14,2017-12-29,15.15
15,2018-01-02,16.0
16,2018-01-03,16.41
17,2018-01-04,16.7
18,2018-01-05,16.88
19,2018-01-08,16.8
20,2018-01-09,16.46
21,2018-01-10,15.5
22,2018-01-11,15.43
23,2018-01-12,16.64
24,2018-01-16,17.16
25,2018-01-17,17.11
26,2018-01-18,17.62
27,2018-01-19,18.41
28,2018-01-22,19.8
29,2018-01-23,21.7
30,2018-01-24,22.31
31,2018-01-25,21.83
32,2018-01-26,21.37
33,2018-01-29,22.32
34,2018-01-30,23.75
35,2018-01-31,23.82
36,2018-02-01,23.32
37,2018-02-02,20.87
38,2018-02-05,20.12
39,2018-02-06,18.76
40,2018-02-07,19.4
41,2018-02-08,20.3
42,2018-02-09,21.12
43,2018-02-12,21.61
44,2018-02-13,21.26
45,2018-02-14,20.56
46,2018-02-15,21.09
47,2018-02-16,23.42
48,2018-02-20,24.86
49,2018-02-21,23.9
50,2018-02-22,22.9
51,2018-02-23,22.73
52,2018-02-26,22.37
53,2018-02-27,22.05
54,2018-02-28,21.54
55,2018-03-01,22.98
56,2018-03-02,21.55
57,2018-03-05,22.59
58,2018-03-06,22.63
59,2018-03-07,21.75
60,2018-03-08,21.7
61,2018-03-09,20.52
62,2018-03-12,19.96
63,2018-03-13,20.31
64,2018-03-14,20.18
65,2018-03-15,21.98
66,2018-03-16,19.73
67,2018-03-19,21.43
68,2018-03-20,22.18
69,2018-03-21,21.98
70,2018-03-22,21.44
71,2018-03-23,21.17
72,2018-03-26,21.7
73,2018-03-27,21.16
74,2018-03-28,20.08
75,2018-03-29,19.75
76,2018-04-02,19.66
77,2018-04-03,18.93
78,2018-04-04,18.79
79,2018-04-05,19.78
80,2018-04-06,18.64
