,date,open
0,2021-03-26,28.0
1,2021-03-29,37.2791
2,2021-03-30,32.01
3,2021-03-31,30.0
4,2021-04-01,30.25
5,2021-04-05,29.99
6,2021-04-06,29.04
7,2021-04-07,29.69
8,2021-04-08,29.55
9,2021-04-09,29.35
10,2021-04-12,27.0
11,2021-04-13,25.05
12,2021-04-14,23.32
13,2021-04-15,23.05
14,2021-04-16,23.54
15,2021-04-19,23.25
16,2021-04-20,22.17
17,2021-04-21,21.01
18,2021-04-22,19.6
19,2021-04-23,19.01
20,2021-04-26,19.23
21,2021-04-27,20.3
22,2021-04-28,20.96
23,2021-04-29,22.78
24,2021-04-30,25.26
25,2021-05-03,26.15
26,2021-05-04,27.15
27,2021-05-05,26.81
28,2021-05-06,27.83
29,2021-05-07,26.62
30,2021-05-10,28.1
31,2021-05-11,26.69
32,2021-05-12,26.675
33,2021-05-13,23.52
34,2021-05-14,22.25
35,2021-05-17,22.71
36,2021-05-18,23.35
37,2021-05-19,24.0
38,2021-05-20,25.43
39,2021-05-21,26.79
40,2021-05-24,27.44
41,2021-05-25,27.01
42,2021-05-26,27.56
43,2021-05-27,26.75
44,2021-05-28,26.48
45,2021-06-01,26.29
46,2021-06-02,26.5
47,2021-06-03,25.85
48,2021-06-04,26.105
49,2021-06-07,26.44
50,2021-06-08,27.55
51,2021-06-09,27.16
52,2021-06-10,26.885
53,2021-06-11,26.63
54,2021-06-14,27.44
55,2021-06-15,28.0
56,2021-06-16,26.58
57,2021-06-17,27.3
58,2021-06-18,26.44
59,2021-06-21,25.85
60,2021-06-22,24.75
61,2021-06-23,23.01
62,2021-06-24,22.805
63,2021-06-25,22.43
64,2021-06-28,23.02
65,2021-06-29,23.02
66,2021-06-30,21.58
67,2021-07-01,20.0
68,2021-07-02,19.96
69,2021-07-06,19.3
70,2021-07-07,19.97
71,2021-07-08,18.51
72,2021-07-09,18.4
73,2021-07-12,18.74
74,2021-07-13,18.9
75,2021-07-14,18.96
76,2021-07-15,17.175
77,2021-07-16,17.99
78,2021-07-19,17.4
79,2021-07-20,17.96
80,2021-07-21,17.88
81,2021-07-22,17.96
82,2021-07-23,17.86
83,2021-07-26,18.42
84,2021-07-27,16.75
85,2021-07-28,15.49
86,2021-07-29,15.59
87,2021-07-30,16.38
88,2021-08-02,15.62
89,2021-08-03,15.95
90,2021-08-04,15.56
91,2021-08-05,15.66
92,2021-08-06,15.99
93,2021-08-09,15.48
94,2021-08-10,16.48
95,2021-08-11,16.94
96,2021-08-12,17.03
97,2021-08-13,16.95
98,2021-08-16,16.285
99,2021-08-17,16.14
100,2021-08-18,16.0
101,2021-08-19,15.22
102,2021-08-20,14.84
103,2021-08-23,14.75
104,2021-08-24,17.34
105,2021-08-25,15.95
106,2021-08-26,16.25
107,2021-08-27,16.04
108,2021-08-30,17.53
109,2021-08-31,15.35
110,2021-09-01,15.76
111,2021-09-02,15.94
112,2021-09-03,18.19
113,2021-09-07,17.48
114,2021-09-08,17.8
115,2021-09-09,18.27
116,2021-09-10,17.11
117,2021-09-13,17.11
118,2021-09-14,16.4
119,2021-09-15,16.18
120,2021-09-16,15.7
121,2021-09-17,15.95
122,2021-09-20,15.66
123,2021-09-21,15.16
124,2021-09-22,15.69
125,2021-09-23,15.15
126,2021-09-24,15.1
127,2021-09-27,16.13
128,2021-09-28,15.8
129,2021-09-29,14.44
130,2021-09-30,14.38
131,2021-10-01,14.69
132,2021-10-04,14.93
133,2021-10-05,15.49
134,2021-10-06,14.84
135,2021-10-07,15.41
136,2021-10-08,15.48
137,2021-10-11,14.67
138,2021-10-12,14.58
139,2021-10-13,14.34
140,2021-10-14,14.25
141,2021-10-15,14.98
142,2021-10-18,14.25
143,2021-10-19,13.0
144,2021-10-20,14.07
145,2021-10-21,14.34
146,2021-10-22,14.33
147,2021-10-25,14.91
148,2021-10-26,15.02
149,2021-10-27,14.84
150,2021-10-28,15.59
151,2021-10-29,15.37
152,2021-11-01,16.17
153,2021-11-02,15.95
154,2021-11-03,16.25
155,2021-11-04,17.03
156,2021-11-05,17.92
157,2021-11-08,17.5
158,2021-11-09,17.97
159,2021-11-10,18.63
160,2021-11-11,19.13
161,2021-11-12,20.39
162,2021-11-15,20.11
163,2021-11-16,19.96
164,2021-11-17,20.61
165,2021-11-18,21.18
166,2021-11-19,20.76
167,2021-11-22,20.86
168,2021-11-23,20.625
169,2021-11-24,16.66
170,2021-11-26,18.16
171,2021-11-29,18.3
172,2021-11-30,17.84
173,2021-12-01,17.23
174,2021-12-02,16.21
175,2021-12-03,15.81
176,2021-12-06,15.95
177,2021-12-07,17.04
