,date,open
0,2020-09-18,23.45
1,2020-09-21,22.18
2,2020-09-22,23.23
3,2020-09-23,22.69
4,2020-09-24,22.49
5,2020-09-25,22.05
6,2020-09-28,22.29
7,2020-09-29,21.29
8,2020-09-30,20.11
9,2020-10-01,20.4
10,2020-10-02,19.26
11,2020-10-05,19.22
12,2020-10-06,18.9
13,2020-10-07,19.0
14,2020-10-08,18.76
15,2020-10-09,18.77
16,2020-10-12,19.2
17,2020-10-13,19.34
18,2020-10-14,19.25
19,2020-10-15,17.51
20,2020-10-16,16.91
21,2020-10-19,17.43
22,2020-10-20,17.0
23,2020-10-21,16.8
24,2020-10-22,17.06
25,2020-10-23,17.03
26,2020-10-26,16.96
27,2020-10-27,17.67
28,2020-10-28,17.73
29,2020-10-29,17.29
30,2020-10-30,19.46
31,2020-11-02,20.63
32,2020-11-03,21.2
33,2020-11-04,23.7
34,2020-11-05,21.26
35,2020-11-06,21.38
36,2020-11-09,20.79
37,2020-11-10,19.96
38,2020-11-11,19.48
39,2020-11-12,20.48
40,2020-11-13,20.0
41,2020-11-16,19.76
42,2020-11-17,18.72
43,2020-11-18,19.32
44,2020-11-19,18.84
45,2020-11-20,19.34
46,2020-11-23,19.49
47,2020-11-24,18.95
48,2020-11-25,19.55
49,2020-11-27,19.82
50,2020-11-30,20.16
51,2020-12-01,20.16
52,2020-12-02,22.05
53,2020-12-03,20.86
54,2020-12-04,20.77
55,2020-12-07,21.17
56,2020-12-08,20.64
57,2020-12-09,20.8
58,2020-12-10,20.16
59,2020-12-11,19.74
60,2020-12-14,19.24
61,2020-12-15,20.5
62,2020-12-16,20.28
63,2020-12-17,20.3
64,2020-12-18,20.59
65,2020-12-21,20.71
66,2020-12-22,20.95
67,2020-12-23,21.8
68,2020-12-24,23.22
69,2020-12-28,22.42
70,2020-12-29,23.52
71,2020-12-30,22.11
72,2020-12-31,22.0
73,2021-01-04,20.82
74,2021-01-05,19.15
75,2021-01-06,18.93
76,2021-01-07,21.49
77,2021-01-08,25.3
78,2021-01-11,28.0
79,2021-01-12,27.19
80,2021-01-13,29.07
81,2021-01-14,29.31
82,2021-01-15,28.8
83,2021-01-19,28.22
84,2021-01-20,28.89
85,2021-01-21,26.61
86,2021-01-22,21.9
87,2021-01-25,20.35
88,2021-01-26,20.12
89,2021-01-27,18.75
90,2021-01-28,18.46
91,2021-01-29,19.22
92,2021-02-01,19.44
93,2021-02-02,19.16
94,2021-02-03,20.2
95,2021-02-04,20.5
96,2021-02-05,20.77
97,2021-02-08,20.49
98,2021-02-09,20.71
99,2021-02-10,19.7
100,2021-02-11,18.8
101,2021-02-12,18.66
102,2021-02-16,18.55
103,2021-02-17,18.41
104,2021-02-18,18.22
105,2021-02-19,19.47
106,2021-02-22,18.8
107,2021-02-23,19.21
108,2021-02-24,19.33
109,2021-02-25,20.17
110,2021-02-26,19.24
111,2021-03-01,18.83
112,2021-03-02,17.94
113,2021-03-03,17.88
114,2021-03-04,16.78
115,2021-03-05,16.0
116,2021-03-08,15.5
117,2021-03-09,16.11
118,2021-03-10,15.8
119,2021-03-11,15.55
120,2021-03-12,16.26
121,2021-03-15,16.91
122,2021-03-16,16.99
