,date,open
0,2016-02-03,18.0
1,2016-02-04,18.26
2,2016-02-05,18.84
3,2016-02-08,17.52
4,2016-02-09,15.5
5,2016-02-10,13.01
6,2016-02-11,12.97
7,2016-02-12,16.0
8,2016-02-16,15.85
9,2016-02-17,16.74
10,2016-02-18,17.15
11,2016-02-19,16.86
12,2016-02-22,19.6
13,2016-02-23,21.3
14,2016-02-24,22.9
15,2016-02-25,22.84
16,2016-02-26,25.36
17,2016-02-29,28.0
18,2016-03-01,29.47
19,2016-03-02,29.0
20,2016-03-03,32.92
21,2016-03-04,39.0
22,2016-03-07,35.89
23,2016-03-08,41.99
24,2016-03-09,42.7
25,2016-03-10,32.5
26,2016-03-11,27.98
27,2016-03-14,31.25
28,2016-03-15,29.85
29,2016-03-16,32.08
30,2016-03-17,31.17
31,2016-03-18,31.57
32,2016-03-21,30.24
33,2016-03-22,29.95
34,2016-03-23,30.0
35,2016-03-24,30.44
36,2016-03-28,31.78
37,2016-03-29,30.13
38,2016-03-30,33.0
39,2016-03-31,32.0
40,2016-04-01,35.0
41,2016-04-04,37.29
42,2016-04-05,39.45
43,2016-04-06,41.98
44,2016-04-07,41.5
45,2016-04-08,40.41
46,2016-04-11,41.05
47,2016-04-12,37.48
48,2016-04-13,38.61
49,2016-04-14,38.1
50,2016-04-15,39.67
51,2016-04-18,40.5
52,2016-04-19,40.76
53,2016-04-20,39.74
54,2016-04-21,41.04
55,2016-04-22,40.48
56,2016-04-25,38.09
57,2016-04-26,39.28
58,2016-04-27,36.86
59,2016-04-28,36.98
60,2016-04-29,34.0
61,2016-05-02,33.07
62,2016-05-03,33.47
63,2016-05-04,32.05
64,2016-05-05,31.0
65,2016-05-06,31.9
66,2016-05-09,30.04
67,2016-05-10,30.3
68,2016-05-11,30.44
69,2016-05-12,30.41
70,2016-05-13,28.64
71,2016-05-16,31.0
72,2016-05-17,35.1
73,2016-05-18,31.95
74,2016-05-19,33.49
75,2016-05-20,32.93
76,2016-05-23,33.14
77,2016-05-24,33.86
78,2016-05-25,36.0
79,2016-05-26,36.0
80,2016-05-27,36.0
81,2016-05-31,35.22
82,2016-06-01,37.11
83,2016-06-02,36.08
84,2016-06-03,34.21
85,2016-06-06,33.75
86,2016-06-07,32.68
87,2016-06-08,33.69
88,2016-06-09,34.0
89,2016-06-10,32.0
90,2016-06-13,30.1
91,2016-06-14,30.25
92,2016-06-15,30.92
93,2016-06-16,32.22
94,2016-06-17,31.41
95,2016-06-20,30.01
96,2016-06-21,29.7
97,2016-06-22,27.88
98,2016-06-23,28.15
99,2016-06-24,26.56
100,2016-06-27,25.25
101,2016-06-28,24.3
102,2016-06-29,25.25
103,2016-06-30,25.22
104,2016-07-01,24.45
105,2016-07-05,25.7
106,2016-07-06,24.85
107,2016-07-07,25.69
108,2016-07-08,25.0
109,2016-07-11,25.5
110,2016-07-12,25.4
111,2016-07-13,25.84
112,2016-07-14,25.64
113,2016-07-15,24.85
114,2016-07-18,24.74
115,2016-07-19,24.44
116,2016-07-20,24.8
117,2016-07-21,25.6
118,2016-07-22,26.01
119,2016-07-25,28.22
120,2016-07-26,26.52
121,2016-07-27,27.33
122,2016-07-28,28.49
123,2016-07-29,27.4
124,2016-08-01,25.75
125,2016-08-02,25.7
126,2016-08-03,25.55
127,2016-08-04,25.23
128,2016-08-05,25.15
129,2016-08-08,25.01
130,2016-08-09,23.6
131,2016-08-10,24.9
132,2016-08-11,21.55
133,2016-08-12,20.5
134,2016-08-15,20.11
135,2016-08-16,20.1
136,2016-08-17,19.95
137,2016-08-18,19.05
138,2016-08-19,17.57
139,2016-08-22,18.93
140,2016-08-23,19.75
141,2016-08-24,20.25
142,2016-08-25,18.4
143,2016-08-26,18.29
144,2016-08-29,18.16
145,2016-08-30,17.42
146,2016-08-31,17.63
147,2016-09-01,16.8
148,2016-09-02,16.7
149,2016-09-06,16.07
150,2016-09-07,16.17
151,2016-09-08,16.45
152,2016-09-09,17.28
153,2016-09-12,16.34
154,2016-09-13,16.39
155,2016-09-14,15.44
156,2016-09-15,15.0
157,2016-09-16,14.94
158,2016-09-19,14.51
159,2016-09-20,14.87
