,date,open
0,2013-03-21,14.51
1,2013-03-22,17.57
2,2013-03-25,17.4
3,2013-03-26,16.91
4,2013-03-27,16.95
5,2013-03-28,16.98
6,2013-04-01,18.26
7,2013-04-02,20.13
8,2013-04-03,20.21
9,2013-04-04,19.98
10,2013-04-05,19.85
11,2013-04-08,21.19
12,2013-04-09,20.99
13,2013-04-10,20.494
14,2013-04-11,21.5
15,2013-04-12,20.93
16,2013-04-15,20.27
17,2013-04-16,21.57
18,2013-04-17,20.5
19,2013-04-18,20.36
20,2013-04-19,20.8
21,2013-04-22,20.2335
22,2013-04-23,21.21
23,2013-04-24,21.199
24,2013-04-25,21.001
25,2013-04-26,18.75
26,2013-04-29,21.29
27,2013-04-30,20.5
28,2013-05-01,20.1055
29,2013-05-02,19.91
30,2013-05-03,19.64
31,2013-05-06,19.34
32,2013-05-07,19.78
33,2013-05-08,19.97
34,2013-05-09,20.1
35,2013-05-10,20.08
36,2013-05-13,19.95
37,2013-05-14,19.67
38,2013-05-15,19.87
39,2013-05-16,20.42
40,2013-05-17,20.46
41,2013-05-20,20.89
42,2013-05-21,20.86
43,2013-05-22,20.57
44,2013-05-23,20.04
45,2013-05-24,19.94
46,2013-05-28,20.0
47,2013-05-29,19.93
48,2013-05-30,19.69
49,2013-05-31,19.43
50,2013-06-03,19.85
51,2013-06-04,18.86
52,2013-06-05,18.67
53,2013-06-06,18.99
54,2013-06-07,18.76
55,2013-06-10,18.83
56,2013-06-11,18.65
57,2013-06-12,18.86
58,2013-06-13,18.085
59,2013-06-14,17.45
60,2013-06-17,16.88
61,2013-06-18,16.53
62,2013-06-19,18.08
63,2013-06-20,17.7
64,2013-06-21,17.3
65,2013-06-24,17.64
66,2013-06-25,17.99
67,2013-06-26,18.05
68,2013-06-27,18.16
69,2013-06-28,18.0
70,2013-07-01,17.67
71,2013-07-02,17.1
72,2013-07-03,17.52
73,2013-07-05,17.16
74,2013-07-08,17.48
75,2013-07-09,17.83
76,2013-07-10,18.04
77,2013-07-11,19.1
78,2013-07-12,18.748
79,2013-07-15,17.76
80,2013-07-16,18.1
81,2013-07-17,17.82
82,2013-07-18,18.74
83,2013-07-19,18.11
84,2013-07-22,17.51
85,2013-07-23,17.34
86,2013-07-24,17.2
87,2013-07-25,17.4
88,2013-07-26,17.49
89,2013-07-29,17.37
90,2013-07-30,17.0
91,2013-07-31,17.2
92,2013-08-01,18.36
93,2013-08-02,19.22
94,2013-08-05,18.77
95,2013-08-06,19.01
96,2013-08-07,18.85
97,2013-08-08,18.14
98,2013-08-09,17.65
99,2013-08-12,18.0
100,2013-08-13,19.0
101,2013-08-14,19.13
102,2013-08-15,18.68
103,2013-08-16,19.0
104,2013-08-19,18.51
105,2013-08-20,18.92
106,2013-08-21,18.84
107,2013-08-22,19.0
108,2013-08-23,18.7
109,2013-08-26,18.37
110,2013-08-27,18.63
111,2013-08-28,18.4
112,2013-08-29,18.79
113,2013-08-30,18.61
114,2013-09-03,18.72
115,2013-09-04,18.69
116,2013-09-05,18.75
117,2013-09-06,19.0
118,2013-09-09,18.7
119,2013-09-10,18.93
120,2013-09-11,19.21
121,2013-09-12,19.68
122,2013-09-13,19.71
123,2013-09-16,18.91
124,2013-09-17,19.03
125,2013-09-18,21.39
126,2013-09-19,22.8
127,2013-09-20,24.86
128,2013-09-23,25.0
129,2013-09-24,24.0
130,2013-09-25,22.93
131,2013-09-26,23.0
132,2013-09-27,23.3
133,2013-09-30,23.0
134,2013-10-01,22.99
135,2013-10-02,23.8
136,2013-10-03,23.48
137,2013-10-04,22.75
138,2013-10-07,21.95
139,2013-10-08,21.79
140,2013-10-09,20.9
141,2013-10-10,20.75
142,2013-10-11,20.73
143,2013-10-14,20.41
144,2013-10-15,19.38
145,2013-10-16,19.73
146,2013-10-17,21.27
147,2013-10-18,21.26
148,2013-10-21,20.13
149,2013-10-22,20.05
150,2013-10-23,20.32
151,2013-10-24,21.0
152,2013-10-25,20.24
153,2013-10-28,20.0
154,2013-10-29,19.85
155,2013-10-30,20.0
156,2013-10-31,19.93
157,2013-11-01,20.0
158,2013-11-04,20.13
159,2013-11-05,19.78
160,2013-11-06,19.0
161,2013-11-07,19.54
162,2013-11-08,19.87
163,2013-11-11,20.02
164,2013-11-12,20.02
165,2013-11-13,20.51
166,2013-11-14,20.4
167,2013-11-15,19.95
168,2013-11-18,20.88
169,2013-11-19,21.0
170,2013-11-20,21.79
171,2013-11-21,21.35
172,2013-11-22,22.86
173,2013-11-25,24.66
174,2013-11-26,25.8
175,2013-11-27,25.42
176,2013-11-29,27.28
177,2013-12-02,27.39
178,2013-12-03,27.85
179,2013-12-04,27.5
180,2013-12-05,28.08
181,2013-12-06,27.71
182,2013-12-09,28.03
183,2013-12-10,30.9
184,2013-12-11,37.94
185,2013-12-12,36.38
186,2013-12-13,36.78
187,2013-12-16,37.12
188,2013-12-17,36.31
189,2013-12-18,32.5
190,2013-12-19,27.75
191,2013-12-20,27.42
192,2013-12-23,27.81
193,2013-12-24,28.18
194,2013-12-26,28.48
195,2013-12-27,28.64
196,2013-12-30,27.97
197,2013-12-31,27.77
198,2014-01-02,27.39
199,2014-01-03,28.28
200,2014-01-06,28.86
201,2014-01-07,29.21
202,2014-01-08,30.27
203,2014-01-09,31.74
204,2014-01-10,32.05
205,2014-01-13,32.31
206,2014-01-14,31.63
207,2014-01-15,33.21
208,2014-01-16,33.69
209,2014-01-17,33.8
210,2014-01-21,33.75
211,2014-01-22,32.13
212,2014-01-23,31.28
213,2014-01-24,30.92
214,2014-01-27,29.72
215,2014-01-28,30.88
216,2014-01-29,32.83
217,2014-01-30,32.68
218,2014-01-31,37.0
219,2014-02-03,37.6
220,2014-02-04,37.17
221,2014-02-05,38.85
222,2014-02-06,35.27
223,2014-02-07,35.24
224,2014-02-10,37.2
225,2014-02-11,38.28
226,2014-02-12,38.4
227,2014-02-13,39.56
228,2014-02-14,38.01
229,2014-02-18,39.98
230,2014-02-19,39.15
231,2014-02-20,38.17
232,2014-02-21,38.6
233,2014-02-24,40.0
234,2014-02-25,38.4
235,2014-02-26,38.87
236,2014-02-27,38.46
237,2014-02-28,38.0
238,2014-03-03,36.01
239,2014-03-04,38.92
240,2014-03-05,39.04
241,2014-03-06,39.34
242,2014-03-07,37.31
243,2014-03-10,37.54
244,2014-03-11,39.25
245,2014-03-12,38.48
246,2014-03-13,38.01
247,2014-03-14,38.0
248,2014-03-17,41.86
249,2014-03-18,40.13
250,2014-03-19,40.0
251,2014-03-20,39.63
252,2014-03-21,41.5
253,2014-03-24,39.45
254,2014-03-25,40.22
255,2014-03-26,39.1
256,2014-03-27,38.75
257,2014-03-28,39.71
258,2014-03-31,38.56
259,2014-04-01,39.91
260,2014-04-02,38.67
261,2014-04-03,39.36
262,2014-04-04,38.59
263,2014-04-07,33.54
264,2014-04-08,34.4
265,2014-04-09,35.04
266,2014-04-10,36.51
267,2014-04-11,32.27
268,2014-04-14,33.99
269,2014-04-15,34.32
270,2014-04-16,33.47
271,2014-04-17,33.1
272,2014-04-21,33.57
273,2014-04-22,35.01
274,2014-04-23,37.11
275,2014-04-24,37.32
276,2014-04-25,36.63
277,2014-04-28,35.44
278,2014-04-29,35.75
279,2014-04-30,36.12
280,2014-05-01,37.35
281,2014-05-02,36.73
282,2014-05-05,35.37
283,2014-05-06,35.87
284,2014-05-07,36.17
285,2014-05-08,34.82
286,2014-05-09,34.34
287,2014-05-12,34.6
288,2014-05-13,34.6
289,2014-05-14,36.63
290,2014-05-15,37.59
291,2014-05-16,36.75
292,2014-05-19,36.39
293,2014-05-20,36.93
294,2014-05-21,37.15
295,2014-05-22,37.8
296,2014-05-23,38.59
297,2014-05-27,39.96
298,2014-05-28,39.29
299,2014-05-29,39.5
300,2014-05-30,38.58
301,2014-06-02,38.23
302,2014-06-03,38.4
303,2014-06-04,38.4
304,2014-06-05,39.25
305,2014-06-06,39.59
306,2014-06-09,40.22
307,2014-06-10,40.89
308,2014-06-11,41.68
309,2014-06-12,40.15
310,2014-06-13,38.91
311,2014-06-16,39.18
312,2014-06-17,42.0
313,2014-06-18,41.77
314,2014-06-19,44.93
315,2014-06-20,46.01
316,2014-06-23,45.87
317,2014-06-24,43.15
318,2014-06-25,43.28
319,2014-06-26,44.94
320,2014-06-27,44.53
321,2014-06-30,45.0
322,2014-07-01,43.01
323,2014-07-02,42.19
324,2014-07-03,42.57
325,2014-07-07,41.61
326,2014-07-08,41.41
327,2014-07-09,39.78
328,2014-07-10,39.62
329,2014-07-11,40.35
330,2014-07-14,40.88
331,2014-07-15,39.3
332,2014-07-16,39.41
333,2014-07-17,37.86
334,2014-07-18,37.91
335,2014-07-21,38.7
336,2014-07-22,38.71
337,2014-07-23,38.99
338,2014-07-24,39.26
339,2014-07-25,38.5
340,2014-07-28,39.15
341,2014-07-29,38.8
342,2014-07-30,38.87
343,2014-07-31,38.46
344,2014-08-01,37.48
345,2014-08-04,39.08
346,2014-08-05,38.08
347,2014-08-06,37.18
348,2014-08-07,38.05
349,2014-08-08,37.15
350,2014-08-11,38.37
