,date,open
0,2021-07-16,15.9
1,2021-07-19,16.5
2,2021-07-20,18.5
3,2021-07-21,19.55
4,2021-07-22,19.89
5,2021-07-23,19.8
6,2021-07-26,19.2
7,2021-07-27,19.0
8,2021-07-28,18.9
9,2021-07-29,20.15
10,2021-07-30,20.63
11,2021-08-02,21.21
12,2021-08-03,19.71
13,2021-08-04,20.43
14,2021-08-05,20.78
15,2021-08-06,20.57
16,2021-08-09,21.02
17,2021-08-10,21.48
18,2021-08-11,20.7
19,2021-08-12,21.07
20,2021-08-13,19.38
21,2021-08-16,19.77
22,2021-08-17,19.5
23,2021-08-18,19.77
24,2021-08-19,19.0
25,2021-08-20,20.26
26,2021-08-23,21.2
27,2021-08-24,20.82
28,2021-08-25,20.9
29,2021-08-26,22.05
30,2021-08-27,22.32
31,2021-08-30,23.18
32,2021-08-31,23.79
33,2021-09-01,24.0
34,2021-09-02,22.96
35,2021-09-03,24.33
36,2021-09-07,23.96
37,2021-09-08,22.96
38,2021-09-09,20.36
39,2021-09-10,21.01
40,2021-09-13,21.21
41,2021-09-14,20.61
42,2021-09-15,21.0
43,2021-09-16,21.14
44,2021-09-17,21.0
45,2021-09-20,19.15
46,2021-09-21,19.75
47,2021-09-22,21.08
48,2021-09-23,20.97
49,2021-09-24,19.81
50,2021-09-27,19.33
51,2021-09-28,20.03
52,2021-09-29,20.27
53,2021-09-30,19.98
54,2021-10-01,21.16
55,2021-10-04,21.5
56,2021-10-05,22.1
57,2021-10-06,22.69
58,2021-10-07,19.35
59,2021-10-08,18.14
60,2021-10-11,17.35
61,2021-10-12,18.43
62,2021-10-13,17.24
63,2021-10-14,18.11
64,2021-10-15,18.34
65,2021-10-18,17.7
66,2021-10-19,16.85
67,2021-10-20,17.95
68,2021-10-21,19.14
69,2021-10-22,19.44
70,2021-10-25,18.81
71,2021-10-26,19.04
72,2021-10-27,19.61
73,2021-10-28,18.55
74,2021-10-29,18.77
75,2021-11-01,19.73
76,2021-11-02,19.45
77,2021-11-03,19.57
78,2021-11-04,20.19
79,2021-11-05,20.3
80,2021-11-08,19.84
81,2021-11-09,19.36
82,2021-11-10,19.75
83,2021-11-11,18.87
84,2021-11-12,20.0
85,2021-11-15,19.51
86,2021-11-16,18.91
87,2021-11-17,19.57
88,2021-11-18,19.79
89,2021-11-19,18.04
90,2021-11-22,18.14
91,2021-11-23,16.67
92,2021-11-24,15.75
93,2021-11-26,16.13
94,2021-11-29,15.47
95,2021-11-30,14.63
96,2021-12-01,14.38
97,2021-12-02,14.17
98,2021-12-03,15.27
99,2021-12-06,14.36
100,2021-12-07,12.79
101,2021-12-08,13.95
102,2021-12-09,14.38
103,2021-12-10,13.84
104,2021-12-13,13.87
105,2021-12-14,13.84
106,2021-12-15,13.45
107,2021-12-16,13.76
108,2021-12-17,14.28
109,2021-12-20,14.64
110,2021-12-21,13.81
111,2021-12-22,12.99
112,2021-12-23,13.89
113,2021-12-27,14.46
114,2021-12-28,14.19
115,2021-12-29,14.35
116,2021-12-30,14.54
117,2021-12-31,15.22
118,2022-01-03,15.37
119,2022-01-04,15.51
120,2022-01-05,14.88
121,2022-01-06,12.98
122,2022-01-07,13.27
123,2022-01-10,12.65
124,2022-01-11,11.78
125,2022-01-12,12.77
126,2022-01-13,13.26
127,2022-01-14,12.98
128,2022-01-18,12.59
129,2022-01-19,12.37
130,2022-01-20,11.63
131,2022-01-21,11.31
132,2022-01-24,10.78
133,2022-01-25,11.13
134,2022-01-26,12.28
135,2022-01-27,11.38
136,2022-01-28,11.0
137,2022-01-31,11.28
138,2022-02-01,11.85
139,2022-02-02,11.57
140,2022-02-03,10.76
141,2022-02-04,11.06
142,2022-02-07,11.42
143,2022-02-08,11.79
144,2022-02-09,11.93
145,2022-02-10,12.04
146,2022-02-11,11.88
147,2022-02-14,12.34
148,2022-02-15,12.08
149,2022-02-16,12.45
150,2022-02-17,12.23
151,2022-02-18,11.63
152,2022-02-22,12.0
