,date,open
0,2021-03-26,27.0
1,2021-03-29,26.1
2,2021-03-30,35.23
3,2021-03-31,31.43
4,2021-04-01,30.6
5,2021-04-05,30.52
6,2021-04-06,29.47
7,2021-04-07,29.11
8,2021-04-08,30.45
9,2021-04-09,30.04
10,2021-04-12,29.76
11,2021-04-13,28.52
12,2021-04-14,27.97
13,2021-04-15,27.71
14,2021-04-16,27.44
15,2021-04-19,26.73
16,2021-04-20,26.7
17,2021-04-21,25.3901
18,2021-04-22,26.53
19,2021-04-23,28.27
20,2021-04-26,27.52
21,2021-04-27,25.69
22,2021-04-28,26.19
23,2021-04-29,28.24
24,2021-04-30,28.42
25,2021-05-03,28.54
26,2021-05-04,28.51
27,2021-05-05,29.14
28,2021-05-06,29.46
29,2021-05-07,29.74
30,2021-05-10,28.575
31,2021-05-11,26.58
32,2021-05-12,26.45
33,2021-05-13,26.39
34,2021-05-14,24.22
35,2021-05-17,27.21
36,2021-05-18,26.45
37,2021-05-19,27.33
38,2021-05-20,27.94
39,2021-05-21,28.11
40,2021-05-24,28.43
41,2021-05-25,28.7
42,2021-05-26,29.26
43,2021-05-27,28.88
44,2021-05-28,28.96
45,2021-06-01,28.5
46,2021-06-02,28.69
47,2021-06-03,27.83
48,2021-06-04,26.46
49,2021-06-07,26.46
50,2021-06-08,27.08
51,2021-06-09,25.86
52,2021-06-10,27.0
53,2021-06-11,25.8
54,2021-06-14,26.31
55,2021-06-15,26.27
56,2021-06-16,25.45
57,2021-06-17,26.99
58,2021-06-18,26.96
59,2021-06-21,27.02
60,2021-06-22,27.47
61,2021-06-23,26.41
62,2021-06-24,25.51
63,2021-06-25,24.86
64,2021-06-28,23.66
65,2021-06-29,23.8
66,2021-06-30,22.98
67,2021-07-01,21.42
68,2021-07-02,20.83
69,2021-07-06,20.43
70,2021-07-07,20.83
71,2021-07-08,21.74
72,2021-07-09,23.55
73,2021-07-12,22.67
74,2021-07-13,23.28
75,2021-07-14,23.89
76,2021-07-15,21.05
77,2021-07-16,21.68
78,2021-07-19,19.23
79,2021-07-20,21.4
80,2021-07-21,21.71
81,2021-07-22,20.3
82,2021-07-23,20.51
83,2021-07-26,19.94
84,2021-07-27,19.98
85,2021-07-28,19.5
86,2021-07-29,19.9
87,2021-07-30,19.47
88,2021-08-02,17.74
89,2021-08-03,17.5
90,2021-08-04,17.81
91,2021-08-05,17.01
92,2021-08-06,18.07
93,2021-08-09,18.29
94,2021-08-10,18.1
95,2021-08-11,17.26
96,2021-08-12,16.26
97,2021-08-13,17.8
98,2021-08-16,17.52
99,2021-08-17,15.25
100,2021-08-18,16.66
101,2021-08-19,15.84
102,2021-08-20,14.07
103,2021-08-23,14.6
104,2021-08-24,15.88
105,2021-08-25,15.55
106,2021-08-26,14.68
107,2021-08-27,14.19
108,2021-08-30,15.28
109,2021-08-31,15.15
110,2021-09-01,15.95
111,2021-09-02,15.58
112,2021-09-03,16.54
113,2021-09-07,16.54
114,2021-09-08,16.69
115,2021-09-09,16.59
116,2021-09-10,16.99
117,2021-09-13,16.34
118,2021-09-14,16.05
119,2021-09-15,16.99
120,2021-09-16,15.87
121,2021-09-17,15.99
122,2021-09-20,17.04
123,2021-09-21,17.24
124,2021-09-22,17.96
125,2021-09-23,19.89
126,2021-09-24,18.28
127,2021-09-27,18.12
128,2021-09-28,17.93
129,2021-09-29,17.49
130,2021-09-30,16.92
131,2021-10-01,16.77
132,2021-10-04,17.44
133,2021-10-05,17.77
134,2021-10-06,18.22
135,2021-10-07,18.07
136,2021-10-08,18.65
137,2021-10-11,18.54
138,2021-10-12,16.83
139,2021-10-13,17.16
140,2021-10-14,17.55
141,2021-10-15,18.36
142,2021-10-18,17.66
143,2021-10-19,17.07
144,2021-10-20,16.29
145,2021-10-21,17.2
146,2021-10-22,17.16
147,2021-10-25,16.7
148,2021-10-26,16.27
149,2021-10-27,16.65
150,2021-10-28,16.58
151,2021-10-29,16.05
152,2021-11-01,16.82
153,2021-11-02,17.7
154,2021-11-03,17.75
155,2021-11-04,19.49
156,2021-11-05,19.8
157,2021-11-08,19.93
158,2021-11-09,19.95
159,2021-11-10,19.94
160,2021-11-11,19.74
161,2021-11-12,19.82
162,2021-11-15,19.17
163,2021-11-16,19.61
164,2021-11-17,20.1
165,2021-11-18,20.76
166,2021-11-19,20.92
167,2021-11-22,20.09
168,2021-11-23,22.36
169,2021-11-24,20.11
170,2021-11-26,21.13
171,2021-11-29,20.79
172,2021-11-30,18.07
173,2021-12-01,17.96
174,2021-12-02,16.24
175,2021-12-03,16.36
176,2021-12-06,15.26
177,2021-12-07,18.19
178,2021-12-08,20.38
179,2021-12-09,19.3
180,2021-12-10,20.08
181,2021-12-13,19.65
182,2021-12-14,19.22
183,2021-12-15,19.12
184,2021-12-16,19.39
185,2021-12-17,17.52
186,2021-12-20,15.04
187,2021-12-21,15.29
188,2021-12-22,15.24
189,2021-12-23,15.39
190,2021-12-27,16.08
191,2021-12-28,14.32
192,2021-12-29,14.96
193,2021-12-30,14.79
194,2021-12-31,14.66
195,2022-01-03,14.71
196,2022-01-04,16.7
197,2022-01-05,18.02
198,2022-01-06,18.81
199,2022-01-07,17.56
200,2022-01-10,17.21
201,2022-01-11,18.31
202,2022-01-12,18.88
203,2022-01-13,17.49
204,2022-01-14,17.08
205,2022-01-18,17.2
206,2022-01-19,15.52
207,2022-01-20,15.34
208,2022-01-21,14.24
209,2022-01-24,14.77
210,2022-01-25,14.91
211,2022-01-26,14.07
212,2022-01-27,14.46
213,2022-01-28,13.77
214,2022-01-31,12.62
215,2022-02-01,13.71
216,2022-02-02,13.96
217,2022-02-03,12.88
218,2022-02-04,12.78
219,2022-02-07,12.02
220,2022-02-08,12.43
221,2022-02-09,12.89
222,2022-02-10,12.63
223,2022-02-11,12.54
224,2022-02-14,12.06
225,2022-02-15,11.59
226,2022-02-16,12.83
227,2022-02-17,12.88
228,2022-02-18,11.96
229,2022-02-22,11.43
230,2022-02-23,11.79
231,2022-02-24,11.15
232,2022-02-25,12.15
233,2022-02-28,12.7
234,2022-03-01,11.78
235,2022-03-02,11.31
236,2022-03-03,11.77
237,2022-03-04,10.73
238,2022-03-07,10.48
239,2022-03-08,10.77
240,2022-03-09,11.41
241,2022-03-10,11.49
242,2022-03-11,11.78
243,2022-03-14,11.27
244,2022-03-15,10.4
245,2022-03-16,10.35
246,2022-03-17,11.23
247,2022-03-18,11.24
248,2022-03-21,11.29
249,2022-03-22,10.49
250,2022-03-23,10.59
251,2022-03-24,9.9
252,2022-03-25,9.87
253,2022-03-28,9.28
254,2022-03-29,9.32
255,2022-03-30,9.45
256,2022-03-31,9.29
257,2022-04-01,9.71
258,2022-04-04,9.69
259,2022-04-05,9.95
260,2022-04-06,9.63
261,2022-04-07,9.52
262,2022-04-08,9.41
263,2022-04-11,9.13
264,2022-04-12,8.65
265,2022-04-13,9.23
266,2022-04-14,8.5
267,2022-04-18,8.6
268,2022-04-19,8.03
269,2022-04-20,8.02
270,2022-04-21,8.06
271,2022-04-22,8.05
272,2022-04-25,8.36
273,2022-04-26,8.5
274,2022-04-27,8.11
275,2022-04-28,8.14
276,2022-04-29,7.99
277,2022-05-02,7.92
278,2022-05-03,8.34
279,2022-05-04,8.3
280,2022-05-05,8.4
281,2022-05-06,7.88
282,2022-05-09,7.41
283,2022-05-10,7.79
284,2022-05-11,7.48
285,2022-05-12,6.94
286,2022-05-13,7.84
287,2022-05-16,7.73
288,2022-05-17,7.48
289,2022-05-18,7.21
290,2022-05-19,7.15
291,2022-05-20,7.13
292,2022-05-23,7.45
293,2022-05-24,7.13
294,2022-05-25,6.27
295,2022-05-26,5.7
296,2022-05-27,5.58
297,2022-05-31,6.04
298,2022-06-01,6.25
299,2022-06-02,5.74
300,2022-06-03,5.72
301,2022-06-06,6.18
302,2022-06-07,6.01
303,2022-06-08,6.64
304,2022-06-09,6.59
305,2022-06-10,6.43
306,2022-06-13,5.99
307,2022-06-14,6.04
308,2022-06-15,6.04
309,2022-06-16,6.0
310,2022-06-17,6.25
311,2022-06-21,6.72
312,2022-06-22,7.33
313,2022-06-23,7.66
314,2022-06-24,8.31
315,2022-06-27,8.6
316,2022-06-28,8.28
317,2022-06-29,7.69
318,2022-06-30,7.63
319,2022-07-01,7.97
320,2022-07-05,7.95
321,2022-07-06,8.51
322,2022-07-07,8.25
323,2022-07-08,9.65
324,2022-07-11,10.24
325,2022-07-12,9.94
326,2022-07-13,9.71
327,2022-07-14,10.35
328,2022-07-15,10.28
329,2022-07-18,10.37
330,2022-07-19,10.27
331,2022-07-20,10.08
332,2022-07-21,9.86
333,2022-07-22,10.21
334,2022-07-25,9.83
335,2022-07-26,9.92
336,2022-07-27,10.09
337,2022-07-28,10.35
338,2022-07-29,10.22
339,2022-08-01,9.53
340,2022-08-02,8.82
341,2022-08-03,8.96
342,2022-08-04,9.22
343,2022-08-05,10.06
344,2022-08-08,10.65
345,2022-08-09,10.33
346,2022-08-10,10.12
347,2022-08-11,10.53
348,2022-08-12,10.05
