,date,open
0,2021-10-01,27.14
1,2021-10-04,28.59
2,2021-10-05,26.1798
3,2021-10-06,21.64
4,2021-10-07,22.31
5,2021-10-08,22.5
6,2021-10-11,24.5
7,2021-10-12,21.21
8,2021-10-13,20.25
9,2021-10-14,22.98
10,2021-10-15,20.5
11,2021-10-18,21.48
12,2021-10-19,19.47
13,2021-10-20,20.03
14,2021-10-21,20.81
15,2021-10-22,22.2
16,2021-10-25,23.31
17,2021-10-26,23.11
18,2021-10-27,21.06
19,2021-10-28,20.0
20,2021-10-29,20.75
21,2021-11-01,22.37
22,2021-11-02,20.9
23,2021-11-03,21.06
24,2021-11-04,21.49
25,2021-11-05,22.55
26,2021-11-08,22.42
27,2021-11-09,22.03
28,2021-11-10,21.0
29,2021-11-11,20.59
30,2021-11-12,20.72
31,2021-11-15,21.0
32,2021-11-16,20.14
33,2021-11-17,20.1
34,2021-11-18,21.27
35,2021-11-19,21.59
36,2021-11-22,20.5
37,2021-11-23,19.43
38,2021-11-24,20.03
39,2021-11-26,21.2
40,2021-11-29,20.58
41,2021-11-30,21.77
42,2021-12-01,21.7
43,2021-12-02,21.49
44,2021-12-03,20.48
45,2021-12-06,20.09
46,2021-12-07,19.56
47,2021-12-08,21.36
48,2021-12-09,23.0
49,2021-12-10,23.41
50,2021-12-13,22.72
51,2021-12-14,19.41
52,2021-12-15,20.38
53,2021-12-16,21.3
54,2021-12-17,20.01
55,2021-12-20,20.11
56,2021-12-21,21.06
57,2021-12-22,19.88
58,2021-12-23,19.63
59,2021-12-27,19.505
60,2021-12-28,18.9
61,2021-12-29,19.4
62,2021-12-30,18.46
63,2021-12-31,19.4
64,2022-01-03,20.01
65,2022-01-04,20.58
66,2022-01-05,20.61
67,2022-01-06,19.08
68,2022-01-07,20.24
69,2022-01-10,20.25
70,2022-01-11,19.48
71,2022-01-12,18.64
72,2022-01-13,18.31
73,2022-01-14,17.64
74,2022-01-18,18.84
75,2022-01-19,24.0
76,2022-01-20,23.13
77,2022-01-21,20.24
78,2022-01-24,18.05
79,2022-01-25,17.97
80,2022-01-26,17.3
81,2022-01-27,16.75
82,2022-01-28,15.95
83,2022-01-31,15.64
84,2022-02-01,18.24
85,2022-02-02,19.34
86,2022-02-03,19.01
87,2022-02-04,18.96
88,2022-02-07,18.79
89,2022-02-08,20.44
90,2022-02-09,21.64
91,2022-02-10,20.41
92,2022-02-11,21.2
93,2022-02-14,22.4
94,2022-02-15,20.04
95,2022-02-16,20.05
96,2022-02-17,20.58
97,2022-02-18,18.42
98,2022-02-22,17.84
99,2022-02-23,16.7
100,2022-02-24,13.96
101,2022-02-25,16.19
102,2022-02-28,15.83
103,2022-03-01,16.8
104,2022-03-02,15.46
105,2022-03-03,14.27
106,2022-03-04,12.8
107,2022-03-07,11.36
108,2022-03-08,11.76
109,2022-03-09,14.66
110,2022-03-10,15.77
111,2022-03-11,15.05
112,2022-03-14,14.77
113,2022-03-15,14.43
114,2022-03-16,14.76
115,2022-03-17,14.72
116,2022-03-18,15.7
117,2022-03-21,16.5
118,2022-03-22,16.1
119,2022-03-23,15.84
120,2022-03-24,15.35
121,2022-03-25,14.61
122,2022-03-28,13.9
123,2022-03-29,13.52
124,2022-03-30,14.36
125,2022-03-31,14.22
126,2022-04-01,14.2
127,2022-04-04,15.27
128,2022-04-05,14.03
129,2022-04-06,13.25
130,2022-04-07,13.94
131,2022-04-08,13.68
132,2022-04-11,12.99
133,2022-04-12,12.16
134,2022-04-13,12.79
135,2022-04-14,14.75
136,2022-04-18,14.6
137,2022-04-19,13.74
138,2022-04-20,14.04
139,2022-04-21,13.72
140,2022-04-22,13.3
141,2022-04-25,13.39
142,2022-04-26,13.7
143,2022-04-27,12.39
144,2022-04-28,11.52
145,2022-04-29,10.85
146,2022-05-02,10.61
147,2022-05-03,11.25
148,2022-05-04,11.14
149,2022-05-05,10.92
150,2022-05-06,9.57
151,2022-05-09,9.29
152,2022-05-10,8.9
153,2022-05-11,8.24
154,2022-05-12,6.58
155,2022-05-13,8.0
156,2022-05-16,8.3
157,2022-05-17,8.89
158,2022-05-18,9.29
159,2022-05-19,9.84
160,2022-05-20,10.1
161,2022-05-23,11.48
162,2022-05-24,9.88
163,2022-05-25,9.85
164,2022-05-26,10.04
165,2022-05-27,10.76
166,2022-05-31,11.83
167,2022-06-01,11.62
168,2022-06-02,11.79
169,2022-06-03,13.46
170,2022-06-06,13.21
171,2022-06-07,12.36
172,2022-06-08,15.43
173,2022-06-09,16.02
174,2022-06-10,14.6
175,2022-06-13,14.44
176,2022-06-14,12.35
177,2022-06-15,12.29
178,2022-06-16,11.98
179,2022-06-17,12.0
180,2022-06-21,13.25
181,2022-06-22,12.57
182,2022-06-23,13.08
183,2022-06-24,13.67
184,2022-06-27,13.77
185,2022-06-28,12.44
186,2022-06-29,10.99
187,2022-06-30,10.35
188,2022-07-01,11.1
189,2022-07-05,10.95
190,2022-07-06,12.2
191,2022-07-07,11.7
192,2022-07-08,11.82
193,2022-07-11,11.13
194,2022-07-12,10.69
195,2022-07-13,10.54
196,2022-07-14,10.94
197,2022-07-15,10.74
198,2022-07-18,10.15
199,2022-07-19,10.04
200,2022-07-20,10.87
201,2022-07-21,11.8
202,2022-07-22,11.71
203,2022-07-25,10.96
204,2022-07-26,10.82
205,2022-07-27,10.41
206,2022-07-28,10.48
207,2022-07-29,10.07
208,2022-08-01,9.62
209,2022-08-02,9.09
210,2022-08-03,10.09
211,2022-08-04,10.34
212,2022-08-05,12.06
213,2022-08-08,12.3
214,2022-08-09,11.72
215,2022-08-10,11.34
216,2022-08-11,12.25
217,2022-08-12,11.83
218,2022-08-15,13.0
219,2022-08-16,12.69
220,2022-08-17,12.42
221,2022-08-18,11.86
222,2022-08-19,9.82
223,2022-08-22,10.2
224,2022-08-23,9.51
225,2022-08-24,9.86
226,2022-08-25,9.8
227,2022-08-26,9.56
228,2022-08-29,9.68
229,2022-08-30,9.67
230,2022-08-31,9.66
231,2022-09-01,9.55
232,2022-09-02,9.9
233,0,11.0
234,2022-08-10,11.34
235,2022-08-11,12.25
236,2022-08-12,11.83
237,2022-08-15,13.0
238,2022-08-16,12.69
239,2022-08-17,12.42
240,2022-08-18,11.86
241,2022-08-19,9.82
242,2022-08-22,10.2
243,2022-08-23,9.51
244,2022-08-24,9.86
245,2022-08-25,9.8
246,2022-08-26,9.56
247,2022-08-29,9.68
248,2022-08-30,9.67
249,2022-08-31,9.66
250,2022-09-01,9.55
251,2022-09-02,9.9
