,date,open
0,2020-12-11,40.0
1,2020-12-14,40.5
2,2020-12-15,40.76
3,2020-12-16,39.06
4,2020-12-17,38.88
5,2020-12-18,40.0
6,2020-12-21,47.36
7,2020-12-22,45.25
8,2020-12-23,41.1
9,2020-12-24,38.71
10,2020-12-28,40.7
11,2020-12-29,43.43
12,2020-12-30,41.56
13,2020-12-31,41.22
14,2021-01-04,41.66
15,2021-01-05,36.13
16,2021-01-06,35.69
17,2021-01-07,36.38
18,2021-01-08,42.0
19,2021-01-11,43.65
20,2021-01-12,41.77
21,2021-01-13,43.4
22,2021-01-14,44.01
23,2021-01-15,48.0
24,2021-01-19,46.33
25,2021-01-20,49.18
26,2021-01-21,47.22
27,2021-01-22,46.25
28,2021-01-25,47.5
29,2021-01-26,47.55
30,2021-01-27,46.8
31,2021-01-28,42.51
32,2021-01-29,42.27
33,2021-02-01,42.96
34,2021-02-02,44.07
35,2021-02-03,47.47
36,2021-02-04,46.99
37,2021-02-05,50.0
38,2021-02-08,50.0
39,2021-02-09,48.18
40,2021-02-10,47.21
41,2021-02-11,49.0
42,2021-02-12,52.03
43,2021-02-16,45.54
44,2021-02-17,45.22
45,2021-02-18,45.5
46,2021-02-19,42.52
47,2021-02-22,42.69
48,2021-02-23,43.51
49,2021-02-24,40.02
50,2021-02-25,43.13
51,2021-02-26,43.74
52,2021-03-01,44.66
53,2021-03-02,43.05
54,2021-03-03,42.71
55,2021-03-04,40.64
56,2021-03-05,42.01
57,2021-03-08,44.82
58,2021-03-09,42.47
59,2021-03-10,49.82
60,2021-03-11,52.39
61,2021-03-12,50.39
62,2021-03-15,50.68
63,2021-03-16,49.27
64,2021-03-17,48.05
65,2021-03-18,45.0
66,2021-03-19,43.91
67,2021-03-22,43.64
68,2021-03-23,43.03
69,2021-03-24,43.24
70,2021-03-25,39.29
71,2021-03-26,40.25
72,2021-03-29,37.55
73,2021-03-30,35.09
74,2021-03-31,38.5
75,2021-04-01,44.03
76,2021-04-05,40.52
77,2021-04-06,41.5
78,2021-04-07,42.24
79,2021-04-08,40.58
80,2021-04-09,40.55
81,2021-04-12,37.56
82,2021-04-13,35.11
83,2021-04-14,36.11
84,2021-04-15,38.315
85,2021-04-16,36.25
86,2021-04-19,32.96
87,2021-04-20,32.89
88,2021-04-21,31.91
89,2021-04-22,33.56
90,2021-04-23,34.86
91,2021-04-26,34.23
92,2021-04-27,36.92
93,2021-04-28,37.25
94,2021-04-29,38.87
95,2021-04-30,37.89
96,2021-05-03,39.37
97,2021-05-04,36.9
98,2021-05-05,35.91
99,2021-05-06,34.74
100,2021-05-07,33.98
101,2021-05-10,32.6
102,2021-05-11,28.74
103,2021-05-12,28.89
104,2021-05-13,27.99
105,2021-05-14,27.07
106,2021-05-17,26.7
107,2021-05-18,26.95
108,2021-05-19,26.13
109,2021-05-20,27.5
