,date,open
0,2014-11-14,23.0
1,2014-11-17,22.09
2,2014-11-18,24.25
3,2014-11-19,23.9
4,2014-11-20,23.08
5,2014-11-21,24.04
6,2014-11-24,22.64
7,2014-11-25,23.5
8,2014-11-26,23.53
9,2014-11-28,23.78
10,2014-12-01,22.65
11,2014-12-02,22.58
12,2014-12-03,21.5
13,2014-12-04,23.35
14,2014-12-05,23.85
15,2014-12-08,26.5
16,2014-12-09,28.79
17,2014-12-10,29.0
18,2014-12-11,29.0
19,2014-12-12,28.07
20,2014-12-15,29.0
21,2014-12-16,29.18
22,2014-12-17,29.0
23,2014-12-18,27.91
24,2014-12-19,28.48
25,2014-12-22,27.39
26,2014-12-23,26.28
27,2014-12-24,27.22
28,2014-12-26,27.51
29,2014-12-29,27.39
30,2014-12-30,27.5
31,2014-12-31,27.16
32,2015-01-02,27.44
33,2015-01-05,27.54
34,2015-01-06,34.0
35,2015-01-07,34.97
36,2015-01-08,36.41
37,2015-01-09,34.52
38,2015-01-12,34.08
39,2015-01-13,35.19
40,2015-01-14,33.48
41,2015-01-15,34.9
42,2015-01-16,33.44
43,2015-01-20,34.48
44,2015-01-21,33.79
45,2015-01-22,31.93
46,2015-01-23,29.88
47,2015-01-26,29.46
48,2015-01-27,29.8
49,2015-01-28,31.7
50,2015-01-29,30.93
51,2015-01-30,30.04
52,2015-02-02,29.56
53,2015-02-03,30.19
54,2015-02-04,30.26
55,2015-02-05,31.08
56,2015-02-06,31.9
57,2015-02-09,31.38
58,2015-02-10,31.71
59,2015-02-11,31.05
60,2015-02-12,29.4
61,2015-02-13,29.87
62,2015-02-17,30.09
63,2015-02-18,31.0605
64,2015-02-19,31.15
65,2015-02-20,30.29
66,2015-02-23,30.04
67,2015-02-24,30.84
68,2015-02-25,30.84
69,2015-02-26,31.29
70,2015-02-27,30.9
71,2015-03-02,31.89
72,2015-03-03,32.13
73,2015-03-04,30.32
74,2015-03-05,29.7
75,2015-03-06,30.34
76,2015-03-09,30.0
77,2015-03-10,29.42
78,2015-03-11,28.52
79,2015-03-12,28.86
80,2015-03-13,28.71
81,2015-03-16,28.2
82,2015-03-17,29.18
83,2015-03-18,29.85
84,2015-03-19,29.08
85,2015-03-20,29.44
86,2015-03-23,30.79
87,2015-03-24,30.0
88,2015-03-25,30.8249
89,2015-03-26,30.01
90,2015-03-27,29.51
91,2015-03-30,30.1
92,2015-03-31,31.53
93,2015-04-01,31.4
94,2015-04-02,30.69
95,2015-04-06,30.53
96,2015-04-07,31.13
97,2015-04-08,30.03
98,2015-04-09,30.07
99,2015-04-10,29.9
100,2015-04-13,29.9
101,2015-04-14,29.65
102,2015-04-15,29.5
103,2015-04-16,29.46
104,2015-04-17,29.47
105,2015-04-20,28.8
106,2015-04-21,28.52
107,2015-04-22,27.89
108,2015-04-23,26.7
109,2015-04-24,27.25
110,2015-04-27,27.04
111,2015-04-28,26.1
112,2015-04-29,24.86
113,2015-04-30,24.55
114,2015-05-01,23.28
115,2015-05-04,23.88
116,2015-05-05,23.82
117,2015-05-06,23.6
118,2015-05-07,23.5
119,2015-05-08,24.2
120,2015-05-11,24.0
121,2015-05-12,24.5
122,2015-05-13,23.62
123,2015-05-14,22.66
