,date,open
0,2020-06-12,22.15
1,2020-06-15,21.76
2,2020-06-16,23.28
3,2020-06-17,21.43
4,2020-06-18,21.15
5,2020-06-19,21.42
6,2020-06-22,21.67
7,2020-06-23,23.5
8,2020-06-24,23.52
9,2020-06-25,22.67
10,2020-06-26,22.94
11,2020-06-29,21.62
12,2020-06-30,21.66
13,2020-07-01,21.69
14,2020-07-02,19.2
15,2020-07-06,19.9994
16,2020-07-07,19.64
17,2020-07-08,19.78
18,2020-07-09,19.46
19,2020-07-10,19.02
20,2020-07-13,19.95
21,2020-07-14,17.61
22,2020-07-15,18.53
23,2020-07-16,18.37
24,2020-07-17,19.22
25,2020-07-20,22.47
26,2020-07-21,23.72
27,2020-07-22,22.09
28,2020-07-23,21.11
29,2020-07-24,20.8
30,2020-07-27,20.38
31,2020-07-28,19.71
32,2020-07-29,20.33
33,2020-07-30,20.17
34,2020-07-31,19.92
35,2020-08-03,19.52
36,2020-08-04,19.25
37,2020-08-05,20.31
38,2020-08-06,21.0
39,2020-08-07,21.0
40,2020-08-10,20.22
41,2020-08-11,19.59
42,2020-08-12,20.4
43,2020-08-13,19.73
44,2020-08-14,19.63
45,2020-08-17,19.6
46,2020-08-18,19.59
47,2020-08-19,20.33
48,2020-08-20,22.02
49,2020-08-21,23.6
50,2020-08-24,24.28
51,2020-08-25,24.04
52,2020-08-26,24.39
53,2020-08-27,25.33
54,2020-08-28,25.53
55,2020-08-31,27.5
56,2020-09-01,30.87
57,2020-09-02,31.25
58,2020-09-03,31.37
59,2020-09-04,29.35
60,2020-09-08,29.93
61,2020-09-09,30.0
62,2020-09-10,29.09
63,2020-09-11,29.88
64,2020-09-14,29.1
65,2020-09-15,31.05
66,2020-09-16,29.82
67,2020-09-17,29.25
68,2020-09-18,29.99
69,2020-09-21,28.95
70,2020-09-22,26.86
71,2020-09-23,28.15
72,2020-09-24,27.27
73,2020-09-25,27.31
74,2020-09-28,30.55
75,2020-09-29,30.04
76,2020-09-30,31.19
77,2020-10-01,30.89
78,2020-10-02,28.93
79,2020-10-05,27.97
80,2020-10-06,30.22
81,2020-10-07,29.93
82,2020-10-08,28.89
83,2020-10-09,28.38
84,2020-10-12,28.4
85,2020-10-13,27.7
86,2020-10-14,28.19
87,2020-10-15,24.66
88,2020-10-16,25.67
89,2020-10-19,25.07
90,2020-10-20,24.83
91,2020-10-21,22.37
92,2020-10-22,22.44
93,2020-10-23,21.82
94,2020-10-26,23.14
95,2020-10-27,21.92
96,2020-10-28,22.79
97,2020-10-29,24.24
98,2020-10-30,24.17
99,2020-11-02,26.49
100,2020-11-03,25.71
101,2020-11-04,25.25
102,2020-11-05,25.76
103,2020-11-06,26.44
104,2020-11-09,27.13
105,2020-11-10,27.9
106,2020-11-11,28.7
107,2020-11-12,29.78
108,2020-11-13,31.0
109,2020-11-16,32.54
110,2020-11-17,32.75
111,2020-11-18,36.73
112,2020-11-19,33.33
113,2020-11-20,31.61
114,2020-11-23,34.58
115,2020-11-24,35.18
116,2020-11-25,38.38
117,2020-11-27,39.81
118,2020-11-30,43.28
119,2020-12-01,48.98
120,2020-12-02,47.93
121,2020-12-03,52.47
122,2020-12-04,50.0
123,2020-12-07,47.61
124,2020-12-08,48.23
125,2020-12-09,42.26
126,2020-12-10,38.5
127,2020-12-11,37.2
128,2020-12-14,36.73
129,2020-12-15,35.84
130,2020-12-16,35.1
131,2020-12-17,32.3
132,2020-12-18,32.6
133,2020-12-21,31.0
134,2020-12-22,32.49
135,2020-12-23,34.0
136,2020-12-24,35.41
137,2020-12-28,34.76
138,2020-12-29,34.3
139,2020-12-30,32.95
140,2020-12-31,30.86
141,2021-01-04,28.75
142,2021-01-05,29.02
143,2021-01-06,25.0191
144,2021-01-07,26.39
145,2021-01-08,26.5
146,2021-01-11,27.61
147,2021-01-12,27.25
148,2021-01-13,28.61
149,2021-01-14,30.0
150,2021-01-15,34.99
151,2021-01-19,32.17
152,2021-01-20,33.4
153,2021-01-21,32.3
154,2021-01-22,30.37
155,2021-01-25,30.2
156,2021-01-26,31.98
157,2021-01-27,27.97
158,2021-01-28,26.59
159,2021-01-29,26.21
160,2021-02-01,26.59
161,2021-02-02,28.55
162,2021-02-03,30.1
163,2021-02-04,31.25
164,2021-02-05,31.08
165,2021-02-08,33.93
166,2021-02-09,33.95
167,2021-02-10,33.36
168,2021-02-11,35.79
169,2021-02-12,35.25
170,2021-02-16,33.54
171,2021-02-17,32.22
172,2021-02-18,32.82
173,2021-02-19,33.57
174,2021-02-22,35.55
175,2021-02-23,36.0
176,2021-02-24,35.75
177,2021-02-25,37.08
178,2021-02-26,34.07
179,2021-03-01,35.82
180,2021-03-02,39.83
181,2021-03-03,38.31
182,2021-03-04,39.93
183,2021-03-05,35.58
184,2021-03-08,32.55
185,2021-03-09,32.52
186,2021-03-10,35.71
187,2021-03-11,35.94
188,2021-03-12,35.07
189,2021-03-15,34.78
190,2021-03-16,35.21
191,2021-03-17,33.36
192,2021-03-18,34.02
193,2021-03-19,34.76
194,2021-03-22,34.59
195,2021-03-23,34.93
196,2021-03-24,32.83
197,2021-03-25,29.21
198,2021-03-26,30.2
199,2021-03-29,28.59
200,2021-03-30,26.85
201,2021-03-31,26.9
202,2021-04-01,29.28
203,2021-04-05,29.92
204,2021-04-06,30.73
205,2021-04-07,28.4
206,2021-04-08,28.59
207,2021-04-09,28.945
208,2021-04-12,27.09
209,2021-04-13,26.0
210,2021-04-14,25.58
211,2021-04-15,26.76
212,2021-04-16,27.99
213,2021-04-19,27.89
214,2021-04-20,28.84
215,2021-04-21,30.05
216,2021-04-22,31.84
217,2021-04-23,34.44
218,2021-04-26,35.34
219,2021-04-27,37.69
220,2021-04-28,36.89
221,2021-04-29,38.86
222,2021-04-30,37.11
223,2021-05-03,36.72
224,2021-05-04,35.59
225,2021-05-05,32.93
226,2021-05-06,33.35
227,2021-05-07,32.23
228,2021-05-10,32.19
229,2021-05-11,29.73
230,2021-05-12,30.42
231,2021-05-13,31.36
232,2021-05-14,31.31
233,2021-05-17,31.25
234,2021-05-18,30.83
235,2021-05-19,30.15
236,2021-05-20,30.81
237,2021-05-21,31.62
238,2021-05-24,30.27
239,2021-05-25,30.46
240,2021-05-26,30.36
241,2021-05-27,32.96
242,2021-05-28,34.87
243,2021-06-01,34.3
244,2021-06-02,31.55
245,2021-06-03,30.07
246,2021-06-04,28.57
247,2021-06-07,26.81
248,2021-06-08,28.87
249,2021-06-09,27.7
250,2021-06-10,27.2
251,2021-06-11,27.55
252,2021-06-14,27.27
253,2021-06-15,27.97
254,2021-06-16,26.5
255,2021-06-17,26.6
256,2021-06-18,25.2
257,2021-06-21,24.66
258,2021-06-22,24.77
259,2021-06-23,25.11
260,2021-06-24,25.73
261,2021-06-25,26.11
262,2021-06-28,27.23
263,2021-06-29,26.74
264,2021-06-30,26.41
265,2021-07-01,26.9
266,2021-07-02,27.39
267,2021-07-06,26.87
268,2021-07-07,25.71
269,2021-07-08,24.2
270,2021-07-09,25.8
271,2021-07-12,25.84
272,2021-07-13,23.55
