,date,open
0,2015-08-12,34.65
1,2015-08-13,41.02
2,2015-08-14,39.45
3,2015-08-17,46.25
4,2015-08-18,52.95
5,2015-08-19,45.55
6,2015-08-20,43.56
7,2015-08-21,44.1
8,2015-08-24,42.81
9,2015-08-25,45.5
10,2015-08-26,44.32
11,2015-08-27,41.68
12,2015-08-28,41.78
13,2015-08-31,45.68
14,2015-09-01,47.51
15,2015-09-02,49.05
16,2015-09-03,51.75
17,2015-09-04,51.7
18,2015-09-08,54.0
19,2015-09-09,52.57
20,2015-09-10,52.49
21,2015-09-11,53.06
22,2015-09-14,53.06
23,2015-09-15,52.63
24,2015-09-16,52.89
25,2015-09-17,52.01
26,2015-09-18,51.22
27,2015-09-21,53.95
28,2015-09-22,47.07
29,2015-09-23,46.34
30,2015-09-24,46.17
31,2015-09-25,46.555
32,2015-09-28,44.86
33,2015-09-29,38.06
34,2015-09-30,40.29
35,2015-10-01,42.5
36,2015-10-02,42.89
37,2015-10-05,47.5
38,2015-10-06,48.91
39,2015-10-07,48.31
40,2015-10-08,48.67
41,2015-10-09,48.0
42,2015-10-12,48.51
43,2015-10-13,47.45
44,2015-10-14,46.93
45,2015-10-15,47.22
46,2015-10-16,47.39
47,2015-10-19,46.4
48,2015-10-20,49.52
49,2015-10-21,48.81
50,2015-10-22,45.0
51,2015-10-23,45.68
52,2015-10-26,45.71
53,2015-10-27,46.57
54,2015-10-28,46.24
55,2015-10-29,46.98
56,2015-10-30,45.91
57,2015-11-02,47.22
58,2015-11-03,47.33
59,2015-11-04,49.75
60,2015-11-05,50.06
61,2015-11-06,47.34
62,2015-11-09,44.75
63,2015-11-10,44.26
64,2015-11-11,44.2
65,2015-11-12,43.51
66,2015-11-13,41.63
67,2015-11-16,45.49
68,2015-11-17,43.6
69,2015-11-18,47.05
70,2015-11-19,54.43
71,2015-11-20,50.08
72,2015-11-23,51.44
73,2015-11-24,49.54
74,2015-11-25,48.97
75,2015-11-27,49.8
76,2015-11-30,49.66
77,2015-12-01,46.96
78,2015-12-02,47.04
79,2015-12-03,50.7
80,2015-12-04,51.18
81,2015-12-07,38.82
82,2015-12-08,33.94
83,2015-12-09,33.55
84,2015-12-10,33.76
85,2015-12-11,33.74
86,2015-12-14,33.23
87,2015-12-15,32.33
88,2015-12-16,33.25
89,2015-12-17,34.19
90,2015-12-18,33.59
91,2015-12-21,30.85
92,2015-12-22,30.61
93,2015-12-23,31.03
94,2015-12-24,33.11
95,2015-12-28,33.43
96,2015-12-29,33.05
97,2015-12-30,32.41
98,2015-12-31,31.2
99,2016-01-04,31.78
100,2016-01-05,29.26
101,2016-01-06,25.05
102,2016-01-07,23.69
103,2016-01-08,22.87
104,2016-01-11,23.89
105,2016-01-12,23.44
106,2016-01-13,23.63
107,2016-01-14,21.1
108,2016-01-15,21.66
109,2016-01-19,21.74
110,2016-01-20,19.85
111,2016-01-21,20.26
112,2016-01-22,19.78
113,2016-01-25,19.48
114,2016-01-26,19.62
115,2016-01-27,20.94
116,2016-01-28,19.88
117,2016-01-29,19.25
118,2016-02-01,18.63
119,2016-02-02,18.85
120,2016-02-03,19.02
121,2016-02-04,19.37
122,2016-02-05,19.32
123,2016-02-08,17.32
124,2016-02-09,14.7
125,2016-02-10,13.14
126,2016-02-11,13.39
127,2016-02-12,14.52
128,2016-02-16,15.14
129,2016-02-17,16.39
130,2016-02-18,17.56
131,2016-02-19,17.06
132,2016-02-22,16.81
133,2016-02-23,16.05
134,2016-02-24,15.3
135,2016-02-25,15.1
136,2016-02-26,15.03
137,2016-02-29,14.88
138,2016-03-01,15.08
139,2016-03-02,14.76
140,2016-03-03,15.62
141,2016-03-04,16.06
142,2016-03-07,16.41
143,2016-03-08,17.5
144,2016-03-09,16.19
145,2016-03-10,15.74
146,2016-03-11,15.29
147,2016-03-14,15.91
148,2016-03-15,16.51
149,2016-03-16,15.69
150,2016-03-17,15.98
151,2016-03-18,15.39
152,2016-03-21,15.58
