,date,open
0,2015-05-14,46.3
1,2015-05-15,49.75
2,2015-05-18,49.47
3,2015-05-19,50.0
4,2015-05-20,48.71
5,2015-05-21,49.21
6,2015-05-22,49.04
7,2015-05-26,48.19
8,2015-05-27,50.67
9,2015-05-28,52.59
10,2015-05-29,57.78
11,2015-06-01,57.2
12,2015-06-02,57.47
13,2015-06-03,56.57
14,2015-06-04,56.03
15,2015-06-05,52.0
16,2015-06-08,55.51
17,2015-06-09,55.64
18,2015-06-10,54.96
19,2015-06-11,54.5
20,2015-06-12,54.35
21,2015-06-15,50.72
22,2015-06-16,53.53
23,2015-06-17,52.06
24,2015-06-18,51.82
25,2015-06-19,53.85
26,2015-06-22,55.49
27,2015-06-23,56.1
28,2015-06-24,54.27
29,2015-06-25,54.81
30,2015-06-26,53.82
31,2015-06-29,52.1
32,2015-06-30,51.81
33,2015-07-01,53.47
34,2015-07-02,52.14
35,2015-07-06,50.51
36,2015-07-07,52.62
37,2015-07-08,51.83
38,2015-07-09,51.97
39,2015-07-10,52.76
40,2015-07-13,53.25
41,2015-07-14,55.87
42,2015-07-15,57.06
43,2015-07-16,55.61
44,2015-07-17,55.75
45,2015-07-20,54.99
46,2015-07-21,55.59
47,2015-07-22,56.53
48,2015-07-23,56.0
49,2015-07-24,56.23
50,2015-07-27,55.46
51,2015-07-28,54.875
52,2015-07-29,56.56
53,2015-07-30,57.13
54,2015-07-31,59.83
55,2015-08-03,61.53
56,2015-08-04,63.525
57,2015-08-05,62.35
58,2015-08-06,62.7
59,2015-08-07,58.55
60,2015-08-10,60.5
61,2015-08-11,60.15
62,2015-08-12,58.8
63,2015-08-13,60.0
64,2015-08-14,60.54
65,2015-08-17,59.96
66,2015-08-18,65.34
67,2015-08-19,64.0
68,2015-08-20,64.22
69,2015-08-21,61.44
70,2015-08-24,55.5
71,2015-08-25,63.19
72,2015-08-26,62.48
73,2015-08-27,60.9
74,2015-08-28,60.32
75,2015-08-31,60.04
76,2015-09-01,58.65
77,2015-09-02,57.37
78,2015-09-03,59.74
79,2015-09-04,57.79
80,2015-09-08,59.58
81,2015-09-09,59.34
82,2015-09-10,58.87
83,2015-09-11,59.1
84,2015-09-14,57.6
85,2015-09-15,57.43
86,2015-09-16,59.02
87,2015-09-17,57.79
88,2015-09-18,58.29
89,2015-09-21,63.75
90,2015-09-22,63.99
91,2015-09-23,63.63
92,2015-09-24,61.55
93,2015-09-25,45.65
94,2015-09-28,46.38
95,2015-09-29,43.65
96,2015-09-30,39.65
97,2015-10-01,43.02
98,2015-10-02,40.26
99,2015-10-05,42.38
100,2015-10-06,45.06
101,2015-10-07,46.2
102,2015-10-08,43.54
103,2015-10-09,43.58
104,2015-10-12,44.09
105,2015-10-13,44.73
106,2015-10-14,45.15
107,2015-10-15,47.11
108,2015-10-16,48.6
109,2015-10-19,49.59
110,2015-10-20,52.28
111,2015-10-21,50.66
112,2015-10-22,48.29
113,2015-10-23,47.57
114,2015-10-26,48.55
115,2015-10-27,47.79
116,2015-10-28,48.5
117,2015-10-29,47.73
118,2015-10-30,48.0
119,2015-11-02,47.87
120,2015-11-03,48.1
121,2015-11-04,48.58
122,2015-11-05,50.56
123,2015-11-06,51.14
124,2015-11-09,49.66
125,2015-11-10,49.55
126,2015-11-11,51.12
127,2015-11-12,51.85
128,2015-11-13,48.7
129,2015-11-16,51.62
130,2015-11-17,53.16
131,2015-11-18,52.0
132,2015-11-19,51.96
133,2015-11-20,49.59
134,2015-11-23,49.0
135,2015-11-24,47.59
136,2015-11-25,47.74
137,2015-11-27,49.19
138,2015-11-30,49.69
139,2015-12-01,50.05
140,2015-12-02,49.51
141,2015-12-03,50.02
142,2015-12-04,48.13
143,2015-12-07,48.52
144,2015-12-08,55.37
145,2015-12-09,57.03
146,2015-12-10,58.11
147,2015-12-11,58.83
148,2015-12-14,57.3
149,2015-12-15,57.14
150,2015-12-16,57.02
151,2015-12-17,62.26
152,2015-12-18,56.65
153,2015-12-21,58.18
154,2015-12-22,59.99
155,2015-12-23,60.65
156,2015-12-24,60.97
157,2015-12-28,61.4
158,2015-12-29,63.0
159,2015-12-30,63.42
160,2015-12-31,62.68
161,2016-01-04,61.52
162,2016-01-05,60.55
163,2016-01-06,58.76
164,2016-01-07,56.88
165,2016-01-08,58.34
166,2016-01-11,56.35
167,2016-01-12,55.64
168,2016-01-13,54.91
169,2016-01-14,53.65
170,2016-01-15,51.34
171,2016-01-19,53.27
172,2016-01-20,51.81
173,2016-01-21,52.29
174,2016-01-22,53.36
175,2016-01-25,52.35
176,2016-01-26,50.79
177,2016-01-27,52.44
178,2016-01-28,53.0
179,2016-01-29,49.69
180,2016-02-01,50.8
181,2016-02-02,49.92
182,2016-02-03,47.14
183,2016-02-04,45.87
184,2016-02-05,46.69
185,2016-02-08,41.45
186,2016-02-09,38.23
187,2016-02-10,39.43
188,2016-02-11,37.6
189,2016-02-12,38.38
190,2016-02-16,41.41
191,2016-02-17,44.14
192,2016-02-18,45.2
193,2016-02-19,43.79
194,2016-02-22,44.09
195,2016-02-23,43.21
196,2016-02-24,39.83
197,2016-02-25,41.33
198,2016-02-26,42.22
199,2016-02-29,41.84
200,2016-03-01,42.86
201,2016-03-02,43.37
202,2016-03-03,43.55
203,2016-03-04,44.31
204,2016-03-07,43.91
205,2016-03-08,44.06
206,2016-03-09,43.9878
207,2016-03-10,44.08
208,2016-03-11,44.78
209,2016-03-14,44.89
210,2016-03-15,44.12
211,2016-03-16,42.79
212,2016-03-17,41.99
213,2016-03-18,42.11
214,2016-03-21,42.01
215,2016-03-22,42.19
216,2016-03-23,42.54
217,2016-03-24,41.19
218,2016-03-28,41.46
219,2016-03-29,41.24
220,2016-03-30,42.49
221,2016-03-31,42.14
222,2016-04-01,41.6
223,2016-04-04,42.83
224,2016-04-05,42.232
225,2016-04-06,43.17
226,2016-04-07,44.71
227,2016-04-08,44.74
228,2016-04-11,44.56
229,2016-04-12,43.54
230,2016-04-13,43.1
231,2016-04-14,43.51
232,2016-04-15,43.76
233,2016-04-18,44.28
234,2016-04-19,44.75
235,2016-04-20,43.93
236,2016-04-21,43.21
237,2016-04-22,44.51
238,2016-04-25,45.47
239,2016-04-26,45.87
240,2016-04-27,45.06
241,2016-04-28,44.75
242,2016-04-29,45.46
243,2016-05-02,48.65
244,2016-05-03,49.68
245,2016-05-04,48.16
246,2016-05-05,46.02
247,2016-05-06,45.81
248,2016-05-09,46.89
249,2016-05-10,48.59
250,2016-05-11,48.98
251,2016-05-12,50.11
252,2016-05-13,50.19
253,2016-05-16,50.15
254,2016-05-17,51.09
255,2016-05-18,51.16
256,2016-05-19,51.05
257,2016-05-20,53.46
258,2016-05-23,57.65
259,2016-05-24,56.23
260,2016-05-25,58.94
261,2016-05-26,58.18
262,2016-05-27,57.75
263,2016-05-31,57.55
264,2016-06-01,57.1
265,2016-06-02,56.61
266,2016-06-03,59.27
267,2016-06-06,58.5
268,2016-06-07,57.87
269,2016-06-08,57.39
270,2016-06-09,57.24
271,2016-06-10,55.66
272,2016-06-13,53.1
273,2016-06-14,52.84
274,2016-06-15,54.19
275,2016-06-16,51.03
276,2016-06-17,51.45
277,2016-06-20,52.68
278,2016-06-21,53.17
279,2016-06-22,51.72
280,2016-06-23,53.31
281,2016-06-24,50.31
282,2016-06-27,49.86
283,2016-06-28,50.91
284,2016-06-29,54.18
