,date,open
0,2019-07-19,18.28
1,2019-07-22,18.2
2,2019-07-23,18.12
3,2019-07-24,18.5
4,2019-07-25,18.54
5,2019-07-26,18.51
6,2019-07-29,18.7
7,2019-07-30,18.61
8,2019-07-31,18.49
9,2019-08-01,18.43
10,2019-08-02,18.44
11,2019-08-05,18.4
12,2019-08-06,18.43
13,2019-08-07,18.3
14,2019-08-08,18.79
15,2019-08-09,19.0
16,2019-08-12,19.26
17,2019-08-13,19.65
18,2019-08-14,19.55
19,2019-08-15,19.95
20,2019-08-16,19.94
21,2019-08-19,20.23
22,2019-08-20,20.37
23,2019-08-21,20.37
24,2019-08-22,20.51
25,2019-08-23,20.25
26,2019-08-26,20.38
27,2019-08-27,20.31
28,2019-08-28,20.22
29,2019-08-29,20.15
30,2019-08-30,20.56
31,2019-09-03,20.74
32,2019-09-04,21.21
33,2019-09-05,21.2
34,2019-09-06,20.78
35,2019-09-09,20.63
36,2019-09-10,19.47
37,2019-09-11,19.78
38,2019-09-12,20.27
39,2019-09-13,20.13
40,2019-09-16,20.32
41,2019-09-17,20.15
42,2019-09-18,20.43
43,2019-09-19,20.32
44,2019-09-20,20.39
45,2019-09-23,20.67
46,2019-09-24,20.74
47,2019-09-25,20.67
48,2019-09-26,20.72
49,2019-09-27,20.44
50,2019-09-30,20.37
51,2019-10-01,20.25
52,2019-10-02,19.38
53,2019-10-03,19.32
54,2019-10-04,19.55
55,2019-10-07,19.61
56,2019-10-08,19.74
57,2019-10-09,19.81
58,2019-10-10,19.4
59,2019-10-11,19.67
60,2019-10-14,19.82
61,2019-10-15,20.31
62,2019-10-16,20.43
63,2019-10-17,20.94
64,2019-10-18,21.08
65,2019-10-21,20.75
66,2019-10-22,21.03
67,2019-10-23,20.78
68,2019-10-24,21.01
69,2019-10-25,21.03
70,2019-10-28,21.04
71,2019-10-29,21.22
72,2019-10-30,21.52
73,2019-10-31,21.49
74,2019-11-01,21.81
75,2019-11-04,22.18
76,2019-11-05,21.63
77,2019-11-06,21.79
78,2019-11-07,22.13
79,2019-11-08,21.9
80,2019-11-11,22.05
81,2019-11-12,21.88
82,2019-11-13,22.29
83,2019-11-14,21.99
84,2019-11-15,22.08
85,2019-11-18,22.52
86,2019-11-19,22.43
87,2019-11-20,22.42
88,2019-11-21,22.47
89,2019-11-22,22.66
90,2019-11-25,23.06
91,2019-11-26,23.48
92,2019-11-27,23.4
93,2019-11-29,23.39
94,2019-12-02,23.62
95,2019-12-03,23.67
96,2019-12-04,24.23
97,2019-12-05,24.14
98,2019-12-06,24.04
99,2019-12-09,23.37
100,2019-12-10,23.46
101,2019-12-11,23.05
102,2019-12-12,22.56
103,2019-12-13,21.87
104,2019-12-16,22.33
105,2019-12-17,22.24
106,2019-12-18,21.83
107,2019-12-19,21.8
108,2019-12-20,21.79
109,2019-12-23,21.78
110,2019-12-24,22.33
111,2019-12-26,22.58
112,2019-12-27,22.33
113,2019-12-30,22.33
114,2019-12-31,22.1
115,2020-01-02,22.49
116,2020-01-03,21.59
117,2020-01-06,21.41
118,2020-01-07,21.89
119,2020-01-08,21.83
120,2020-01-09,22.25
121,2020-01-10,22.51
122,2020-01-13,22.55
123,2020-01-14,22.31
124,2020-01-15,22.65
125,2020-01-16,22.62
126,2020-01-17,22.62
127,2020-01-21,22.52
128,2020-01-22,22.95
129,2020-01-23,22.87
130,2020-01-24,22.74
131,2020-01-27,22.3
132,2020-01-28,22.35
133,2020-01-29,22.81
134,2020-01-30,23.14
135,2020-01-31,23.15
136,2020-02-03,23.25
137,2020-02-04,23.61
138,2020-02-05,23.98
139,2020-02-06,23.93
140,2020-02-07,24.09
141,2020-02-10,24.0
142,2020-02-11,24.23
143,2020-02-12,24.0
144,2020-02-13,23.62
145,2020-02-14,23.73
146,2020-02-18,24.09
147,2020-02-19,23.71
148,2020-02-20,24.7
149,2020-02-21,24.67
150,2020-02-24,24.54
151,2020-02-25,24.38
152,2020-02-26,23.97
153,2020-02-27,23.54
154,2020-02-28,22.47
155,2020-03-02,23.15
156,2020-03-03,23.65
157,2020-03-04,23.61
158,2020-03-05,23.69
159,2020-03-06,23.3
160,2020-03-09,21.98
161,2020-03-10,22.41
162,2020-03-11,21.11
163,2020-03-12,18.48
164,2020-03-13,19.93
165,2020-03-16,16.36
166,2020-03-17,17.01
167,2020-03-18,16.91
168,2020-03-19,17.52
169,2020-03-20,19.13
170,2020-03-23,18.98
171,2020-03-24,19.25
172,2020-03-25,20.06
173,2020-03-26,19.58
174,2020-03-27,19.95
175,2020-03-30,20.0
176,2020-03-31,20.32
177,2020-04-01,20.23
178,2020-04-02,19.85
179,2020-04-03,19.97
180,2020-04-06,20.99
181,2020-04-07,21.59
182,2020-04-08,21.42
183,2020-04-09,22.1
184,2020-04-13,22.31
185,2020-04-14,21.68
186,2020-04-15,21.77
187,2020-04-16,21.84
188,2020-04-17,22.63
189,2020-04-20,22.73
190,2020-04-21,22.96
191,2020-04-22,23.22
192,2020-04-23,23.53
193,2020-04-24,23.9
194,2020-04-27,24.15
195,2020-04-28,24.6
196,2020-04-29,23.94
197,2020-04-30,24.04
198,2020-05-01,24.31
199,2020-05-04,24.2
200,2020-05-05,24.74
201,2020-05-06,24.9
202,2020-05-07,26.27
203,2020-05-08,27.51
204,2020-05-11,27.39
205,2020-05-12,28.65
206,2020-05-13,28.2
207,2020-05-14,27.93
208,2020-05-15,28.35
209,2020-05-18,29.14
210,2020-05-19,28.95
211,2020-05-20,29.66
212,2020-05-21,28.56
213,2020-05-22,29.16
214,2020-05-26,31.0
215,2020-05-27,29.44
216,2020-05-28,30.52
217,2020-05-29,30.93
218,2020-06-01,30.82
219,2020-06-02,30.02
220,2020-06-03,29.21
221,2020-06-04,28.8
222,2020-06-05,29.34
223,2020-06-08,28.25
224,2020-06-09,28.45
225,2020-06-10,30.16
226,2020-06-11,29.89
227,2020-06-12,30.22
228,2020-06-15,30.27
229,2020-06-16,31.09
230,2020-06-17,31.16
231,2020-06-18,31.11
232,2020-06-19,31.53
233,2020-06-22,32.3
234,2020-06-23,33.14
235,2020-06-24,33.29
236,2020-06-25,32.92
237,2020-06-26,32.76
238,2020-06-29,32.66
239,2020-06-30,33.22
240,2020-07-01,33.16
241,2020-07-02,33.52
242,2020-07-06,34.03
243,2020-07-07,34.14
244,2020-07-08,34.68
245,2020-07-09,35.52
246,2020-07-10,35.42
247,2020-07-13,35.21
248,2020-07-14,34.92
249,2020-07-15,35.73
250,2020-07-16,35.25
251,2020-07-17,35.11
252,2020-07-20,35.95
253,2020-07-21,36.28
254,2020-07-22,36.43
255,2020-07-23,36.09
256,2020-07-24,34.99
257,2020-07-27,35.48
258,2020-07-28,35.47
259,2020-07-29,34.97
260,2020-07-30,34.28
261,2020-07-31,34.74
262,2020-08-03,35.06
263,2020-08-04,35.21
264,2020-08-05,36.34
265,2020-08-06,36.41
266,2020-08-07,36.26
267,2020-08-10,36.35
268,2020-08-11,36.73
269,2020-08-12,35.71
270,2020-08-13,37.14
271,2020-08-14,36.91
272,2020-08-17,36.79
273,2020-08-18,37.0
274,2020-08-19,37.22
275,2020-08-20,37.2
276,2020-08-21,37.62
277,2020-08-24,38.04
278,2020-08-25,36.55
279,2020-08-26,37.48
280,2020-08-27,37.46
281,2020-08-28,37.29
282,2020-08-31,37.17
283,2020-09-01,38.54
284,2020-09-02,37.3
285,2020-09-03,36.79
286,2020-09-04,35.14
287,2020-09-08,34.265
288,2020-09-09,35.6
289,2020-09-10,35.77
290,2020-09-11,35.46
291,2020-09-14,35.9
292,2020-09-15,37.04
293,2020-09-16,37.48
294,2020-09-17,37.16
295,2020-09-18,38.6
296,2020-09-21,38.13
297,2020-09-22,38.39
298,2020-09-23,34.45
299,2020-09-24,35.54
300,2020-09-25,35.23
301,2020-09-28,36.68
302,2020-09-29,37.17
303,2020-09-30,36.37
304,2020-10-01,36.93
305,2020-10-02,36.97
306,2020-10-05,37.37
307,2020-10-06,37.77
308,2020-10-07,37.05
309,2020-10-08,37.05
310,2020-10-09,37.35
311,2020-10-12,38.02
312,2020-10-13,37.96
313,2020-10-14,38.28
314,2020-10-15,36.85
315,2020-10-16,36.99
316,2020-10-19,37.03
317,2020-10-20,35.94
318,2020-10-21,35.87
319,2020-10-22,35.36
320,2020-10-23,35.18
321,2020-10-26,34.84
322,2020-10-27,35.16
323,2020-10-28,34.07
324,2020-10-29,34.2
325,2020-10-30,34.2
326,2020-11-02,33.8087
327,2020-11-03,34.16
328,2020-11-04,35.35
329,2020-11-05,39.61
330,2020-11-06,39.36
331,2020-11-09,37.31
332,2020-11-10,37.16
333,2020-11-11,36.35
334,2020-11-12,36.47
335,2020-11-13,36.58
336,2020-11-16,35.83
337,2020-11-17,35.45
338,2020-11-18,35.75
339,2020-11-19,35.89
340,2020-11-20,36.31
341,2020-11-23,36.64
342,2020-11-24,35.58
343,2020-11-25,35.75
344,2020-11-27,36.75
345,2020-11-30,38.25
346,2020-12-01,38.03
347,2020-12-02,38.34
348,2020-12-03,38.4
349,2020-12-04,37.98
350,2020-12-07,38.5
351,2020-12-08,38.63
352,2020-12-09,38.76
353,2020-12-10,38.34
354,2020-12-11,38.64
355,2020-12-14,38.59
356,2020-12-15,39.07
357,2020-12-16,39.61
358,2020-12-17,39.92
359,2020-12-18,39.99
360,2020-12-21,39.71
361,2020-12-22,39.76
362,2020-12-23,39.28
363,2020-12-24,39.32
364,2020-12-28,39.37
365,2020-12-29,40.02
366,2020-12-30,40.34
367,2020-12-31,41.49
368,2021-01-04,40.73
369,2021-01-05,42.23
370,2021-01-06,40.725
371,2021-01-07,40.83
372,2021-01-08,41.58
373,2021-01-11,41.72
374,2021-01-12,41.22
375,2021-01-13,41.74
376,2021-01-14,43.1
377,2021-01-15,43.32
378,2021-01-19,44.19
379,2021-01-20,43.94
380,2021-01-21,43.41
381,2021-01-22,43.23
382,2021-01-25,43.03
383,2021-01-26,42.97
384,2021-01-27,40.62
385,2021-01-28,40.96
386,2021-01-29,39.93
387,2021-02-01,40.89
388,2021-02-02,40.51
389,2021-02-03,40.55
390,2021-02-04,39.66
391,2021-02-05,40.45
392,2021-02-08,40.26
393,2021-02-09,40.75
394,2021-02-10,40.82
395,2021-02-11,40.92
396,2021-02-12,40.81
397,2021-02-16,41.9
398,2021-02-17,40.6
399,2021-02-18,40.74
400,2021-02-19,40.6
401,2021-02-22,38.95
402,2021-02-23,37.33
403,2021-02-24,35.69
404,2021-02-25,34.69
405,2021-02-26,34.73
406,2021-03-01,35.21
407,2021-03-02,34.44
408,2021-03-03,32.95
409,2021-03-04,31.76
410,2021-03-05,31.44
411,2021-03-08,31.37
412,2021-03-09,31.59
413,2021-03-10,32.33
414,2021-03-11,32.93
415,2021-03-12,32.7
416,2021-03-15,33.47
417,2021-03-16,34.02
418,2021-03-17,33.09
419,2021-03-18,33.0
420,2021-03-19,32.75
421,2021-03-22,32.97
422,2021-03-23,33.27
423,2021-03-24,32.49
424,2021-03-25,31.9
425,2021-03-26,32.4
426,2021-03-29,32.13
427,2021-03-30,31.95
428,2021-03-31,32.65
429,2021-04-01,32.85
430,2021-04-05,33.05
431,2021-04-06,33.13
432,2021-04-07,32.93
433,2021-04-08,33.74
434,2021-04-09,34.09
435,2021-04-12,33.91
436,2021-04-13,34.33
437,2021-04-14,35.1
438,2021-04-15,34.68
439,2021-04-16,35.22
440,2021-04-19,35.6
441,2021-04-20,35.9
442,2021-04-21,36.08
443,2021-04-22,36.99
444,2021-04-23,36.68
445,2021-04-26,36.88
446,2021-04-27,36.95
447,2021-04-28,36.74
448,2021-04-29,37.41
449,2021-04-30,37.1
450,2021-05-03,36.74
451,2021-05-04,36.05
452,2021-05-05,35.76
453,2021-05-06,36.91
454,2021-05-07,36.93
455,2021-05-10,37.58
456,2021-05-11,36.06
457,2021-05-12,36.35
458,2021-05-13,36.54
459,2021-05-14,36.95
460,2021-05-17,38.14
461,2021-05-18,38.3
462,2021-05-19,37.79
463,2021-05-20,38.22
464,2021-05-21,39.2
465,2021-05-24,39.67
466,2021-05-25,40.24
467,2021-05-26,40.09
468,2021-05-27,39.61
469,2021-05-28,40.36
470,2021-06-01,40.54
471,2021-06-02,40.21
472,2021-06-03,40.02
473,2021-06-04,40.32
474,2021-06-07,40.84
475,2021-06-08,42.0
476,2021-06-09,42.45
477,2021-06-10,42.64
478,2021-06-11,43.23
479,2021-06-14,43.96
480,2021-06-15,44.24
481,2021-06-16,43.96
482,2021-06-17,43.15
483,2021-06-18,43.68
484,2021-06-21,43.05
485,2021-06-22,43.07
486,2021-06-23,42.47
487,2021-06-24,42.04
488,2021-06-25,42.08
489,2021-06-28,41.97
490,2021-06-29,41.73
491,2021-06-30,41.21
492,2021-07-01,40.7317
493,2021-07-02,41.32
494,2021-07-06,41.97
495,2021-07-07,42.67
496,2021-07-08,42.56
497,2021-07-09,42.6
498,2021-07-12,44.39
499,2021-07-13,43.38
500,2021-07-14,43.53
501,2021-07-15,43.59
502,2021-07-16,43.37
503,2021-07-19,43.06
504,2021-07-20,43.1
505,2021-07-21,43.94
506,2021-07-22,44.53
507,2021-07-23,44.91
508,2021-07-26,44.56
509,2021-07-27,44.11
510,2021-07-28,43.89
511,2021-07-29,44.67
512,2021-07-30,45.35
513,2021-08-02,45.3
514,2021-08-03,46.3
515,2021-08-04,46.58
516,2021-08-05,47.14
517,2021-08-06,45.47
518,2021-08-09,45.57
519,2021-08-10,45.48
520,2021-08-11,45.27
521,2021-08-12,46.1
522,2021-08-13,46.34
523,2021-08-16,46.45
524,2021-08-17,46.13
525,2021-08-18,47.04
526,2021-08-19,46.15
527,2021-08-20,47.62
528,2021-08-23,47.72
529,2021-08-24,47.4
530,2021-08-25,46.69
531,2021-08-26,47.35
532,2021-08-27,47.28
533,2021-08-30,47.47
534,2021-08-31,48.15
535,2021-09-01,47.36
536,2021-09-02,49.0
537,2021-09-03,48.55
538,2021-09-07,47.82
539,2021-09-08,45.82
540,2021-09-09,45.2
541,2021-09-10,44.47
542,2021-09-13,44.8
543,2021-09-14,44.13
544,2021-09-15,43.27
545,2021-09-16,42.29
546,2021-09-17,42.61
547,2021-09-20,42.8
548,2021-09-21,44.2863
549,2021-09-22,44.27
550,2021-09-23,44.9
551,2021-09-24,43.96
552,2021-09-27,43.21
553,2021-09-28,42.39
554,2021-09-29,42.8
555,2021-09-30,43.11
556,2021-10-01,43.26
557,2021-10-04,43.15
558,2021-10-05,43.06
559,2021-10-06,42.49
560,2021-10-07,42.98
561,2021-10-08,43.44
562,2021-10-11,42.2
563,2021-10-12,42.35
564,2021-10-13,43.08
565,2021-10-14,43.57
566,2021-10-15,43.96
567,2021-10-18,44.23
568,2021-10-19,45.06
569,2021-10-20,46.2
570,2021-10-21,46.19
571,2021-10-22,46.5
572,2021-10-25,46.58
573,2021-10-26,45.93
574,2021-10-27,45.74
575,2021-10-28,44.15
576,2021-10-29,44.91
577,2021-11-01,44.63
578,2021-11-02,44.82
579,2021-11-03,46.02
580,2021-11-04,46.91
581,2021-11-05,46.81
582,2021-11-08,46.67
583,2021-11-09,45.99
584,2021-11-10,42.87
585,2021-11-11,43.935
586,2021-11-12,43.44
587,2021-11-15,42.29
588,2021-11-16,40.92
589,2021-11-17,42.41
590,2021-11-18,42.57
591,2021-11-19,41.98
592,2021-11-22,40.285
593,2021-11-23,38.6
594,2021-11-24,38.47
595,2021-11-26,39.83
596,2021-11-29,38.45
597,2021-11-30,38.99
598,2021-12-01,38.73
599,2021-12-02,37.24
600,2021-12-03,37.87
601,2021-12-06,37.04
602,2021-12-07,38.31
603,2021-12-08,40.015
604,2021-12-09,40.22
605,2021-12-10,38.2
606,2021-12-13,38.17
607,2021-12-14,36.63
608,2021-12-15,36.53
609,2021-12-16,37.65
610,2021-12-17,37.22
611,2021-12-20,38.29
612,2021-12-21,39.07
613,2021-12-22,39.41
614,2021-12-23,39.42
615,2021-12-27,39.7
616,2021-12-28,39.67
617,2021-12-29,39.61
618,2021-12-30,39.78
619,2021-12-31,39.92
620,2022-01-03,39.82
621,2022-01-04,39.07
622,2022-01-05,38.67
623,2022-01-06,36.31
624,2022-01-07,36.0
625,2022-01-10,35.83
626,2022-01-11,36.33
627,2022-01-12,36.72
628,2022-01-13,36.01
629,2022-01-14,35.37
630,2022-01-18,34.81
631,2022-01-19,34.77
632,2022-01-20,34.68
633,2022-01-21,34.16
634,2022-01-24,32.72
635,2022-01-25,32.81
636,2022-01-26,33.03
637,2022-01-27,32.04
638,2022-01-28,32.21
639,2022-01-31,33.26
640,2022-02-01,34.475
641,2022-02-02,35.31
642,2022-02-03,34.58
643,2022-02-04,34.31
644,2022-02-07,34.86
645,2022-02-08,34.62
646,2022-02-09,34.27
647,2022-02-10,33.94
648,2022-02-11,34.08
649,2022-02-14,33.35
650,2022-02-15,33.44
651,2022-02-16,34.11
652,2022-02-17,33.64
653,2022-02-18,32.59
654,2022-02-22,31.11
655,2022-02-23,31.48
656,2022-02-24,30.1
657,2022-02-25,32.16
658,2022-02-28,33.21
659,2022-03-01,33.91
660,2022-03-02,33.78
661,2022-03-03,33.16
662,2022-03-04,30.97
663,2022-03-07,31.75
664,2022-03-08,31.71
665,2022-03-09,32.28
666,2022-03-10,32.56
667,2022-03-11,32.66
668,2022-03-14,32.38
669,2022-03-15,33.02
670,2022-03-16,34.47
671,2022-03-17,35.72
672,2022-03-18,35.44
673,2022-03-21,35.72
674,2022-03-22,35.62
675,2022-03-23,35.23
676,2022-03-24,35.0
677,2022-03-25,35.57
678,2022-03-28,35.13
679,2022-03-29,36.23
680,2022-03-30,36.65
681,2022-03-31,36.8
682,2022-04-01,36.2
683,2022-04-04,37.43
684,2022-04-05,38.48
685,2022-04-06,37.62
686,2022-04-07,38.38
687,2022-04-08,37.04
688,2022-04-11,37.2
689,2022-04-12,37.03
690,2022-04-13,37.1
691,2022-04-14,36.78
692,2022-04-18,36.59
693,2022-04-19,37.21
694,2022-04-20,38.21
695,2022-04-21,38.12
696,2022-04-22,37.23
697,2022-04-25,35.84
698,2022-04-26,36.05
699,2022-04-27,35.14
700,2022-04-28,35.22
701,2022-04-29,35.56
702,2022-05-02,34.51
703,2022-05-03,34.33
704,2022-05-04,34.01
705,2022-05-05,34.04
706,2022-05-06,32.01
707,2022-05-09,30.39
708,2022-05-10,29.59
709,2022-05-11,29.28
710,2022-05-12,27.98
711,2022-05-13,28.71
712,2022-05-16,29.18
713,2022-05-17,30.0
714,2022-05-18,29.83
715,2022-05-19,29.99
716,2022-05-20,30.87
717,2022-05-23,31.03
718,2022-05-24,31.11
719,2022-05-25,30.42
720,2022-05-26,29.89
721,2022-05-27,29.98
722,2022-05-31,30.74
723,2022-06-01,30.47
724,2022-06-02,29.91
725,2022-06-03,30.19
726,2022-06-06,30.35
727,2022-06-07,29.76
728,2022-06-08,30.65
729,2022-06-09,30.62
730,2022-06-10,29.28
731,2022-06-13,27.94
732,2022-06-14,27.82
733,2022-06-15,27.35
734,2022-06-16,26.78
735,2022-06-17,26.96
736,2022-06-21,29.44
737,2022-06-22,29.8
738,2022-06-23,30.22
739,2022-06-24,32.19
740,2022-06-27,32.29
741,2022-06-28,31.78
742,2022-06-29,31.07
743,2022-06-30,32.12
744,2022-07-01,32.24
745,2022-07-05,32.89
746,2022-07-06,33.04
747,2022-07-07,33.13
748,2022-07-08,33.54
749,2022-07-11,33.85
750,2022-07-12,33.56
751,2022-07-13,32.86
752,2022-07-14,33.59
753,2022-07-15,34.22
754,2022-07-18,34.59
755,2022-07-19,35.28
756,2022-07-20,35.17
757,2022-07-21,35.27
758,2022-07-22,35.84
759,2022-07-25,35.4
760,2022-07-26,35.47
761,2022-07-27,35.52
762,2022-07-28,35.97
763,2022-07-29,35.67
764,2022-08-01,34.97
765,2022-08-02,34.73
766,2022-08-03,34.83
767,2022-08-04,35.77
768,2022-08-05,35.11
769,2022-08-08,35.12
770,2022-08-09,35.49
771,2022-08-10,35.95
772,2022-08-11,37.25
773,2022-08-12,36.88
774,2022-08-15,36.84
775,2022-08-16,36.57
776,2022-08-17,36.46
777,2022-08-18,35.84
778,2022-08-19,35.95
779,2022-08-22,35.54
780,2022-08-23,34.8
781,2022-08-24,35.78
782,2022-08-25,36.8
783,2022-08-26,36.74
784,2022-08-29,34.77
785,2022-08-30,35.53
786,2022-08-31,35.54
787,2022-09-01,34.66
788,2022-09-02,35.75
789,.1800,35.44
790,2022-08-11,37.25
791,2022-08-12,36.88
792,2022-08-15,36.84
793,2022-08-16,36.57
794,2022-08-17,36.46
795,2022-08-18,35.84
796,2022-08-19,35.95
797,2022-08-22,35.54
798,2022-08-23,34.8
799,2022-08-24,35.78
800,2022-08-25,36.8
801,2022-08-26,36.74
802,2022-08-29,34.77
803,2022-08-30,35.53
804,2022-08-31,35.54
805,2022-09-01,34.66
806,2022-09-02,35.75
