,date,open
0,2019-02-08,19.0
1,2019-02-11,18.72
2,2019-02-12,18.43
3,2019-02-13,18.5
4,2019-02-14,17.54
5,2019-02-15,18.81
6,2019-02-19,19.5
7,2019-02-20,19.77
8,2019-02-21,20.38
9,2019-02-22,21.21
10,2019-02-25,22.6
11,2019-02-26,23.43
12,2019-02-27,24.62
13,2019-02-28,20.9
14,2019-03-01,21.91
15,2019-03-04,23.71
16,2019-03-05,22.98
17,2019-03-06,20.59
18,2019-03-07,20.81
19,2019-03-08,19.13
20,2019-03-11,19.75
21,2019-03-12,19.63
22,2019-03-13,19.47
23,2019-03-14,19.49
24,2019-03-15,20.5
25,2019-03-18,20.5
26,2019-03-19,22.07
27,2019-03-20,23.48
28,2019-03-21,23.15
29,2019-03-22,23.04
30,2019-03-25,21.47
31,2019-03-26,22.21
32,2019-03-27,21.39
33,2019-03-28,20.84
34,2019-03-29,21.49
35,2019-04-01,21.9
36,2019-04-02,20.59
37,2019-04-03,20.93
38,2019-04-04,20.62
39,2019-04-05,19.97
40,2019-04-08,19.51
41,2019-04-09,18.59
42,2019-04-10,17.37
43,2019-04-11,17.26
44,2019-04-12,17.58
45,2019-04-15,17.32
46,2019-04-16,17.18
47,2019-04-17,17.4
48,2019-04-18,16.24
49,2019-04-22,16.12
50,2019-04-23,16.56
51,2019-04-24,17.28
52,2019-04-25,16.63
53,2019-04-26,16.25
54,2019-04-29,16.19
55,2019-04-30,17.23
56,2019-05-01,17.09
57,2019-05-02,16.74
58,2019-05-03,16.71
59,2019-05-06,17.03
60,2019-05-07,17.84
61,2019-05-08,18.17
62,2019-05-09,17.82
63,2019-05-10,18.75
64,2019-05-13,18.87
65,2019-05-14,20.24
66,2019-05-15,19.2
67,2019-05-16,20.59
68,2019-05-17,21.19
69,2019-05-20,20.8
70,2019-05-21,20.82
71,2019-05-22,20.85
72,2019-05-23,20.32
73,2019-05-24,20.0
74,2019-05-28,20.75
75,2019-05-29,20.01
76,2019-05-30,20.15
77,2019-05-31,18.32
78,2019-06-03,18.3
79,2019-06-04,19.48
80,2019-06-05,19.45
81,2019-06-06,17.91
82,2019-06-07,17.85
83,2019-06-10,18.96
84,2019-06-11,19.6
85,2019-06-12,18.4719
86,2019-06-13,19.07
87,2019-06-14,19.39
88,2019-06-17,20.32
89,2019-06-18,21.07
90,2019-06-19,21.15
91,2019-06-20,22.23
92,2019-06-21,21.73
93,2019-06-24,22.92
94,2019-06-25,22.09
95,2019-06-26,22.22
96,2019-06-27,21.03
97,2019-06-28,21.01
98,2019-07-01,22.32
99,2019-07-02,22.48
100,2019-07-03,22.45
101,2019-07-05,22.06
102,2019-07-08,21.07
103,2019-07-09,20.15
104,2019-07-10,20.68
105,2019-07-11,21.09
106,2019-07-12,21.09
107,2019-07-15,20.49
108,2019-07-16,20.73
109,2019-07-17,20.64
110,2019-07-18,20.06
111,2019-07-19,19.74
112,2019-07-22,19.01
113,2019-07-23,17.42
114,2019-07-24,18.0
115,2019-07-25,20.04
116,2019-07-26,19.65
117,2019-07-29,21.51
118,2019-07-30,20.1
119,2019-07-31,20.0
120,2019-08-01,20.08
121,2019-08-02,20.3
122,2019-08-05,18.3
123,2019-08-06,19.16
124,2019-08-07,18.73
125,2019-08-08,19.95
126,2019-08-09,19.13
127,2019-08-12,19.29
128,2019-08-13,19.39
129,2019-08-14,20.31
130,2019-08-15,18.31
131,2019-08-16,18.06
132,2019-08-19,18.0
133,2019-08-20,18.43
134,2019-08-21,18.58
135,2019-08-22,18.91
136,2019-08-23,17.44
137,2019-08-26,17.7
138,2019-08-27,20.5
139,2019-08-28,19.94
140,2019-08-29,19.94
141,2019-08-30,20.13
142,2019-09-03,20.88
143,2019-09-04,21.8
144,2019-09-05,21.97
145,2019-09-06,20.8
146,2019-09-09,20.45
147,2019-09-10,19.86
148,2019-09-11,20.99
149,2019-09-12,21.31
150,2019-09-13,21.92
151,2019-09-16,19.68
152,2019-09-17,21.39
153,2019-09-18,21.58
154,2019-09-19,21.57
155,2019-09-20,20.71
156,2019-09-23,21.91
157,2019-09-24,22.45
158,2019-09-25,20.05
159,2019-09-26,18.31
160,2019-09-27,16.37
161,2019-09-30,17.16
162,2019-10-01,16.84
163,2019-10-02,16.21
164,2019-10-03,16.13
165,2019-10-04,16.77
166,2019-10-07,16.46
167,2019-10-08,15.34
168,2019-10-09,15.37
169,2019-10-10,15.67
170,2019-10-11,15.05
171,2019-10-14,14.66
172,2019-10-15,15.01
173,2019-10-16,16.03
174,2019-10-17,16.57
175,2019-10-18,16.01
176,2019-10-21,16.68
177,2019-10-22,14.5
178,2019-10-23,18.12
179,2019-10-24,17.61
180,2019-10-25,18.07
181,2019-10-28,18.77
182,2019-10-29,19.35
183,2019-10-30,19.98
184,2019-10-31,21.24
185,2019-11-01,20.71
186,2019-11-04,21.8
187,2019-11-05,21.97
188,2019-11-06,21.82
189,2019-11-07,22.26
190,2019-11-08,22.37
191,2019-11-11,23.06
192,2019-11-12,22.86
193,2019-11-13,21.97
194,2019-11-14,21.83
195,2019-11-15,21.97
196,2019-11-18,22.68
197,2019-11-19,23.06
198,2019-11-20,24.5
199,2019-11-21,25.26
200,2019-11-22,25.17
201,2019-11-25,25.16
202,2019-11-26,24.77
203,2019-11-27,24.41
204,2019-11-29,25.0
205,2019-12-02,26.05
206,2019-12-03,24.85
207,2019-12-04,25.44
208,2019-12-05,25.84
209,2019-12-06,25.21
210,2019-12-09,25.98
211,2019-12-10,25.42
212,2019-12-11,26.84
213,2019-12-12,26.58
214,2019-12-13,25.47
215,2019-12-16,16.1
216,2019-12-17,16.07
217,2019-12-18,15.51
218,2019-12-19,15.55
219,2019-12-20,15.0
220,2019-12-23,16.02
221,2019-12-24,16.44
222,2019-12-26,16.61
223,2019-12-27,16.32
224,2019-12-30,15.0
225,2019-12-31,15.34
226,2020-01-02,15.7
227,2020-01-03,15.14
228,2020-01-06,15.19
229,2020-01-07,15.05
230,2020-01-08,14.63
231,2020-01-09,14.5
232,2020-01-10,14.3
233,2020-01-13,14.14
234,2020-01-14,13.76
235,2020-01-15,14.6
236,2020-01-16,15.16
237,2020-01-17,15.15
238,2020-01-21,14.22
239,2020-01-22,14.06
240,2020-01-23,13.99
241,2020-01-24,13.42
242,2020-01-27,13.45
243,2020-01-28,14.02
244,2020-01-29,13.95
245,2020-01-30,13.58
246,2020-01-31,13.5
247,2020-02-03,13.39
248,2020-02-04,13.66
249,2020-02-05,13.89
250,2020-02-06,14.84
251,2020-02-07,14.62
252,2020-02-10,14.91
253,2020-02-11,15.16
254,2020-02-12,15.02
255,2020-02-13,15.15
256,2020-02-14,15.49
257,2020-02-18,14.56
258,2020-02-19,14.94
259,2020-02-20,14.84
260,2020-02-21,14.71
261,2020-02-24,14.61
262,2020-02-25,14.08
263,2020-02-26,13.85
264,2020-02-27,13.81
265,2020-02-28,12.8
266,2020-03-02,13.37
267,2020-03-03,13.89
268,2020-03-04,13.77
269,2020-03-05,13.81
270,2020-03-06,13.32
271,2020-03-09,12.0
272,2020-03-10,11.41
273,2020-03-11,11.2
274,2020-03-12,10.11
275,2020-03-13,10.64
276,2020-03-16,9.55
277,2020-03-17,9.73
278,2020-03-18,9.05
279,2020-03-19,7.93
280,2020-03-20,9.05
281,2020-03-23,9.52
282,2020-03-24,9.77
283,2020-03-25,9.93
284,2020-03-26,10.16
285,2020-03-27,9.81
286,2020-03-30,9.94
287,2020-03-31,10.34
288,2020-04-01,9.92
289,2020-04-02,9.46
290,2020-04-03,10.03
291,2020-04-06,10.59
292,2020-04-07,10.78
293,2020-04-08,10.93
294,2020-04-09,11.37
295,2020-04-13,11.39
296,2020-04-14,11.61
297,2020-04-15,11.32
298,2020-04-16,11.1
299,2020-04-17,11.67
300,2020-04-20,11.56
301,2020-04-21,12.18
302,2020-04-22,12.4
303,2020-04-23,13.0
304,2020-04-24,13.13
305,2020-04-27,13.65
306,2020-04-28,13.55
307,2020-04-29,13.5
308,2020-04-30,13.38
309,2020-05-01,12.8
310,2020-05-04,12.55
311,2020-05-05,13.78
312,2020-05-06,13.66
313,2020-05-07,14.23
314,2020-05-08,14.6
315,2020-05-11,14.93
316,2020-05-12,16.15
317,2020-05-13,15.91
318,2020-05-14,13.76
319,2020-05-15,14.01
320,2020-05-18,14.61
321,2020-05-19,12.72
322,2020-05-20,12.87
323,2020-05-21,12.81
324,2020-05-22,12.5
325,2020-05-26,12.96
326,2020-05-27,12.78
327,2020-05-28,11.95
328,2020-05-29,12.16
329,2020-06-01,12.19
330,2020-06-02,12.13
331,2020-06-03,11.99
332,2020-06-04,12.75
333,2020-06-05,12.62
334,2020-06-08,12.76
335,2020-06-09,12.79
336,2020-06-10,12.7
337,2020-06-11,12.14
338,2020-06-12,11.76
339,2020-06-15,11.97
340,2020-06-16,12.75
341,2020-06-17,12.44
342,2020-06-18,12.04
343,2020-06-19,12.65
344,2020-06-22,12.25
345,2020-06-23,12.87
346,2020-06-24,12.83
347,2020-06-25,12.49
348,2020-06-26,12.94
349,2020-06-29,12.88
350,2020-06-30,12.55
351,2020-07-01,13.01
352,2020-07-02,13.0
353,2020-07-06,13.47
354,2020-07-07,12.98
355,2020-07-08,13.1
356,2020-07-09,13.3
357,2020-07-10,13.08
358,2020-07-13,13.19
359,2020-07-14,13.6
360,2020-07-15,13.52
361,2020-07-16,13.62
362,2020-07-17,13.52
363,2020-07-20,15.08
364,2020-07-21,14.06
365,2020-07-22,14.57
366,2020-07-23,14.09
367,2020-07-24,13.8
368,2020-07-27,13.68
369,2020-07-28,13.65
370,2020-07-29,13.19
371,2020-07-30,12.57
372,2020-07-31,12.65
373,2020-08-03,12.03
374,2020-08-04,12.58
375,2020-08-05,13.02
376,2020-08-06,13.05
377,2020-08-07,13.43
378,2020-08-10,13.83
379,2020-08-11,13.58
380,2020-08-12,13.52
381,2020-08-13,14.26
382,2020-08-14,14.71
383,2020-08-17,14.0
384,2020-08-18,14.19
385,2020-08-19,14.0
386,2020-08-20,13.53
387,2020-08-21,13.74
388,2020-08-24,13.69
389,2020-08-25,13.19
390,2020-08-26,13.51
391,2020-08-27,13.38
392,2020-08-28,13.26
393,2020-08-31,13.49
394,2020-09-01,13.83
395,2020-09-02,13.57
396,2020-09-03,13.34
397,2020-09-04,13.08
398,2020-09-08,12.79
399,2020-09-09,13.21
400,2020-09-10,13.74
401,2020-09-11,13.55
