,date,open
0,2017-05-17,15.0
1,2017-05-18,14.88
2,2017-05-19,16.61
3,2017-05-22,16.55
4,2017-05-23,16.49
5,2017-05-24,16.34
6,2017-05-25,16.69
7,2017-05-26,16.91
8,2017-05-30,17.52
9,2017-05-31,18.2
10,2017-06-01,18.89
11,2017-06-02,18.89
12,2017-06-05,19.27
13,2017-06-06,19.1
14,2017-06-07,18.0
15,2017-06-08,18.52
16,2017-06-09,18.46
17,2017-06-12,18.6
18,2017-06-13,18.2
19,2017-06-14,17.15
20,2017-06-15,16.4
21,2017-06-16,16.59
22,2017-06-19,16.98
23,2017-06-20,17.0
24,2017-06-21,16.83
25,2017-06-22,17.305
26,2017-06-23,17.62
27,2017-06-26,17.6
28,2017-06-27,17.64
29,2017-06-28,18.65
30,2017-06-29,17.98
31,2017-06-30,17.87
32,2017-07-03,17.6
33,2017-07-05,17.55
34,2017-07-06,16.97
35,2017-07-07,16.69
36,2017-07-10,16.9
37,2017-07-11,16.65
38,2017-07-12,15.54
39,2017-07-13,15.31
40,2017-07-14,15.85
41,2017-07-17,15.23
42,2017-07-18,15.77
43,2017-07-19,15.44
44,2017-07-20,15.4
45,2017-07-21,14.97
46,2017-07-24,15.406
47,2017-07-25,14.92
48,2017-07-26,15.23
49,2017-07-27,14.8
50,2017-07-28,14.82
51,2017-07-31,14.94
52,2017-08-01,14.13
53,2017-08-02,13.51
54,2017-08-03,12.85
55,2017-08-04,12.5
56,2017-08-07,13.05
57,2017-08-08,13.449
58,2017-08-09,12.67
59,2017-08-10,12.54
60,2017-08-11,12.07
61,2017-08-14,12.58
62,2017-08-15,13.57
63,2017-08-16,14.53
64,2017-08-17,13.87
65,2017-08-18,15.76
66,2017-08-21,15.78
67,2017-08-22,18.02
68,2017-08-23,16.9
69,2017-08-24,17.45
70,2017-08-25,17.29
71,2017-08-28,16.26
72,2017-08-29,16.81
73,2017-08-30,17.8727
74,2017-08-31,18.84
75,2017-09-01,18.4
76,2017-09-05,20.03
77,2017-09-06,21.47
78,2017-09-07,25.51
79,2017-09-08,26.2
80,2017-09-11,26.68
81,2017-09-12,27.33
82,2017-09-13,26.1
83,2017-09-14,27.195
84,2017-09-15,26.16
85,2017-09-18,25.63
86,2017-09-19,24.27
87,2017-09-20,24.51
88,2017-09-21,25.03
89,2017-09-22,25.0
90,2017-09-25,26.2052
91,2017-09-26,25.17
92,2017-09-27,24.81
93,2017-09-28,25.21
94,2017-09-29,25.16
95,2017-10-02,25.11
96,2017-10-03,26.4
97,2017-10-04,25.41
98,2017-10-05,25.75
99,2017-10-06,25.85
100,2017-10-09,25.82
101,2017-10-10,23.87
102,2017-10-11,24.94
103,2017-10-12,24.81
104,2017-10-13,24.6
105,2017-10-16,24.22
106,2017-10-17,24.86
107,2017-10-18,23.01
108,2017-10-19,22.4
109,2017-10-20,21.91
110,2017-10-23,22.05
111,2017-10-24,22.11
112,2017-10-25,21.44
113,2017-10-26,21.39
114,2017-10-27,21.3
115,2017-10-30,21.73
116,2017-10-31,22.12
117,2017-11-01,23.74
118,2017-11-02,22.55
119,2017-11-03,21.61
120,2017-11-06,23.54
121,2017-11-07,23.63
122,2017-11-08,23.04
123,2017-11-09,22.28
124,2017-11-10,20.64
125,2017-11-13,20.57
126,2017-11-14,19.33
127,2017-11-15,19.38
128,2017-11-16,19.54
129,2017-11-17,20.87
130,2017-11-20,20.83
131,2017-11-21,20.0
132,2017-11-22,20.2
133,2017-11-24,20.88
134,2017-11-27,20.95
135,2017-11-28,21.25
136,2017-11-29,21.11
137,2017-11-30,21.25
138,2017-12-01,20.59
139,2017-12-04,19.77
140,2017-12-05,18.97
141,2017-12-06,19.13
142,2017-12-07,19.02
143,2017-12-08,19.785
144,2017-12-11,19.93
145,2017-12-12,19.79
146,2017-12-13,19.46
147,2017-12-14,20.03
148,2017-12-15,19.6
149,2017-12-18,19.89
150,2017-12-19,20.38
151,2017-12-20,19.76
152,2017-12-21,19.55
153,2017-12-22,19.1
154,2017-12-26,19.46
155,2017-12-27,19.26
156,2017-12-28,19.39
157,2017-12-29,19.57
158,2018-01-02,20.01
159,2018-01-03,20.49
160,2018-01-04,20.38
161,2018-01-05,19.96
162,2018-01-08,19.19
163,2018-01-09,19.28
164,2018-01-10,20.59
165,2018-01-11,21.48
166,2018-01-12,23.14
167,2018-01-16,22.8
168,2018-01-17,22.7765
169,2018-01-18,23.91
170,2018-01-19,25.09
171,2018-01-22,26.46
172,2018-01-23,25.25
173,2018-01-24,24.63
174,2018-01-25,25.51
175,2018-01-26,26.66
176,2018-01-29,25.75
177,2018-01-30,25.35
178,2018-01-31,25.88
179,2018-02-01,23.48
180,2018-02-02,23.03
181,2018-02-05,22.99
182,2018-02-06,21.21
183,2018-02-07,21.51
184,2018-02-08,20.915
185,2018-02-09,20.58
186,2018-02-12,19.54
187,2018-02-13,18.96
188,2018-02-14,19.65
189,2018-02-15,20.0
190,2018-02-16,20.0
191,2018-02-20,19.57
192,2018-02-21,19.26
193,2018-02-22,19.26
194,2018-02-23,22.29
195,2018-02-26,24.31
196,2018-02-27,22.9
197,2018-02-28,22.69
198,2018-03-01,22.72
199,2018-03-02,23.73
200,2018-03-05,26.55
201,2018-03-06,25.71
202,2018-03-07,26.4
203,2018-03-08,32.0
204,2018-03-09,31.5
205,2018-03-12,34.24
206,2018-03-13,35.95
207,2018-03-14,39.0
208,2018-03-15,38.23
209,2018-03-16,36.73
210,2018-03-19,36.54
211,2018-03-20,37.39
212,2018-03-21,40.23
213,2018-03-22,41.33
214,2018-03-23,40.31
215,2018-03-26,41.12
216,2018-03-27,41.18
217,2018-03-28,38.6
218,2018-03-29,35.99
219,2018-04-02,36.97
220,2018-04-03,37.92
221,2018-04-04,36.94
222,2018-04-05,37.47
223,2018-04-06,35.82
224,2018-04-09,35.72
225,2018-04-10,36.88
226,2018-04-11,35.75
227,2018-04-12,35.41
228,2018-04-13,36.55
229,2018-04-16,36.71
230,2018-04-17,36.46
231,2018-04-18,40.5
232,2018-04-19,38.63
233,2018-04-20,38.25
234,2018-04-23,38.96
235,2018-04-24,39.57
236,2018-04-25,39.0
237,2018-04-26,39.57
238,2018-04-27,38.9
239,2018-04-30,40.07
240,2018-05-01,38.39
241,2018-05-02,38.9
242,2018-05-03,40.22
243,2018-05-04,39.65
244,2018-05-07,45.0
245,2018-05-08,46.2
246,2018-05-09,48.07
247,2018-05-10,48.57
248,2018-05-11,49.2
249,2018-05-14,48.07
250,2018-05-15,46.59
251,2018-05-16,47.1
252,2018-05-17,49.2
253,2018-05-18,48.74
254,2018-05-21,50.92
255,2018-05-22,50.79
256,2018-05-23,48.99
257,2018-05-24,49.37
258,2018-05-25,51.76
259,2018-05-29,50.53
260,2018-05-30,49.34
261,2018-05-31,46.58
262,2018-06-01,43.57
263,2018-06-04,43.59
264,2018-06-05,37.59
265,2018-06-06,37.43
266,2018-06-07,38.18
267,2018-06-08,38.33
268,2018-06-11,40.35
269,2018-06-12,41.06
270,2018-06-13,41.11
271,2018-06-14,43.26
272,2018-06-15,44.65
273,2018-06-18,46.2
274,2018-06-19,46.72
275,2018-06-20,48.27
276,2018-06-21,49.53
277,2018-06-22,49.39
278,2018-06-25,47.86
279,2018-06-26,48.05
280,2018-06-27,44.14
281,2018-06-28,42.83
282,2018-06-29,42.93
283,2018-07-02,43.03
284,2018-07-03,45.42
285,2018-07-05,45.66
286,2018-07-06,45.6
287,2018-07-09,46.35
288,2018-07-10,46.93
289,2018-07-11,46.06
290,2018-07-12,45.0
291,2018-07-13,45.37
292,2018-07-16,42.74
293,2018-07-17,44.84
294,2018-07-18,45.4
295,2018-07-19,47.3
296,2018-07-20,46.67
297,2018-07-23,47.29
298,2018-07-24,48.23
299,2018-07-25,48.34
300,2018-07-26,48.97
301,2018-07-27,49.99
302,2018-07-30,49.41
303,2018-07-31,49.96
304,2018-08-01,51.39
305,2018-08-02,54.0
306,2018-08-03,50.6
307,2018-08-06,50.79
308,2018-08-07,52.0
309,2018-08-08,52.78
310,2018-08-09,53.73
311,2018-08-10,56.22
312,2018-08-13,56.93
313,2018-08-14,56.29
314,2018-08-15,56.41
