,date,open
0,2022-04-29,18.76
1,2022-05-02,17.94
2,2022-05-03,18.155
3,2022-05-04,20.49
4,2022-05-05,19.3
5,2022-05-06,17.78
6,2022-05-09,15.0
7,2022-05-10,12.5
8,2022-05-11,13.25
9,2022-05-12,14.04
10,2022-05-13,13.16
11,2022-05-16,14.61
12,2022-05-17,14.4
13,2022-05-18,15.61
14,2022-05-19,12.99
15,2022-05-20,10.53
16,2022-05-23,10.18
17,2022-05-24,9.81
18,2022-05-25,9.83
19,2022-05-26,10.42
20,2022-05-27,9.99
21,2022-05-31,9.5
22,2022-06-01,9.85
23,2022-06-02,9.89
24,2022-06-03,10.79
25,2022-06-06,10.04
26,2022-06-07,10.05
27,2022-06-08,8.95
28,2022-06-09,8.88
29,2022-06-10,8.88
30,2022-06-13,8.95
31,2022-06-14,8.88
32,2022-06-15,8.82
33,2022-06-16,9.19
34,2022-06-17,9.78
35,2022-06-21,9.27
36,2022-06-22,9.02
37,2022-06-23,9.68
38,2022-06-24,11.94
39,2022-06-27,14.73
40,2022-06-28,11.01
41,2022-06-29,10.0
42,2022-06-30,9.59
43,2022-07-01,10.77
44,2022-07-05,10.5
45,2022-07-06,11.71
46,2022-07-07,13.06
47,2022-07-08,13.11
48,2022-07-11,13.76
49,2022-07-12,14.33
50,2022-07-13,12.78
51,2022-07-14,13.61
52,2022-07-15,13.56
53,2022-07-18,13.17
54,2022-07-19,13.61
55,2022-07-20,12.55
56,2022-07-21,12.79
57,2022-07-22,12.35
58,2022-07-25,13.41
59,2022-07-26,13.27
60,2022-07-27,13.15
61,2022-07-28,13.31
62,2022-07-29,13.9
63,2022-08-01,13.56
64,2022-08-02,11.43
65,2022-08-03,11.75
66,2022-08-04,11.53
67,2022-08-05,11.7167
68,2022-08-08,12.1401
69,2022-08-09,13.33
70,2022-08-10,13.42
71,2022-08-11,12.61
72,2022-08-12,12.25
73,2022-08-15,12.19
74,2022-08-16,12.48
75,2022-08-17,12.97
76,2022-08-18,13.18
77,2022-08-19,12.89
78,2022-08-22,12.35
79,2022-08-23,11.03
80,2022-08-24,10.95
81,2022-08-25,10.98
82,2022-08-26,11.18
83,2022-08-29,10.8
84,2022-08-30,11.36
85,2022-08-31,11.28
86,2022-09-01,12.01
87,2022-09-02,13.5
88,22-08-10,13.42
89,2022-08-11,12.61
90,2022-08-12,12.25
91,2022-08-15,12.19
92,2022-08-16,12.48
93,2022-08-17,12.97
94,2022-08-18,13.18
95,2022-08-19,12.89
96,2022-08-22,12.35
97,2022-08-23,11.03
98,2022-08-24,10.95
99,2022-08-25,10.98
100,2022-08-26,11.18
101,2022-08-29,10.8
102,2022-08-30,11.36
103,2022-08-31,11.28
104,2022-09-01,12.01
105,2022-09-02,13.5
