,date,open
0,2021-04-30,18.21
1,2021-05-03,16.49
2,2021-05-04,16.04
3,2021-05-05,16.5
4,2021-05-06,15.95
5,2021-05-07,14.0
6,2021-05-10,14.59
7,2021-05-11,13.86
8,2021-05-12,13.0
9,2021-05-13,12.82
10,2021-05-14,11.5
11,2021-05-17,11.5
12,2021-05-18,11.95
13,2021-05-19,12.09
14,2021-05-20,11.98
15,2021-05-21,12.25
16,2021-05-24,12.44
17,2021-05-25,12.52
18,2021-05-26,13.2
19,2021-05-27,12.94
20,2021-05-28,14.66
21,2021-06-01,14.96
22,2021-06-02,13.99
23,2021-06-03,13.31
24,2021-06-04,12.83
25,2021-06-07,12.55
26,2021-06-08,12.1
27,2021-06-09,11.9
28,2021-06-10,12.13
29,2021-06-11,12.91
30,2021-06-14,12.48
31,2021-06-15,12.7
32,2021-06-16,13.03
33,2021-06-17,14.54
34,2021-06-18,14.77
35,2021-06-21,14.5
36,2021-06-22,15.64
37,2021-06-23,15.0
38,2021-06-24,14.94
39,2021-06-25,15.44
40,2021-06-28,14.85
41,2021-06-29,15.79
42,2021-06-30,16.0
43,2021-07-01,17.5
44,2021-07-02,19.2
45,2021-07-06,20.68
46,2021-07-07,17.46
47,2021-07-08,16.53
48,2021-07-09,15.37
49,2021-07-12,14.96
50,2021-07-13,15.73
51,2021-07-14,15.51
52,2021-07-15,15.56
53,2021-07-16,15.82
54,2021-07-19,15.71
55,2021-07-20,16.9
56,2021-07-21,19.23
57,2021-07-22,19.53
58,2021-07-23,19.74
59,2021-07-26,18.42
60,2021-07-27,19.36
61,2021-07-28,18.935
62,2021-07-29,18.79
63,2021-07-30,17.35
64,2021-08-02,17.04
65,2021-08-03,16.55
66,2021-08-04,15.89
67,2021-08-05,16.18
68,2021-08-06,15.79
69,2021-08-09,15.28
70,2021-08-10,15.09
71,2021-08-11,15.06
72,2021-08-12,15.02
73,2021-08-13,15.35
74,2021-08-16,14.22
75,2021-08-17,13.9
76,2021-08-18,15.49
77,2021-08-19,16.39
78,2021-08-20,16.9
79,2021-08-23,17.39
80,2021-08-24,18.0
81,2021-08-25,17.28
82,2021-08-26,18.5
83,2021-08-27,16.84
84,2021-08-30,17.865
85,2021-08-31,17.01
86,2021-09-01,17.7857
87,2021-09-02,18.4542
88,2021-09-03,17.37
89,2021-09-07,18.06
90,2021-09-08,18.87
91,2021-09-09,17.87
92,2021-09-10,18.16
93,2021-09-13,17.45
94,2021-09-14,17.83
95,2021-09-15,17.3
96,2021-09-16,17.1
97,2021-09-17,17.26
98,2021-09-20,16.2501
99,2021-09-21,16.8
100,2021-09-22,17.52
101,2021-09-23,17.9
102,2021-09-24,17.0
103,2021-09-27,17.86
104,2021-09-28,17.13
105,2021-09-29,17.55
106,2021-09-30,16.7812
107,2021-10-01,17.76
108,2021-10-04,17.1
109,2021-10-05,17.46
110,2021-10-06,17.11
111,2021-10-07,17.26
112,2021-10-08,16.74
113,2021-10-11,16.05
114,2021-10-12,16.04
115,2021-10-13,16.7
116,2021-10-14,16.38
117,2021-10-15,16.99
118,2021-10-18,17.38
119,2021-10-19,16.25
120,2021-10-20,16.45
121,2021-10-21,16.51
122,2021-10-22,15.78
123,2021-10-25,15.98
124,2021-10-26,15.8
125,2021-10-27,15.21
126,2021-10-28,16.1
127,2021-10-29,15.97
128,2021-11-01,16.0
129,2021-11-02,16.01
130,2021-11-03,16.025
131,2021-11-04,15.8
132,2021-11-05,15.98
133,2021-11-08,16.2
134,2021-11-09,15.5
135,2021-11-10,16.125
136,2021-11-11,16.21
137,2021-11-12,15.78
138,2021-11-15,15.55
139,2021-11-16,15.8
140,2021-11-17,15.67
141,2021-11-18,16.105
142,2021-11-19,16.18
143,2021-11-22,15.82
144,2021-11-23,15.63
145,2021-11-24,14.75
146,2021-11-26,14.65
147,2021-11-29,14.53
148,2021-11-30,14.75
149,2021-12-01,15.02
150,2021-12-02,13.7487
151,2021-12-03,14.345
152,2021-12-06,14.5
153,2021-12-07,15.25
154,2021-12-08,15.41
155,2021-12-09,15.5
156,2021-12-10,14.97
157,2021-12-13,14.84
158,2021-12-14,14.27
159,2021-12-15,13.86
160,2021-12-16,13.98
161,2021-12-17,13.3
162,2021-12-20,12.52
163,2021-12-21,11.63
164,2021-12-22,11.42
165,2021-12-23,11.73
166,2021-12-27,12.38
167,2021-12-28,11.9
168,2021-12-29,11.54
169,2021-12-30,11.56
170,2021-12-31,12.25
171,2022-01-03,11.77
172,2022-01-04,12.26
173,2022-01-05,11.91
174,2022-01-06,11.7
175,2022-01-07,11.45
176,2022-01-10,11.0
177,2022-01-11,9.95
178,2022-01-12,9.61
179,2022-01-13,8.96
180,2022-01-14,8.64
181,2022-01-18,8.88
182,2022-01-19,8.16
183,2022-01-20,8.23
184,2022-01-21,7.39
185,2022-01-24,7.34
186,2022-01-25,7.71
187,2022-01-26,8.44
188,2022-01-27,8.04
189,2022-01-28,8.43
190,2022-01-31,8.48
191,2022-02-01,9.13
192,2022-02-02,8.41
193,2022-02-03,7.56
194,2022-02-04,7.03
195,2022-02-07,6.87
196,2022-02-08,7.25
197,2022-02-09,7.02
198,2022-02-10,7.3
199,2022-02-11,7.0
200,2022-02-14,6.81
201,2022-02-15,6.99
202,2022-02-16,7.38
203,2022-02-17,7.26
204,2022-02-18,6.7
205,2022-02-22,6.83
206,2022-02-23,7.37
207,2022-02-24,7.3
208,2022-02-25,7.99
209,2022-02-28,7.31
210,2022-03-01,7.12
211,2022-03-02,5.75
212,2022-03-03,5.97
213,2022-03-04,5.25
214,2022-03-07,5.22
215,2022-03-08,5.195
216,2022-03-09,5.39
217,2022-03-10,5.65
218,2022-03-11,5.47
219,2022-03-14,5.21
220,2022-03-15,4.66
221,2022-03-16,4.64
222,2022-03-17,4.42
223,2022-03-18,4.67
224,2022-03-21,4.93
225,2022-03-22,4.34
226,2022-03-23,4.21
227,2022-03-24,3.95
228,2022-03-25,3.75
229,2022-03-28,3.96
230,2022-03-29,3.98
231,2022-03-30,4.25
232,2022-03-31,4.15
233,2022-04-01,4.38
234,2022-04-04,4.54
235,2022-04-05,4.69
236,2022-04-06,4.72
237,2022-04-07,5.06
238,2022-04-08,5.42
239,2022-04-11,5.52
240,2022-04-12,4.91
241,2022-04-13,4.38
242,2022-04-14,4.34
243,2022-04-18,4.66
244,2022-04-19,4.14
245,2022-04-20,4.19
246,2022-04-21,4.31
247,2022-04-22,4.2
248,2022-04-25,4.32
249,2022-04-26,4.11
250,2022-04-27,4.06
251,2022-04-28,4.05
252,2022-04-29,4.97
253,2022-05-02,4.41
254,2022-05-03,4.43
255,2022-05-04,5.02
256,2022-05-05,5.17
257,2022-05-06,5.37
258,2022-05-09,5.06
259,2022-05-10,5.3
260,2022-05-11,6.08
261,2022-05-12,5.54
262,2022-05-13,5.54
263,2022-05-16,4.68
264,2022-05-17,4.57
265,2022-05-18,4.65
266,2022-05-19,3.92
267,2022-05-20,4.5
268,2022-05-23,4.63
269,2022-05-24,4.13
270,2022-05-25,4.06
271,2022-05-26,4.13
272,2022-05-27,3.92
273,2022-05-31,4.0
274,2022-06-01,3.86
275,2022-06-02,3.5
276,2022-06-03,3.77
277,2022-06-06,4.29
278,2022-06-07,4.02
279,2022-06-08,4.82
280,2022-06-09,5.03
281,2022-06-10,5.31
282,2022-06-13,4.42
283,2022-06-14,4.86
284,2022-06-15,4.75
285,2022-06-16,4.71
286,2022-06-17,4.2
287,2022-06-21,4.05
288,2022-06-22,3.81
289,2022-06-23,4.3
290,2022-06-24,4.72
291,2022-06-27,4.65
292,2022-06-28,4.33
293,2022-06-29,4.21
294,2022-06-30,3.88
295,2022-07-01,4.1
296,2022-07-05,4.02
297,2022-07-06,4.2
298,2022-07-07,4.32
299,2022-07-08,4.91
300,2022-07-11,5.05
301,2022-07-12,4.93
302,2022-07-13,5.25
303,2022-07-14,5.0
304,2022-07-15,4.65
305,2022-07-18,4.83
306,2022-07-19,4.92
307,2022-07-20,5.02
308,2022-07-21,5.3
309,2022-07-22,5.2
310,2022-07-25,4.89
311,2022-07-26,4.86
312,2022-07-27,4.91
313,2022-07-28,4.96
314,2022-07-29,4.66
315,2022-08-01,4.76
316,2022-08-02,4.625
317,2022-08-03,5.0
318,2022-08-04,4.89
319,2022-08-05,5.55
320,2022-08-08,5.78
321,2022-08-09,5.43
322,2022-08-10,4.75
323,2022-08-11,4.86
324,2022-08-12,5.65
325,2022-08-15,5.54
326,2022-08-16,5.73
327,2022-08-17,5.65
328,2022-08-18,6.27
329,2022-08-19,6.145
330,2022-08-22,6.03
331,2022-08-23,5.91
332,2022-08-24,5.77
333,2022-08-25,6.0
334,2022-08-26,5.95
335,2022-08-29,5.81
336,2022-08-30,5.79
337,2022-08-31,5.69
338,2022-09-01,4.98
339,2022-09-02,6.05
340,,5.785
341,2022-08-09,5.43
342,2022-08-10,4.75
343,2022-08-11,4.86
344,2022-08-12,5.65
345,2022-08-15,5.54
346,2022-08-16,5.73
347,2022-08-17,5.65
348,2022-08-18,6.27
349,2022-08-19,6.145
350,2022-08-22,6.03
351,2022-08-23,5.91
352,2022-08-24,5.77
353,2022-08-25,6.0
354,2022-08-26,5.95
355,2022-08-29,5.81
356,2022-08-30,5.79
357,2022-08-31,5.69
358,2022-09-01,4.98
359,2022-09-02,6.05
