,date,open
0,2012-10-11,19.4
1,2012-10-12,19.01
2,2012-10-15,19.0
3,2012-10-16,19.29
4,2012-10-17,20.0
5,2012-10-18,19.58
6,2012-10-19,19.92
7,2012-10-22,19.22
8,2012-10-23,19.15
9,2012-10-24,19.1
10,2012-10-25,18.9001
11,2012-10-26,19.95
12,2012-10-31,18.16
13,2012-11-01,18.21
14,2012-11-02,18.51
15,2012-11-05,19.0
16,2012-11-06,19.57
17,2012-11-07,20.54
18,2012-11-08,22.0
19,2012-11-09,19.52
20,2012-11-12,20.81
21,2012-11-13,21.12
22,2012-11-14,21.5
23,2012-11-15,22.0
24,2012-11-16,22.18
25,2012-11-19,21.46
26,2012-11-20,21.51
27,2012-11-21,21.01
28,2012-11-23,21.0
29,2012-11-26,21.07
30,2012-11-27,21.32
31,2012-11-28,21.01
32,2012-11-29,21.71
33,2012-11-30,22.3
34,2012-12-03,22.46
35,2012-12-04,22.89
36,2012-12-05,23.28
37,2012-12-06,24.93
38,2012-12-07,28.5
39,2012-12-10,27.0676
40,2012-12-11,27.56
41,2012-12-12,30.35
42,2012-12-13,32.97
43,2012-12-14,34.89
44,2012-12-17,34.64
45,2012-12-18,35.02
46,2012-12-19,33.78
47,2012-12-20,34.0
48,2012-12-21,33.88
49,2012-12-24,34.24
50,2012-12-26,33.935
51,2012-12-27,33.99
52,2012-12-28,33.79
53,2012-12-31,34.09
54,2013-01-02,34.39
55,2013-01-03,34.26
56,2013-01-04,34.49
57,2013-01-07,34.05
58,2013-01-08,33.73
59,2013-01-09,33.78
60,2013-01-10,34.2
61,2013-01-11,34.1
62,2013-01-14,34.19
63,2013-01-15,33.57
64,2013-01-16,34.19
65,2013-01-17,34.04
66,2013-01-18,33.61
67,2013-01-22,33.99
68,2013-01-23,34.2
69,2013-01-24,36.01
70,2013-01-25,37.3
71,2013-01-28,39.0
72,2013-01-29,41.58
73,2013-01-30,41.7
74,2013-01-31,39.95
75,2013-02-01,39.66
76,2013-02-04,38.91
77,2013-02-05,37.818
78,2013-02-06,38.0
79,2013-02-07,37.84
80,2013-02-08,37.47
81,2013-02-11,36.76
82,2013-02-12,35.49
83,2013-02-13,35.63
84,2013-02-14,34.97
85,2013-02-15,36.7
86,2013-02-19,37.89
87,2013-02-20,39.5
88,2013-02-21,37.24
89,2013-02-22,36.44
90,2013-02-25,38.65
91,2013-02-26,36.93
92,2013-02-27,38.05
93,2013-02-28,38.8
94,2013-03-01,37.72
95,2013-03-04,36.65
96,2013-03-05,38.0
97,2013-03-06,38.15
98,2013-03-07,37.68
99,2013-03-08,38.81
100,2013-03-11,37.74
101,2013-03-12,37.9999
102,2013-03-13,38.02
103,2013-03-14,37.84
104,2013-03-15,37.7
105,2013-03-18,37.25
106,2013-03-19,36.6
107,2013-03-20,37.45
108,2013-03-21,37.25
109,2013-03-22,36.36
110,2013-03-25,37.14
111,2013-03-26,37.87
112,2013-03-27,37.5
113,2013-03-28,37.45
114,2013-04-01,37.25
115,2013-04-02,37.01
116,2013-04-03,36.49
117,2013-04-04,34.93
118,2013-04-05,33.72
119,2013-04-08,35.76
120,2013-04-09,35.5
121,2013-04-10,34.82
122,2013-04-11,35.01
123,2013-04-12,34.46
124,2013-04-15,34.06
125,2013-04-16,33.81
126,2013-04-17,32.43
127,2013-04-18,31.98
128,2013-04-19,31.74
129,2013-04-22,31.57
130,2013-04-23,32.95
131,2013-04-24,35.0
132,2013-04-25,34.86
133,2013-04-26,34.03
134,2013-04-29,34.51
135,2013-04-30,34.51
136,2013-05-01,33.65
137,2013-05-02,33.39
138,2013-05-03,33.71
139,2013-05-06,33.52
140,2013-05-07,33.03
141,2013-05-08,31.75
142,2013-05-09,31.51
143,2013-05-10,31.2
144,2013-05-13,31.44
145,2013-05-14,31.45
146,2013-05-15,31.41
147,2013-05-16,31.04
148,2013-05-17,32.19
149,2013-05-20,33.24
150,2013-05-21,33.68
151,2013-05-22,34.43
152,2013-05-23,32.75
153,2013-05-24,34.33
154,2013-05-28,34.48
155,2013-05-29,34.2
156,2013-05-30,34.07
157,2013-05-31,33.8
158,2013-06-03,33.4
159,2013-06-04,31.18
160,2013-06-05,31.09
161,2013-06-06,31.73
162,2013-06-07,32.08
163,2013-06-10,33.55
164,2013-06-11,31.6
165,2013-06-12,31.72
166,2013-06-13,31.19
167,2013-06-14,32.13
168,2013-06-17,32.67
169,2013-06-18,32.51
170,2013-06-19,35.05
171,2013-06-20,37.79
172,2013-06-21,40.89
173,2013-06-24,38.89
174,2013-06-25,39.23
175,2013-06-26,39.67
176,2013-06-27,40.61
177,2013-06-28,43.93
178,2013-07-01,44.85
179,2013-07-02,43.52
180,2013-07-03,44.0
181,2013-07-05,44.0
182,2013-07-08,44.99
183,2013-07-09,46.69
184,2013-07-10,48.25
185,2013-07-11,50.0
186,2013-07-12,51.76
187,2013-07-15,50.89
188,2013-07-16,49.51
189,2013-07-17,49.23
190,2013-07-18,50.78
191,2013-07-19,50.43
192,2013-07-22,50.39
193,2013-07-23,48.54
194,2013-07-24,46.3
195,2013-07-25,47.41
196,2013-07-26,45.42
197,2013-07-29,45.62
198,2013-07-30,44.35
199,2013-07-31,44.95
200,2013-08-01,46.82
201,2013-08-02,45.83
202,2013-08-05,45.83
203,2013-08-06,46.06
204,2013-08-07,45.1
205,2013-08-08,46.51
206,2013-08-09,45.64
207,2013-08-12,45.46
208,2013-08-13,45.93
209,2013-08-14,46.34
210,2013-08-15,45.52
211,2013-08-16,44.47
212,2013-08-19,44.41
213,2013-08-20,44.18
214,2013-08-21,44.52
215,2013-08-22,44.48
216,2013-08-23,44.55
217,2013-08-26,43.94
218,2013-08-27,44.62
219,2013-08-28,44.15
220,2013-08-29,45.4
221,2013-08-30,45.93
222,2013-09-03,46.13
223,2013-09-04,47.0
224,2013-09-05,47.55
225,2013-09-06,47.09
226,2013-09-09,48.07
227,2013-09-10,49.65
228,2013-09-11,50.1
229,2013-09-12,49.97
230,2013-09-13,49.84
231,2013-09-16,49.78
232,2013-09-17,50.57
233,2013-09-18,54.6
234,2013-09-19,54.17
235,2013-09-20,59.12
236,2013-09-23,63.7
237,2013-09-24,64.86
238,2013-09-25,63.98
239,2013-09-26,64.48
240,2013-09-27,68.36
241,2013-09-30,67.99
242,2013-10-01,70.36
243,2013-10-02,75.96
244,2013-10-03,71.45
245,2013-10-04,68.79
246,2013-10-07,67.81
247,2013-10-08,68.98
248,2013-10-09,62.4
249,2013-10-10,60.25
250,2013-10-11,60.36
251,2013-10-14,59.31
252,2013-10-15,60.0
253,2013-10-16,60.77
254,2013-10-17,59.74
255,2013-10-18,60.68
256,2013-10-21,55.35
257,2013-10-22,53.94
258,2013-10-23,52.09
259,2013-10-24,55.68
260,2013-10-25,60.53
261,2013-10-28,58.72
262,2013-10-29,55.31
263,2013-10-30,56.63
264,2013-10-31,54.35
265,2013-11-01,54.26
266,2013-11-04,53.73
267,2013-11-05,51.91
268,2013-11-06,52.5
269,2013-11-07,50.15
270,2013-11-08,48.67
271,2013-11-11,49.03
272,2013-11-12,52.33
273,2013-11-13,52.78
274,2013-11-14,51.99
275,2013-11-15,48.99
276,2013-11-18,52.14
277,2013-11-19,49.24
278,2013-11-20,50.94
279,2013-11-21,51.14
280,2013-11-22,52.2
281,2013-11-25,52.02
282,2013-11-26,50.9
283,2013-11-27,52.31
284,2013-11-29,52.65
285,2013-12-02,52.68
286,2013-12-03,54.7
287,2013-12-04,55.61
288,2013-12-05,56.8
289,2013-12-06,57.6
290,2013-12-09,57.78
291,2013-12-10,57.14
292,2013-12-11,59.46
293,2013-12-12,58.5
294,2013-12-13,60.8
295,2013-12-16,62.94
296,2013-12-17,58.82
297,2013-12-18,59.07
298,2013-12-19,56.95
299,2013-12-20,57.81
300,2013-12-23,62.47
301,2013-12-24,64.0
302,2013-12-26,66.0
303,2013-12-27,66.51
304,2013-12-30,66.89
305,2013-12-31,67.23
306,2014-01-02,67.79
307,2014-01-03,68.82
308,2014-01-06,69.39
309,2014-01-07,67.41
310,2014-01-08,71.45
311,2014-01-09,231.89
312,2014-01-10,373.0
313,2014-01-13,339.87
314,2014-01-14,361.0
315,2014-01-15,280.0
316,2014-01-16,267.94
317,2014-01-17,267.35
318,2014-01-21,300.05
319,2014-01-22,353.7
320,2014-01-23,326.77
321,2014-01-24,323.18
322,2014-01-27,294.8
323,2014-01-28,289.9
324,2014-01-29,292.89
325,2014-01-30,304.6
326,2014-01-31,295.95
327,2014-02-03,301.03
328,2014-02-04,290.6
329,2014-02-05,299.78
330,2014-02-06,297.34
331,2014-02-07,301.78
332,2014-02-10,354.52
333,2014-02-11,374.01
334,2014-02-12,368.16
335,2014-02-13,363.54
336,2014-02-14,367.51
337,2014-02-18,353.89
338,2014-02-19,362.95
